AccNum,cdReads0_RNA_2,cdReads1_RNA_2,cdReads2_RNA_2,cdReads3_RNA_2,cdReads4_RNA_2
chrE,15249,16046,46654,67880,84490
NM_017847,38,70,63,38,48
NM_001003803,38,51,41,33,21
NM_001003800,944,1126,1067,711,752
NM_016649,19,53,33,29,27
NM_016647,174,161,124,65,69
NM_016644,33,22,18,14,15
NM_001143989,2,1,5,1,1
NM_016640,315,312,296,216,202
NM_003279,76,90,68,37,24
NM_001304467,60,53,46,38,27
NM_001080825,36,42,46,23,20
NM_001008781,2135,2538,1734,1261,1123
NM_002223,27,31,21,11,9
NM_001253384,138,130,145,82,83
NM_001145313,28,28,24,22,28
NM_003363,72,115,85,72,87
NM_207118,30,34,21,9,18
NM_001282735,1858,2160,1950,1303,1044
NM_001007531,2,2,1,4,2
NM_001282730,183,217,205,156,115
NM_004109,79,66,58,49,40
NM_004101,28,35,28,14,14
NM_007101,58,58,67,29,32
NM_007100,180,170,176,100,52
NM_181435,4,3,4,2,1
NM_000485,451,441,371,234,203
NM_007108,767,828,764,442,341
NM_016643,192,157,132,85,63
NM_001350532,173,247,158,117,100
NM_001350531,12,17,16,19,8
NM_001350530,195,267,181,186,170
NM_014177,90,109,89,65,41
NM_020992,12,21,12,11,8
NM_005802,191,250,135,110,109
NM_003824,146,149,101,61,50
NM_003825,103,133,94,79,51
NM_003826,100,127,86,75,69
NM_003827,432,463,452,271,228
NM_003820,9,9,15,4,9
NM_003821,95,95,86,57,62
NM_003795,236,252,226,122,120
NM_003823,43,34,54,30,27
NM_012181,1508,1567,1574,968,759
NM_012180,64,62,42,33,25
NM_012183,9,4,7,1,3
NM_001018088,86,120,53,58,52
NM_020437,116,98,90,40,38
NM_020733,118,120,100,68,75
NM_020731,76,91,115,72,56
NM_001025780,103,100,46,41,29
NM_001300829,839,974,847,642,487
NM_002224,955,892,958,645,528
NM_175856,64,74,55,35,38
NM_001688,480,567,425,335,285
NM_014171,45,67,45,46,30
NM_001867,122,136,104,77,51
NM_144643,68,103,88,42,40
NM_001161546,512,507,415,207,167
NM_144641,87,97,76,42,44
NM_133447,3,4,3,2,1
NM_001008783,2,4,4,2,1
NM_000159,235,216,191,141,138
NM_000158,124,165,130,83,87
NM_144648,3,5,6,3,3
NM_021020,794,934,944,642,445
NM_021021,501,657,613,457,447
NM_001347869,31,25,21,12,13
NM_021025,14,10,8,6,6
NM_015225,76,103,83,53,53
NM_001143679,134,130,121,76,74
NM_001297658,475,443,319,175,126
NM_001286495,7,15,7,7,7
NM_023009,1876,1703,1532,848,586
NM_173531,22,49,22,15,18
NM_001286499,82,55,76,59,40
NM_001297656,1122,1463,1161,746,546
NM_001297650,3,4,1,4,1
NM_006885,193,203,159,111,134
NM_002226,888,893,1047,697,559
NM_001282864,47,48,46,23,32
NM_152695,18,20,15,16,16
NM_015259,9,12,10,6,6
NM_001319119,611,621,603,380,284
NM_001193653,309,255,206,97,96
NM_182976,46,83,71,48,49
NM_006270,152,144,140,110,77
NM_006271,6,7,2,1,3
NM_003356,2,4,2,6,5
NM_003355,113,104,75,55,45
NM_001002030,79,110,68,66,40
NM_001170704,17,27,12,9,11
NM_003358,933,1327,993,665,843
NM_003359,271,319,257,162,140
NM_004813,168,171,165,95,93
NM_004814,946,1088,968,673,543
NM_004815,68,92,57,54,53
NM_020199,153,190,115,70,67
NM_004817,370,409,351,207,199
NM_004818,748,860,827,517,417
NM_020196,400,396,536,372,410
NM_020195,94,87,106,66,48
NM_014314,55,67,69,67,53
NM_020191,255,313,304,208,157
NM_001303098,244,212,164,127,113
NM_005663,350,355,493,285,263
NM_032961,264,304,277,166,132
NM_001303095,156,172,120,86,56
NM_001303096,361,541,412,321,277
NM_014313,121,122,115,49,51
NM_003688,120,151,85,75,73
NM_003689,456,461,406,249,225
NM_003680,698,860,837,522,385
NM_003681,274,302,295,192,157
NM_003682,543,524,446,261,266
NM_003684,142,132,146,91,76
NM_003685,1967,2090,2364,1551,1508
NM_003687,719,788,834,455,382
NM_006416,29,33,18,16,13
NM_006417,105,162,97,119,90
NM_003172,209,229,211,116,92
NM_001324229,61,44,53,37,27
NM_006411,464,462,397,258,184
NM_001128844,2719,2901,3441,2191,1608
NM_001127325,381,420,391,221,194
NM_001127322,161,241,183,142,100
NM_002460,3,4,9,4,1
NM_001098398,1780,2109,1367,798,853
NM_001257360,852,935,1003,598,495
NM_002887,317,467,387,331,253
NM_002886,194,215,156,76,87
NM_002881,169,179,138,89,76
NM_001346791,66,75,71,47,37
NM_024298,486,434,430,249,187
NM_024299,152,137,146,87,101
NM_001323684,135,127,112,71,67
NM_024292,235,233,205,128,94
NM_024293,791,883,790,526,378
NM_024294,310,402,325,208,148
NM_002014,652,679,608,435,286
NM_024297,228,202,196,124,124
NM_001077269,180,187,153,89,80
NM_032505,14,32,25,18,16
NM_032504,44,74,69,67,124
NM_032501,124,134,105,79,48
NM_001469,1777,2093,1926,1232,879
NM_032508,39,48,36,21,29
NM_002010,4,6,3,2,5
NM_004104,5989,5914,7335,5052,4349
NM_001077268,132,153,135,89,69
NM_001303115,819,858,648,388,242
NM_002087,1343,1352,1367,892,710
NM_002086,436,451,371,280,206
NM_002081,1868,1874,2147,1585,1386
NM_002080,304,332,356,206,173
NM_001104595,80,79,83,51,43
NM_002088,115,137,123,64,44
NM_001329684,25,43,38,29,15
NM_001288726,61,68,55,45,43
NM_014008,115,126,132,84,76
NM_014007,138,147,107,62,73
NM_014002,50,36,54,25,22
NM_014003,732,819,782,524,472
NM_014000,2058,2735,2256,1539,1339
NM_015351,77,83,93,49,73
NM_018230,461,652,532,347,353
NM_015352,511,527,461,318,289
NM_015355,52,86,58,58,75
NM_015354,1778,2048,1948,1226,1022
NM_005006,1213,1630,1340,1035,832
NM_005642,319,381,268,145,104
NM_018238,76,115,83,69,69
NM_006532,273,354,371,259,192
NM_000333,73,71,75,45,46
NM_002229,1031,271,192,149,238
NM_002228,1088,495,632,713,2317
NM_133372,136,183,98,87,107
NM_001009954,82,120,48,36,30
NM_001080495,1379,1106,1090,706,579
NM_002221,122,70,52,68,34
NM_002557,3,6,6,6,4
NM_002556,235,305,256,177,143
NM_001113756,17,29,20,15,11
NM_001317946,531,611,730,419,287
NM_001039469,237,249,223,151,171
NM_007001,89,80,83,54,38
NM_001004067,18,21,13,14,13
NM_001323027,14,17,15,8,8
NM_001039465,360,562,506,325,204
NM_000487,47,45,42,29,34
NM_001291978,327,379,387,244,215
NM_005686,91,68,51,31,28
NM_005687,535,663,479,337,298
NM_001348913,41,65,56,41,38
NM_005680,30,57,47,28,27
NM_001318966,311,289,282,182,140
NM_033109,272,437,341,237,232
NM_001130009,44,69,41,43,59
NM_000484,2090,2656,2358,1543,1170
NM_018053,61,64,49,24,31
NM_018052,311,300,354,196,167
NM_001177701,27,32,31,7,16
NM_033102,103,75,70,21,33
NM_033103,98,113,88,71,64
NM_033104,143,170,118,91,96
NM_033107,136,216,172,146,141
NM_002592,1028,1252,1009,639,473
NM_001206651,286,399,301,217,194
NM_001349205,190,231,154,138,142
NM_004586,212,278,209,140,142
NM_001287045,329,405,413,246,235
NM_005641,1943,1987,2006,1212,1013
NM_001353361,15,10,6,9,6
NM_013237,111,118,113,64,45
NM_001353366,141,162,167,111,125
NM_016034,383,404,368,202,171
NM_001300813,250,279,196,142,125
NM_001012968,28,39,32,18,16
NM_001256182,463,517,394,286,215
NM_004322,327,343,277,194,152
NM_001142353,83,75,65,60,34
NM_018292,110,169,146,83,82
NM_033360,18,23,7,6,8
NM_134442,118,130,129,95,124
NM_079834,105,105,110,61,83
NM_001270399,1094,1280,1064,623,431
NM_000138,368,435,251,148,194
NM_005647,95,101,98,65,65
NM_014911,78,106,69,45,61
NM_014912,41,39,38,24,32
NM_014913,761,887,461,268,297
NM_014915,23,46,19,23,25
NM_014916,1106,1126,819,611,632
NM_001323949,271,309,255,185,199
NM_005022,1628,1631,1503,787,730
NM_005023,47,56,42,24,33
NM_005027,551,509,471,289,234
NM_005025,70,109,56,57,36
NM_001005333,1546,1674,1552,896,725
NM_004328,303,313,321,200,177
NM_001185095,25,21,14,14,8
NM_001005339,150,186,137,85,68
NM_177401,234,205,197,108,102
NM_022778,342,362,326,212,156
NM_001287435,153,143,148,80,48
NM_020899,139,117,126,65,60
NM_014371,635,806,796,549,517
NM_001002814,64,87,59,44,47
NM_022917,616,621,649,461,476
NM_001316951,41,61,44,31,31
NM_001042697,56,48,38,24,20
NM_001856,45,38,46,22,27
NM_001855,38,53,43,28,15
NM_001853,831,753,793,528,547
NM_001852,340,369,383,249,212
NM_001171623,47,48,50,26,22
NM_001322811,23,28,17,7,10
NM_001859,102,122,70,49,51
NM_001858,469,609,493,419,429
NM_004442,14,14,10,4,12
NM_013233,216,293,239,153,154
NM_001348002,8,7,4,6,4
NM_001111298,3,4,2,4,2
NM_148962,53,48,65,22,22
NM_001288645,14,27,7,4,5
NM_001354609,62,64,56,50,48
NM_001350989,42,43,23,18,22
NM_182663,30,28,28,26,16
NM_206862,354,403,351,224,155
NM_001204517,97,115,61,50,35
NM_153261,11,11,14,10,4
NM_001354602,3,3,3,2,2
NM_001350984,297,351,319,289,246
NM_025248,50,42,50,26,25
NM_001148,433,614,344,229,273
NM_004319,25,32,31,13,12
NM_004318,316,363,305,225,216
NM_001286555,32,22,19,17,26
NM_001286554,71,83,56,35,62
NM_001300970,24,35,26,20,24
NM_001300750,51,31,38,26,22
NM_032038,331,325,324,219,218
NM_004316,3,1,3,2,3
NM_004642,198,223,211,116,99
NM_001330761,200,227,190,158,129
NM_001330765,195,227,218,139,111
NM_001201475,31,25,40,27,24
NM_001291303,121,129,113,80,81
NM_001348341,63,85,62,38,31
NM_022902,134,129,106,72,57
NM_022903,184,120,106,39,37
NM_016183,302,308,308,198,215
NM_032445,21,20,30,7,10
NM_022908,998,1090,1011,570,395
NM_022909,101,109,118,80,65
NM_017858,125,170,117,103,97
NM_001320642,2070,2399,2383,1480,1162
NM_001686,4205,4751,3993,2495,1939
NM_017854,518,488,460,259,205
NM_017856,20,26,20,8,9
NM_001687,389,367,403,260,152
NM_182931,136,212,169,125,132
NM_001351277,330,343,261,150,173
NM_025027,20,34,27,12,20
NM_001875,101,146,95,56,57
NM_001353259,361,510,412,316,260
NM_016329,156,186,147,115,102
NM_001348163,20,15,18,12,19
NM_016320,1250,1539,1330,896,768
NM_016451,688,1072,642,538,457
NM_016322,120,192,163,103,90
NM_016457,369,369,381,214,164
NM_024993,42,43,25,22,11
NM_017777,144,146,160,112,89
NM_015989,12,19,11,8,8
NM_001354975,17,40,18,14,12
NM_015987,18,16,17,10,13
NM_015981,2,3,4,6,4
NM_015983,42,41,38,15,27
NM_138468,12,18,13,20,18
NM_017588,286,333,243,150,165
NM_138461,16,7,8,8,9
NM_138463,59,53,32,16,11
NM_017585,216,209,149,113,97
NM_017582,400,480,475,290,304
NM_017583,179,203,183,135,84
NM_017580,671,860,598,414,382
NM_138466,109,68,87,27,26
NM_000155,88,104,107,54,57
NM_000154,510,487,498,316,250
NM_001161581,152,187,151,98,65
NM_024036,706,572,503,274,235
NM_001287603,391,417,469,273,237
NM_001303405,208,217,199,150,136
NM_024037,72,77,53,31,30
NM_000817,17,10,16,14,6
NM_024031,54,55,38,28,32
NM_001352650,601,1088,809,697,613
NM_000152,659,704,872,592,516
NM_001293237,229,211,293,177,134
NM_145276,8,8,5,5,14
NM_006640,4463,4601,4357,2606,1999
NM_001308231,10,5,6,5,6
NM_006646,85,106,74,43,39
NM_006645,153,120,119,77,57
NM_006644,162,213,156,99,89
NM_006649,119,156,151,101,91
NM_001317395,191,222,197,152,112
NM_001351580,477,636,553,404,288
NM_002940,146,235,147,96,152
NM_001166305,50,72,60,39,37
NM_001166304,86,48,65,44,28
NM_138803,1,4,1,1,2
NM_138802,185,219,237,130,112
NM_138801,74,107,68,45,44
NM_002947,150,214,164,89,60
NM_001184783,80,115,98,56,44
NM_001292018,108,132,102,94,67
NM_031420,370,374,367,213,206
NM_138809,11,9,6,4,7
NM_177983,1476,1664,1541,953,641
NM_177980,5,5,8,5,1
NM_001172509,175,180,166,100,110
NM_001080543,735,730,853,559,499
NM_003255,536,569,569,346,281
NM_139015,65,105,80,53,34
NM_001320410,15,10,8,11,4
NM_001242397,36,35,29,30,19
NM_001320417,46,56,42,28,23
NM_001324027,22,26,25,12,11
NM_001102450,6,14,4,1,3
NM_001320415,29,45,26,16,16
NM_001123355,234,302,277,158,162
NM_021821,228,259,208,159,149
NM_003249,1447,1571,1489,984,794
NM_021823,42,36,33,26,15
NM_021824,182,207,147,109,78
NM_001321532,38,49,38,23,25
NM_003549,66,60,46,21,23
NM_078469,312,497,405,289,251
NM_145858,28,40,27,17,17
NM_003546,768,1062,1067,563,404
NM_003545,4690,6883,5914,3250,1909
NM_003544,3191,5138,4458,2445,1634
NM_003543,3691,5138,4475,2505,1652
NM_003542,5682,8119,9078,5230,3227
NM_001145210,7,5,5,2,2
NM_003540,3,6,5,7,3
NM_024613,42,38,34,25,18
NM_022304,3,9,6,6,3
NM_001260491,47,75,81,50,56
NM_002499,146,182,114,81,79
NM_001318872,77,78,57,39,35
NM_014748,875,898,814,505,439
NM_001286491,8,3,5,2,4
NM_014213,18,17,21,11,7
NM_014212,34,28,22,17,9
NM_014747,300,264,242,168,144
NM_014216,194,166,187,122,105
NM_014743,122,176,94,73,71
NM_014742,338,336,313,216,210
NM_005236,92,98,84,62,66
NM_005234,1595,1265,1118,621,529
NM_005233,279,423,393,247,203
NM_152464,107,116,127,91,72
NM_005231,370,510,507,281,257
NM_005230,84,108,115,61,68
NM_032194,57,87,63,58,38
NM_018846,55,108,70,50,51
NM_005238,107,141,146,103,91
NM_001319652,82,136,76,68,72
NM_001319658,21,18,23,12,6
NM_001314026,13,27,27,14,7
NM_001330393,223,246,188,111,106
NM_052943,198,135,113,52,44
NM_052945,9,13,12,9,8
NM_052947,164,276,240,210,150
NM_001320875,138,234,136,122,109
NM_032830,348,398,374,258,163
NM_153711,28,33,29,16,14
NM_015175,237,224,218,146,192
NM_001204410,695,777,752,530,438
NM_032772,57,47,50,28,26
NM_032773,181,187,163,133,143
NM_015995,243,197,167,83,115
NM_032776,267,600,425,354,340
NM_032777,187,162,166,107,88
NM_001145312,122,132,124,88,81
NM_001679,162,215,143,87,59
NM_001080826,108,86,88,54,39
NM_001318063,14,9,10,9,7
NM_015042,551,593,506,315,254
NM_001040177,38,41,40,25,31
NM_001352117,120,176,152,106,79
NM_018195,45,77,43,37,41
NM_212482,14086,16632,16570,10809,8556
NM_001098615,49,62,33,28,33
NM_022753,56,69,57,43,33
NM_022750,181,178,209,144,169
NM_022756,154,192,184,118,102
NM_153713,307,282,320,203,161
NM_001321478,48,78,92,70,52
NM_001033723,76,74,63,43,46
NM_015168,441,462,619,368,338
NM_015169,172,149,127,70,68
NM_018918,3,1,1,1,1
NM_018192,49,57,60,36,45
NM_001220488,600,728,620,401,320
NM_018914,3,5,3,2,3
NM_001306147,650,910,773,562,512
NM_018911,6,3,7,1,5
NM_015164,595,593,637,429,357
NM_018913,31,38,33,15,15
NM_020883,8,5,9,6,9
NM_001282866,60,85,83,47,31
NM_020884,1,4,2,3,2
NM_001329791,82,92,80,60,47
NM_014616,250,330,167,130,143
NM_001289936,599,537,544,367,312
NM_001282860,267,305,312,235,226
NM_019063,498,634,356,202,282
NM_001113567,29,32,34,27,33
NM_019066,112,102,86,42,32
NM_019065,5,8,11,12,3
NM_019069,11,14,12,6,8
NM_001310338,79,131,102,74,83
NM_014612,901,810,775,508,569
NM_001258394,253,272,327,208,174
NM_025099,92,93,89,58,51
