AccNum,cdReads0_RPF_2,cdReads1_RPF_2,cdReads2_RPF_2,cdReads3_RPF_2,cdReads4_RPF_2
chrE,4081,9163,49562,63988,53927
NM_017847,178,189,83,44,55
NM_001003803,108,121,51,28,23
NM_001003800,516,576,300,274,278
NM_016649,261,194,88,83,66
NM_016647,109,95,74,44,28
NM_016644,15,21,7,6,6
NM_016640,413,368,158,131,114
NM_001304464,2,4,3,1,4
NM_003279,118,80,36,39,32
NM_001304467,55,58,23,15,19
NM_001080825,56,75,23,23,26
NM_001008781,1008,973,441,321,289
NM_002223,37,48,17,9,9
NM_001253384,122,147,55,42,32
NM_001145313,23,26,16,9,8
NM_003363,302,347,155,106,110
NM_207118,154,164,54,40,41
NM_001282735,1681,1837,792,1034,924
NM_001282730,224,246,141,89,61
NM_004109,91,88,43,18,15
NM_004101,57,61,33,23,20
NM_007101,38,35,25,27,9
NM_007100,331,294,128,77,71
NM_000485,475,471,212,143,90
NM_007108,923,886,343,296,264
NM_016643,80,60,39,29,24
NM_001350532,242,256,101,57,55
NM_001350531,21,17,4,5,4
NM_001350530,414,479,222,210,204
NM_014177,101,106,52,38,33
NM_020992,44,75,21,14,22
NM_005802,453,298,96,66,69
NM_003824,158,146,83,49,46
NM_003825,347,351,120,90,83
NM_003826,214,225,94,66,66
NM_003827,671,761,325,200,219
NM_003821,91,104,35,40,25
NM_003795,611,655,261,183,152
NM_003823,1,2,1,2,1
NM_012181,779,638,279,256,249
NM_012180,60,49,31,16,13
NM_012183,3,1,4,1,4
NM_001018088,227,202,64,48,49
NM_020437,28,48,24,15,17
NM_020733,142,227,102,63,68
NM_020731,26,62,39,35,28
NM_001025780,193,138,55,33,33
NM_001300829,1321,1087,411,352,332
NM_002224,383,541,323,310,269
NM_175856,41,63,22,20,6
NM_001688,1019,1088,413,295,280
NM_014171,292,354,112,78,63
NM_001867,567,627,231,156,115
NM_144643,111,150,64,58,65
NM_001161546,484,374,177,134,94
NM_144641,30,41,23,9,10
NM_000159,199,236,130,105,79
NM_000158,288,253,103,64,70
NM_144648,5,6,6,5,1
NM_021020,550,862,519,334,245
NM_021021,418,625,302,233,166
NM_001347869,33,31,11,10,10
NM_021025,18,16,10,2,10
NM_015225,187,146,50,44,34
NM_001143679,165,175,78,40,43
NM_001297658,164,175,84,67,50
NM_001286495,20,15,6,7,5
NM_023009,2901,3180,1213,729,683
NM_173531,153,116,59,32,29
NM_001286499,30,33,16,13,16
NM_001297656,1409,1342,497,432,373
NM_006885,249,434,329,296,183
NM_002226,307,400,290,172,110
NM_001282864,12,32,9,9,5
NM_152695,26,22,14,17,9
NM_015259,19,25,17,3,7
NM_001319119,348,389,166,90,106
NM_001193653,254,317,171,113,68
NM_182976,584,607,215,179,167
NM_006270,194,183,71,50,54
NM_003355,72,141,101,46,43
NM_001002030,291,314,110,66,54
NM_001170704,70,51,24,16,12
NM_003358,1461,1527,516,386,424
NM_003359,818,545,171,125,130
NM_004813,88,107,75,42,31
NM_004814,1253,1099,428,292,270
NM_004815,54,107,76,49,61
NM_020199,313,365,151,99,90
NM_004817,358,406,189,143,105
NM_004818,431,368,183,204,186
NM_020196,1324,1528,938,650,461
NM_020195,157,168,88,55,37
NM_014314,182,132,56,33,33
NM_020191,438,472,167,131,116
NM_001303098,47,74,50,30,17
NM_005663,390,419,198,169,151
NM_032961,126,163,103,88,97
NM_001303095,174,181,87,59,54
NM_001303096,1058,857,322,272,247
NM_014313,340,334,125,80,76
NM_003688,177,276,121,80,69
NM_003689,330,366,140,88,70
NM_003680,941,1100,450,316,318
NM_003681,304,398,175,134,127
NM_003682,292,356,167,127,106
NM_003684,158,133,39,31,42
NM_003685,2135,2902,1193,1053,1066
NM_003687,567,655,249,157,153
NM_006416,61,45,20,16,7
NM_006417,459,365,161,140,97
NM_003172,154,184,75,53,35
NM_001324229,21,18,13,2,11
NM_006411,218,216,95,81,83
NM_001128844,3365,3997,2362,2126,1666
NM_001127325,297,302,125,99,102
NM_001127322,1025,781,232,204,172
NM_002460,6,9,7,6,1
NM_001098398,2291,1898,771,594,469
NM_001257360,816,1037,592,414,289
NM_002887,822,751,290,236,206
NM_002886,109,136,74,63,56
NM_002881,314,308,121,100,100
NM_001346791,134,126,47,44,33
NM_024298,346,412,299,182,105
NM_024299,469,336,142,94,103
NM_001323684,119,148,55,38,31
NM_024292,740,758,315,181,149
NM_024293,165,222,118,76,57
NM_024294,269,188,77,70,93
NM_002014,988,901,343,265,238
NM_024297,181,129,59,73,45
NM_001077269,370,341,136,127,121
NM_032505,29,21,5,6,12
NM_032504,30,26,21,35,37
NM_032501,76,94,32,25,18
NM_001469,2063,1784,600,578,513
NM_032508,41,38,21,12,14
NM_002010,8,3,1,3,1
NM_004104,10925,12897,7041,5420,3733
NM_001077268,104,90,34,34,42
NM_001303115,1023,1063,455,315,248
NM_002087,1910,1878,907,591,503
NM_002086,870,949,438,301,216
NM_002081,1689,2707,2242,1117,727
NM_002080,550,599,210,168,142
NM_001104595,83,78,50,26,28
NM_002089,2,3,2,3,2
NM_002088,32,44,30,24,24
NM_001329684,91,83,31,22,19
NM_001288726,143,130,42,30,25
NM_014008,97,117,70,41,33
NM_014007,111,85,35,24,22
NM_001461,4,1,2,1,1
NM_014002,16,12,13,6,8
NM_014003,548,498,269,266,281
