AccNum,GeneName
chrE,chrE
NM_017847,ODR4
NM_001003803,ATP5S
NM_001003800,BICD2
NM_016649,ESF1
NM_016647,THEM6
NM_016644,PRR16
NM_001143989,NBPF4
NM_016640,MRPS30
NM_003279,TNNC2
NM_001304467,EEF1AKMT2
NM_001080825,TMEM120B
NM_001008781,FAT3
NM_002223,ITPR2
NM_001253384,RPL15
NM_001145313,FSD1L
NM_003363,USP4
NM_207118,GTF2H5
NM_001282735,SPATS2L
NM_001007531,NKAPL
NM_001282730,SUPT7L
NM_004109,FDX1
NM_004101,F2RL2
NM_007101,SARDH
NM_007100,ATP5ME
NM_181435,C1QTNF3
NM_000485,APRT
NM_007108,ELOB
NM_016643,ZNF771
NM_001350532,SNX14
NM_001350531,LARP1B
NM_001350530,MIER1
NM_014177,TIMM21
NM_020992,PDLIM1
NM_005802,TOPORS
NM_003824,FADD
NM_003825,SNAP23
NM_003826,NAPG
NM_003827,NAPA
NM_003820,TNFRSF14
NM_003821,RIPK2
NM_003795,SNX3
NM_003823,TNFRSF6B
NM_012181,FKBP8
NM_012180,FBXO8
NM_012183,FOXD3
NM_001018088,VPS13C
NM_020437,ASPHD2
NM_020733,HEG1
NM_020731,AHRR
NM_001025780,ABHD17B
NM_001300829,CIRBP
NM_002224,ITPR3
NM_175856,CHSY3
NM_001688,ATP5PB
NM_014171,CRIPT
NM_001867,COX7C
NM_144643,SCLT1
NM_001161546,PROB1
NM_144641,PPM1M
NM_133447,AGAP11
NM_001008783,SLC35D3
NM_000159,GCDH
NM_000158,GBE1
NM_144648,LRGUK
NM_021020,LZTS1
NM_021021,SNTB1
NM_001347869,ZNF174
NM_021025,TLX3
NM_015225,PRUNE2
NM_001143679,GSTK1
NM_001297658,TSSC4
NM_001286495,FAM214A
NM_023009,MARCKSL1
NM_173531,ZNF100
NM_001286499,PIF1
NM_001297656,KIF2C
NM_001297650,CD163L1
NM_006885,ZFHX3
NM_002226,JAG2
NM_001282864,SLC2A11
NM_152695,ZNF449
NM_015259,ICOSLG
NM_001319119,DNPEP
NM_001193653,C17orf62
NM_182976,ZNF326
NM_006270,RRAS
NM_006271,S100A1
NM_003356,UCP3
NM_003355,UCP2
NM_001002030,ECHDC1
NM_001170704,MBNL3
NM_003358,UGCG
NM_003359,UGDH
NM_004813,PEX16
NM_004814,SNRNP40
NM_004815,ARHGAP29
NM_020199,C5orf15
NM_004817,TJP2
NM_004818,DDX23
NM_020196,XAB2
NM_020195,SDR39U1
NM_014314,DDX58
NM_020191,MRPS22
NM_001303098,TMEM198
NM_005663,NELFA
NM_032961,PCDH10
NM_001303095,ISG20L2
NM_001303096,WDR75
NM_014313,TMEM50A
NM_003688,CASK
NM_003689,AKR7A2
NM_003680,YARS
NM_003681,PDXK
NM_003682,MADD
NM_003684,MKNK1
NM_003685,KHSRP
NM_003687,PDLIM4
NM_006416,SLC35A1
NM_006417,IFI44
NM_003172,SURF1
NM_001324229,STOML1
NM_006411,AGPAT1
NM_001128844,SMARCA4
NM_001127325,MAD2L2
NM_001127322,CBX5
NM_002460,IRF4
NM_001098398,COPA
NM_001257360,AMPD2
NM_002887,RARS
NM_002886,RAP2B
NM_002881,RALB
NM_001346791,TSR2
NM_024298,MBOAT7
NM_024299,PPDPF
NM_001323684,NRSN2
NM_024292,UBL5
NM_024293,RETREG2
NM_024294,C6orf106
NM_002014,FKBP4
NM_024297,PHF23
NM_001077269,WIPF1
NM_032505,KBTBD8
NM_032504,UNC80
NM_032501,ACSS1
NM_001469,XRCC6
NM_032508,TMEM185A
NM_002010,FGF9
NM_004104,FASN
NM_001077268,ZFYVE19
NM_001303115,TUBA1C
NM_002087,GRN
NM_002086,GRB2
NM_002081,GPC1
NM_002080,GOT2
NM_001104595,FAM118A
NM_002088,GRIK5
NM_001329684,OARD1
NM_001288726,ELP4
NM_014008,CCDC22
NM_014007,ZBTB43
NM_014002,IKBKE
NM_014003,DHX38
NM_014000,VCL
NM_015351,TTC9
NM_018230,NUP133
NM_015352,POFUT1
NM_015355,SUZ12
NM_015354,NUP188
NM_005006,NDUFS1
NM_005642,TAF7
NM_018238,AGK
NM_006532,ELL
NM_000333,ATXN7
NM_002229,JUNB
NM_002228,JUN
NM_133372,FNIP1
NM_001009954,ERCC6L
NM_001080495,TNRC18
NM_002221,ITPKB
NM_002557,OVGP1
NM_002556,OSBP
NM_001113756,TYMP
NM_001317946,SMARCB1
NM_001039469,MARK2
NM_007001,SLC35D2
NM_001004067,NOMO3
NM_001323027,IQCG
NM_001039465,SRSF5
NM_000487,ARSA
NM_001291978,NOP14
NM_005686,SOX13
NM_005687,FARSB
NM_001348913,DYNC2LI1
NM_005680,TAF1B
NM_001318966,EIF2B4
NM_033109,PNPT1
NM_001130009,GEN1
NM_000484,APP
NM_018053,XKR8
NM_018052,VAC14
NM_001177701,IFT27
NM_033102,SLC45A3
NM_033103,RHPN2
NM_033104,STON2
NM_033107,GTPBP10
NM_002592,PCNA
NM_001206651,SH3GLB1
NM_001349205,LPIN1
NM_004586,RPS6KA3
NM_001287045,SH3GLB2
NM_005641,TAF6
NM_001353361,GPR137C
NM_013237,PRELID1
NM_001353366,NOM1
NM_016034,MRPS2
NM_001300813,SEC24B
NM_001012968,SPIN4
NM_001256182,ANKRD11
NM_004322,BAD
NM_001142353,PPP3CB
NM_018292,QRSL1
NM_033360,KRAS
NM_134442,CREB1
NM_079834,SCAMP4
NM_001270399,TUBA1A
NM_000138,FBN1
NM_005647,TBL1X
NM_014911,AAK1
NM_014912,CPEB3
NM_014913,ADNP2
NM_014915,ANKRD26
NM_014916,LMTK2
NM_001323949,MBD1
NM_005022,PFN1
NM_005023,PGGT1B
NM_005027,PIK3R2
NM_005025,SERPINI1
NM_001005333,MAGED1
NM_004328,BCS1L
NM_001185095,AIF1L
NM_001005339,RGS10
NM_177401,MIDN
NM_022778,CEP85
NM_001287435,CEBPA
NM_020899,ZBTB4
NM_014371,AKAP8L
NM_001002814,RAB11FIP1
NM_022917,NOL6
NM_001316951,GPALPP1
NM_001042697,ZSWIM7
NM_001856,COL16A1
NM_001855,COL15A1
NM_001853,COL9A3
NM_001852,COL9A2
NM_001171623,VEGFA
NM_001322811,GDPGP1
NM_001859,SLC31A1
NM_001858,COL19A1
NM_004442,EPHB2
NM_013233,STK39
NM_001348002,CCDC171
NM_001111298,PPIL6
NM_148962,OXER1
NM_001288645,ZNF286A
