AccNum	rna_0_1	rna_1_1	rna_2_1	rna_3_1	rna_4_1	rna_5_1	rna_6_1	rna_0_2	rna_1_2	rna_2_2	rna_3_2	rna_4_2	rna_5_2	rna_6_2	rpf_0_1	rpf_1_1	rpf_2_1	rpf_3_1	rpf_4_1	rpf_5_1	rpf_6_1	rpf_0_2	rpf_1_2	rpf_2_2	rpf_3_2	rpf_4_2	rpf_5_2	rpf_6_2
NM_001001144	451	1472	1941	806	1853	929	1620	6534	8465	5966	7252	4529	2691	3989	237	1372	367	410	167	299	190	338	401	26	113	71	102	88
NM_001001181	18	61	85	36	57	41	67	164	149	125	180	130	66	99	114	707	344	248	195	282	147	239	231	18	95	84	100	127
NM_001001182	21	26	38	18	38	48	37	173	53	76	91	73	40	64	232	313	47	65	31	90	28	333	98	13	11	21	21	33
NM_001001493	26	67	80	19	49	20	48	249	265	230	181	74	74	139	73	718	308	93	69	120	73	126	163	23	47	35	41	40
NM_001001565	477	833	841	226	535	253	725	5759	4408	2468	2567	1511	931	1802	489	1497	297	335	144	361	164	664	441	33	95	80	93	150
NM_001001892	199	698	1601	1074	2840	2721	4567	2759	4557	4167	10795	7293	7757	10765	510	3253	1836	4360	3189	9670	6189	1057	1147	208	1281	1385	2486	2751
NM_001001932	16	34	76	12	33	46	44	106	37	52	77	56	39	96	572	1402	201	206	133	263	146	659	401	15	59	62	79	141
NM_001001983	188	452	504	225	586	359	684	2123	1554	1104	1461	1025	600	1094	1675	3859	571	892	471	710	484	2355	1190	52	224	209	203	261
NM_001001984	65	141	214	83	254	188	229	556	365	392	524	333	250	421	548	1051	121	220	107	245	130	783	339	11	60	41	58	74
NM_001002004	223	1656	3869	2010	5031	2548	4543	2431	4638	7511	13853	7041	3947	6482	163	1395	579	874	327	551	328	279	443	52	265	150	150	189
NM_001002011	5243	3189	1062	550	1112	522	989	59362	16985	2267	4311	1854	1647	1947	11339	9824	469	785	434	1009	491	13702	2717	106	229	170	240	242
NM_001002929	109	160	212	89	139	76	173	1222	760	361	515	389	189	404	534	1474	170	237	97	220	99	667	359	18	54	59	80	99
NM_001003908	391	893	1008	354	580	703	637	4254	2380	1789	2309	1035	846	1699	19579	38595	3785	5195	2112	4071	2702	33279	15672	427	1421	989	1571	2039
NM_001003918	47	129	138	64	142	146	144	467	306	261	352	249	172	308	796	2122	273	290	177	339	212	1078	636	34	86	106	92	176
NM_001003934	120	602	2407	702	1553	1140	1560	1220	1834	6425	6549	3700	1979	3739	1409	10018	7214	6998	3538	4980	3415	2068	3116	493	2065	1938	1954	2563
NM_001003949	551	1629	3296	1426	3364	1695	2639	7310	9786	9889	13389	8558	4924	5686	714	4366	1832	2318	1020	1400	1041	984	1225	122	589	462	580	505
NM_001004140	47	69	40	30	26	48	54	365	95	54	83	49	58	76	1361	1832	132	197	92	224	137	2088	545	23	47	49	68	99
NM_001004143	130	167	195	110	282	175	268	969	591	407	595	381	260	457	603	946	204	301	196	372	276	831	245	23	66	66	73	106
NM_001004164	61	970	1883	547	1128	608	896	560	2503	3608	4455	2150	1356	1936	296	6878	2219	2243	859	905	694	479	2176	147	797	517	614	505
NM_001004436	17	33	175	43	131	114	97	122	79	164	244	160	81	162	277	982	219	334	211	261	169	456	339	22	77	87	76	103
