sample_name	time	assay	cond
rna_cyt_0_r1	t0	rna	a
rna_cyt_1_r1	t1	rna	a
rna_cyt_2_r1	t2	rna	a
rna_cyt_3_r1	t3	rna	a
rna_cyt_4_r1	t4	rna	a
rna_cyt_5_r1	t5	rna	a
rna_cyt_6_r1	t6	rna	a
rna_cyt_0_r2	t0	rna	a
rna_cyt_1_r2	t1	rna	a
rna_cyt_2_r2	t2	rna	a
rna_cyt_3_r2	t3	rna	a
rna_cyt_4_r2	t4	rna	a
rna_cyt_5_r2	t5	rna	a
rna_cyt_6_r2	t6	rna	a
rpf_cyt_0_r1	t0	rpf	a
rpf_cyt_1_r1	t1	rpf	a
rpf_cyt_2_r1	t2	rpf	a
rpf_cyt_3_r1	t3	rpf	a
rpf_cyt_4_r1	t4	rpf	a
rpf_cyt_5_r1	t5	rpf	a
rpf_cyt_6_r1	t6	rpf	a
rpf_cyt_0_r2	t0	rpf	a
rpf_cyt_1_r2	t1	rpf	a
rpf_cyt_2_r2	t2	rpf	a
rpf_cyt_3_r2	t3	rpf	a
rpf_cyt_4_r2	t4	rpf	a
rpf_cyt_5_r2	t5	rpf	a
rpf_cyt_6_r2	t6	rpf	a
rna_cru_0_r1	t0	rna	b
rna_cru_1_r1	t1	rna	b
rna_cru_2_r1	t2	rna	b
rna_cru_3_r1	t3	rna	b
rna_cru_4_r1	t4	rna	b
rna_cru_5_r1	t5	rna	b
rna_cru_6_r1	t6	rna	b
rna_cru_0_r2	t0	rna	b
rna_cru_1_r2	t1	rna	b
rna_cru_2_r2	t2	rna	b
rna_cru_3_r2	t3	rna	b
rna_cru_4_r2	t4	rna	b
rna_cru_5_r2	t5	rna	b
rna_cru_6_r2	t6	rna	b
rpf_cru_0_r1	t0	rpf	b
rpf_cru_1_r1	t1	rpf	b
rpf_cru_2_r1	t2	rpf	b
rpf_cru_3_r1	t3	rpf	b
rpf_cru_4_r1	t4	rpf	b
rpf_cru_5_r1	t5	rpf	b
rpf_cru_6_r1	t6	rpf	b
rpf_cru_0_r2	t0	rpf	b
rpf_cru_1_r2	t1	rpf	b
rpf_cru_2_r2	t2	rpf	b
rpf_cru_3_r2	t3	rpf	b
rpf_cru_4_r2	t4	rpf	b
rpf_cru_5_r2	t5	rpf	b
rpf_cru_6_r2	t6	rpf	b
