AccNum GeneName cdReads0 cdRPKM0 cdReads1 cdRPKM1 cdReads2 cdRPKM2 cdReads3 cdRPKM3 cdReads4 cdRPKM4
NM_017847 ODR4 50.0 6.64234888128 62.0 5.5918756068599995 71.0 6.00464467131 30.0 5.369987565340001 51.0 8.507454167539999
NM_001143986 TLE6 4.0 0.421957241324 6.0 0.429708394042 3.0 0.201468426034 3.0 0.426412625171 3.0 0.397381341364
NM_001003803 ATP5S 29.0 8.11535124893 52.0 9.87931428154 52.0 9.263816700780001 19.0 7.164126929369999 22.0 7.73053887228
NM_001003800 BICD2 778.0 54.9375018805 1155.0 55.3713903432 1444.0 64.9133151563 706.0 67.1729402497 883.0 78.2938730901
NM_016649 ESF1 17.0 1.20606968537 26.0 1.25230744414 10.0 0.45164870155500003 9.0 0.860332514869 20.0 1.7816862957900002
NM_016647 THEM6 170.0 49.1660943509 182.0 35.7357014203 219.0 40.3216401558 91.0 35.4616164502 99.0 35.9525539897
NM_016644 PRR16 29.0 6.2160137225900005 43.0 6.25743801466 39.0 5.321767040869999 13.0 3.75454804361 9.0 2.42233519789
NM_016642 SPTBN5 4.0 0.0657908841574 3.0 0.0334997156171 4.0 0.04188350407890001 2.0 0.04432370688849999 2.0 0.0413060333064
NM_016640 MRPS30 255.0 35.030842225 348.0 32.45665629 411.0 35.944256618400004 205.0 37.9458780422 241.0 41.5724102826
NM_003279 TNNC2 57.0 21.3999153088 135.0 34.4100339763 132.0 31.5492047029 50.0 25.293419691799997 37.0 17.4428194995
NM_001304467 EEF1AKMT2 44.0 12.428020990999999 51.0 9.779881930750001 40.0 7.1926110976499995 16.0 6.08933169403 33.0 11.7041803487
NM_001080825 TMEM120B 43.0 7.64456210954 52.0 6.2762702494500004 49.0 5.545714703680001 40.0 9.58174251854 39.0 8.706157681830001
NM_001008781 FAT3 1858.0 24.6396459884 2553.0 22.9854866419 2091.0 17.6530630667 923.0 16.4926636527 1163.0 19.3662811543
NM_002223 ITPR2 27.0 0.604006336096 46.0 0.698633965591 31.0 0.441485770002 10.0 0.301424172493 15.0 0.42135364286
NM_001253384 RPL15 100.0 41.4009416573 147.0 41.318228012 121.0 31.8913479046 60.0 33.4704704415 67.0 34.8307467496
NM_001145313 FSD1L 13.0 1.47983026865 24.0 1.8547865144 17.0 1.2319547633399999 7.0 1.07366041404 18.0 2.57287580341
NM_003363 USP4 57.0 3.57405224556 101.0 4.29953559619 145.0 5.78803740561 55.0 4.64674753882 82.0 6.45621013324
NM_207118 GTF2H5 18.0 15.1113437049 32.0 18.2387340582 35.0 18.7057837227 15.0 16.9676690433 21.0 22.1374522252
NM_001282735 SPATS2L 1363.0 147.38290855 1935.0 142.05167872299998 1969.0 135.542118416 764.0 111.312765502 880.0 119.484536416
NM_001282730 SUPT7L 128.0 18.7336754889 204.0 20.270166907300002 218.0 20.3117247535 130.0 25.6363813147 141.0 25.9125348772
NM_004109 FDX1 52.0 16.9900513007 77.0 17.080327976099998 81.0 16.848205509 43.0 18.9304156245 39.0 16.0005060098
NM_004101 F2RL2 26.0 4.19087932083 36.0 3.9395665565800004 41.0 4.20719798472 17.0 3.69216478381 25.0 5.05998908004
NM_007101 SARDH 53.0 3.48596829754 79.0 3.5276767996199996 115.0 4.81529268534 46.0 4.07667173531 65.0 5.36832356152
NM_007100 ATP5ME 150.0 129.525803185 203.0 119.00773973 214.0 117.640292081 85.0 98.897270995 80.0 86.7426699435
NM_181435 C1QTNF3 1.0 0.18889179631099998 3.0 0.384723296541 5.0 0.601257333945 2.0 0.509030071298 5.0 1.18593494063
NM_000485 APRT 335.0 111.874036268 448.0 101.572618402 517.0 109.91382688200001 230.0 103.493406761 258.0 108.188716794
NM_007108 ELOB 726.0 368.767580833 994.0 342.780913624 1194.0 386.09815488 520.0 355.893293546 486.0 309.977482298
NM_016643 ZNF771 160.0 30.412767204899996 168.0 21.6800046352 213.0 25.774654013600003 97.0 24.8432286369 77.0 18.378262224700002
NM_001350532 SNX14 112.0 6.9936797312 212.0 8.987475357200001 196.0 7.791499996900001 54.0 4.54340890084 95.0 7.448847561010001
NM_001350531 LARP1B 14.0 1.3326539330299998 13.0 0.840130663312 8.0 0.48479331492899996 3.0 0.384778636571 6.0 0.717163806619
NM_001350530 MIER1 126.0 12.630376828 255.0 17.3540193464 177.0 11.295262154100001 79.0 10.6702157566 120.0 15.104445015
NM_014177 TIMM21 64.0 15.536160596199998 83.0 13.679050543699999 88.0 13.5995233124 44.0 14.391854224600001 52.0 15.8505682025
