AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	121.0	3.82353337835	62.0	5.59187560686
NM_001143986	7.0	0.429173398531	6.0	0.429708394042
NM_001143987	0.0	-	0.0	-
NM_001143980	2.0	0.112379237693	2.0	0.122865723446
NM_001003803	82.0	5.47162021747	52.0	9.87931428154
NM_001003800	1688.0	32.3896720479	1155.0	55.3713903432
NM_016649	30.0	1.14842775087	26.0	1.25230744414
NM_016647	479.0	26.0469906775	182.0	35.7357014203
NM_016644	75.0	4.93762519624	43.0	6.25743801466
NM_017417	1.0	0.0576634449148	1.0	0.0643215542806
NM_016642	3.0	0.0315051066006	3.0	0.0334997156171
NM_001143989	1.0	0.0492642876723	0.0	-
NM_016640	367.0	27.022669824	348.0	32.45665629
NM_001304464	216.0	16.4351509622	3.0	1.44837005756
NM_003279	193.0	34.8906179065	135.0	34.4100339763
NM_001012980	0.0	-	0.0	-
NM_001304467	224.0	7.53469013553	51.0	9.77988193075
NM_001080825	265.0	4.34414587838	52.0	6.27627024945
NM_001008781	2665.0	17.2253912579	2553.0	22.9854866419
NM_017419	0.0	-	0.0	-
NM_001040	1.0	0.0933369635277	1.0	0.101829160375
NM_002223	59.0	0.577253106468	46.0	0.698633965591
NM_001143981	0.0	-	0.0	-
NM_001253384	184.0	5.61678842061	147.0	41.318228012
NM_001145313	46.0	0.732616678535	24.0	1.8547865144
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	126.0	3.76505905741	101.0	4.29953559619
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	93.0	1.52943698972	32.0	18.2387340582
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	2571.0	49.5103316956	1935.0	142.051678723
NM_001355213	0.0	-	0.0	-
NM_001007531	3.0	0.222222842767	3.0	0.305487481124
NM_001282730	334.0	8.68410262603	204.0	20.2701669073
NM_004108	0.0	-	0.0	-
NM_004109	130.0	5.07273823648	77.0	17.0803279761
NM_004106	2.0	0.416620828741	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	79.0	2.83633856417	36.0	3.93956655658
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	90.0	3.2810278177	79.0	3.52767679962
NM_007100	408.0	137.614996154	203.0	119.00773973
NM_000334	4.0	0.0630936347946	2.0	0.0446784448895
NM_007105	0.0	-	0.0	-
NM_181435	4.0	0.128710355351	3.0	0.384723296541
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	724.0	110.44943413	448.0	101.572618402
NM_007108	1156.0	143.754385713	994.0	342.780913624
NM_000483	1.0	0.168877167206	1.0	0.40232501599
NM_000482	0.0	-	0.0	-
NM_000481	1.0	0.0559089259278	1.0	0.101577107998
NM_016643	202.0	17.0917621226	168.0	21.6800046352
NM_030615	0.0	-	0.0	-
NM_001350532	265.0	8.55837763553	212.0	8.9874753572
NM_001350531	46.0	1.30727768354	13.0	0.840130663312
NM_001350530	407.0	8.84958709669	255.0	17.3540193464
NM_001320272	6.0	0.223027997995	2.0	0.184436636544
NM_030613	0.0	-	0.0	-
NM_014177	145.0	11.6370019293	83.0	13.6790505437
NM_020992	36.0	2.80507112414	27.0	3.35758513345
NM_005802	186.0	5.48735456748	169.0	6.63028549296
NM_005258	7.0	1.2086678601	5.0	2.41395009594
NM_001012964	0.0	-	0.0	-
NM_003824	344.0	22.8550137524	157.0	30.8269512252
