AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	121.0	3.80762639422	62.0	5.56861181713
NM_001143986	TLE6	7.0	0.427387915376	6.0	0.427920685153
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	2.0	0.111911708167	2.0	0.122354567162
NM_001003803	ATP5S	82.0	5.44885672429	52.0	9.83821352996
NM_001003800	BICD2	1688.0	32.2549218186	1155.0	55.1410296427
NM_016649	ESF1	30.0	1.14364996545	26.0	1.24709748971
NM_016647	THEM6	479.0	25.938627803	182.0	35.5870307591
NM_016644	PRR16	75.0	4.91708327392	43.0	6.23140529639
NM_017417	GALNT8	1.0	0.0574235486166	1.0	0.0640539583576
NM_016642	SPTBN5	3.0	0.0313740364147	3.0	0.0333603472916
NM_001143989	NBPF4	1.0	0.0490593342523	0.0	-
NM_016640	MRPS30	367.0	26.9102478474	348.0	32.3216273873
NM_001304464	SNRPE	216.0	16.3667760692	3.0	1.44234442702
NM_003279	TNNC2	193.0	34.7454630326	135.0	34.266878468
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	224.0	7.5033436859	51.0	9.73919484598
NM_001080825	TMEM120B	265.0	4.32607299848	52.0	6.25015918374
NM_001008781	FAT3	2665.0	17.153728741	2553.0	22.8898604933
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.0929486552665	1.0	0.101405522164
NM_002223	ITPR2	59.0	0.574851569697	46.0	0.695727449992
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	184.0	5.5934209865	147.0	41.1463324557
NM_001145313	FSD1L	46.0	0.729568785205	24.0	1.84707007603
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	126.0	3.74939534305	101.0	4.28164830773
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	93.0	1.52307409773	32.0	18.1628557476
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2571.0	49.3043546626	1935.0	141.460703419
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	3.0	0.221298332665	3.0	0.304216566492
NM_001282730	SUPT7L	334.0	8.6479742942	204.0	20.1858372595
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	130.0	5.05163420556	77.0	17.0092689637
NM_004106	FCER1G	2.0	0.414887567839	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	79.0	2.82453859067	36.0	3.92317684149
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
