AccNum GeneName cdReads0 cdRPKM0 cdReads1 cdRPKM1 cdReads2 cdRPKM2 cdReads3 cdRPKM3 cdReads4 cdRPKM4
NM_017847 ODR4 93.0 16.468791524500002 62.0 13.1894685247 49.0 14.1727165185 37.0 9.403085344179999 39.0 10.487248580700001
NM_001143986 TLE6 4.0 0.562465059855 2.0 0.33784879686499997 2.0 0.459350074147 1.0 0.201801982529 1.0 0.213527458012
NM_001003803 ATP5S 81.0 30.2149199341 83.0 37.193867893800004 71.0 43.2586552466 46.0 24.6254474792 26.0 14.7274632846
NM_001003800 BICD2 501.0 47.1578656915 389.0 43.986847707299994 284.0 43.6629417442 257.0 34.7167777444 230.0 32.8747473031
NM_016649 ESF1 69.0 6.52528787309 52.0 5.90759551138 41.0 6.33304653283 26.0 3.5286924128199995 26.0 3.7337230862300004
NM_016647 THEM6 132.0 50.888286204799996 89.0 41.218361468299996 73.0 45.9668761997 56.0 30.9828804564 33.0 19.318615806500002
NM_016644 PRR16 19.0 5.428685378230001 15.0 5.1486000160600005 12.0 5.6001615422599995 4.0 1.64017781545 7.0 3.0370873549199997
NM_016640 MRPS30 281.0 51.456924251400004 216.0 47.516897602700006 128.0 38.284740725300004 100.0 26.280121815700003 97.0 26.9728855541
NM_003279 TNNC2 148.0 74.06721573899999 101.0 60.7215013074 59.0 48.2274781264 47.0 33.7560819347 27.0 20.5185298317
NM_001304467 EEF1AKMT2 20.0 7.530198114410001 18.0 8.14152451137 18.0 11.069478188699998 5.0 2.7016947661 8.0 4.57387788565
NM_001080825 TMEM120B 38.0 9.00523103918 31.0 8.82530614517 22.0 8.515539756910002 21.0 7.1420095758 17.0 6.11756167206
NM_001008781 FAT3 578.0 10.2174776785 413.0 8.77046730248 399.0 11.5203849717 392.0 9.94470252474 340.0 9.12668261737
NM_002223 ITPR2 22.0 0.656035764668 14.0 0.501521659595 19.0 0.925415295566 9.0 0.38515648553000004 10.0 0.452817296229
NM_001253384 RPL15 119.0 65.6726113636 90.0 59.667337172399996 28.0 25.239084210999998 21.0 16.6320770943 25.0 20.9505536714
NM_001145313 FSD1L 15.0 2.27607683119 10.0 1.82285650286 6.0 1.48704854512 3.0 0.653291163781 8.0 1.8433330838599997
NM_003363 USP4 184.0 15.3791017092 171.0 17.1698333316 140.0 19.112584516600002 103.0 12.3549286378 84.0 10.6613107978
NM_207118 GTF2H5 85.0 95.1210442369 72.0 96.79368030190001 53.0 96.875016679 18.0 28.9081339973 23.0 39.084421793699995
NM_001282735 SPATS2L 1039.0 149.759340782 878.0 152.030145447 690.0 162.44475743799998 689.0 142.523823429 587.0 128.479738873
NM_001282730 SUPT7L 128.0 24.9718143765 122.0 28.5928062877 89.0 28.3601401105 71.0 19.8787168408 58.0 17.182497674500002
NM_004109 FDX1 78.0 33.9713694394 71.0 37.147844872600004 21.0 14.9388093033 26.0 16.251059112 15.0 9.920370279010001
NM_004101 F2RL2 28.0 6.01612628021 31.0 8.00161090496 28.0 9.82641678615 17.0 5.24200829818 23.0 7.504208984389999
NM_007101 SARDH 42.0 3.68234062309 38.0 4.00235021923 23.0 3.29367498759 16.0 2.01318887468 10.0 1.33135183287
NM_007100 ATP5ME 289.0 332.65188041700003 218.0 301.443175797 167.0 313.969056751 85.0 140.410936558 84.0 146.821480129
NM_000485 APRT 432.0 192.30711471900003 355.0 189.843958603 257.0 186.862848809 160.0 102.216606399 112.0 75.7090505271
NM_007108 ELOB 1140.0 771.876946215 894.0 727.172690671 433.0 478.860872044 320.0 310.944634593 283.0 290.969740032
NM_016643 ZNF771 68.0 17.2294721637 41.0 12.4796883408 34.0 14.0708461392 31.0 11.2723541373 19.0 7.31029382195
NM_001350532 SNX14 117.0 9.7386932019 86.0 8.59943853922 80.0 10.876346797 46.0 5.494934561469999 34.0 4.297460678719999
NM_001350531 LARP1B 9.0 1.1419812258600002 4.0 0.609723970406 5.0 1.03625036412 2.0 0.364196963745 4.0 0.770716431125
NM_001350530 MIER1 254.0 33.939589445 242.0 38.8458882804 153.0 33.392008002 101.0 19.367970373 115.0 23.3339831604
NM_014177 TIMM21 86.0 27.8284670879 57.0 22.1575894667 23.0 12.1561739502 23.0 10.6809169789 30.0 14.7411124628
NM_020992 PDLIM1 47.0 11.475565550699999 40.0 11.7325673093 25.0 9.96998456387 13.0 4.55522111473 15.0 5.561419701869999
NM_005802 TOPORS 193.0 14.8667419943 94.0 8.69847605007 71.0 8.93295366469 48.0 5.30627316203 45.0 5.26367639087
NM_003824 FADD 147.0 56.6710460008 111.0 51.4071699211 78.0 49.115292377799996 54.0 29.8763490116 45.0 26.3435670089
NM_003825 SNAP23 212.0 80.5731198242 165.0 75.3347040086 76.0 47.1787194079 59.0 32.1807529404 51.0 29.433551441
NM_003826 NAPG 154.0 39.643004642 120.0 37.1093981988 87.0 36.5799689238 60.0 22.165981339800002 40.0 15.635940375899999
NM_003827 NAPA 568.0 154.61328398700002 533.0 174.29402567900001 322.0 143.163589156 168.0 65.629277183 198.0 81.84305480180001
NM_003820 TNFRSF14 4.0 1.13483267358 1.0 0.34082281796400005 3.0 1.3901809462299999 2.0 0.814313633727 3.0 1.2924426067700001
NM_003821 RIPK2 56.0 8.34028597072 62.0 11.0928062453 29.0 7.054547303230001 29.0 6.19841690145 19.0 4.29699341106
NM_003795 SNX3 409.0 202.174269988 341.0 202.494754497 165.0 133.218566749 104.0 73.77781437350001 98.0 73.5608642775
NM_003823 TNFRSF6B 2.0 0.535369566938 1.0 0.321573688711 12.0 5.24666297315 8.0 3.07328999307 5.0 2.03241251563
NM_012181 FKBP8 720.0 140.127164912 470.0 109.88654527 283.0 89.9610491227 205.0 57.2576567096 209.0 61.7666854812
NM_012180 FBXO8 37.0 9.31626697968 19.0 5.74712476793 16.0 6.5801898121599995 13.0 4.69757177456 7.0 2.67643323152
NM_012183 FOXD3 8.0 1.34568884884 6.0 1.21244693489 3.0 0.824240895051 2.0 0.482808083462 2.0 0.510861099963
NM_001018088 VPS13C 96.0 2.13144654261 55.0 1.46697503902 53.0 1.92201741551 55.0 1.7524909009099998 46.0 1.5508836424099999
NM_020437 ASPHD2 31.0 6.7507208501400005 19.0 4.97048628577 18.0 6.40234684426 12.0 3.75024441046 12.0 3.9681481116
NM_020733 HEG1 117.0 6.8213133281 154.0 10.7859817413 96.0 9.141797712979999 71.0 5.9406006188400005 66.0 5.8431124508800005
NM_020731 AHRR 24.0 2.68577066081 22.0 2.9575846758899997 32.0 5.8490576108 26.0 4.175619355159999 17.0 2.88884856736
NM_001025780 ABHD17B 90.0 25.091975031799997 40.0 13.397049176700001 40.0 18.215058303499998 30.0 12.0033774383 23.0 9.73729539497
NM_001300829 CIRBP 1327.0 358.793724855 882.0 286.483308813 378.0 166.933674429 272.0 105.543791238 279.0 114.55031587299999
NM_002224 ITPR3 262.0 7.900508006719999 266.0 9.635897814489999 340.0 16.7459920369 308.0 13.3289001065 269.0 12.317545582200001
NM_175856 CHSY3 39.0 3.5587221666400004 37.0 4.05590732862 28.0 4.17316681179 17.0 2.22622096468 23.0 3.18695172044
NM_001688 ATP5PB 623.0 195.319274905 493.0 185.678149373 286.0 146.45403006 198.0 89.0865452368 189.0 89.97814443729999
NM_014171 CRIPT 172.0 135.868398135 114.0 108.181172102 93.0 119.991696575 45.0 51.0143541129 45.0 53.9784853417
NM_001867 COX7C 479.0 603.039443685 436.0 659.406947057 201.0 413.318172576 111.0 200.55017960599997 86.0 164.409469937
NM_144643 SCLT1 66.0 7.718179838029999 47.0 6.60276193641 36.0 6.876250601960001 26.0 4.363491924119999 27.0 4.7946056646
NM_001161546 PROB1 362.0 28.70813915 263.0 25.055844408899997 137.0 17.7457874855 104.0 11.8364013217 67.0 8.06843763834
NM_144641 PPM1M 30.0 5.25476868419 28.0 5.89178923577 12.0 3.43314251069 11.0 2.76512586061 14.0 3.7237331916900005
NM_000159 GCDH 170.0 31.201435922800002 129.0 28.442789883699998 96.0 28.778962276399998 58.0 15.277191542999999 55.0 15.3287422307
NM_000158 GBE1 141.0 16.160469267699998 96.0 13.2179136685 66.0 12.3554061907 63.0 10.36251745 51.0 8.87612077596
NM_021020 LZTS1 497.0 67.0767848453 570.0 92.4160766702 524.0 115.511539751 294.0 56.9446659645 237.0 48.5715951852
NM_021021 SNTB1 356.0 53.217125524 385.0 69.1383430728 228.0 55.6691382995 140.0 30.0344249323 137.0 31.098550986
NM_001347869 ZNF174 20.0 6.44584958594 20.0 7.74349442415 13.0 6.84339740464 7.0 3.2377110076999998 14.0 6.8516690727
NM_021025 TLX3 16.0 4.41496546982 18.0 5.9667337172399995 11.0 4.95767725573 6.0 2.37601101348 7.0 2.933077514
NM_015225 PRUNE2 93.0 2.4258012766799997 78.0 2.44412659875 40.0 1.7041605211200002 29.0 1.0855757668100001 36.0 1.42591272382
NM_001143679 GSTK1 129.0 36.7276765277 86.0 29.4143339433 36.0 16.7411189567 36.0 14.7094392071 22.0 9.51140330638
NM_001297658 TSSC4 148.0 36.1358234363 134.0 39.3041004862 71.0 28.3147561614 55.0 19.272089331500002 34.0 12.6058846576
NM_001286495 FAM214A 7.0 0.520306124326 5.0 0.446465315046 7.0 0.84984001264 3.0 0.320016243512 4.0 0.45148056620300003
NM_023009 MARCKSL1 3194.0 1313.01298326 2830.0 1397.58222069 1436.0 964.199241863 1013.0 597.63142325 854.0 533.101802851
NM_173531 ZNF100 71.0 10.5353434761 43.0 7.665061239380001 24.0 5.8167423753900005 31.0 6.60148916329 24.0 5.40778932337
NM_001286499 PIF1 18.0 2.46233642926 16.0 2.6293699233099996 16.0 3.5749757892900003 22.0 4.31904209128 18.0 3.7390869302900005
NM_001297656 KIF2C 621.0 74.45819555189999 463.0 66.6896934223 320.0 62.6684744015 257.0 44.2225621268 282.0 51.3438211762
NM_006885 ZFHX3 199.0 4.32884742036 275.0 7.186355853949999 320.0 11.3696584227 234.0 7.30507921746 174.0 5.7476011389699995
NM_002226 JAG2 230.0 14.9570763193 252.0 19.6868502309 274.0 29.1036643831 120.0 11.1992770934 120.0 11.849998396199998
