Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0015031~protein transport	107	6.903225806451613	9.907546280788588E-7	RAB3GAP2, LTBP2, AP1G1, XPO4, VPS52, VPS33A, AAGAB, VPS4B, RAB24, STAM, GLE1, RAB20, NUP133, MCM3AP, NUPL2, KRT18, PEX26, RAB12, MRPL45, VPS26B, PACS1, SNX9, SNX5, MTX2, KATNB1, SNX4, RFFL, ACD, GORASP1, STX18, SNF8, TNKS, SEC23IP, TRAM1, STX10, SRP54, TAOK2, LIN7A, RABEP1, TSC2, GOSR1, RERE, SEC24B, VPS37C, PEX3, SYNGR1, GLI3, LONP2, NCKIPSD, VPS16, SEC24D, ZW10, AP3B1, SEC23A, KDELR3, STX4, STX3, NUP88, SNUPN, RAB4A, RAB4B, STXBP1, CDK5, ZDHHC17, PSEN1, NUP205, IPO4, SIL1, NUP107, KPNA4, SEC23B, EXOC6B, YWHAZ, NUP98, PML, NECAB3, NUP214, DDX19A, AP3M1, NUP210, PEX16, SEC16A, APBA3, EXOC4, PPP3CB, PEX14, APPBP2, PEX10, NMD3, TNPO3, RAB2B, LRSAM1, VPS18, IPO13, RRBP1, SNX27, IPO11, RUFY1, MON2, PREB, COG4, COG8, GSK3B, RAB22A, AP4B1, GGA1, F2R	1190	762	13528	1.5963034032510643	0.0034438655687775155	0.0034438655687775155	0.001813607074352408
GOTERM_BP_FAT	GO:0045184~establishment of protein localization	107	6.903225806451613	1.5249860072422184E-6	RAB3GAP2, LTBP2, AP1G1, XPO4, VPS52, VPS33A, AAGAB, VPS4B, RAB24, STAM, GLE1, RAB20, NUP133, MCM3AP, NUPL2, KRT18, PEX26, RAB12, MRPL45, VPS26B, PACS1, SNX9, SNX5, MTX2, KATNB1, SNX4, RFFL, ACD, GORASP1, STX18, SNF8, TNKS, SEC23IP, TRAM1, STX10, SRP54, TAOK2, LIN7A, RABEP1, TSC2, GOSR1, RERE, SEC24B, VPS37C, PEX3, SYNGR1, GLI3, LONP2, NCKIPSD, VPS16, SEC24D, ZW10, AP3B1, SEC23A, KDELR3, STX4, STX3, NUP88, SNUPN, RAB4A, RAB4B, STXBP1, CDK5, ZDHHC17, PSEN1, NUP205, IPO4, SIL1, NUP107, KPNA4, SEC23B, EXOC6B, YWHAZ, NUP98, PML, NECAB3, NUP214, DDX19A, AP3M1, NUP210, PEX16, SEC16A, APBA3, EXOC4, PPP3CB, PEX14, APPBP2, PEX10, NMD3, TNPO3, RAB2B, LRSAM1, VPS18, IPO13, RRBP1, SNX27, IPO11, RUFY1, MON2, PREB, COG4, COG8, GSK3B, RAB22A, AP4B1, GGA1, F2R	1190	769	13528	1.5817726830654237	0.005295932168341455	0.002651481260608435	0.0027915212787110733
GOTERM_BP_FAT	GO:0046907~intracellular transport	94	6.064516129032258	2.269252966122815E-6	RAB3GAP2, SEC24B, CPT2, LTBP2, AP1G1, BNIP3, PEX3, SYNGR1, GLI3, STARD3, NDE1, LONP2, BHLHA15, VPS4B, STAM, VPS16, GLE1, NCKIPSD, SEC24D, GOLGA3, ZW10, AP3B1, SEC23A, MCM3AP, NUP133, STX4, STX3, SNUPN, NUPL2, CDK5, KIF1C, NPC1, KRT18, PSEN1, SCYL1, IPO4, NUP205, PEX26, CAMK1, SIL1, KPNA4, NUP107, MRPL45, VPS26B, CUX1, SEC23B, THOC1, ZC3H3, PACS1, SNX9, KIF4A, YWHAZ, NUP98, AGFG1, MTX2, PML, KATNB1, DSCR3, RFFL, FTH1, NUP214, ACD, STX18, AP3M1, HMGXB4, PEX16, EXOC4, PPP3CB, PEX14, APPBP2, STX10, TRAM1, PEX10, SEC23IP, SRP54, TAOK2, SMG5, IPO13, SMG7, IPO11, WIPI1, MON2, PREB, SLC25A12, COG4, MAP1S, UCP2, GSK3B, TSC2, GOSR1, GGA1, AP4B1, RERE, F2R	1190	657	13528	1.6264814601639743	0.007870412623787737	0.002630383726675234	0.004153891981240054
GOTERM_BP_FAT	GO:0070727~cellular macromolecule localization	65	4.193548387096775	5.3774600461773245E-6	RAB3GAP2, SEC24B, LTBP2, AP1G1, PEX3, SYNGR1, GLI3, LONP2, STAM, VPS16, NCKIPSD, SEC24D, ZW10, AP3B1, SEC23A, MCM3AP, STX4, STX3, SNUPN, NUPL2, CDK5, TNKS2, KRT18, IPO4, NUP205, PEX26, SIL1, KPNA4, MRPL45, SEC23B, PACS1, SNX9, NUP98, YWHAZ, MTX2, KATNB1, PML, RFFL, NUP214, ACD, STX18, AP3M1, PEX16, PPP3CB, EXOC4, PEX14, TNKS, APPBP2, TRAM1, PEX10, SEC23IP, TINF2, STX10, SRP54, TAOK2, IPO13, IPO11, CASC3, GSK3B, TSC2, GOSR1, AP4B1, GGA1, RERE, F2R	1190	414	13528	1.7848414728210125	0.01855015431061724	0.004670152323129395	0.009843233768747073
GOTERM_BP_FAT	GO:0009057~macromolecule catabolic process	106	6.838709677419355	5.445060468530847E-6	BTRC, PPP2R5C, RNASEH1, ZNRF1, ERLEC1, ZNRF2, ISG20, ERAP1, ITCH, RNF34, FBXO22, CDCA3, ADAM9, DTL, UBR3, BRAP, ASB8, CHID1, KDM2A, HUWE1, PIAS3, BACE1, TRIM32, ASB1, PIAS2, AMFR, PIAS1, RNF20, FBXO10, PNPT1, RFFL, FBXW9, ARIH1, ARIH2, FBXW5, FBXO3, RNF167, UBE2D1, FBXO9, RNF14, SMG5, GUSB, SMG7, CASC3, AFG3L2, CDC27, ATE1, RNF8, DCP2, DCP1A, SMURF2, MTOR, BNIP3, FANCL, USP19, PARN, MGRN1, MTBP, NSMCE2, FBXL12, USP10, MAN2B1, USP13, TBL1XR1, CLN3, HYAL2, AIFM1, GTF2H3, ERLIN2, ERLIN1, MBD4, UBE2H, CDK5, WDR48, SENP3, PSEN1, DDB2, ADAM17, BUB1B, USP22, ADAM19, CLN5, ZER1, CUEDC2, OTUD5, APH1B, CBLL1, FEM1A, SMUG1, TRIM11, USP36, ERCC3, USP33, FBXW11, TRIP12, RNF144A, STAMBP, UBL7, LRSAM1, UBE4A, CBL, SPSB4, OGG1, USP42, RNF40, BARD1	1190	781	13528	1.5429130935344688	0.018781146622217637	0.0037847700686641783	0.009966967911723135
GOTERM_BP_FAT	GO:0006886~intracellular protein transport	60	3.870967741935484	6.652000164916076E-6	RAB3GAP2, SEC24B, LTBP2, AP1G1, PEX3, SYNGR1, GLI3, LONP2, STAM, VPS16, NCKIPSD, SEC24D, AP3B1, SEC23A, MCM3AP, STX4, STX3, SNUPN, NUPL2, CDK5, KRT18, IPO4, NUP205, PEX26, SIL1, KPNA4, MRPL45, SEC23B, PACS1, SNX9, NUP98, YWHAZ, MTX2, KATNB1, PML, RFFL, NUP214, ACD, STX18, AP3M1, PEX16, PPP3CB, EXOC4, PEX14, APPBP2, PEX10, TRAM1, SEC23IP, STX10, SRP54, TAOK2, IPO13, IPO11, GSK3B, TSC2, GOSR1, AP4B1, GGA1, RERE, F2R	1190	374	13528	1.8237541005707096	0.02289615371688325	0.0038529485412713838	0.012176096150517957
GOTERM_BP_FAT	GO:0034613~cellular protein localization	64	4.129032258064516	8.439235497007591E-6	RAB3GAP2, SEC24B, LTBP2, AP1G1, PEX3, SYNGR1, GLI3, LONP2, STAM, VPS16, NCKIPSD, SEC24D, ZW10, AP3B1, SEC23A, MCM3AP, STX4, STX3, SNUPN, NUPL2, CDK5, TNKS2, KRT18, IPO4, NUP205, PEX26, SIL1, KPNA4, MRPL45, SEC23B, PACS1, SNX9, NUP98, YWHAZ, MTX2, KATNB1, PML, RFFL, NUP214, ACD, STX18, AP3M1, PEX16, PPP3CB, EXOC4, PEX14, TNKS, APPBP2, TRAM1, PEX10, SEC23IP, TINF2, STX10, SRP54, TAOK2, IPO13, IPO11, GSK3B, TSC2, GOSR1, AP4B1, GGA1, RERE, F2R	1190	411	13528	1.7702099818029402	0.028957985188789004	0.0041891355604491975	0.015447286719438846
GOTERM_BP_FAT	GO:0006974~response to DNA damage stimulus	59	3.8064516129032255	1.2355714035121096E-5	MMS19, XRCC4, XRCC3, NBN, INTS3, FANCL, MEN1, EPC2, FANCI, PCBP4, NSMCE1, PRMT6, FANCE, NSMCE2, WDR33, POLH, DTL, AIFM1, NEIL2, GTF2H3, APTX, ZSWIM7, MBD4, EYA3, RFC5, HIPK1, PSEN1, TIMELESS, FANCD2, NCOA6, DDB2, HAUS7, RBM38, HMGB1, APEX2, WRNIP1, TIPIN, PML, CHEK1, CHEK2, SMUG1, KIN, ACD, MDC1, MUS81, AATF, ERCC3, RECQL4, RAD51AP1, TP53BP1, SIRT1, POLD3, RNF8, ALKBH1, ALKBH3, SMC1A, OGG1, ALKBH2, BARD1	1190	373	13528	1.7981661297226665	0.04211050951026418	0.005363422968137965	0.022615293727012986
GOTERM_BP_FAT	GO:0006281~DNA repair	48	3.096774193548387	1.6279442674298664E-5	MMS19, HMGB1, XRCC4, NBN, XRCC3, APEX2, WRNIP1, PML, CHEK1, INTS3, KIN, SMUG1, FANCL, MEN1, EPC2, MDC1, FANCI, NSMCE1, PRMT6, MUS81, NSMCE2, FANCE, ERCC3, WDR33, RECQL4, RAD51AP1, POLH, TP53BP1, NEIL2, GTF2H3, ZSWIM7, APTX, MBD4, SIRT1, POLD3, EYA3, RFC5, RNF8, FANCD2, NCOA6, DDB2, ALKBH1, HAUS7, ALKBH3, SMC1A, OGG1, ALKBH2, BARD1	1190	284	13528	1.921363474967452	0.05510879093433474	0.006278593494407958	0.02979608283374402
GOTERM_BP_FAT	GO:0033554~cellular response to stress	80	5.161290322580645	2.219384501701528E-5	MMS19, XRCC4, XRCC3, NBN, INTS3, FANCL, MEN1, MAP3K6, EPC2, ATG5, PCBP4, FANCI, NSMCE1, PRMT6, NSMCE2, FANCE, CAT, EIF2B3, EIF2B4, WDR33, CLN3, POLH, AIFM1, DTL, RXRA, NEIL2, GTF2H3, APTX, ZSWIM7, MBD4, SCAP, RFC5, EYA3, MAP4K3, HIPK1, TIMELESS, PSEN1, FANCD2, NCOA6, DDB2, RBM38, HAUS7, AMFR, EIF2AK2, EIF2AK4, HMGB1, APEX2, WRNIP1, BMPR2, TIPIN, PML, CHEK1, CHEK2, KIN, SMUG1, ARNT, SLC11A2, ACD, MDC1, MUS81, AATF, ERCC3, RECQL4, RAD51AP1, BECN1, TP53BP1, SIRT1, GPS2, ATF6, POLD3, RNF8, GSK3B, ATP2A1, ALKBH1, MAPK8IP1, ALKBH3, SMC1A, OGG1, ALKBH2, BARD1	1190	566	13528	1.606793954330849	0.07436919812779885	0.007698198507603671	0.04061906897375733
