Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0060589~nucleoside-triphosphatase regulator activity	39	7.18232044198895	1.643181670213523E-9	FGD1, DENND5A, TBC1D8, TBC1D9, MAP4K2, ARHGAP12, ARHGAP4, PLEKHG3, ARHGAP6, RGS12, TIAM2, GMIP, PLEKHG5, RAPGEF6, TBC1D1, AGAP2, DNAJC1, AGAP3, ARHGEF10L, RASA2, SERGEF, TBC1D2B, ARHGEF6, NF1, ARHGAP29, DOCK5, HERC1, ARHGAP24, ARHGAP23, USP6NL, ANKRD27, ARHGAP32, RAB11FIP3, SGSM2, SRGAP3, TNK2, SYNGAP1, ARAP3, SPATA13	402	413	12983	3.0497452206280946	9.481153933066366E-7	9.481153933066366E-7	2.4138708476506565E-6
GOTERM_MF_FAT	GO:0030695~GTPase regulator activity	38	6.998158379373849	3.1045552369760624E-9	FGD1, DENND5A, TBC1D8, TBC1D9, MAP4K2, ARHGAP12, ARHGAP4, PLEKHG3, ARHGAP6, RGS12, TIAM2, GMIP, PLEKHG5, RAPGEF6, TBC1D1, AGAP2, AGAP3, ARHGEF10L, RASA2, SERGEF, TBC1D2B, ARHGEF6, NF1, ARHGAP29, DOCK5, HERC1, ARHGAP24, ARHGAP23, USP6NL, ANKRD27, ARHGAP32, RAB11FIP3, SGSM2, SRGAP3, TNK2, SYNGAP1, ARAP3, SPATA13	402	404	12983	3.0377444460864	1.7913267946756406E-6	8.956637984613991E-7	4.560661426289414E-6
GOTERM_MF_FAT	GO:0043167~ion binding	187	34.43830570902394	4.5534384920980754E-9	KCNC1, HKR1, SLC9A7, DBF4B, PDP2, PLEKHM3, ADCY7, DZIP1, ADCY6, NT5DC3, RNF217, GRIN3A, MIPEP, NFXL1, ZNRF3, TRIM46, ZNF304, MAP3K5, MAP3K4, CUL9, RC3H2, ZNF445, SLC12A6, POLL, PCDHGA10, ZNF45, RREB1, ZNF189, PITPNM1, PITPNM2, ZNF236, PRDM4, ATP9B, MLLT10, PRDM5, CLIP1, NEK4, UNC13B, ZNF436, ME1, FGD1, CLCN3, ME3, MGAT5B, PPP2R3A, ITGAE, ZSCAN5A, ZNF232, HEXDC, TRIM71, PCDHAC1, PRUNE2, DAGLA, GMIP, ENTPD7, DMD, TTYH1, CASZ1, SLC30A5, FBXO41, ZNF70, B4GALT7, TRAF3, ZNF398, SHPRH, ADAM23, ZMYM6, AGBL5, CELSR3, ZNF839, ATP11A, CELSR2, ACACB, CELSR1, ZNF835, ZSCAN2, ATP7A, TET3, ZFHX4, KCNJ6, ZNF211, PRICKLE3, MZF1, RNF157, CACNA1G, HIVEP3, CACNA1H, ZNF318, TNK2, SCN8A, MYLK, KCNH1, CYB5R4, KDM6A, ENOX2, ZNFX1, PCDHA4, ATP10A, PCDHGA9, SOBP, ATP10D, ZZEF1, CAMKK2, FBXL19, KCNQ5, ZNF350, PLCB4, HPSE, POMT1, ZNF407, ZNF490, ZFAT, PDE8A, AGAP2, KCNG1, AGAP3, ANO10, ZCCHC8, ZCCHC2, REV1, NRXN2, MICAL3, ARHGAP29, ZNF549, VPS8, MAST4, MAST1, RAB11FIP3, CHSY3, PPM1K, ERN1, ZFPM1, CHFR, KSR1, NSD1, ZSCAN12, ZNF484, CYP2U1, ZNF276, GLIS3, ADAMTS17, TBC1D9, GLIS2, ADAMTS15, ZNF324B, PCDHB14, BRSK1, PRDM16, DDHD1, RNF123, ZNF704, MORC4, FAT4, MAP3K1, TYW1, ZNF608, ADAMTS12, MLLT6, ZNF562, ZSCAN29, FYCO1, EHD3, HRC, ZNF700, RASA2, ZBTB7B, CCNB1IP1, SLC8A1, GLRB, SP140L, PDZRN3, ZNF26, MAN1C1, TAB3, ITPR1, MANBA, RUFY2, ADCY9, SNED1, DGKZ, USP49, ZNF462, RNF19B, ZNF764, ARAP3, LRP4, RNF111	402	4241	12983	1.424040490778834	2.6273305777646527E-6	8.757776261969497E-7	6.689103360102422E-6
GOTERM_MF_FAT	GO:0043169~cation binding	184	33.88581952117864	8.004634003422538E-9	KCNC1, HKR1, SLC9A7, DBF4B, PDP2, PLEKHM3, ADCY7, DZIP1, ADCY6, NT5DC3, RNF217, GRIN3A, MIPEP, NFXL1, ZNRF3, TRIM46, ZNF304, MAP3K5, MAP3K4, CUL9, RC3H2, ZNF445, SLC12A6, POLL, PCDHGA10, ZNF45, RREB1, ZNF189, PITPNM1, PITPNM2, ZNF236, PRDM4, ATP9B, MLLT10, PRDM5, CLIP1, NEK4, UNC13B, ZNF436, ME1, FGD1, ME3, MGAT5B, PPP2R3A, ITGAE, ZSCAN5A, ZNF232, HEXDC, TRIM71, PCDHAC1, PRUNE2, DAGLA, GMIP, ENTPD7, DMD, CASZ1, SLC30A5, FBXO41, ZNF70, B4GALT7, TRAF3, ZNF398, SHPRH, ADAM23, ZMYM6, AGBL5, CELSR3, ZNF839, ATP11A, CELSR2, ACACB, CELSR1, ZNF835, ZSCAN2, ATP7A, TET3, ZFHX4, KCNJ6, ZNF211, PRICKLE3, MZF1, RNF157, CACNA1G, HIVEP3, CACNA1H, ZNF318, TNK2, SCN8A, MYLK, KCNH1, CYB5R4, KDM6A, ENOX2, ZNFX1, PCDHA4, ATP10A, PCDHGA9, SOBP, ATP10D, ZZEF1, CAMKK2, FBXL19, KCNQ5, ZNF350, PLCB4, HPSE, POMT1, ZNF407, ZNF490, ZFAT, PDE8A, AGAP2, KCNG1, AGAP3, ANO10, ZCCHC8, ZCCHC2, REV1, NRXN2, MICAL3, ARHGAP29, ZNF549, VPS8, MAST4, MAST1, RAB11FIP3, CHSY3, PPM1K, ERN1, ZFPM1, CHFR, KSR1, NSD1, ZSCAN12, ZNF484, CYP2U1, ZNF276, GLIS3, ADAMTS17, TBC1D9, GLIS2, ADAMTS15, ZNF324B, PCDHB14, BRSK1, PRDM16, DDHD1, RNF123, ZNF704, MORC4, FAT4, MAP3K1, TYW1, ZNF608, ADAMTS12, MLLT6, ZNF562, ZSCAN29, FYCO1, EHD3, HRC, ZNF700, RASA2, ZBTB7B, CCNB1IP1, SLC8A1, SP140L, PDZRN3, ZNF26, MAN1C1, TAB3, ITPR1, MANBA, RUFY2, ADCY9, SNED1, DGKZ, USP49, ZNF462, RNF19B, ZNF764, ARAP3, LRP4, RNF111	402	4179	12983	1.421983168626835	4.618663144828616E-6	1.1546677860518884E-6	1.1758986639964775E-5
GOTERM_MF_FAT	GO:0046872~metal ion binding	182	33.51749539594843	1.2145485216786032E-8	KCNC1, HKR1, SLC9A7, DBF4B, PDP2, PLEKHM3, ADCY7, DZIP1, ADCY6, NT5DC3, RNF217, GRIN3A, MIPEP, NFXL1, ZNRF3, TRIM46, ZNF304, MAP3K5, MAP3K4, CUL9, RC3H2, ZNF445, SLC12A6, POLL, PCDHGA10, ZNF45, RREB1, ZNF189, PITPNM1, PITPNM2, ZNF236, PRDM4, ATP9B, MLLT10, PRDM5, CLIP1, NEK4, UNC13B, ZNF436, ME1, FGD1, ME3, MGAT5B, PPP2R3A, ITGAE, ZSCAN5A, ZNF232, TRIM71, PCDHAC1, PRUNE2, DAGLA, GMIP, ENTPD7, DMD, CASZ1, SLC30A5, FBXO41, ZNF70, B4GALT7, TRAF3, ZNF398, SHPRH, ADAM23, ZMYM6, AGBL5, CELSR3, ZNF839, ATP11A, CELSR2, ACACB, CELSR1, ZNF835, ZSCAN2, ATP7A, TET3, ZFHX4, KCNJ6, ZNF211, PRICKLE3, MZF1, RNF157, CACNA1G, HIVEP3, CACNA1H, ZNF318, TNK2, SCN8A, MYLK, KCNH1, CYB5R4, KDM6A, ENOX2, ZNFX1, PCDHA4, ATP10A, PCDHGA9, SOBP, ATP10D, ZZEF1, CAMKK2, FBXL19, KCNQ5, ZNF350, PLCB4, HPSE, POMT1, ZNF407, ZNF490, ZFAT, PDE8A, AGAP2, KCNG1, AGAP3, ANO10, ZCCHC8, ZCCHC2, REV1, NRXN2, MICAL3, ARHGAP29, ZNF549, VPS8, MAST4, MAST1, RAB11FIP3, CHSY3, PPM1K, ERN1, ZFPM1, CHFR, KSR1, NSD1, ZSCAN12, ZNF484, CYP2U1, ZNF276, GLIS3, ADAMTS17, TBC1D9, GLIS2, ADAMTS15, ZNF324B, PCDHB14, BRSK1, PRDM16, DDHD1, RNF123, ZNF704, MORC4, FAT4, MAP3K1, TYW1, ZNF608, ADAMTS12, MLLT6, ZNF562, ZSCAN29, FYCO1, EHD3, HRC, ZNF700, RASA2, ZBTB7B, CCNB1IP1, SLC8A1, SP140L, PDZRN3, ZNF26, MAN1C1, TAB3, ITPR1, RUFY2, ADCY9, SNED1, DGKZ, USP49, ZNF462, RNF19B, ZNF764, ARAP3, LRP4, RNF111	402	4140	12983	1.4197767202634173	7.0079204318451715E-6	1.4015880153150917E-6	1.784198935261827E-5
GOTERM_MF_FAT	GO:0005096~GTPase activator activity	26	4.788213627992634	1.8821524647028496E-8	TBC1D8, TBC1D9, ARHGAP12, ARHGAP4, ARHGAP6, RGS12, TIAM2, GMIP, TBC1D1, AGAP2, AGAP3, ARHGEF10L, RASA2, TBC1D2B, ARHGEF6, NF1, ARHGAP29, ARHGAP24, ARHGAP23, USP6NL, ANKRD27, ARHGAP32, SGSM2, SRGAP3, ARAP3, SYNGAP1	402	220	12983	3.8168023518769787	1.0859960868248031E-5	1.8100016683231246E-6	2.7649239420224347E-5
GOTERM_MF_FAT	GO:0005083~small GTPase regulator activity	27	4.972375690607735	3.7489153383828325E-7	FGD1, DENND5A, TBC1D8, TBC1D9, MAP4K2, ARHGAP4, PLEKHG3, ARHGAP6, TIAM2, GMIP, PLEKHG5, TBC1D1, AGAP2, AGAP3, ARHGEF10L, RASA2, SERGEF, TBC1D2B, ARHGEF6, NF1, ARHGAP29, HERC1, USP6NL, RAB11FIP3, SGSM2, ARAP3, SPATA13	402	274	12983	3.1824545157424553	2.1628906170656492E-4	3.0901301910524204E-5	5.507226801593212E-4
GOTERM_MF_FAT	GO:0008047~enzyme activator activity	30	5.524861878453039	5.533645692455877E-7	TBC1D8, TBC1D9, ARHGAP12, ARHGAP4, ARHGAP6, MAP3K5, NOD1, RGS12, TIAM2, GMIP, TBC1D1, NRG1, AGAP2, AGAP3, ARHGEF10L, DNAJC1, RASA2, TBC1D2B, ARHGEF6, NF1, ARHGAP29, ARHGAP24, ARHGAP23, USP6NL, ANKRD27, ARHGAP32, SGSM2, SRGAP3, ARAP3, SYNGAP1	402	335	12983	2.892180886611717	3.192404767269341E-4	3.9910634151429925E-5	8.129019166913665E-4
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	78	14.3646408839779	3.8161900025651894E-6	KIFC2, FASTKD3, KIF24, ADCY7, ZNFX1, ADCY6, ATP10A, PEX6, ATP10D, ITPKC, CAMKK1, KIFC3, CAMKK2, KIF13A, MAP3K5, MAP3K4, NOD1, DDX11, MAP3K9, STARD9, MCCC1, CUL9, MDN1, TARSL2, TYRO3, MAGI3, RPS6KC1, WNK2, BBS10, MAST4, MAST1, MYO18B, ATP9B, BMP2K, ERN1, CDK11B, MAPK7, KSR1, NEK4, KIF26A, EIF2AK3, ME1, KIF4B, CLCN3, ABCD1, MAPKAPK5, MAP4K2, BRSK1, ABCA3, ERCC6, TTBK2, MORC4, MAP3K1, KIF21B, EHD3, PDK1, TAF1, ABCB9, RECQL5, SHPRH, MSH3, FLT4, ATP11A, ACACB, GLYCTK, ATP7A, ADCY9, TEP1, DGKZ, ABCC1, SCN8A, SLFN11, TNK2, MERTK, IKBKB, ABCC5, MYLK, ATAD2B	402	1497	12983	1.6827585519297301	0.002199523328676012	2.446307211355636E-4	0.005605922488116644
GOTERM_MF_FAT	GO:0005099~Ras GTPase activator activity	14	2.578268876611418	4.13002169766829E-6	ARHGAP4, ARHGAP6, TBC1D2B, SGSM2, TBC1D8, GMIP, TBC1D9, NF1, ARHGAP29, TBC1D1, ARAP3, ARHGEF10L, RASA2, USP6NL	402	91	12983	4.968618446230387	0.0023801902847458978	2.382743522080233E-4	0.006066923229541832
