Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0043233~organelle lumen	131	21.405228758169933	2.336460698917412E-16	MRPL40, XRCC5, MRPS35, NDUFAB1, MED22, INTS3, MED20, ERLEC1, GOT2, KLHL7, WDR75, APP, CDKN2A, DNAJB11, INTS7, LRRC59, SMARCD1, ERAP1, ACIN1, CFD, HMGCL, FECH, RAN, RELA, FMR1, ACTN1, MED14, MRTO4, RFC4, RCC2, MED15, NAV2, PIAS3, MRPS18A, RARS, MED18, RNF20, PCCA, SUDS3, XRN2, ACAA1, KIF4B, KIF4A, MRPS16, MRPS15, LMNB1, FDX1, MRPS12, CLU, BOP1, ELK3, ZNF330, HADHB, HNRNPL, NOM1, METTL3, DDX3X, GSTK1, HARS2, TFDP2, SDF4, P4HB, CSTF2, MRPS22, ZMYM3, TP53BP1, MRPS25, CDC23, IDH3B, SMAD3, FXR1, NOP14, HDAC1, WDR3, CIRBP, UTP14A, ZFHX3, E2F8, PDIA4, ZNF207, FAR2, FANCI, MCCC1, CASP7, CREG1, MSN, SRPK2, SYMPK, ELP2, AIFM1, TP53, MRPL9, NDUFA10, MBD2, ZFR, UBC, SIL1, NOL12, ING5, POLR2H, FKBP4, RPL36, ZNF655, POLR2C, MRPL10, TSPYL2, SET, NUDT21, AATF, USP36, BAZ2A, GTF3C4, HRC, ETV3, PDK1, BCKDHA, PSAP, CREB1, TRIM28, TRIM25, STAT1, CCNB1, SON, MED30, MRPL28, MRPL27, THRAP3, SUMF1, NOP56, RCN3, VPS25, DUSP6	451	1820	12782	2.039962476547842	1.0191847366058937E-13	1.0191847366058937E-13	3.1086244689504383E-13
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	132	21.568627450980394	3.4573938957444024E-16	MRPL40, XRCC5, MRPS35, NDUFAB1, MED22, INTS3, MED20, ERLEC1, GOT2, KLHL7, WDR75, APP, CDKN2A, DNAJB11, INTS7, LRRC59, SMARCD1, ERAP1, ACIN1, CFD, HMGCL, FECH, RAN, RELA, FMR1, ACTN1, MED14, MRTO4, RFC4, RCC2, MED15, NAV2, PIAS3, MRPS18A, RARS, MED18, RNF20, PCCA, SUDS3, XRN2, ACAA1, KIF4B, KIF4A, MRPS16, MRPS15, LMNB1, FDX1, MRPS12, CLU, BOP1, ELK3, ZNF330, HADHB, HNRNPL, NOM1, METTL3, DDX3X, GSTK1, HARS2, TFDP2, SDF4, P4HB, CSTF2, MRPS22, ZMYM3, TP53BP1, MRPS25, CDC23, IDH3B, SMAD3, FXR1, NOP14, HDAC1, WDR3, CIRBP, UTP14A, ZFHX3, E2F8, PDIA4, ZNF207, FAR2, FANCI, MCCC1, CASP7, CREG1, MSN, NDUFS1, SRPK2, SYMPK, ELP2, AIFM1, TP53, MRPL9, NDUFA10, MBD2, ZFR, UBC, SIL1, NOL12, ING5, POLR2H, FKBP4, RPL36, ZNF655, POLR2C, MRPL10, TSPYL2, SET, NUDT21, AATF, USP36, BAZ2A, GTF3C4, HRC, ETV3, PDK1, BCKDHA, PSAP, CREB1, TRIM28, TRIM25, STAT1, CCNB1, SON, MED30, MRPL28, MRPL27, THRAP3, SUMF1, NOP56, RCN3, VPS25, DUSP6	451	1856	12782	2.0156644238856183	1.5287771049088406E-13	7.638334409421077E-14	4.773959005888173E-13
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	128	20.915032679738562	5.540280865931557E-16	MRPL40, XRCC5, MRPS35, NDUFAB1, MED22, INTS3, MED20, ERLEC1, GOT2, KLHL7, WDR75, CDKN2A, DNAJB11, INTS7, LRRC59, SMARCD1, ERAP1, ACIN1, HMGCL, FECH, RAN, RELA, FMR1, ACTN1, MED14, MRTO4, RFC4, RCC2, MED15, NAV2, PIAS3, MRPS18A, RARS, MED18, RNF20, PCCA, SUDS3, XRN2, ACAA1, KIF4B, KIF4A, MRPS16, MRPS15, LMNB1, FDX1, MRPS12, BOP1, ELK3, ZNF330, HADHB, HNRNPL, NOM1, METTL3, DDX3X, GSTK1, HARS2, TFDP2, SDF4, P4HB, CSTF2, ZMYM3, MRPS22, TP53BP1, MRPS25, CDC23, IDH3B, SMAD3, FXR1, NOP14, HDAC1, WDR3, CIRBP, UTP14A, ZFHX3, E2F8, PDIA4, ZNF207, FAR2, FANCI, MCCC1, CASP7, CREG1, MSN, SRPK2, SYMPK, ELP2, AIFM1, TP53, MRPL9, NDUFA10, MBD2, ZFR, UBC, SIL1, NOL12, ING5, POLR2H, FKBP4, RPL36, ZNF655, POLR2C, MRPL10, TSPYL2, SET, NUDT21, AATF, USP36, BAZ2A, GTF3C4, HRC, ETV3, PDK1, BCKDHA, PSAP, CREB1, TRIM28, TRIM25, STAT1, CCNB1, SON, MED30, MRPL28, MRPL27, THRAP3, SUMF1, NOP56, RCN3, VPS25, DUSP6	451	1779	12782	2.039183427247426	2.5479618415147343E-13	8.493206138382448E-14	7.882583474838611E-13
GOTERM_CC_FAT	GO:0043228~non-membrane-bounded organelle	148	24.18300653594771	2.5952428752461464E-10	MRPL40, XRCC5, MRPS35, TUBB2B, CEP78, RPL15, AURKA, CBX6, MRPS30, VCL, KLHL7, ACTG1, WDR75, APP, CDKN2A, FNTA, ANK2, ILK, LRRC59, SMARCD1, H2AFY, STK39, TUBG1, ACIN1, CCNA1, RAN, FMR1, ACTN1, DCTN4, DCTN2, MRTO4, UXT, RFC4, MAD2L1BP, RCC2, BAZ1B, MRPS18A, NAV2, RARS, BIN3, MRPL45, MRPL46, RNF20, XRN2, SUDS3, ADD1, SMARCA4, KIF4B, KIF4A, MRPS16, MRPS15, LMNB1, LITAF, DIAPH1, MRPS12, TIPIN, BOP1, ELK3, PXN, ZNF330, HADHB, PSMB4, NOM1, MRPL54, ASF1B, CSTF2, MRPS22, ZMYM3, TP53BP1, MRPS25, SUV39H1, FXR1, TRADD, NOP14, HDAC1, NEDD4, SEC13, WDR3, RPL37A, TMPO, UTP14A, RANBP10, ABCF1, ENOX2, ZNF207, MAP1LC3A, FANCI, SNTB1, MSN, NCKIPSD, TUBA1A, TUBA1C, ZW10, PPP2R1A, SRPK2, SYMPK, ELP2, HIST1H1B, TP53, MRPL9, NUP85, MID1IP1, MBD2, CDK5, ZFR, MRPS2, VASP, G6PD, KRIT1, UBC, BUB1B, FHOD1, NOL12, POLR2H, NDN, HIST1H2AG, HSD3B7, FKBP4, RPL36, ZNF655, MRPL10, SUMO2, RPL30, EZR, TSPYL2, TUBGCP5, KLC1, MRPL17, NUDT21, PPP2CB, CHD2, USP36, AATF, BAZ2A, UPF1, CREB1, TRIM28, TRIM25, DPYSL2, COTL1, STAT1, CCNB1, PKNOX2, CCNB2, MRPL28, MRPL27, THRAP3, CAPG, NOP56	451	2596	12782	1.615769100680221	1.191216424389907E-7	2.978041191425973E-8	3.692279260114617E-7
GOTERM_CC_FAT	GO:0043232~intracellular non-membrane-bounded organelle	148	24.18300653594771	2.5952428752461464E-10	MRPL40, XRCC5, MRPS35, TUBB2B, CEP78, RPL15, AURKA, CBX6, MRPS30, VCL, KLHL7, ACTG1, WDR75, APP, CDKN2A, FNTA, ANK2, ILK, LRRC59, SMARCD1, H2AFY, STK39, TUBG1, ACIN1, CCNA1, RAN, FMR1, ACTN1, DCTN4, DCTN2, MRTO4, UXT, RFC4, MAD2L1BP, RCC2, BAZ1B, MRPS18A, NAV2, RARS, BIN3, MRPL45, MRPL46, RNF20, XRN2, SUDS3, ADD1, SMARCA4, KIF4B, KIF4A, MRPS16, MRPS15, LMNB1, LITAF, DIAPH1, MRPS12, TIPIN, BOP1, ELK3, PXN, ZNF330, HADHB, PSMB4, NOM1, MRPL54, ASF1B, CSTF2, MRPS22, ZMYM3, TP53BP1, MRPS25, SUV39H1, FXR1, TRADD, NOP14, HDAC1, NEDD4, SEC13, WDR3, RPL37A, TMPO, UTP14A, RANBP10, ABCF1, ENOX2, ZNF207, MAP1LC3A, FANCI, SNTB1, MSN, NCKIPSD, TUBA1A, TUBA1C, ZW10, PPP2R1A, SRPK2, SYMPK, ELP2, HIST1H1B, TP53, MRPL9, NUP85, MID1IP1, MBD2, CDK5, ZFR, MRPS2, VASP, G6PD, KRIT1, UBC, BUB1B, FHOD1, NOL12, POLR2H, NDN, HIST1H2AG, HSD3B7, FKBP4, RPL36, ZNF655, MRPL10, SUMO2, RPL30, EZR, TSPYL2, TUBGCP5, KLC1, MRPL17, NUDT21, PPP2CB, CHD2, USP36, AATF, BAZ2A, UPF1, CREB1, TRIM28, TRIM25, DPYSL2, COTL1, STAT1, CCNB1, PKNOX2, CCNB2, MRPL28, MRPL27, THRAP3, CAPG, NOP56	451	2596	12782	1.615769100680221	1.191216424389907E-7	2.978041191425973E-8	3.692279260114617E-7
GOTERM_CC_FAT	GO:0005739~mitochondrion	80	13.071895424836603	2.9715799825599754E-10	MRPL40, MRPS35, TUSC3, GM2A, NDUFAB1, TMEM143, MRPS30, GOT2, GLT8D1, CISD3, MCCC1, CASP7, LRRC59, AKR7A2, NDUFS2, TMEM14C, NDUFS1, HMGCL, PPP2R1A, BSG, NDUFB11, FECH, AIFM1, TP53, MRPL9, COX4I1, COQ9, NDUFA10, COQ5, MRPS2, LAP3, PSMA6, MRPS18A, UQCRH, GRN, MRPL45, MRPL46, PCCA, BID, MRPS16, APEX2, MRPS15, NDUFB7, FDX1, NDUFB9, MRPS12, CLU, CHCHD2, ELK3, COX7A2L, SFXN2, NDUFB1, HADHB, MRPL10, GFM1, MRPL17, GSTK1, HARS2, MRPL54, HAAO, PDK1, BCKDHA, IMMT, PSAP, MRPS22, CREB1, MRPS25, IDH3B, BAD, DPYSL2, VDAC3, MON2, SLC25A13, MRPL28, TFRC, MRPL27, UCP2, BAX, ZFHX3, VPS25	451	1087	12782	2.085848273386138	1.3639549656385697E-7	2.7279100756061325E-8	4.2276974143717894E-7
GOTERM_CC_FAT	GO:0005829~cytosol	88	14.37908496732026	6.1981195720038864E-9	SCPEP1, ENOX2, AP1B1, UBE2G2, RPL15, CEP78, UBQLN4, PTTG1, SLC7A5, VCL, ACTG1, FNTA, MAP1LC3A, CASP7, RAB24, ERAP1, PSMD4, TUBG1, ACIN1, TUBA1A, CCNA1, CHUK, PPP2R1A, PDXK, RAN, SARS, RELA, TP53, ATP6V1H, FADD, CDK5, VASP, DCTN2, UXT, G6PD, RARS, UBC, HARS, BUB1B, DHPS, FARSA, ADD1, BID, AP1M1, SNX15, GNAI2, GRB2, DCK, RPL36, ACP5, PSMA7, TK1, ALDH1A2, ANXA7, EIF3D, TPI1, RPL30, EZR, TUBGCP5, SET, KLC1, EIF3F, LARS, HAAO, EIF3I, CSNK1A1, AIMP2, SNX27, SMAD3, CDC23, SNAPIN, MALT1, BAD, APRT, TRADD, CCNB1, CCNB2, GBE1, CCT4, PSMD13, HDAC1, PSMD11, NEDD4, BAX, GAMT, QPRT, RPL37A, YKT6	451	1330	12782	1.8752246469833118	2.844932846080006E-6	4.7415603643408133E-7	8.81812916020408E-6
GOTERM_CC_FAT	GO:0044429~mitochondrial part	51	8.333333333333332	8.633848771027084E-9	MRPL40, MRPS35, NDUFAB1, GOT2, CASP7, MCCC1, LRRC59, NDUFS2, NDUFS1, HMGCL, NDUFB11, FECH, AIFM1, COX4I1, MRPL9, NDUFA10, MRPS18A, UQCRH, MRPL45, PCCA, BID, MRPS16, MRPS15, APEX2, NDUFB7, FDX1, NDUFB9, MRPS12, SFXN2, COX7A2L, NDUFB1, HADHB, MRPL10, GSTK1, MRPL17, HARS2, HAAO, BCKDHA, PDK1, MRPS22, IMMT, MRPS25, IDH3B, BAD, VDAC3, MON2, SLC25A13, MRPL28, MRPL27, UCP2, BAX	451	595	12782	2.4292682926829268	3.962928739609239E-6	5.661336386353355E-7	1.2283466177542834E-5
GOTERM_CC_FAT	GO:0031980~mitochondrial lumen	27	4.411764705882353	1.1552110346767313E-7	MRPL40, MRPS35, MRPS16, MRPS15, FDX1, MRPS12, NDUFAB1, HADHB, GOT2, MRPL10, MCCC1, GSTK1, HARS2, LRRC59, HMGCL, PDK1, BCKDHA, FECH, MRPS22, MRPS25, IDH3B, MRPL9, NDUFA10, MRPL28, MRPS18A, MRPL27, PCCA	451	227	12782	3.371011066938863	5.3022783793821304E-5	6.628001728570254E-6	1.6435295610017775E-4
GOTERM_CC_FAT	GO:0005759~mitochondrial matrix	27	4.411764705882353	1.1552110346767313E-7	MRPL40, MRPS35, MRPS16, MRPS15, FDX1, MRPS12, NDUFAB1, HADHB, GOT2, MRPL10, MCCC1, GSTK1, HARS2, LRRC59, HMGCL, PDK1, BCKDHA, FECH, MRPS22, MRPS25, IDH3B, MRPL9, NDUFA10, MRPL28, MRPS18A, MRPL27, PCCA	451	227	12782	3.371011066938863	5.3022783793821304E-5	6.628001728570254E-6	1.6435295610017775E-4
