Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006412~translation	49	5.499438832772166	1.018323901785663E-10	EIF6, PSTK, RPL15, HBS1L, EIF2A, RPS2, MRPS30, FAU, TARSL2, EIF2B4, YARS, SARS, AARS, MRPS5, MRPL9, MRPS2, RPS19, MRPS18A, RARS, UBC, HARS, DHPS, FARSA, MRPL45, EEFSEC, MRPS16, MRPS12, RPL36, DTD1, MRPL10, MRPL17, GFM1, MRPL16, HARS2, EIF3F, RPL3, SEPSECS, LARS, EIF3I, EIF1AD, AIMP2, MRPS25, RPS5, MRPL24, MRPL28, COG8, MRPL27, RPL7L1, RPL37A, EIF4E2	707	331	13528	2.83258053902067	2.809556387539658E-7	2.809556387539658E-7	1.8165664528169145E-7
GOTERM_BP_FAT	GO:0065003~macromolecular complex assembly	69	7.744107744107744	6.397075554073087E-8	EIF6, OXA1L, TUBB2B, HP1BP3, AP2S1, ATL3, EIF2A, NAP1L4, TAPBP, CTNNB1, NDUFS7, RANBP9, HIST1H2BK, CLP1, ILK, MED27, CASP8, H2AFY, TUBG1, TUBA1A, TUBA1C, ZW10, CUTA, PPP2R1A, HIST1H1B, TP53, FADD, MBD2, CDK5, SPAG9, TAF12, UQCRH, RRM2, SNRPB, PEBP1, CELF1, LAMC1, PPP5C, PARVA, POLR2H, SAMM50, DIAPH1, GRB2, FKBP4, POLR2C, POLR2B, PXN, TSPYL1, MTMR2, SET, TSPYL2, USP39, PEX14, ASF1B, GEMIN7, GLRB, HIST1H2BD, SHPRH, SMAD3, MALT1, ANXA5, PSMG1, PSMG2, MED30, BAX, THRAP3, CAPG, TRPC4AP, QPRT	707	665	13528	1.9853707819761566	1.7647974591217253E-4	8.824376643723486E-5	1.1411597152788389E-4
GOTERM_BP_FAT	GO:0043933~macromolecular complex subunit organization	71	7.968574635241302	1.683338066104658E-7	EIF6, OXA1L, TUBB2B, HP1BP3, AP2S1, ATL3, EIF2A, NAP1L4, TAPBP, CTNNB1, NDUFS7, RANBP9, HIST1H2BK, CLP1, ILK, MED27, CASP8, H2AFY, TUBG1, TUBA1A, TUBA1C, ZW10, CUTA, PPP2R1A, HIST1H1B, TP53, FADD, MBD2, CDK5, TTF2, SPAG9, TAF12, UQCRH, RRM2, SNRPB, PEBP1, CELF1, LAMC1, XRN2, PPP5C, PARVA, POLR2H, SAMM50, DIAPH1, GRB2, FKBP4, POLR2C, POLR2B, PXN, TSPYL1, MTMR2, SET, TSPYL2, USP39, PEX14, ASF1B, GEMIN7, GLRB, SHPRH, HIST1H2BD, SMAD3, MALT1, ANXA5, PSMG1, PSMG2, MED30, BAX, CAPG, THRAP3, TRPC4AP, QPRT	707	710	13528	1.9134370579915134	4.64325179073688E-4	1.5479902119175382E-4	3.0028657349578936E-4
GOTERM_BP_FAT	GO:0010498~proteasomal protein catabolic process	21	2.356902356902357	2.50210945669023E-7	UBXN1, TBL1XR1, UBE2G2, ANAPC4, PPP2R5C, CDC23, ERLIN2, CDC20, PSMA7, CCNB1, PSMB4, PSMA1, PSMD13, PSMA6, PSMD11, PSMB3, PPP2CB, UBC, BUB1B, PSMD4, PSMD8	707	102	13528	3.939429237041351	6.900938609826213E-4	1.725681297459758E-4	4.463448979974416E-4
GOTERM_BP_FAT	GO:0043161~proteasomal ubiquitin-dependent protein catabolic process	21	2.356902356902357	2.50210945669023E-7	UBXN1, TBL1XR1, UBE2G2, ANAPC4, PPP2R5C, CDC23, ERLIN2, CDC20, PSMA7, CCNB1, PSMB4, PSMA1, PSMD13, PSMA6, PSMD11, PSMB3, PPP2CB, UBC, BUB1B, PSMD4, PSMD8	707	102	13528	3.939429237041351	6.900938609826213E-4	1.725681297459758E-4	4.463448979974416E-4
GOTERM_BP_FAT	GO:0031400~negative regulation of protein modification process	22	2.4691358024691357	7.986109253405327E-7	PPP2R1A, GTPBP4, ANAPC4, CDC23, CDC20, PSMA7, CDK5, PSMB4, PSMA1, CDKN2A, PSMD13, SET, G6PD, PSMA6, PSMD11, PSMB3, BAX, UBC, BUB1B, PEBP1, PSMD4, PSMD8	707	119	13528	3.53744666183305	0.0022009427886133803	4.405766022065327E-4	0.001424614999612217
GOTERM_BP_FAT	GO:0031397~negative regulation of protein ubiquitination	17	1.9079685746352413	1.0051168275174229E-6	GTPBP4, ANAPC4, CDC23, CDC20, PSMA7, CDK5, PSMA1, PSMB4, CDKN2A, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	74	13528	4.395733781872396	0.002769277178971574	4.6207966176992077E-4	0.001792990771587455
GOTERM_BP_FAT	GO:0044265~cellular macromolecule catabolic process	69	7.744107744107744	1.588557748469879E-6	BTRC, PPP2R5C, UBE2G2, BNIP3, SAE1, FANCL, CDKN2A, MAP1LC3A, BTBD1, CASP8, ERAP1, PSMD4, RNF149, PSMD8, FBXL17, ADAM9, TBL1XR1, DFFA, AIFM1, DTL, RELA, ANAPC4, ERLIN2, UBE2H, BRAP, WDR48, ASB8, PSMA1, PSMA6, FBXO17, PIAS3, UBC, RNF25, BUB1B, RNF20, XRN2, CUEDC2, OTUD5, PSMA7, RPA1, FBXW9, PSMB4, SUMO2, RPA2, FBXW8, UBE2D2, PSMB3, PPP2CB, USP39, USP33, UBXN1, UPF1, SHPRH, UBE4A, CBL, CDC23, CDC20, MALT1, MARCH7, ATE1, CCNB1, DNA2, PSMD13, RNF7, DCP2, PSMD11, UBA2, BAX, RNF111	707	725	13528	1.821064234502268	0.004373243707346597	6.259232153105199E-4	0.002833755553388606
GOTERM_BP_FAT	GO:0051438~regulation of ubiquitin-protein ligase activity	17	1.9079685746352413	2.1139815567888037E-6	BTRC, ANAPC4, CDC23, CDC20, PSMA7, CCNB1, PSMA1, PSMB4, CDKN2A, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	78	13528	4.170311536648171	0.005815505381073782	7.287944602294427E-4	0.0037710183856121127
GOTERM_BP_FAT	GO:0051439~regulation of ubiquitin-protein ligase activity during mitotic cell cycle	16	1.7957351290684627	2.974708739178687E-6	BTRC, ANAPC4, CDC23, CDC20, PSMA7, CCNB1, PSMA1, PSMB4, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	71	13528	4.311970834910453	0.008173646226087516	9.114991785268423E-4	0.005306385015413362
GOTERM_BP_FAT	GO:0051340~regulation of ligase activity	17	1.9079685746352413	3.5667426803721697E-6	BTRC, ANAPC4, CDC23, CDC20, PSMA7, CCNB1, PSMA1, PSMB4, CDKN2A, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	81	13528	4.01585555380935	0.00979239974028967	9.83582026267471E-4	0.006362443261820339
GOTERM_BP_FAT	GO:0031396~regulation of protein ubiquitination	19	2.132435465768799	3.619845365392056E-6	GTPBP4, BTRC, ANAPC4, CDC23, CDC20, PSMA7, CDK5, CCNB1, PSMA1, PSMB4, CDKN2A, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	100	13528	3.635530410183876	0.009937465254680977	9.07512637373542E-4	0.0064571662494739
GOTERM_BP_FAT	GO:0031145~anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	15	1.6835016835016834	4.990259432102854E-6	ANAPC4, CDC23, CDC20, PSMA7, CCNB1, PSMA1, PSMB4, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	65	13528	4.415623979980416	0.013673812504037874	0.0011466887266748937	0.00890164074560662
GOTERM_BP_FAT	GO:0009057~macromolecule catabolic process	71	7.968574635241302	5.504585130108793E-6	BTRC, PPP2R5C, UBE2G2, BNIP3, SAE1, FANCL, CDKN2A, MAP1LC3A, BTBD1, CASP8, ERAP1, PSMD4, RNF149, CTBS, PSMD8, FBXL17, ADAM9, TBL1XR1, DFFA, AIFM1, DTL, RELA, ANAPC4, ERLIN2, UBE2H, CDK5, BRAP, WDR48, ASB8, PSMA1, PSMA6, FBXO17, PIAS3, UBC, RNF25, BUB1B, RNF20, XRN2, CUEDC2, OTUD5, PSMA7, RPA1, FBXW9, PSMB4, SUMO2, RPA2, FBXW8, UBE2D2, PSMB3, PPP2CB, USP39, USP33, UBXN1, UPF1, SHPRH, UBE4A, CBL, CDC23, CDC20, MALT1, MARCH7, ATE1, CCNB1, DNA2, PSMD13, RNF7, DCP2, PSMD11, UBA2, BAX, RNF111	707	781	13528	1.7394882345377394	0.015072448383751547	0.0011675634186499861	0.00981905405262884
GOTERM_BP_FAT	GO:0051352~negative regulation of ligase activity	15	1.6835016835016834	7.267039120272652E-6	ANAPC4, CDC23, CDC20, PSMA7, PSMA1, PSMB4, CDKN2A, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	67	13528	4.283814308936225	0.019850172485399886	0.001431105974388558	0.012962719157016966
GOTERM_BP_FAT	GO:0051444~negative regulation of ubiquitin-protein ligase activity	15	1.6835016835016834	7.267039120272652E-6	ANAPC4, CDC23, CDC20, PSMA7, PSMA1, PSMB4, CDKN2A, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	67	13528	4.283814308936225	0.019850172485399886	0.001431105974388558	0.012962719157016966
GOTERM_BP_FAT	GO:0051603~proteolysis involved in cellular protein catabolic process	58	6.509539842873176	7.765877824515098E-6	BTRC, UBE2G2, PPP2R5C, SAE1, FANCL, MAP1LC3A, BTBD1, CASP8, ERAP1, PSMD4, RNF149, FBXL17, PSMD8, ADAM9, TBL1XR1, DTL, RELA, ANAPC4, ERLIN2, UBE2H, BRAP, WDR48, PSMA1, ASB8, PSMA6, PIAS3, FBXO17, UBC, RNF25, BUB1B, RNF20, CUEDC2, OTUD5, PSMA7, FBXW9, PSMB4, SUMO2, FBXW8, UBE2D2, PSMB3, PPP2CB, USP39, USP33, UBXN1, SHPRH, UBE4A, CBL, CDC23, MALT1, CDC20, MARCH7, ATE1, CCNB1, PSMD13, RNF7, PSMD11, UBA2, RNF111	707	600	13528	1.8496558227251296	0.02119823101374929	0.0014273896498953054	0.013852473998787751
GOTERM_BP_FAT	GO:0051437~positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle	15	1.6835016835016834	8.718219689846935E-6	CCNB1, PSMB4, PSMA1, PSMD13, PSMA6, PSMD11, PSMB3, BTRC, ANAPC4, UBC, CDC23, PSMD4, CDC20, PSMA7, PSMD8	707	68	13528	4.220817039687162	0.02376668899634926	0.0015022250896654654	0.015551100078836644
GOTERM_BP_FAT	GO:0044257~cellular protein catabolic process	58	6.509539842873176	9.10030565088047E-6	BTRC, UBE2G2, PPP2R5C, SAE1, FANCL, MAP1LC3A, BTBD1, CASP8, ERAP1, PSMD4, RNF149, FBXL17, PSMD8, ADAM9, TBL1XR1, DTL, RELA, ANAPC4, ERLIN2, UBE2H, BRAP, WDR48, PSMA1, ASB8, PSMA6, PIAS3, FBXO17, UBC, RNF25, BUB1B, RNF20, CUEDC2, OTUD5, PSMA7, FBXW9, PSMB4, SUMO2, FBXW8, UBE2D2, PSMB3, PPP2CB, USP39, USP33, UBXN1, SHPRH, UBE4A, CBL, CDC23, MALT1, CDC20, MARCH7, ATE1, CCNB1, PSMD13, RNF7, PSMD11, UBA2, RNF111	707	603	13528	1.8404535549503778	0.024795276822502377	0.0014758426677228265	0.016232592629050746
GOTERM_BP_FAT	GO:0070271~protein complex biogenesis	51	5.723905723905724	9.336800446357508E-6	OXA1L, TUBB2B, AP2S1, ATL3, CTNNB1, TAPBP, NDUFS7, RANBP9, ILK, CASP8, MED27, TUBG1, TUBA1A, TUBA1C, ZW10, CUTA, PPP2R1A, TP53, FADD, MBD2, CDK5, SPAG9, TAF12, UQCRH, RRM2, PEBP1, LAMC1, PARVA, PPP5C, POLR2H, SAMM50, GRB2, DIAPH1, FKBP4, POLR2C, PXN, POLR2B, MTMR2, PEX14, GLRB, SMAD3, MALT1, ANXA5, PSMG1, MED30, PSMG2, BAX, THRAP3, CAPG, TRPC4AP, QPRT	707	505	13528	1.9323819793577661	0.025431385628575387	0.0014301071258745468	0.01665440504369231
GOTERM_BP_FAT	GO:0006461~protein complex assembly	51	5.723905723905724	9.336800446357508E-6	OXA1L, TUBB2B, AP2S1, ATL3, CTNNB1, TAPBP, NDUFS7, RANBP9, ILK, CASP8, MED27, TUBG1, TUBA1A, TUBA1C, ZW10, CUTA, PPP2R1A, TP53, FADD, MBD2, CDK5, SPAG9, TAF12, UQCRH, RRM2, PEBP1, LAMC1, PARVA, PPP5C, POLR2H, SAMM50, GRB2, DIAPH1, FKBP4, POLR2C, PXN, POLR2B, MTMR2, PEX14, GLRB, SMAD3, MALT1, ANXA5, PSMG1, MED30, PSMG2, BAX, THRAP3, CAPG, TRPC4AP, QPRT	707	505	13528	1.9323819793577661	0.025431385628575387	0.0014301071258745468	0.01665440504369231
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	41	4.601571268237935	9.825291805984664E-6	TUBB2B, CAMK2G, BTRC, TIPIN, CHEK1, AURKA, PTTG1, PSMA7, PSMB4, APP, CDKN2A, NCAPG2, PSMB3, CDKN2D, PSMD4, CCNA1, PSMD8, ZW10, RAN, ANAPC4, CDC23, BIRC5, CDC20, DCTN2, CCNB1, PSMA1, PSMD13, CCNB2, PSMA6, NOLC1, RCC2, PSMD11, UBC, BUB1B, HAUS7, RUVBL1, SMC1A, KPNA2, NEK6, ACVR1, PPP5C	707	370	13528	2.12029511831492	0.026743986049493795	0.0014257254897981353	0.017525673529006358
GOTERM_BP_FAT	GO:0051443~positive regulation of ubiquitin-protein ligase activity	15	1.6835016835016834	1.2409383678625098E-5	CCNB1, PSMB4, PSMA1, PSMD13, PSMA6, PSMD11, PSMB3, BTRC, ANAPC4, UBC, CDC23, PSMD4, CDC20, PSMA7, PSMD8	707	70	13528	4.100222267124672	0.0336582240417681	0.0017104206606810557	0.022134515681315747
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	36	4.040404040404041	1.7194405965763717E-5	ALDOA, OXA1L, GNPDA1, ENOX2, NDUFB7, FDX1, NDUFB9, NDUFAB1, NDUFB1, ATP6V0B, NDUFS7, TPI1, GYS1, ATP6V0D1, NDUFS2, NDUFS1, NDUFB11, SLC25A4, CS, COX8A, COX4I1, IDH3B, ATP6V1H, NDUFA10, ATP6V1F, NDUFA11, ATP6V1A, GBE1, SLC25A13, UQCRH, GSK3B, GFPT1, GFPT2, CYBRD1, COX6A1, ACAA1	707	313	13528	2.200758277562124	0.04633209290790696	0.0022564871494356042	0.030668285091239866
GOTERM_BP_FAT	GO:0051351~positive regulation of ligase activity	15	1.6835016835016834	2.053231230017506E-5	CCNB1, PSMB4, PSMA1, PSMD13, PSMA6, PSMD11, PSMB3, BTRC, ANAPC4, UBC, CDC23, PSMD4, CDC20, PSMA7, PSMD8	707	73	13528	3.931719982174343	0.055074538395158745	0.002571652676086389	0.036620812206644704
GOTERM_BP_FAT	GO:0030163~protein catabolic process	58	6.509539842873176	2.234087633160952E-5	BTRC, UBE2G2, PPP2R5C, SAE1, FANCL, MAP1LC3A, BTBD1, CASP8, ERAP1, PSMD4, RNF149, FBXL17, PSMD8, ADAM9, TBL1XR1, DTL, RELA, ANAPC4, ERLIN2, UBE2H, BRAP, WDR48, PSMA1, ASB8, PSMA6, PIAS3, FBXO17, UBC, RNF25, BUB1B, RNF20, CUEDC2, OTUD5, PSMA7, FBXW9, PSMB4, SUMO2, FBXW8, UBE2D2, PSMB3, PPP2CB, USP39, USP33, UBXN1, SHPRH, UBE4A, CBL, CDC23, MALT1, CDC20, MARCH7, ATE1, CCNB1, PSMD13, RNF7, PSMD11, UBA2, RNF111	707	622	13528	1.7842339125965883	0.059777910630721465	0.0026763758568197904	0.03984590568940627
GOTERM_BP_FAT	GO:0051436~negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle	14	1.5712682379349048	2.5268024328973453E-5	ANAPC4, CDC23, CDC20, PSMA7, PSMA1, PSMB4, PSMD13, PSMA6, PSMD11, PSMB3, UBC, BUB1B, PSMD4, PSMD8	707	65	13528	4.121249047981721	0.06734074566038739	0.0029005917942451775	0.04506548838719704
GOTERM_BP_FAT	GO:0007049~cell cycle	68	7.631874298540965	2.906698764929275E-5	TUBB2B, BTRC, E2F8, AURKA, PTTG1, CTNNB1, APP, CDKN2A, FANCI, CDKN2D, ILK, VPS4B, PSMD4, TUBG1, CCNA1, PSMD8, ZW10, RAN, RBL1, ANAPC4, TP53, MCM3, CDK5, DCTN2, PSMA1, PSMA6, RCC2, UBC, BUB1B, HAUS7, BIN3, RUVBL1, KPNA2, NEK6, PPP5C, ACVR1, ZMYND11, HSD3B7, ITGAE, CAMK2G, TIPIN, CHEK1, ZNF655, CHEK2, PSMA7, RPA1, PSMB4, PRUNE2, TSPYL2, NCAPG2, PSMB3, CYP26B1, TFDP2, GPS1, UPF1, SMAD3, CDC23, CDC20, BIRC5, CCNB1, CCNB2, PSMD13, NOLC1, PSMD11, DMTF1, GSK3B, PHGDH, SMC1A	707	776	13528	1.6767231951472026	0.0770654752911536	0.003202739631204543	0.051839276499765496
GOTERM_BP_FAT	GO:0043632~modification-dependent macromolecule catabolic process	54	6.0606060606060606	3.595160573927205E-5	BTRC, UBE2G2, PPP2R5C, SAE1, FANCL, MAP1LC3A, BTBD1, PSMD4, RNF149, FBXL17, PSMD8, TBL1XR1, DTL, ANAPC4, ERLIN2, UBE2H, BRAP, WDR48, PSMA1, ASB8, PSMA6, PIAS3, FBXO17, UBC, RNF25, BUB1B, RNF20, CUEDC2, OTUD5, PSMA7, FBXW9, PSMB4, SUMO2, UBE2D2, FBXW8, PSMB3, USP39, PPP2CB, USP33, UBXN1, SHPRH, UBE4A, CBL, CDC23, MALT1, CDC20, MARCH7, ATE1, CCNB1, PSMD13, RNF7, PSMD11, UBA2, RNF111	707	574	13528	1.8000975806888804	0.09443141632453467	0.003807818851507272	0.06411387500191434
GOTERM_BP_FAT	GO:0019941~modification-dependent protein catabolic process	54	6.0606060606060606	3.595160573927205E-5	BTRC, UBE2G2, PPP2R5C, SAE1, FANCL, MAP1LC3A, BTBD1, PSMD4, RNF149, FBXL17, PSMD8, TBL1XR1, DTL, ANAPC4, ERLIN2, UBE2H, BRAP, WDR48, PSMA1, ASB8, PSMA6, PIAS3, FBXO17, UBC, RNF25, BUB1B, RNF20, CUEDC2, OTUD5, PSMA7, FBXW9, PSMB4, SUMO2, UBE2D2, FBXW8, PSMB3, USP39, PPP2CB, USP33, UBXN1, SHPRH, UBE4A, CBL, CDC23, MALT1, CDC20, MARCH7, ATE1, CCNB1, PSMD13, RNF7, PSMD11, UBA2, RNF111	707	574	13528	1.8000975806888804	0.09443141632453467	0.003807818851507272	0.06411387500191434
GOTERM_BP_FAT	GO:0051248~negative regulation of protein metabolic process	25	2.8058361391694726	4.092707305093917E-5	PSMA7, PSMB4, SET, CDKN2A, PSMB3, PSMD4, PSMD8, EIF2B4, PPP2R1A, GTPBP4, RELA, ANAPC4, CDC23, CDC20, CDK5, PSMA1, G6PD, PSMD13, EIF2AK1, PSMA6, PSMD11, BAX, UBC, BUB1B, PEBP1	707	187	13528	2.5580709331437346	0.10677797903640818	0.00417349279400725	0.07298375922383249
GOTERM_BP_FAT	GO:0022402~cell cycle process	53	5.948372615039282	4.630751341618919E-5	TUBB2B, BTRC, AURKA, PTTG1, CTNNB1, APP, CDKN2A, CDKN2D, ILK, PSMD4, TUBG1, CCNA1, PSMD8, ZW10, RAN, ANAPC4, TP53, DCTN2, PSMA1, RCC2, PSMA6, UBC, BUB1B, HAUS7, RUVBL1, KPNA2, NEK6, ACVR1, PPP5C, HSD3B7, CAMK2G, TIPIN, CHEK1, ZNF655, PSMA7, RPA1, PRUNE2, PSMB4, NCAPG2, PSMB3, CYP26B1, SMAD3, CDC23, BIRC5, CDC20, CCNB1, PSMD13, CCNB2, NOLC1, PSMD11, GSK3B, PHGDH, SMC1A	707	565	13528	1.7949055588238974	0.11994017228999931	0.004552654669966794	0.08257476225148608
GOTERM_BP_FAT	GO:0008104~protein localization	74	8.305274971941639	5.2637456358682944E-5	RAB3GAP2, CLTA, OXA1L, XPO5, AP2S1, XPO4, VPS52, RAB1B, PDIA4, VPS33A, CTNNB1, AIP, VPS4B, NECAP2, RAB24, RAB20, SAR1A, ZW10, AP3B1, CUTA, SEC23A, KDELR3, KDELR2, SCAMP3, STX3, ACTN4, NUP88, RAN, VANGL2, TP53, NUP85, CDK5, SIL1, SORT1, KPNA5, BIN3, SNX12, MRPL45, KPNA2, RAB11FIP1, PACS1, BID, AP1M1, SNX15, NAPA, TRAM2, EZR, PEX19, MORC3, TMED3, DMD, SEC16A, PEX14, APPBP2, SEC23IP, GDI1, RAB2B, GDI2, RABIF, SNX27, SNAPIN, ARF1, COG8, GSK3B, ARF3, BAX, SEC13, TRPC4AP, SNX30, SSR4, YKT6, SSR2, VPS25, KIF20A	707	882	13528	1.6053780305144218	0.13517712725406816	0.004995431619524426	0.09385720608884318
GOTERM_BP_FAT	GO:0032269~negative regulation of cellular protein metabolic process	24	2.6936026936026933	6.307241303827151E-5	PPP2R1A, GTPBP4, ANAPC4, CDC23, CDC20, PSMA7, CDK5, PSMB4, PSMA1, CDKN2A, EIF2AK1, PSMD13, SET, G6PD, PSMA6, PSMD11, PSMB3, BAX, UBC, BUB1B, PEBP1, PSMD4, EIF2B4, PSMD8	707	180	13528	2.5512494106553514	0.15972182027813842	0.005783950698227791	0.11245377105797427
GOTERM_BP_FAT	GO:0006511~ubiquitin-dependent protein catabolic process	29	3.254769921436588	6.465847325254207E-5	UBXN1, TBL1XR1, UBE4A, BTRC, PPP2R5C, ANAPC4, UBE2G2, ERLIN2, CDC23, CDC20, UBE2H, PSMA7, ATE1, CCNB1, PSMB4, PSMA1, PSMD13, UBE2D2, PSMA6, PSMD11, PSMB3, PPP2CB, USP39, UBC, BUB1B, PSMD4, USP33, RNF20, PSMD8	707	242	13528	2.2929617637088384	0.16339102765034041	0.0057382630830100645	0.11528006803781521
GOTERM_BP_FAT	GO:0034660~ncRNA metabolic process	28	3.1425364758698096	6.770557958537384E-5	PUS1, HSD3B7, UTP6, BOP1, INTS3, DTD1, CDKN2A, METTL1, CLP1, INTS7, HARS2, THG1L, LARS, NPM3, TARSL2, NSUN2, YARS, SARS, EXOSC4, AARS, FBL, RPS19, NOLC1, RARS, HARS, WDR3, FARSA, UTP14A, RPP40	707	230	13528	2.329401635815756	0.17039535089645608	0.00582068187153939	0.12070967997296345
GOTERM_BP_FAT	GO:0006396~RNA processing	51	5.723905723905724	7.634476618730186E-5	RALY, U2AF2, INTS3, RBM4B, APP, CDKN2A, CLP1, INTS7, PPP2R1A, EXOSC4, SARS, PTBP1, AARS, TTF2, SRPK1, RPS19, SNRPB, KHSRP, CPSF6, SNRPA, CELF1, SNRNP40, XRN2, MRPL44, POLR2H, PUS1, HSD3B7, UTP6, ZCRB1, BOP1, POLR2C, POLR2B, HNRNPL, METTL1, NUDT21, USP39, THG1L, NPM3, GEMIN7, NSUN2, RBM28, CSTF2, GRSF1, SMAD3, FBL, NOLC1, WDR3, SMC1A, UTP14A, RPP40, RBM17	707	547	13528	1.7840089571767312	0.18993699530620856	0.0063627999214154185	0.1361022558179159
GOTERM_BP_FAT	GO:0015031~protein transport	65	7.295173961840629	9.97630271239487E-5	RAB3GAP2, CLTA, XPO5, AP2S1, XPO4, VPS52, RAB1B, PDIA4, VPS33A, AIP, NECAP2, VPS4B, RAB24, RAB20, SAR1A, ZW10, AP3B1, KDELR3, SEC23A, KDELR2, SCAMP3, STX3, ACTN4, NUP88, RAN, TP53, NUP85, CDK5, SORT1, SIL1, KPNA5, SNX12, MRPL45, KPNA2, RAB11FIP1, PACS1, BID, AP1M1, SNX15, NAPA, TRAM2, PEX19, TMED3, SEC16A, PEX14, APPBP2, SEC23IP, GDI1, RAB2B, GDI2, RABIF, SNX27, SNAPIN, ARF1, COG8, GSK3B, ARF3, SEC13, TRPC4AP, SNX30, SSR4, YKT6, SSR2, VPS25, KIF20A	707	762	13528	1.632196965478325	0.24062528096243785	0.008063196694549024	0.17781568207225762
GOTERM_BP_FAT	GO:0031398~positive regulation of protein ubiquitination	15	1.6835016835016834	1.0358272553714599E-4	CCNB1, PSMB4, PSMA1, PSMD13, PSMA6, PSMD11, PSMB3, BTRC, ANAPC4, UBC, CDC23, PSMD4, CDC20, PSMA7, PSMD8	707	84	13528	3.4168518892705597	0.24858677232660398	0.008132452422236813	0.18461790231325548
