Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	42	2.9391182645206437	3.432010070020908E-14	UQCRC2, NDUFB4, COX11, ATP6V0E1, UQCRC1, NDUFB7, NDUFB8, COX10, ATP6AP1, CYC1, NDUFAB1, COX7A2L, ATP6V1B2, ATP6V1G1, COX5A, COX5B, NDUFB2, NDUFS7, NDUFS6, UQCR10, UQCR11, COX6B1, NDUFS3, NDUFS2, NDUFS1, NDUFA4, NDUFB11, NDUFA2, NDUFB10, COX7A2, NDUFA9, NDUFA6, COX8A, COX4I1, LHPP, ATP6V1F, NDUFV3, SDHA, ATP6V0E2, NDUFV1, COX6A1, UQCRB	616	118	6447	3.72515408320493	9.331202477369516E-12	9.331202477369516E-12	4.5152770411505116E-11
KEGG_PATHWAY	hsa05010:Alzheimer's disease	47	3.2890132960111966	2.3546012438204806E-12	UQCRC2, HSD17B10, NDUFB4, UQCRC1, NDUFB7, NDUFB8, CYC1, NDUFAB1, COX7A2L, COX5A, COX5B, NDUFB2, NDUFS7, NDUFS6, UQCR10, UQCR11, CASP7, MAPT, COX6B1, NDUFS3, NDUFS2, GAPDH, NDUFS1, NDUFA4, NDUFB11, NDUFA2, NDUFB10, COX7A2, NDUFA9, NDUFA6, COX8A, COX4I1, BAD, CDK5, CAPN1, NDUFV3, SDHA, NCSTN, ATF6, NDUFV1, ATP2A1, MAPK3, CALM3, COX6A1, APBB1, CALM2, UQCRB	616	160	6447	3.0743607954545453	6.404405894500087E-10	3.2022029472500435E-10	3.0993541066948183E-9
KEGG_PATHWAY	hsa05016:Huntington's disease	49	3.4289713086074176	1.0054235131438567E-11	UQCRC2, CLTA, CLTB, UQCRC1, AP2S1, CYC1, NDUFAB1, COX5A, COX5B, NDUFS7, NDUFS6, UQCR10, UQCR11, CREB3L2, NDUFS3, NDUFS2, NDUFS1, NDUFB11, NDUFB10, TP53, COX4I1, DCTN4, UQCRB, POLR2H, POLR2G, NDUFB4, NDUFB7, NDUFB8, COX7A2L, POLR2D, NDUFB2, TFAM, COX6B1, NDUFA4, NDUFA2, COX7A2, CREB3, NDUFA9, NDUFA6, COX8A, VDAC3, SOD2, SDHA, PPIF, NDUFV3, SP1, BAX, NDUFV1, COX6A1	616	178	6447	2.881064862104188	2.7347368813934736E-9	9.11578923457057E-10	1.3234524587346641E-8
KEGG_PATHWAY	hsa05012:Parkinson's disease	38	2.6592022393282013	2.3516145984099664E-10	UQCRC2, NDUFB4, UQCRC1, NDUFB7, NDUFB8, CYC1, NDUFAB1, COX7A2L, COX5A, COX5B, NDUFB2, NDUFS7, NDUFS6, UQCR10, UQCR11, COX6B1, PRKACA, NDUFS3, NDUFS2, NDUFS1, NDUFA4, NDUFB11, NDUFA2, NDUFB10, COX7A2, NDUFA9, NDUFA6, COX8A, UBE2J1, COX4I1, VDAC3, PARK7, NDUFV3, SDHA, PPIF, NDUFV1, COX6A1, UQCRB	616	127	6447	3.1315318539727985	6.396391127871937E-8	1.59909782082579E-8	3.095479539361179E-7
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease (NAFLD)	40	2.7991602519244227	5.265476868375314E-10	UQCRC2, NDUFB4, UQCRC1, NDUFB7, NDUFB8, CYC1, NDUFAB1, COX7A2L, COX5A, COX5B, NDUFB2, NDUFS7, NDUFS6, UQCR10, UQCR11, XBP1, CASP7, COX6B1, NDUFS3, NDUFS2, NDUFS1, NDUFA4, NDUFB11, NDUFA2, NDUFB10, COX7A2, NDUFA9, NDUFA6, COX8A, COX4I1, ADIPOR1, NDUFV3, SDHA, GSK3A, NDUFV1, BAX, COX6A1, MAPK9, MAPK8, UQCRB	616	142	6447	2.9481434058898848	1.4322096264507422E-7	2.8644194127736E-8	6.931057838777122E-7
KEGG_PATHWAY	hsa01200:Carbon metabolism	33	2.309307207837649	1.927930673006267E-9	TALDO1, ME2, PGD, ADH5, ECHS1, ACSS2, HADHA, PKM, TPI1, MUT, ACSS1, GOT1, MCEE, IDH2, GAPDH, ENO1, DLST, SHMT1, SHMT2, ACADM, ACADS, CS, SDSL, IDH3B, SDHA, GPI, PGLS, PHGDH, PGK1, PCCB, PCCA, MDH2, PRPS1	616	107	6447	3.227803738317757	5.243970144785948E-7	8.739952150893515E-8	2.5377756340816404E-6
KEGG_PATHWAY	hsa01100:Metabolic pathways	164	11.476557032890133	1.163487311362674E-8	LDHB, GNPDA1, GNPDA2, CNDP2, ATP6AP1, PGD, DTYMK, NDUFAB1, COX5A, ACSS2, COX5B, FAH, UQCR10, ACSS1, NANS, UQCR11, GOT1, AGPS, SPR, DDOST, BPNT1, HMGCL, ACAA2, PGLS, GLUL, PGM1, PCCB, PCCA, MDH2, GATC, PRPS1, CHKA, HSD17B10, AHCY, TALDO1, ATP6V1B2, HADHA, TK1, MUT, POLE4, TPI1, POLE3, CERS2, GMPPA, IDH2, COX6B1, PEMT, GALE, AK1, NTPCR, COX8A, FDPS, FAM213B, AK2, IDH3B, GART, NDUFV3, ATP6V0E2, NDUFV1, ALDH2, COX6A1, QPRT, AHCYL2, FPGS, DCXR, NNMT, DUT, UQCRC2, PTGES3, IMPA2, COX11, ATP6V0E1, PTGES2, UQCRC1, COX10, HEXA, SAT2, CYC1, ACOT2, ALG5, PMVK, ASAH1, CKB, PKM, NDUFS7, CDS2, NDUFS6, P4HA2, P4HA1, MCEE, PIGC, NDUFS3, NDUFS2, NDUFS1, NT5C, MRI1, NDUFB11, ACADM, NDUFB10, ACADS, PIGT, COX4I1, GMPS, PIGO, PMM1, COQ5, COQ6, ATP6V1F, LAP3, UMPS, RRM2, ALDH9A1, UQCRB, ALPL, POLR2H, POLR2G, NDUFB4, ALDH18A1, SORD, GANAB, NDUFB7, NDUFB8, ADH5, DCK, ECHS1, ATP6V1G1, POLR2D, NDUFB2, ALDH1A2, GALK1, CBR1, HAAO, PAFAH1B3, DAD1, PNPO, UCK2, HSD17B4, PAPSS1, AGK, GAPDH, GBA, ENO1, NDUFA4, BCKDHA, SHMT1, DLST, SHMT2, NDUFA2, PLA2G16, NDUFA9, NDUFA6, CS, SDSL, SDHA, GPI, ITPA, MPI, PYGM, PHGDH, DPM1, GAMT, PGK1, PAICS, SCP2	616	1150	6447	1.4925296442687748	3.1646804844465137E-6	4.5209782528754516E-7	1.531522664244278E-5
KEGG_PATHWAY	hsa01130:Biosynthesis of antibiotics	47	3.2890132960111966	1.846364017049589E-8	HSD17B10, LDHB, TALDO1, PGD, ADH5, ECHS1, ACSS2, HADHA, PKM, TPI1, ACSS1, FNTA, GOT1, IDH2, ZMPSTE24, PAPSS1, GAPDH, BPNT1, ENO1, BCKDHA, DLST, SHMT1, ACAA2, SHMT2, ACADM, AK1, CS, FDPS, SDSL, AK2, IDH3B, ICMT, GART, SDHA, GPI, PGM3, PGLS, PGM1, PHGDH, ALDH2, PGK1, PCCB, PAICS, PCCA, MDH2, ALDH9A1, PRPS1	616	205	6447	2.39950110864745	5.0220975624792885E-6	6.277635745677301E-7	2.4304074530689945E-5
KEGG_PATHWAY	hsa04146:Peroxisome	20	1.3995801259622114	1.92480004973772E-4	HACL1, PAOX, ECH1, PRDX5, PEX5, PMVK, PRDX1, SOD2, PECR, PEX19, AGPS, PEX2, GSTK1, IDH2, ABCD3, PXMP2, ABCD4, HSD17B4, SCP2, HMGCL	616	82	6447	2.5526607538802657	0.051012451016978266	0.005800843159512015	0.25306909811043665
KEGG_PATHWAY	hsa00280:Valine, leucine and isoleucine degradation	14	0.979706088173548	1.9592443522967038E-4	BCKDHA, HSD17B10, ACAA2, ACADM, ACADS, ECHS1, HADHA, MUT, MCEE, ALDH2, PCCB, PCCA, HMGCL, ALDH9A1	616	45	6447	3.2560606060606063	0.051901299421827196	0.005315489285634967	0.2575923757776155
