LIST1	LIST2	LIST3	LIST4	LIST5
ODR4	BICD2	ITPR3	RPL15	SPATS2L
ATP5S	MRPS30	ZFHX3	FDX1	F2RL2
THEM6	APRT	GRIK5	ELOB	HEG1
TMEM120B	PDLIM1	TNRC18	TIMM21	CHSY3
MIER1	FADD	USP49	SNX3	JAG2
RIPK2	NAPA	LRFN4	CIRBP	UCP2
ASPHD2	FKBP8	NBEAL2	GSTK1	ARHGAP29
GBE1	ATP5PB	ZNF704	SNRNP40	TMEM198
LZTS1	GCDH	PLEKHM2	AKR7A2	PCDH10
TSSC4	SNTB1	ZNF462	CBX5	ISG20L2
ZNF326	PRUNE2	PPP6R2	PPDPF	MADD
TJP2	KIF2C	MEGF8	C6orf106	SMARCA4
DDX23	DNPEP	KIAA0100	ACSS1	SUZ12
WDR75	C17orf62	ABL1	XRCC6	NOP14
PDXK	UGDH	FAM193A	ZFYVE19	VAC14
MKNK1	PEX16	CSNK1G2	GRN	STON2
COPA	C5orf15	TRAK1	NDUFS1	TAF6
AMPD2	MRPS22	MYO10	SRSF5	PRELID1
MBOAT7	YARS	CACNA1G	RHPN2	TBL1X
NRSN2	KHSRP	MFHAS1	PFN1	AAK1
RETREG2	PDLIM4	RGMB	COL9A3	LMTK2
FASN	SURF1	AXIN1	ASPH	C18orf21
TUBA1C	MAD2L2	DOT1L	CENPH	FAT4
GRB2	RARS	KMT2C	TMEM160	SLC30A5
FAM118A	UBL5	USP36	GALK1	NT5DC2
TTC9	FKBP4	PPP1R16A	CWF19L1	ZBTB17
POFUT1	PHF23	TRIM71	UTP14A	ELK3
ELL	GOT2	TFDP1	MRPS35	VEZT
DYNC2LI1	ELP4	MED13L	TM9SF4	ERBB2
GTPBP10	CCDC22	PPP1R37	TMEM199	GON4L
SH3GLB1	VCL	ATP10A	MEAF6	FAM120A
NOM1	NUP133	TBC1D9B	LIX1L	CBFA2T2
MRPS2	NUP188	FBRSL1	TFDP2	EVC
SEC24B	AGK	PITX1	MTA3	PGF
PPP3CB	OSBP	SGSM2	TRA2A	LOXL1
CEBPA	EIF2B4	KAT6A	OXLD1	LHX8
NOL6	PNPT1	PCDH17	NGRN	RALBP1
