Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	107	12.707838479809977	2.3473631280358464E-7	ADCY7, RPS6KB2, KIFC3, KIF13A, MAP3K6, MAP3K5, MAP3K4, AAK1, DHX34, INSR, EGFR, TYRO3, MAGI3, CSNK1G1, WNK1, ABCC10, WNK2, NAV3, MARK4, MAP4K4, MAP4K5, BAZ1B, NAV2, FBXO18, NEK4, EIF2AK4, KIF26B, SMARCA4, NEK7, FGFR1, KIF4A, GCLC, GNE, ERBB2, BMPR2, ABCA3, EPHB4, LMTK2, DDX41, RECQL4, TAF1, KIF3B, MOCS3, TAOK2, ATP13A2, GLYCTK, ATP13A1, DYRK1A, RAD54L2, MYO19, GRK2, MYLK, PIP4K2B, BCKDK, SEPHS1, TTLL5, HELZ, TTLL12, CAMKK2, AKT1, MCM8, NOD1, CDK12, EEF2K, CSK, DYNC1H1, MDN1, IP6K3, CDK13, AKT2, IRAK1, MINK1, PKN1, PI4KB, PRKCE, TOR2A, HIPK3, ERN1, KSR1, SRCAP, UBE2S, WRNIP1, MKNK2, TRIB3, BMS1, IGF1R, CHD8, MAP3K3, DGKD, SPEG, TAP1, BUB1, CERK, ERCC3, EHD3, TRIP13, CHD3, CNNM2, AXL, NADK, PAPOLA, MAPK12, ADCY9, FYN, DGKZ, TEP1, ABCC5	731	1398	15720	1.6459315535776144	1.8800613327785154E-4	1.8800613327785154E-4	3.6037961197443735E-4
GOTERM_MF_DIRECT	GO:0005515~protein binding	456	54.156769596199524	5.21006380495264E-7	LTBP2, PGF, EHHADH, RUSC2, ZNF639, ANKLE2, KIFC3, MAP3K5, BRPF1, MAP3K4, JAGN1, CCAR1, TYRO3, MAGI3, TTC7B, MECP2, ZHX3, ESPL1, ISG20L2, PTPRO, MARK4, RPTOR, PITPNM1, FAAP100, AQR, TRAPPC8, BACE1, ZZZ3, UNC13B, ORAI2, KIF4A, MGAT5B, PPP2R3A, GNAI2, CCDC92, GNAI1, ERBB2, MTX2, NIFK, ZNF232, PRRC2A, PRRC2B, ARFGEF2, TEN1, SCRIB, ATN1, RECQL4, ZNF398, DVL3, KIF3B, SFMBT2, FNIP2, DVL1, SYNE1, WDR62, PKP4, MZF1, SMURF2, RAD54L2, SLC9A1, TAF1C, BCKDK, SEPHS1, CRNKL1, RNF185, PWWP2B, PHF20, DAXX, GTSE1, FBXL19, POMGNT1, NOD1, MGRN1, SPG21, ZNF490, MYC, BRD9, HYAL2, SH3PXD2A, ZC3H7B, NECTIN1, TLE1, ZNF687, PI4KB, GTF2H1, SRGAP3, USP21, KSR1, CLOCK, ZNF276, APC2, HIST1H2AG, KIAA1958, WRNIP1, MKNK2, PLEKHG4, FAN1, MMACHC, DGKD, PER2, BUB1, USP37, TCEA2, CERK, TBC1D1, FBXW11, TRIP13, BRD2, CNST, AXL, NADK, AP5B1, WDR26, DGKZ, WDR24, ZNF764, USP42, MTSS1, XPO6, RBM15B, EIF5, GNA12, JAG2, IL17RA, TGFB1, IFT122, PDE4A, AAK1, PUM3, FBXO22, INSR, EGFR, HDAC10, MTA1, STIM1, DLL1, ARID1A, KDM2B, HIF1A, KDM2A, FBXO18, MGA, SPATA13, TNFAIP1, CRACR2A, SMARCA4, PHKA2, PAM, ACHE, CAMTA2, BMPR2, CXXC5, NR2C2, PEG10, DOCK1, NIPBL, FBXW5, JUND, ZNF426, FBXO42, TRAF6, DDX41, PALB2, FAM160A2, TAF1, VAC14, EHMT1, TAF6, ADAM23, SMG5, SMG8, GAREM1, VAV2, UIMC1, GLYCTK, HDAC4, TSC2, DYRK1A, LRRC8A, E2F5, YLPM1, MIGA2, ZKSCAN5, FRMD6, LRRFIP2, CDK5RAP2, KDM5A, CCDC106, KMT5A, SSBP4, PKN1, BANP, IRF2BP1, PRPF6, NCOA1, NCOA3, DEF6, ZFYVE26, NCOA6, ERN1, MCC, MAPRE2, INPP4A, EPN1, STON2, PHLPP1, APH1B, EGLN2, NFYB, PPM1B, PRDM16, STUB1, IGF1R, CHD8, PRPF8, C1QTNF1, NEDD4L, UBTD1, INPP5A, EHD3, NFATC1, CHD3, CHDH, SLC12A2, NF1, WBP1L, PPP1R9A, SNX33, ALKBH3, TBL1X, TMEM19, UTRN, RNF216, UHRF1BP1, ERLEC1, ZNRF3, KIF13A, HOOK2, PICALM, RBM8A, WWP1, C7ORF49, TMUB1, AFDN, RARA, HTRA3, FTL, RARG, POLG, CIZ1, WNK1, VASH1, PRDM4, BAZ1B, NAV2, TBRG1, PRDM5, PEX26, TGFBRAP1, SUPT6H, TICRR, ASAP2, DAG1, ASAP1, OCRL, EPHB4, LHX8, TBKBP1, MOCS3, MAML1, ATP13A2, NOTCH3, RNF8, NOTCH2, POLRMT, SEMA6A, RABEP1, EPS8, ETS2, GRK2, NCOR1, NCOR2, KLF4, JPH2, GOLGA1, DYNC1H1, GOLGA3, INPPL1, MBD4, POLR1B, RAB11FIP4, SENP3, ZDHHC17, MED8, SDCCAG3, SRCAP, ADAM15, THAP7, CEP120, FAM69B, ZBTB17, SLC19A2, ZBTB18, PGBD1, MORC4, KLC1, FAT4, SPEG, FAT1, RBSN, AGO1, SPATA2, APBA3, MLLT1, ZWILCH, FYCO1, BCL9, BAIAP2L1, TBX2, TECPR2, FZD1, SPSB4, AFF1, FZD4, ITPR1, MICALL1, PRELID1, PAPOLA, TJP1, UBTF, MAPK12, FYN, CDON, SVIL, KREMEN1, PTCH1, TMTC2, F2RL2, STIL, MCM10, TBC1D16, ROBO1, TBC1D14, SPRED2, PDGFC, ITCH, RNF34, PAG1, C2CD3, CSNK1G1, MADD, TRIM41, SECISBP2, TNKS2, SUZ12, TNS3, MAP4K4, MAP4K5, SLU7, CLIP1, RNF24, AKAP6, CLIP4, ERC1, FGFR1, TNFAIP8L1, GNE, CEP95, SNX8, CCDC14, ELK1, ITGB5, KEAP1, ELK3, TRRAP, UBAC1, BLOC1S2, LMTK2, SSX2IP, PLXND1, SETDB1, PTPN9, PTPN3, MMADHC, HTT, TXNDC12, UCP2, SPTBN1, KCTD15, CPNE2, SCARA3, PDCD6, MYLK, GPATCH8, PIP4K2B, TLN2, HPS3, FOXK2, NCS1, CBFA2T2, LARP1, AKT1, MCM8, PLCB4, PCGF3, HPSE, KLHL22, CDK12, NCKIPSD, CSK, MDN1, MAPKBP1, BOC, CDK13, AKT2, IRAK1, REV1, RABL6, RALBP1, MINK1, TBCEL, PRKCE, EIF4G1, EIF4G2, ARHGAP32, EYA1, EML1, CRKL, SBF2, PPP1R15B, PPP4R2, GLIS2, TRIB3, HCFC1, N4BP1, POM121, MAP3K3, CENPA, TAP1, ERCC3, NEFL, GEMIN5, NACC2, TONSL, DTX3, TMBIM4, NFASC, FRMPD1, ISOC2, TUBGCP2, MON2, PSMG2, EVI5L, MAPK8IP1, RNF40, F2R	731	8412	15720	1.1657374358694146	4.172391510072204E-4	2.0864134110820665E-4	7.99874928791855E-4
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	35	4.156769596199525	1.7204970194278126E-5	ERBB2, MKNK2, TRIB3, RPS6KB2, AKT1, MAP3K6, MAP3K5, MAP3K4, MAP3K3, AAK1, EEF2K, BUB1, CDK12, ERCC3, CDK13, AKT2, EGFR, IRAK1, CSNK1G1, TAOK2, WNK1, PKN1, MINK1, PRKCE, GTF2H1, MAP4K4, MAP4K5, MAPK12, HIPK3, DYRK1A, GRK2, NEK4, KSR1, EIF2AK4, NEK7	731	336	15720	2.2400820793433653	0.013686772303911243	0.004583231352466632	0.02641076436332712
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	28	3.32541567695962	7.908531924229401E-5	TBC1D8, RALGAPB, ASAP2, ASAP1, ARHGAP35, OCRL, TBC1D16, DOCK1, TIAM2, TBC1D14, ARHGAP42, RANBP1, DEPDC1B, RASA3, TBC1D1, ARHGEF10L, RASA2, ABR, RALBP1, NF1, ARHGAP29, ARHGAP32, RABEP1, SIPA1L1, TSC2, SRGAP3, EVI5L, SYNGAP1	731	260	15720	2.315900242028833	0.06138495425811963	0.015712708308667556	0.12134728852347676
GOTERM_MF_DIRECT	GO:0042826~histone deacetylase binding	15	1.7814726840855106	2.0781577067575992E-4	CAMTA2, NACC2, SMG5, HDAC10, MECP2, PKN1, UHRF1BP1, HDAC4, HIF1A, NIPBL, RARA, TRAF6, NCOR1, NCOR2, KLF4	731	100	15720	3.225718194254446	0.1533583296308202	0.03274735055390465	0.31857493438472995
GOTERM_MF_DIRECT	GO:0016922~ligand-dependent nuclear receptor binding	7	0.831353919239905	2.1748848781854365E-4	NCOA1, NCOA3, SMARCD3, JUND, ARID1A, NCOR1, NCOR2	731	20	15720	7.526675786593707	0.15989401764851197	0.028620323291020155	0.3333797670460603
GOTERM_MF_DIRECT	GO:0016301~kinase activity	24	2.8503562945368173	2.3951823484788022E-4	IRAK1, TAF1, BCKDK, MAGI3, SGMS2, GNE, ERBB2, WNK1, TRIB3, AKAP10, TRRAP, PI4KB, AKT1, EPS8, DGKD, BUB1, HMGXB3, DGKZ, AKAP6, MAPK8IP1, CERK, CSK, MAPKBP1, MYLK	731	220	15720	2.345976868548688	0.17459168355574162	0.0270387397086288	0.367090306327722
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	33	3.9192399049881232	2.67026737219514E-4	BCKDK, MKNK2, RPS6KB2, CAMKK2, AKT1, MAP3K6, MAP3K5, SPEG, AAK1, EEF2K, BUB1, LMTK2, CDK13, AKT2, IRAK1, TAF1, CSNK1G1, TAOK2, WNK1, PKN1, MINK1, WNK2, PRKCE, MARK4, MAP4K4, MAP4K5, MAPK12, HIPK3, DYRK1A, ERN1, NEK4, EIF2AK4, NEK7	731	355	15720	1.9990366274252904	0.19258458496981878	0.026385283935734027	0.4091696259393651
GOTERM_MF_DIRECT	GO:0003677~DNA binding	101	11.995249406175772	3.386949279627554E-4	BRPF1, PUM3, ZNF445, MCM3AP, ZNF45, RARG, POLG, MECP2, ZHX3, ARID1A, FAAP100, KDM2B, KDM2A, PRDM4, GTF2IRD1, FBXO18, MGA, ZZZ3, SUPT6H, KIF4A, CAMTA2, HOXA13, SSH2, ZSCAN5A, ZNF618, NR2C2, PEG10, TCF20, ZNF696, CASZ1, ZNF74, ZNF426, PALB2, LHX8, DDX41, ZNF398, SETDB1, TAF6, RFX7, ZNF521, UBP1, ZNF629, HOXB3, MSL3, POLRMT, ETS2, RAD54L2, NCOR1, NCOR2, E2F5, PHF20, ZKSCAN5, FBXL19, MCM8, ZNF490, KDM5A, ALX4, MYC, KDM5C, ELMSAN1, KIAA1841, TTF1, BANP, ZNF687, POLR1B, MYRF, SRCAP, CLOCK, ZNF276, GLIS3, THAP7, THAP4, HIST1H2AG, KIAA1958, WRNIP1, ZBTB12, ARHGAP35, GON4L, NFYB, ZBTB17, ZBTB18, KIN, HIC2, FAN1, CHD8, CENPA, HMGXB4, MLLT1, HMGXB3, MLXIP, TCEA2, ERCC3, ZSCAN29, SIM2, CHD3, NFATC1, TBX2, POLR3A, ZNF668, ZNF764, REPIN1	731	1542	15720	1.4085496654548166	0.23764319947925971	0.0296990079405679	0.5187213045064865
GOTERM_MF_DIRECT	GO:0005089~Rho guanyl-nucleotide exchange factor activity	12	1.4251781472684086	5.149431569750271E-4	PLEKHG4, PLEKHG3, DOCK1, ABR, TIAM2, RASGRF2, ARHGEF25, ARHGEF40, VAV2, SPATA13, ARHGEF10L, MCF2L	731	73	15720	3.5350336375391187	0.3380569171927209	0.04041806182501084	0.7876545571070093
