LIST_1	LIST_2	LIST_3	LIST_4	LIST_5	LIST_6
BICD2	RPL15	SPATS2L	MRPS30	ITPR3	ODR4
ATP5PB	FDX1	F2RL2	APRT	ZFHX3	ATP5S
GBE1	ELOB	HEG1	PDLIM1	TNRC18	THEM6
KIF2C	TIMM21	CHSY3	FADD	USP49	TMEM120B
UGDH	SNX3	UCP2	NAPA	LRFN4	MIER1
DDX23	FKBP8	ARHGAP29	GCDH	NBEAL2	RIPK2
MRPS22	CIRBP	TMEM198	SNTB1	ZNF704	ASPHD2
YARS	GSTK1	PCDH10	PRUNE2	PLEKHM2	LZTS1
RARS	SNRNP40	GRIK5	DNPEP	ZNF462	TSSC4
FKBP4	AKR7A2	SUZ12	C17orf62	PPP6R2	JAG2
PHF23	CBX5	NOP14	PEX16	MEGF8	ZNF326
GOT2	PPDPF	VAC14	C5orf15	KIAA0100	TJP2
VCL	C6orf106	STON2	PDXK	ABL1	ISG20L2
NUP133	ACSS1	TBL1X	KHSRP	FAM193A	WDR75
NUP188	XRCC6	LMTK2	PDLIM4	CSNK1G2	MADD
AGK	ZFYVE19	C18orf21	SURF1	TRAK1	MKNK1
OSBP	GRN	FAT4	MAD2L2	MYO10	SMARCA4
EIF2B4	NDUFS1	SLC30A5	UBL5	CACNA1G	COPA
PNPT1	SRSF5	NT5DC2	ELP4	MFHAS1	AMPD2
APP	RHPN2	ZBTB17	CCDC22	RGMB	MBOAT7
LPIN1	PFN1	ELK3	POFUT1	AXIN1	NRSN2
TUBA1A	RAB11FIP1	VEZT	PCNA	DOT1L	RETREG2
BCS1L	COL9A3	GON4L	BAD	KMT2C	FASN
CEP85	STK39	FAM120A	CREB1	USP36	TUBA1C
COL19A1	SFXN2	CBFA2T2	MAGED1	PPP1R16A	GRB2
ANK2	ASPH	EVC	MIDN	TRIM71	FAM118A
BIN1	CENPH	PGF	ZSWIM7	TFDP1	TTC9
ATP5F1B	TMEM160	LOXL1	ZSCAN25	MED13L	ELL
LARP4B	GALK1	LHX8	DEDD	PPP1R37	DYNC2LI1
FAM49B	CWF19L1	RALBP1	MRTO4	ATP10A	GTPBP10
NUP98	UTP14A	FBXO42	TIPIN	TBC1D9B	SH3GLB1
MED15	MRPS35	NEK4	ATP5F1D	PITX1	TAF6
STARD10	TM9SF4	SLC27A4	MKS1	SGSM2	PRELID1
RPA3	TMEM199	MAP3K4	UBE2Q1	KAT6A	NOM1
SNX17	MEAF6	DHX34	GAA	PCDH17	MRPS2
VEZF1	LIX1L	DVL1	MRPL9	NSD1	SEC24B
SEC14L1	CDH13	MICALL1	TIMP2	TRAPPC10	PPP3CB
ATP1B3	TFDP2	ROBO1	PPP6C	KCNC1	AAK1
ZNF609	MTA3	HPS3	THOP1	B4GALNT4	CEBPA
FN1	TRA2A	UBR3	KLHL7	SLX4	NOL6
MGME1	OXLD1	PRRX2	PPT1	PLXNA3	VEGFA
HADHB	NGRN	THAP4	GINM1	CIT	SLC31A1
TPI1	RPRD1A	KCTD12	DCUN1D3	RNF10	SPNS1
MPC1	CCDC117	TRAF6	VASP	GBA2	PRKD2
NEK6	SNAP29	CC2D2A	ATRN	PIGH	WDR5
UNKL	MPI	KIAA1614	MPDU1	BRD1	SLC2A6
TXNL1	ZFPL1	FNDC5	CALU	AGAP2	TRIM44
ARRDC1	QPRT	NOD1	IFITM2	ADAMTS5	POC1A
XRN2	SAMD8	UBE2S	CIAPIN1	GPR153	PRR14
RPSA	NPC2	RNF169	VPS4A	FBF1	Sep-09
Mar-07	DPYSL2	TMTC1	HTRA2	INPP5E	ODF2
BAG4	MNT	TRIM37	OSTM1	COL27A1	CYTH1
CCDC47	P4HA2	CCAR1	DSTYK	SKI	PPM1G
SYMPK	PPME1	POLR1B	ITGAE	NXPE3	SATB2
FAM98A	SLC25A1	KIAA1549	PGS1	TET3	NIF3L1
SLC25A13	ASB1	AP3D1	TMEM63B	CHD2	RIMS3
ANKMY2	SH3BGRL3	EVC2	TMEM41A	ATP8B2	ITPK1
MEGF10	MAP3K12	RALGAPB	CDKN2AIPNL	PKD1	ERCC4
C17orf53	COX4I1	ZNRF3	EHBP1L1	DLG5	NR2F6
FKBP3	ATOX1	C7orf49	CCNK	TRIM8	EPHA3
MTMR12	PSMD4	TP53I13	NDUFB9	NSMF	KLF13
PANK4	DCTN2	LARP1	SNU13	SEL1L3	ETV3
LRRC1	RAB11A	SIM2	NDUFB7	BTAF1	S100PBP
PSMA6	CDC23	NETO2	TRIM68	MBTPS1	RRS1
CLK3	DCK	NAV2	CDC25A	MAST2	Sep-11
SPTLC1	DNAJB11	IMPAD1	ZC3H18	ATXN1	PCDHGA10
ACIN1	MRPL54	DIAPH2	ECE1	PTPRS	ERBB2
MAST1	TMPO	PAQR4	WDR82	AADAT	TMEM147
CLU	RCN3	BCKDK	CYP51A1	SHB	JRK
CRMP1	DAZAP2	TBC1D1	NHP2	MAN1A2	CNKSR3
TRIP12	FAM161B	FZD1	CMPK1	MYO18B	VAMP3
ZBTB14	COX7A2L	FBXL18	NDUFA13	POMGNT2	UBE4A
LCMT1	ACP5	IGSF3	MRPS17	SH2B3	PWP1
CRBN	NEPRO	TMEM129	BCAT2	GLI3	PKN2
CCDC124	RPL36	FAM69B	ZNF689	MAPKAPK5	MALT1
ARMC9	ZKSCAN8	MYO18A	MALSU1	ATP11A	CNP
COX14	PLEKHB1	ARID1A	MRPL21	TNRC6C	BTBD9
ATP2A2	HOXB7	MIGA2	BOP1	CAPN15	CAMKK2
OGG1	SNX15	CHST12	NOL12	SMO	RAVER2
NUDC	HMGCL	USP21	C1orf35	PCNX3	TRIM28
UXT	DSCR3	ZNF426	NENF	CHD6	ITGA9
FLT4	RPL37A	TEN1	MRPL19	DAPK1	YTHDC1
AURKA	RPL29	KLF4	TOMM20	ALKBH5	ELP2
AIMP2	MED20	CDON	FOSL2	SLC35B2	ARIH2
NT5C2	BUD13	ZNF618	PIAS3	RAPGEF1	KIAA0355
KPNA4	SEC13	SPECC1L	SLC7A6OS	KIFC2	ABCC1
C1orf53	ATF6B	ZDHHC17	BIN3	SSH1	CNN3
LUZP1	ACOT7	KIF4A	VAPA	ZC3H11A	SLC16A3
WDR48	MRPS25	HIPK3	WDR91	SPRED1	XRCC3
HKR1	SUDS3	ZNF106	METAP1	ZNF324B	VGLL2
GSTO1	BABAM2	CLIP4	L1CAM	UTS2R	MRPS9
PUM2	NSFL1C	APH1B	ARHGAP1	DENND4B	TUBGCP5
SFPQ	WDR18	GNA12	TP53INP2	KIF26A	KLHL42
SCD	SNX12	ANKRD54	VPS37C	ADCY3	RELA
ELP3	TMEM206	SLC45A4	PPP2R1A	KIF1C	LIN7A
CYTH3	GANAB	FBRSL1	CHID1	ARHGAP39	MAPRE2
PCDHAC1	TBC1D22A	NCKIPSD	ATP1B1	SBF1	CYP27A1
RAB20	PGM3	LRRC8A	TMEM141	ATXN7L3	SLC41A3
FECH	LSM11	MAP3K5	VANGL2	FOXN3	TSPYL2
AP2A1	SOCS4	SLU7	PSMD13	LRP8	MPC2
R3HCC1L	DCTN6	PLXND1	RRP9	MAP3K11	ZMYND11
EBP	HMOX2	FMNL3	VPS51	PER3	PCDHB16
TPT1	PMM1	EHBP1	SCPEP1	GABBR1	HIST1H2BC
LMNB2	CBSL	EPN1	PDCD2	EXT1	TATDN2
TXNDC17	NDUFB11	FBXL19	RAB18	RALGDS	PHAX
CCDC28A	MRPS36	DEF6	TSPAN4	HS6ST1	ANLN
INTS7	PHGDH	BACE1	DYNLL2	PLXNA1	GRK6
MLX	NIT1	TIAM2	TMEM143	UBN1	XYLT2
DYNC1I2	E2F7	SLC35F5	TSPAN15	AGBL5	AFF4
HDAC1	BRK1	NCOA3	CCDC115	ZFAT	LIMA1
TATDN3	ASAH1	YEATS2	NECAP2	ARHGEF12	TMEM25
FXR1	TXN2	SYNE1	TCAF1	TRIO	SGSM3
GPS1	RBM3	CEP78	TTC31	TTBK2	TANC1
CDIP1	MMS19	AKT2	ZSWIM6	RBBP8	G6PC3
OS9	MYOG	TLE1	ACVR1	KIF21B	FMN1
LMAN2	PTMS	MGAT1	ACTB	ARHGAP23	WDR46
BACH1	ITPA	TBCEL	DYNC1LI1	PITPNM2	HIST1H2AG
ECI2	GLUL	CDK13	TPPP3	FOXM1	SKIV2L
FANCI	NDUFS2	EPG5	WDR83OS	ZNF71	TST
HSPA9	GART	GNAI2	WRAP73	EFL1	SERBP1
TCEA3	TTC17	C6orf47	NCLN	KDM4B	ZMIZ1
MYL12B	PSMD11	CUX1	RNF181	ITGB8	MED14
ACSF2	NDUFS6	USP3	ATP6V1H	HIPK2	CCNB1
TRIP10	CTDSP2	SLC12A2	ISYNA1	HACE1	ABCB6
RANBP10	BAX	MON2	TXNDC11	ZNF496	KPNA5
PWP2	CLNS1A	POM121	FSD1	ABTB2	NFATC4
CLPTM1	CAPNS1	RABL6	CYBRD1	TBC1D9	MAP3K9
MPP5	RASSF4	FBXW5	RTL8B	TAB3	GSPT1
CASD1	DIABLO	F2R	RCN1	CACNA1H	DHRS7B
RBM19	EPS8L1	RNPEPL1	GNB2	ERCC8	UBTD2
NRBP1	GAPDH	PUM3	SMAD3	HIRA	UQCRQ
DHDDS	SP140L	TRIB3	MANBA	DAB2IP	ARFIP2
SUFU	MVB12A	NOTCH2	ABI1	LRRC8B	RAC1
VPS52	PLIN2	BMS1	SF3B5	HIVEP2	FLAD1
SPAG9	ADD1	INTS14	TMUB2	IL11	PLEKHO2
HPRT1	PSAP	RRBP1	RPP30	NF2	TMEM161A
E2F8	CREB3L2	KMT2D	CPSF7	MARK3	LYAR
ETV1	UBR7	EHD3	SEC11C	MLLT6	UBE2R2
DPH5	RHOC	KLC1	UBE2D2	MPRIP	AHNAK2
POP1	KHDRBS1	APC2	MRPL17	ZNF236	RBM17
SWAP70	RBMX2	KATNB1	PKNOX2	IRS1	TBX18
UBQLN1	MFAP1	AP1AR	YWHAG	ZNF835	SLC29A1
THUMPD3	PLAUR	ASAP2	PLD3	PPFIA4	FZD7
RNF20	DDX3X	KIAA1841	DGLUCY	PAPD7	ALG3
SMYD4	TIMM8B	RNFT1	TGFBR3L	CREBBP	INO80B
UBC	TIMM13	CHD8	UBQLN4	SLC40A1	ADPGK
DHX9	FAM98C	TBC1D14	IPO4	CDC42BPB	MRPS15
MXD1	ZW10	TSC2	ZSCAN26	PTPN21	DNAJC16
TIMM10	GM2A	FAN1	NUDT16L1	PDE8A	NCBP3
CLP1	GPATCH2	SLC16A5	EXD2	CIC	TEX2
COPS6	LITAF	ORAI2	GLE1	B4GALNT3	HBS1L
IMMT	NAT14	MYO19	PEA15	UBE3C	MAPKAP1
INTS3	ERICH1	ITPRIPL2	RER1	CAMSAP1	CUL9
LARS	ERF	EPOP	NUDCD3	EPB41L1	XKR5
YWHAE	RABAC1	BRPF1	FBLN1	STK11	RNF123
ABHD2	LRRC59	PITPNM1	IRF3	ST3GAL2	COL8A1
FAM136A	TBC1D10A	PCDH7	CPNE7	DZIP1	RNF111
SNX5	CISD3	MINK1	ACTR1B	IPO13	RFT1
ANKLE1	AARS	IL17RA	PPA2	JARID2	PPP3CC
MFN2	METTL14	SCARA3	SSR4	VPS54	GALNT16
XPO4	TMEM106C	POLR3A	CAPG	HIVEP3	SERPINE2
RNF25	VDAC3	TNKS2	UBE2G2	BRSK1	GGA1
ZFR	BSG	GREB1	MED22	SLF2	MSMO1
SHKBP1	LAP3	PHF14	PTTG1	TIAM1	WRNIP1
RAPGEF6	TARDBP	CHRM3	TMEM14C	PTPRG	GRIPAP1
TRIM24	BRMS1L	SCAF1	GTF3C6	REXO1	BDH2
NBAS	EGFLAM	EPC2	MFSD10	B4GALT2	SCYL1
STRN3	EIF4B	ZZZ3	TBC1D17	TNK2	TRIOBP
ACTG1	CD59	SZT2	TPM4	TOP3B	GPN2
UQCRH	RPL10	MGAT2	MRM2	RAB11FIP3	ZBTB9
NEURL4	TMED9	EVI5	SMARCD1	GRIN3A	SLC15A4
THOC1	ETHE1	PLEKHG3	YKT6	RC3H2	FMR1
PRPS2	TPGS2	PTPRO	NDUFAB1	LRP3	NPHP4
AATF	TBC1D5	RUSC2	MELTF	GNAZ	RAD23A
FAR2	IAH1	IQCK	PDK1	CELSR3	JADE1
GBP2	PDCD5	ALKBH3	MRPL10	FBXW7	GCLM
SAMHD1	ATG12	ADGRG6	ATL3	CCDC88C	GNAI1
C10orf76	SARS	CDK12	GLI4	USP31	TAPBP
ORC4	MRFAP1L1	ARHGEF40	PPP1R13L	TMC6	KCNJ6
MAGEA3	STAM	FYCO1	MID1IP1	NDST1	PHTF1
TFPI2	RFC4	BAZ1B	SNX6	PCF11	TTLL1
RNF31	HNRNPA2B1	FBRS	TBL2	TULP4	ASXL1
HMGCS1	H2AFY	PRPF39	LDLRAD3	SH3RF3	KIN
CAMK2G	FNTA	THAP7	DDR2	LATS2	LETM1
ARF4	FAM162A	RNF24	ILK	SLC43A1	FLNA
VCAM1	FANCL	NACC1	UCHL1	CUEDC1	TRIB2
PCCA	HMGA2	LRRFIP2	UQCR11	TRAK2	TCEA2
TKFC	SSNA1	PRPF8	GALE	PACS2	SUGP2
TCERG1	YIF1B	POGLUT1	G6PD	HOMER2	PKMYT1
