Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	270	14.18812401471361	8.666122962456254E-27	RPP38, PNMA2, TARS2, INTS1, INTS3, XRCC1, SART3, ERLEC1, INTS9, SIN3A, INTS7, DHX33, ERAP1, PITX1, POLH, ZNF506, STRN3, MED12, HMG20A, MED14, TAF6L, RFC5, HUWE1, PIAS3, MED17, MED18, FLII, ACAA1, DEAF1, KIF4A, NEK2, ELL, FDX1, ZCRB1, WARS2, CHEK1, BOP1, CHEK2, COIL, HADHA, ACD, FRG1, NAT10, ZNF71, DNMT3A, GCDH, SRP54, TSEN54, NOC4L, TP53BP1, MAML1, CREBBP, FOXRED2, EME1, SMAD3, SKI, SMAD2, CDC27, FXR1, VDAC1, POLRMT, PAXIP1, UTP14A, NCOR1, CHAF1B, RPP40, RERE, BACH1, CRNKL1, ZMAT5, ELF4, EZH2, TCOF1, CCNT1, BNIP3, ZNF346, GLI3, RBM4B, CCNE1, PARN, LONP2, ASH2L, P4HA2, FANCI, P4HA1, HLX, CREG1, CDC7, CDC6, MINPP1, BRF1, AIFM1, GTF2H3, MBD4, DARS2, MBD2, TTF2, RAD51, SENP3, CYP27A1, FANCD2, NOL10, SIL1, USP22, CTDP1, CLN5, MED1, THOC1, THAP7, RBM34, CREM, PML, NFS1, BMS1, KIN, SUFU, MDC1, REXO4, WDR13, AATF, TCEA2, RBM28, PDHX, NSA2, ETV3, NMD3, POLR3H, TBX2, PAK1IP1, POLR3A, TRIM25, ITPR3, UBTF, RBM19, PBX1, OGG1, PBX3, PBX2, TEX10, DUSP7, ZNF768, MORF4L1, RNMT, STK38, RBM15B, TBP, ACSS2, MCM10, GTF2E1, SMARCD3, TGS1, RNF34, HMGCL, FECH, FMR1, ARID1A, RRP8, HES6, RRP9, CERCAM, CLPX, WEE1, EARS2, SUZ12, EP300, KDM2A, SMARCE1, SLU7, YARS2, AKAP8, RNF20, UGGT1, EP400, CROT, PCCA, PACS2, SYVN1, GLUD2, SETD1A, PPIL2, ELK3, NR2C2, ATF1, CXXC1, ZNF330, CORO2A, MUT, MEIS2, METTL3, ZNF326, GSTK1, HARS2, UBE2D1, TFDP1, SETDB1, TBL3, TAF4, TSR1, ZMYM3, TEAD1, FOXP4, CTR9, TST, ATF6, POLD3, HDAC4, HDAC3, PHF2, CDKN2AIP, DYRK1A, ALDH2, WDR3, DDX54, HDAC8, HDAC7, DDX51, E2F1, KIF23, E2F2, E2F3, FOSL2, E2F5, LYAR, YLPM1, E2F8, PEX5, MEN1, GPKOW, TRIM8, CASP7, CDK12, INO80B, NOL6, ELP3, NOL9, LAS1L, HAGH, HIPK1, WRAP53, DDB2, KPNA1, NUP98, ETHE1, UTP6, NFYB, WBP11, NPAS2, TSPYL2, OXCT1, KDM3B, GTF3C1, TINF2, GEMIN5, CHD3, PINX1, GTF3C3, ERCC2, NF2, CREB1, LARS2, SIRT1, PWP2, ATXN7L3, CDC25A, GPS2, SUMF1, KDM4A, ALKBH3, ALKBH2, MBTPS1	1043	1418	10068	1.838003913523835	4.90502559675024E-24	4.90502559675024E-24	1.2696998870457263E-23
GOTERM_CC_FAT	GO:0043233~organelle lumen	273	14.345769837099317	4.601035381468946E-26	RPP38, PNMA2, TARS2, INTS1, INTS3, XRCC1, SART3, ERLEC1, INTS9, SIN3A, INTS7, DHX33, ERAP1, PITX1, POLH, ZNF506, STRN3, MED12, HMG20A, MED14, TAF6L, RFC5, HUWE1, PIAS3, MED17, MED18, VEGFA, FLII, ACAA1, DEAF1, KIF4A, NEK2, ELL, FDX1, ZCRB1, WARS2, CHEK1, BOP1, CHEK2, COIL, HADHA, ACD, FRG1, NAT10, ZNF71, DNMT3A, GCDH, SRP54, TSEN54, NOC4L, TP53BP1, MAML1, CREBBP, FOXRED2, EME1, SMAD3, SKI, SMAD2, CDC27, FXR1, VDAC1, POLRMT, PAXIP1, UTP14A, NCOR1, CHAF1B, RPP40, RERE, BACH1, CRNKL1, ZMAT5, ELF4, EZH2, TCOF1, CCNT1, BNIP3, ANPEP, ZNF346, GLI3, RBM4B, CCNE1, PARN, LONP2, ASH2L, P4HA2, FANCI, P4HA1, HLX, CREG1, CDC7, CDC6, MINPP1, BRF1, AIFM1, GTF2H3, MBD4, DARS2, MBD2, TTF2, RAD51, SENP3, CYP27A1, FANCD2, NOL10, SIL1, USP22, CTDP1, CLN5, MED1, THOC1, THAP7, RBM34, CREM, PML, NFS1, BMS1, KIN, SUFU, MDC1, REXO4, WDR13, AATF, TCEA2, RBM28, THBS2, PDHX, NSA2, ETV3, NMD3, POLR3H, TBX2, PAK1IP1, POLR3A, TRIM25, ITPR3, UBTF, RBM19, PBX1, OGG1, PBX3, PBX2, TEX10, DUSP7, ZNF768, MORF4L1, RNMT, STK38, RBM15B, TBP, ACSS2, MCM10, GTF2E1, SMARCD3, TGS1, RNF34, HMGCL, FECH, FMR1, ARID1A, RRP8, HES6, RRP9, CERCAM, CLPX, WEE1, EARS2, SUZ12, EP300, KDM2A, SMARCE1, SLU7, YARS2, AKAP8, RNF20, UGGT1, EP400, CROT, PCCA, PACS2, SYVN1, GLUD2, SETD1A, PPIL2, ELK3, NR2C2, ATF1, CXXC1, ZNF330, CORO2A, MUT, MEIS2, METTL3, ZNF326, GSTK1, HARS2, UBE2D1, TFDP1, SETDB1, TBL3, TAF4, TSR1, ZMYM3, TEAD1, FOXP4, CTR9, TST, ATF6, POLD3, HDAC4, HDAC3, PHF2, CDKN2AIP, DYRK1A, ALDH2, WDR3, DDX54, HDAC8, HDAC7, DDX51, E2F1, KIF23, E2F2, E2F3, FOSL2, E2F5, LYAR, YLPM1, E2F8, PEX5, MEN1, GPKOW, TRIM8, CASP7, CDK12, INO80B, NOL6, ELP3, NOL9, LAS1L, HAGH, HIPK1, WRAP53, DDB2, KPNA1, NUP98, ETHE1, UTP6, NFYB, WBP11, NPAS2, TSPYL2, OXCT1, KDM3B, GTF3C1, TINF2, GEMIN5, CHD3, PINX1, GTF3C3, ERCC2, NF2, CREB1, LARS2, SIRT1, PWP2, ATXN7L3, CDC25A, GPS2, SUMF1, KDM4A, ALKBH3, ALKBH2, MBTPS1	1043	1455	10068	1.8111672317165988	2.6041860259114233E-23	1.3020930129557116E-23	6.741116101690671E-23
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	276	14.503415659485025	1.0512519554209303E-25	RPP38, PNMA2, TARS2, INTS1, INTS3, XRCC1, SART3, ERLEC1, INTS9, SIN3A, INTS7, DHX33, ERAP1, PITX1, POLH, ZNF506, STRN3, MED12, HMG20A, MED14, TAF6L, RFC5, HUWE1, PIAS3, MED17, MED18, VEGFA, FLII, ACAA1, DEAF1, KIF4A, NEK2, ELL, FDX1, ZCRB1, WARS2, CHEK1, BOP1, CHEK2, COIL, HADHA, ACD, FRG1, NAT10, ZNF71, DNMT3A, GCDH, SRP54, TSEN54, NOC4L, TP53BP1, MAML1, CREBBP, FOXRED2, EME1, SMAD3, SKI, SMAD2, CDC27, FXR1, VDAC1, POLRMT, PAXIP1, UTP14A, NCOR1, CHAF1B, RPP40, RERE, BACH1, CRNKL1, ZMAT5, ELF4, EZH2, TCOF1, CCNT1, BNIP3, ANPEP, ZNF346, GLI3, RBM4B, CCNE1, PARN, LONP2, ASH2L, P4HA2, PTGES, FANCI, P4HA1, HLX, CREG1, CDC7, CDC6, MINPP1, BRF1, AIFM1, GTF2H3, MBD4, DARS2, MBD2, TTF2, RAD51, SENP3, CYP27A1, FANCD2, NOL10, SIL1, USP22, CTDP1, CLN5, MED1, THOC1, THAP7, RBM34, CREM, PML, NFS1, BMS1, KIN, SUFU, MDC1, REXO4, WDR13, AATF, TCEA2, RBM28, THBS2, PDHX, NSA2, ETV3, NMD3, POLR3H, TBX2, PAK1IP1, POLR3A, TRIM25, ITPR3, UBTF, RBM19, PBX1, OGG1, PBX3, PBX2, TEX10, DUSP7, ZNF768, MORF4L1, RNMT, STK38, RBM15B, TBP, ACSS2, MCM10, GTF2E1, SMARCD3, TGS1, RNF34, HMGCL, FECH, FMR1, ARID1A, RRP8, HES6, RRP9, CERCAM, CLPX, WEE1, EARS2, SUZ12, EP300, KDM2A, SMARCE1, SLU7, YARS2, AKAP8, RNF20, UGGT1, EP400, CROT, PCCA, PACS2, SYVN1, GLUD2, SETD1A, PPIL2, PNPT1, ELK3, NR2C2, ATF1, CXXC1, ZNF330, CORO2A, MUT, MEIS2, METTL3, ZNF326, GSTK1, HARS2, UBE2D1, TFDP1, SETDB1, TBL3, TAF4, TSR1, ZMYM3, TEAD1, FOXP4, CTR9, TST, ATF6, POLD3, HDAC4, HDAC3, PHF2, CDKN2AIP, DYRK1A, ALDH2, WDR3, DDX54, HDAC8, HDAC7, DDX51, E2F1, KIF23, E2F2, E2F3, FOSL2, E2F5, LYAR, YLPM1, E2F8, PEX5, MEN1, GPKOW, TRIM8, CASP7, CDK12, CAT, INO80B, NOL6, ELP3, NOL9, LAS1L, HAGH, HIPK1, WRAP53, DDB2, KPNA1, NUP98, ETHE1, UTP6, NFYB, WBP11, NPAS2, TSPYL2, OXCT1, KDM3B, GTF3C1, TINF2, GEMIN5, CHD3, PINX1, GTF3C3, ERCC2, NF2, CREB1, LARS2, SIRT1, PWP2, ATXN7L3, CDC25A, GPS2, SUMF1, KDM4A, ALKBH3, ALKBH2, MBTPS1	1043	1485	10068	1.7940788517969726	5.950086067682466E-23	1.9833620225608218E-23	1.540221036370152E-22
GOTERM_CC_FAT	GO:0031981~nuclear lumen	224	11.770888071466107	2.0761471696101864E-23	RPP38, PNMA2, INTS1, INTS3, XRCC1, SART3, INTS9, SIN3A, INTS7, DHX33, PITX1, POLH, ZNF506, STRN3, MED12, HMG20A, MED14, TAF6L, RFC5, HUWE1, PIAS3, MED17, MED18, FLII, DEAF1, KIF4A, ELL, NEK2, ZCRB1, CHEK1, BOP1, CHEK2, COIL, ACD, FRG1, NAT10, ZNF71, DNMT3A, TSEN54, SRP54, NOC4L, TP53BP1, MAML1, CREBBP, EME1, SMAD3, SKI, SMAD2, CDC27, FXR1, PAXIP1, UTP14A, NCOR1, CHAF1B, RPP40, RERE, BACH1, CRNKL1, ZMAT5, ELF4, EZH2, TCOF1, CCNT1, BNIP3, ZNF346, GLI3, RBM4B, CCNE1, PARN, ASH2L, FANCI, HLX, CREG1, CDC7, CDC6, BRF1, GTF2H3, MBD4, MBD2, TTF2, RAD51, SENP3, FANCD2, NOL10, USP22, CTDP1, THOC1, MED1, THAP7, RBM34, CREM, PML, BMS1, KIN, SUFU, MDC1, REXO4, WDR13, AATF, TCEA2, RBM28, NSA2, ETV3, NMD3, POLR3H, TBX2, PAK1IP1, POLR3A, TRIM25, ITPR3, UBTF, RBM19, PBX1, PBX3, OGG1, PBX2, TEX10, DUSP7, ZNF768, MORF4L1, RNMT, STK38, RBM15B, TBP, ACSS2, MCM10, GTF2E1, SMARCD3, TGS1, RNF34, FMR1, RRP8, ARID1A, RRP9, HES6, WEE1, SUZ12, EP300, KDM2A, SMARCE1, SLU7, AKAP8, RNF20, EP400, SYVN1, SETD1A, ELK3, NR2C2, ATF1, CXXC1, ZNF330, CORO2A, MEIS2, METTL3, ZNF326, UBE2D1, TFDP1, SETDB1, TBL3, TAF4, TSR1, ZMYM3, TEAD1, FOXP4, CTR9, POLD3, ATF6, HDAC4, HDAC3, PHF2, CDKN2AIP, DYRK1A, WDR3, DDX54, HDAC8, HDAC7, DDX51, KIF23, E2F1, E2F2, E2F3, FOSL2, E2F5, LYAR, E2F8, YLPM1, MEN1, GPKOW, TRIM8, CASP7, CDK12, INO80B, NOL6, ELP3, NOL9, LAS1L, HIPK1, WRAP53, DDB2, KPNA1, NUP98, UTP6, WBP11, NFYB, NPAS2, TSPYL2, KDM3B, GTF3C1, TINF2, PINX1, CHD3, GTF3C3, ERCC2, GEMIN5, NF2, CREB1, SIRT1, CDC25A, ATXN7L3, PWP2, GPS2, KDM4A, ALKBH3, ALKBH2	1043	1145	10068	1.8884323437179449	1.1750992979993655E-20	2.9377482449984137E-21	3.041826013967852E-20
GOTERM_CC_FAT	GO:0005654~nucleoplasm	148	7.777193904361535	2.0912778873371355E-18	MORF4L1, RNMT, STK38, RBM15B, INTS1, TBP, INTS3, SART3, XRCC1, MCM10, INTS9, GTF2E1, SIN3A, SMARCD3, INTS7, RNF34, TGS1, POLH, STRN3, FMR1, MED12, MED14, HES6, TAF6L, WEE1, SUZ12, RFC5, EP300, KDM2A, SMARCE1, PIAS3, MED17, MED18, SLU7, EP400, DEAF1, ELL, SETD1A, ZCRB1, CHEK1, BOP1, CHEK2, COIL, ATF1, CXXC1, CORO2A, ACD, METTL3, FRG1, UBE2D1, TFDP1, TAF4, SRP54, TP53BP1, MAML1, CREBBP, TEAD1, SMAD3, SKI, SMAD2, CDC27, CTR9, POLD3, ATF6, HDAC4, PAXIP1, HDAC3, CDKN2AIP, DYRK1A, NCOR1, HDAC8, CHAF1B, HDAC7, RERE, KIF23, E2F1, E2F2, E2F3, CRNKL1, E2F5, ELF4, E2F8, YLPM1, CCNT1, EZH2, BNIP3, GLI3, MEN1, CCNE1, TRIM8, ASH2L, FANCI, CASP7, CREG1, CDK12, CDC7, CDC6, ELP3, BRF1, GTF2H3, MBD2, TTF2, RAD51, SENP3, HIPK1, FANCD2, WRAP53, DDB2, USP22, CTDP1, KPNA1, THOC1, MED1, THAP7, NUP98, CREM, PML, WBP11, NFYB, NPAS2, MDC1, TCEA2, GTF3C1, TINF2, ERCC2, GTF3C3, ETV3, NMD3, CHD3, GEMIN5, POLR3H, TBX2, CREB1, POLR3A, ITPR3, SIRT1, CDC25A, ATXN7L3, GPS2, UBTF, PBX1, PBX3, ALKBH3, OGG1, PBX2, ALKBH2, DUSP7, ZNF768	1043	699	10068	2.0438237339467284	1.1836632842328188E-15	2.3673265684656375E-16	3.063994486157846E-15
GOTERM_CC_FAT	GO:0044451~nucleoplasm part	102	5.359957961114031	4.0691102869298365E-15	MORF4L1, STK38, INTS1, TBP, INTS3, SART3, INTS9, GTF2E1, SIN3A, INTS7, RNF34, TGS1, MED12, MED14, HES6, TAF6L, SUZ12, EP300, SMARCE1, PIAS3, MED17, MED18, SLU7, EP400, DEAF1, ELL, SETD1A, CHEK2, COIL, ATF1, CXXC1, CORO2A, METTL3, FRG1, TFDP1, TAF4, SRP54, MAML1, CREBBP, TEAD1, SMAD3, SMAD2, SKI, CTR9, HDAC4, HDAC3, PAXIP1, DYRK1A, HDAC8, NCOR1, RERE, HDAC7, E2F1, E2F2, E2F3, E2F5, CRNKL1, ELF4, YLPM1, EZH2, E2F8, GLI3, MEN1, ASH2L, TRIM8, CREG1, CDK12, ELP3, BRF1, GTF2H3, MBD2, TTF2, RAD51, HIPK1, WRAP53, USP22, MED1, THOC1, THAP7, CREM, PML, WBP11, NFYB, NPAS2, TCEA2, GTF3C1, CHD3, ETV3, GEMIN5, GTF3C3, ERCC2, POLR3H, TBX2, CREB1, POLR3A, SIRT1, ATXN7L3, GPS2, PBX1, PBX3, PBX2, ZNF768	1043	442	10068	2.2275979054502546	2.325029058170003E-12	3.8746783559417963E-13	6.0174087934683484E-12
GOTERM_CC_FAT	GO:0019898~extrinsic to membrane	78	4.098791382028376	1.5165153309457883E-9	SEPT3, OSBP, CHMP4A, PNKD, VPS53, PEX5, VPS37C, ZNRF1, ZNRF2, PLCB3, AAK1, MAPKAP1, VPS4B, SYNJ2, SPG21, SNTB2, DLG5, RNF34, AKT3, GOLGA3, ZW10, GOLGA2, SEC23A, PRKCA, SYNRG, RALBP1, INPPL1, RAB4A, STRN3, LRRC1, MPP5, STXBP1, MPP6, SLC9A3R2, FARP2, TNKS2, KRIT1, TOM1, GNB5, VPS26B, PHLPP1, CYP1B1, SIPA1, ASAP2, RFFL, SCRIB, CDC42EP1, DGKD, GOLPH3L, SEC16A, CYP26B1, NUMB, VPS35, TNKS, CERK, APPBP2, PEX10, MTMR4, CAP2, EPB41, NF2, BECN1, CNKSR3, DLGAP4, RUFY1, RGS19, LIN7A, COG5, CRBN, SARM1, RGS3, COG8, TSC2, PDCD6, GGA2, ARAP1, PIP4K2B, RETSAT	1043	373	10068	2.018573973303448	8.583473247725237E-7	1.2262109150285028E-7	2.2218924922157157E-6
GOTERM_CC_FAT	GO:0005730~nucleolus	97	5.097214923804519	5.321582682278161E-8	RPP38, PNMA2, RBM15B, ACSS2, SIN3A, DHX33, PITX1, POLH, ZNF506, FMR1, MED12, HMG20A, RRP8, ARID1A, RRP9, EP300, HUWE1, SMARCE1, FLII, AKAP8, RNF20, EP400, SYVN1, NEK2, BOP1, ELK3, COIL, NR2C2, ZNF330, MEIS2, FRG1, NAT10, ZNF71, SETDB1, TSEN54, TBL3, SRP54, TAF4, TSR1, NOC4L, ZMYM3, EME1, FOXP4, FXR1, PHF2, CDKN2AIP, WDR3, DDX54, UTP14A, RPP40, DDX51, BACH1, FOSL2, ZMAT5, LYAR, CCNT1, TCOF1, ZNF346, GLI3, RBM4B, PARN, GPKOW, HLX, INO80B, NOL6, ELP3, NOL9, LAS1L, MBD4, SENP3, HIPK1, NOL10, RBM34, UTP6, PML, BMS1, SUFU, TSPYL2, REXO4, WDR13, AATF, KDM3B, RBM28, NMD3, PINX1, NSA2, NF2, PAK1IP1, TRIM25, ITPR3, SIRT1, PWP2, UBTF, RBM19, PBX1, KDM4A, TEX10	1043	541	10068	1.7307461237047264	3.011970519462004E-5	3.7650127625576957E-6	7.796808918492104E-5
GOTERM_CC_FAT	GO:0031967~organelle envelope	87	4.571728849185497	1.204886647086201E-7	MAD1L1, ABCF2, CPT2, BNIP3, LEMD3, ANKLE2, ANKLE1, CDS2, FAHD1, PARL, PTGES, SLC25A23, CASP7, ATP5S, SYNJ2, NUP37, CAT, GLE1, HMGCL, COX15, NUP133, FECH, SLC25A4, AIFM1, SNUPN, TMEM38A, NUPL2, CLPX, TNKS2, NPC1, PSEN1, CYP27A1, IPO4, SLC25A39, KPNA4, MRPL45, SURF1, KPNA1, MAVS, THAP7, NUP98, APEX2, AGFG1, MTX2, MTX1, PNPT1, PML, HK2, BCL2L1, HADHA, NUP214, NUP210, GSTK1, SLC25A46, HAAO, TNKS, MLXIP, MTMR6, AGK, GPD2, SREBF1, GCDH, IPO13, IPO11, SMAD3, BCS1L, CRAT, ITPR3, AFG3L2, ABCB7, NUP155, ABCB6, SIRT1, CPT1A, VDAC1, SDHA, TST, NDUFV3, ATF6, SLC25A12, SYNE1, SARM1, UCP2, NIPSNAP1, GHDC, MTOR, RETSAT	1043	476	10068	1.764294979736861	6.819426300108677E-5	7.577369995570571E-6	1.765314418200603E-4
GOTERM_CC_FAT	GO:0031975~envelope	87	4.571728849185497	1.462809669915696E-7	MAD1L1, ABCF2, CPT2, BNIP3, LEMD3, ANKLE2, ANKLE1, CDS2, FAHD1, PARL, PTGES, SLC25A23, CASP7, ATP5S, SYNJ2, NUP37, CAT, GLE1, HMGCL, COX15, NUP133, FECH, SLC25A4, AIFM1, SNUPN, TMEM38A, NUPL2, CLPX, TNKS2, NPC1, PSEN1, CYP27A1, IPO4, SLC25A39, KPNA4, MRPL45, SURF1, KPNA1, MAVS, THAP7, NUP98, APEX2, AGFG1, MTX2, MTX1, PNPT1, PML, HK2, BCL2L1, HADHA, NUP214, NUP210, GSTK1, SLC25A46, HAAO, TNKS, MLXIP, MTMR6, AGK, GPD2, SREBF1, GCDH, IPO13, IPO11, SMAD3, BCS1L, CRAT, ITPR3, AFG3L2, ABCB7, NUP155, ABCB6, SIRT1, CPT1A, VDAC1, SDHA, TST, NDUFV3, ATF6, SLC25A12, SYNE1, SARM1, UCP2, NIPSNAP1, GHDC, MTOR, RETSAT	1043	478	10068	1.7569129923739453	8.279160596691426E-5	8.279469063121603E-6	2.143204552274014E-4
