Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0004674~protein serine/threonine kinase activity	81	5.222437137330754	4.52768151193051E-11	LTBP1, FASTK, STK35, PASK, DSTYK, RPS6KB2, PRKG1, LATS2, MAP3K6, ACVR1B, CSNK2A1, PKN3, CLK3, CLK2, AAK1, EEF2K, CDK12, STK39, TLK1, PAK1, CDK16, SIK2, SIK3, CHUK, AKT3, CDK13, PRKCA, SRPK2, CSNK1G1, PHKG2, PKN2, MARK3, PRKCE, MARK4, CDK5, DAPK1, GTF2H1, PRKD1, MAP4K3, HUNK, PRKD2, ACVR2B, MAST2, HIPK1, BUB1B, CAMK1, MAPK9, NEK9, MAPK8, EIF2AK2, EIF2AK4, ACVR1, STK11, NEK2, STK10, CAMK2G, MKNK2, BMPR2, MAPKAPK3, MKNK1, AKAP13, STK17A, CHEK2, UHMK1, STK32C, STK32B, VRK3, MAP3K3, TAOK2, TRIO, OXSR1, RPS6KA4, MAPK12, DYRK1A, ULK3, GRK6, TGFBR3, GRK5, MTOR, CIT, CDC42BPB	1135	430	12983	2.154744390943551	5.274744996341951E-8	5.274744996341951E-8	7.292788595236743E-8
GOTERM_MF_FAT	GO:0001882~nucleoside binding	211	13.604126370083817	3.94566509488067E-10	ADCY3, XRCC3, TARS2, PRKG1, ADORA1, MAP3K6, CLK3, CLK2, DHX37, PIK3C3, DHX34, DHX36, TLK1, DDX10, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, RECQL4, MOCS3, KIF3B, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, CHST12, ACTR5, EEF2K, CHST15, SIK2, IP6K3, SIK3, SRPK2, AIFM1, PHKG2, POLR1B, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, POLA1, MKNK1, BMS1, DDX19A, MORC3, ABCD3, DHX16, ABCD4, AGK, SWAP70, ATP1A3, POLR3A, NADK, SPATA5L1, RPS6KA4, MAPK12, PYGM, CIT, PSTK, STK35, PASK, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, KATNA1, HARS2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MTOR, MYH14, MYO19, PIP4K2A, DDX52, KIF23, FIGNL1, PPOX, ACSF3, ACSF2, ACOX3, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, ACAD9, CDK16, AKT3, CHUK, NSF, CDK13, PRKCA, ACADS, PKN2, UBE2H, PRKCE, CDK5, DAPK1, COQ6, TOR2A, PANK4, KIF1C, PRKD1, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, TXNRD2, BUB1B, ACVR1, CAMK2G, SHPK, STK32C, IGF1R, STK32B, CHD8, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1612	12983	1.4972579005476547	4.596698559566903E-7	2.2983495440165314E-7	6.355332482499421E-7
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	207	13.346228239845262	4.797103169919652E-10	ADCY3, XRCC3, TARS2, PRKG1, MAP3K6, CLK3, CLK2, DHX37, PIK3C3, DHX34, DHX36, TLK1, DDX10, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, RECQL4, MOCS3, KIF3B, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, CHST12, ACTR5, EEF2K, CHST15, SIK2, IP6K3, SIK3, SRPK2, AIFM1, PHKG2, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, ABCD3, DHX16, ABCD4, AGK, SWAP70, ATP1A3, NADK, SPATA5L1, RPS6KA4, MAPK12, PYGM, CIT, PSTK, STK35, PASK, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, KATNA1, HARS2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MYH14, MYO19, MTOR, PIP4K2A, DDX52, KIF23, FIGNL1, PPOX, ACSF3, ACSF2, ACOX3, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, ACAD9, CDK16, AKT3, CHUK, NSF, CDK13, PRKCA, ACADS, PKN2, UBE2H, PRKCE, CDK5, DAPK1, COQ6, TOR2A, PANK4, KIF1C, PRKD1, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, TXNRD2, BUB1B, ACVR1, CAMK2G, SHPK, STK32C, IGF1R, STK32B, CHD8, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1577	12983	1.5014741088164392	5.588623103180979E-7	1.862874714486651E-7	7.726754125414459E-7
GOTERM_MF_FAT	GO:0005524~ATP binding	196	12.637008381689233	6.441337005791214E-10	ADCY3, XRCC3, TARS2, PRKG1, MAP3K6, CLK3, DHX37, CLK2, PIK3C3, DHX34, DHX36, TLK1, DDX10, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, RECQL4, KIF3B, MOCS3, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, ACTR5, EEF2K, SIK2, IP6K3, SIK3, SRPK2, PHKG2, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, DHX16, ABCD3, ABCD4, AGK, SWAP70, ATP1A3, NADK, SPATA5L1, RPS6KA4, MAPK12, CIT, PSTK, STK35, PASK, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, EP400, FGFR1, GCLC, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, KATNA1, HARS2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MYH14, MYO19, MTOR, PIP4K2A, DDX52, KIF23, FIGNL1, ACSF3, ACSF2, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, CDK16, NSF, CHUK, AKT3, CDK13, PRKCA, PKN2, UBE2H, PRKCE, CDK5, DAPK1, PRKD1, TOR2A, PANK4, KIF1C, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, BUB1B, ACVR1, CAMK2G, SHPK, STK32C, IGF1R, CHD8, STK32B, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1477	12983	1.517940580829697	7.504155331572449E-7	1.8760393605266046E-7	1.0375143966179223E-6
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	198	12.76595744680851	6.635024658678845E-10	ADCY3, XRCC3, TARS2, PRKG1, MAP3K6, CLK3, DHX37, CLK2, PIK3C3, DHX34, DHX36, TLK1, DDX10, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, RECQL4, KIF3B, MOCS3, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, ACTR5, EEF2K, SIK2, IP6K3, SIK3, SRPK2, PHKG2, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, DHX16, ABCD3, ABCD4, AGK, SWAP70, ATP1A3, NADK, SPATA5L1, RPS6KA4, PYGM, MAPK12, CIT, PSTK, STK35, PASK, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, KATNA1, HARS2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MYH14, MYO19, MTOR, PIP4K2A, DDX52, KIF23, FIGNL1, ACSF3, ACSF2, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, CDK16, NSF, CHUK, AKT3, CDK13, PRKCA, PKN2, UBE2H, PRKCE, CDK5, DAPK1, PRKD1, TOR2A, PANK4, KIF1C, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, BUB1B, ACVR1, CAMK2G, SHPK, STK32C, IGF1R, CHD8, STK32B, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1497	12983	1.5129430667502406	7.729800850508894E-7	1.545960648385858E-7	1.0687118523478034E-6
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	208	13.4107027724049	1.0786785751688698E-9	ADCY3, XRCC3, TARS2, PRKG1, ADORA1, MAP3K6, CLK3, CLK2, DHX37, PIK3C3, DHX34, DHX36, TLK1, DDX10, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, RECQL4, MOCS3, KIF3B, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, CHST12, ACTR5, EEF2K, CHST15, SIK2, IP6K3, SIK3, SRPK2, AIFM1, PHKG2, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, ABCD3, DHX16, ABCD4, AGK, SWAP70, ATP1A3, NADK, SPATA5L1, RPS6KA4, MAPK12, PYGM, CIT, PSTK, STK35, PASK, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, KATNA1, HARS2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MTOR, MYH14, MYO19, PIP4K2A, DDX52, KIF23, FIGNL1, PPOX, ACSF3, ACSF2, ACOX3, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, ACAD9, CDK16, AKT3, CHUK, NSF, CDK13, PRKCA, ACADS, PKN2, UBE2H, PRKCE, CDK5, DAPK1, COQ6, TOR2A, PANK4, KIF1C, PRKD1, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, TXNRD2, BUB1B, ACVR1, CAMK2G, SHPK, STK32C, IGF1R, STK32B, CHD8, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1601	12983	1.4861108283093991	1.2566597694663173E-6	2.0944340461959143E-7	1.737441279736629E-6
GOTERM_MF_FAT	GO:0004672~protein kinase activity	94	6.0606060606060606	3.9772066198798164E-8	LTBP1, FASTK, STK35, FGFRL1, PASK, DSTYK, RPS6KB2, PRKG1, LATS2, MAP3K6, ACVR1B, CSNK2A1, CLK3, PKN3, CLK2, AAK1, PIK3C3, CDK12, EEF2K, TLK1, STK39, PAK1, CDK16, INSR, SIK2, AKT3, SIK3, CHUK, CDK13, PRKCA, SRPK2, CSNK1G1, PHKG2, PKN2, MARK3, PRKCE, MARK4, CDK5, DAPK1, GTF2H1, PRKD1, MAP4K3, HUNK, PRKD2, ACVR2B, MAST2, HIPK1, BUB1B, CAMK1, MAPK9, NEK9, MAPK8, EIF2AK2, EIF2AK4, ACVR1, FGFR1, STK11, NEK2, STK10, ERBB2, CAMK2G, MKNK2, MAPKAPK3, BMPR2, MKNK1, AKAP13, STK17A, CHEK2, NPRL2, SRC, UHMK1, STK32C, IGF1R, STK32B, VRK3, MAP3K3, CRIM1, TAOK2, TRIO, OXSR1, TRIM24, EPHA3, EPHA7, RPS6KA4, MAPK12, DYRK1A, ULK3, GRK6, JAK1, TGFBR3, GRK5, MTOR, CIT, CDC42BPB	1135	606	12983	1.7743301202366932	4.633338461534908E-5	6.619186384448916E-6	6.406135236725063E-5
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	224	14.442295293359123	1.625097077308725E-6	ADCY3, XRCC3, TARS2, PRKG1, MAP3K6, CLK3, CLK2, DHX37, PIK3C3, DHX34, RAB24, DHX36, TLK1, DDX10, GTPBP2, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, EEFSEC, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, MOCS1, RECQL4, MOCS3, KIF3B, RARS2, SPHK2, TAOK2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, CHST12, ACTR5, EEF2K, CHST15, AGAP1, SIK2, IP6K3, SIK3, SRPK2, AIFM1, PHKG2, RAB4A, DARS2, MORC2, TTF2, FAM114A2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, ABCD3, DHX16, ABCD4, AGK, RAB2B, SWAP70, ATP1A3, NADK, SPATA5L1, RAB32, RPS6KA4, MAPK12, PYGM, CIT, SEPT3, PSTK, HBS1L, STK35, PASK, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, ARL10, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, SEPT8, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, GFM2, KATNA1, HARS2, RHOBTB2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MTOR, MYH14, MYO19, PIP4K2A, DDX52, KIF23, FIGNL1, PPOX, ACSF3, ACSF2, ACOX3, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, ACAD9, CDK16, RHOF, AKT3, CHUK, NSF, CDK13, PRKCA, RABL3, ACADS, PKN2, UBE2H, PRKCE, CDK5, DAPK1, COQ6, TOR2A, PANK4, KIF1C, PRKD1, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, TXNRD2, BUB1B, ACVR1, CAMK2G, SHPK, IGF1R, STK32C, STK32B, CHD8, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1918	12983	1.3359143380816103	0.0018914485857812746	2.3662695360815444E-4	0.0026175323493471403
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	214	13.797549967762734	3.5669330515907956E-6	ADCY3, XRCC3, TARS2, PRKG1, MAP3K6, CLK3, CLK2, DHX37, PIK3C3, DHX34, RAB24, DHX36, TLK1, DDX10, GTPBP2, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, EEFSEC, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, MOCS1, RECQL4, MOCS3, KIF3B, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, ACTR5, EEF2K, AGAP1, SIK2, IP6K3, SIK3, SRPK2, PHKG2, RAB4A, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, ABCD3, DHX16, ABCD4, AGK, RAB2B, SWAP70, ATP1A3, NADK, SPATA5L1, RAB32, RPS6KA4, MAPK12, PYGM, CIT, SEPT3, PSTK, STK35, PASK, HBS1L, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, ARL10, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, SEPT8, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, GFM2, KATNA1, HARS2, RHOBTB2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MTOR, MYH14, MYO19, PIP4K2A, DDX52, KIF23, FIGNL1, ACSF3, ACSF2, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, CDK16, RHOF, AKT3, CHUK, NSF, CDK13, PRKCA, RABL3, PKN2, UBE2H, PRKCE, CDK5, DAPK1, TOR2A, PANK4, KIF1C, PRKD1, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, BUB1B, ACVR1, CAMK2G, SHPK, IGF1R, STK32C, STK32B, CHD8, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1836	12983	1.3332767076483063	0.004146862338013313	4.6161391419496933E-4	0.005745149527147664
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	214	13.797549967762734	3.5669330515907956E-6	ADCY3, XRCC3, TARS2, PRKG1, MAP3K6, CLK3, CLK2, DHX37, PIK3C3, DHX34, RAB24, DHX36, TLK1, DDX10, GTPBP2, SUCLG2, LIG3, MTPAP, MARK3, MARK4, ATP2C1, NAV2, MAPK9, NEK9, CAMK1, MAPK8, EIF2AK2, EEFSEC, MYO18A, EIF2AK4, KIF26B, CHKA, KIF4A, NEK2, ERBB2, STK17A, CHEK2, UHMK1, C10ORF88, VRK3, NAT10, MOCS1, RECQL4, MOCS3, KIF3B, SPHK2, TAOK2, RARS2, CNKSR3, SPHK1, ACACA, TRIO, OXSR1, AFG3L2, ATP13A2, EPHA3, NUBPL, EPHA7, ATP13A1, ATP2A1, UBA3, GRK6, RAD54L2, GRK5, DHX40, CLCN7, CDC42BPB, SEPHS1, FASTK, MLH1, HELZ, LATS2, LONP2, ACTR5, EEF2K, AGAP1, SIK2, IP6K3, SIK3, SRPK2, PHKG2, RAB4A, DARS2, MORC2, TTF2, MAST2, SRCAP, TOP3B, MKNK2, HK2, MKNK1, BMS1, DDX19A, MORC3, ABCD3, DHX16, ABCD4, AGK, RAB2B, SWAP70, ATP1A3, NADK, SPATA5L1, RAB32, RPS6KA4, MAPK12, PYGM, CIT, SEPT3, PSTK, STK35, PASK, HBS1L, RPS6KB2, DSTYK, PI4K2B, ACSS2, MTHFD1L, CSNK2A1, ARL10, DDX23, AAK1, CLP1, STK39, ITPK1, INSR, CSNK1G1, CLPX, MAP4K3, FBXO18, DDX31, FLAD1, PCCA, SEPT8, EP400, FGFR1, GCLC, GLUD2, GNE, STK11, STK10, BMPR2, MAPKAPK3, SRC, GFM2, KATNA1, HARS2, RHOBTB2, DDX41, ABCB8, ABCB7, ABCB6, DNA2, MYO10, DDX55, DYRK1A, ULK3, MTOR, MYH14, MYO19, PIP4K2A, DDX52, KIF23, FIGNL1, ACSF3, ACSF2, ACVR1B, MCM8, PKN3, CDK12, ATP8B2, PAK1, CDK16, RHOF, AKT3, CHUK, NSF, CDK13, PRKCA, RABL3, PKN2, UBE2H, PRKCE, CDK5, DAPK1, TOR2A, PANK4, KIF1C, PRKD1, HUNK, PRKD2, ACVR2B, PANK2, KIF1A, HIPK1, BUB1B, ACVR1, CAMK2G, SHPK, IGF1R, STK32C, STK32B, CHD8, CHD1L, MAP3K3, TAP1, CHD2, ETNK2, CHD6, CHD3, BCS1L, LARS2, JAK1, IPPK	1135	1836	12983	1.3332767076483063	0.004146862338013313	4.6161391419496933E-4	0.005745149527147664
