Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003723~RNA binding	112	6.888068880688807	2.4672718343187477E-8	RALY, SCAF1, ZC3HAV1, XPO5, U2AF2, RPL15, ISG20, RAVER2, DDX24, PUM1, FAU, PTBP2, PUM2, RBM12, RPUSD4, CARS, YARS, PTBP1, AARS, PPARGC1B, PSMA1, PA2G4, RPS19, AQR, PSMA6, ABT1, SERBP1, SNRPB, SNRPA, RPS13, CELF1, MRPL44, PUS1, ZCRB1, NAA38, HNRNPL, DDX47, EIF3B, DDX3X, METTL3, HNRNPF, METTL1, RPL8, RPL3, HNRNPC, RPL4, CSTF2, EIF1AD, PAIP1, CASC3, RPS5, RBMX, LARP4B, FXR1, NOP14, DDX55, RPL18A, DDX59, CIRBP, CSTF1, EIF4E2, EIF2A, RPS2, PARN, FUBP3, DKC1, SARS, EXOSC4, G3BP1, EXOSC5, EXOSC2, APTX, CDK9, ERAL1, MBNL2, EXOSC1, MRPS7, MBD2, ZFR, WRAP53, RBMX2, KHSRP, CPSF6, FARSA, TRUB1, TRUB2, THOC3, MATR3, NOL12, RBM33, HSD3B7, TRA2B, STAU1, DDX19A, NUDT21, MRPL16, SEPSECS, RBM28, NSUN2, BAZ2A, UPF1, GRSF1, ILF3, FBL, MRPL23, PAPOLA, SON, ILF2, HNRNPUL1, POLDIP3, NOP56, RBM17	1199	718	12983	1.6890770163622888	3.0322311449948458E-5	3.0322311449948458E-5	4.000611142362942E-5
GOTERM_MF_FAT	GO:0008134~transcription factor binding	80	4.920049200492005	3.2507307570846975E-6	NIF3L1, TBP, RFXANK, CBFA2T2, CBFB, CTNNB1, CITED2, AIP, MAGED1, CDKN2A, SIN3A, PLRG1, MED27, CREG1, SMARCD1, YAP1, NRG1, MKL1, CUTA, TBL1XR1, ZNF593, PRAME, RAN, RELA, RBL1, TP53, MED14, CLIC1, PPARGC1B, TAF11, NCOA3, PIAS3, ABT1, MED17, PFDN5, USP22, CARM1, RNF20, ADD1, SMARCA4, CAMTA2, TFAP4, ZBTB9, HCFC1, NFYC, FHL2, ELK3, TRRAP, NR2C2, ARNT, MEIS2, DRAP1, TFDP2, PEX14, SUPT7L, TAF1, TAF4, VHL, MAML1, CREB1, TRIM28, SRA1, CREBBP, LMCD1, SMAD3, STAT3, ATF6, HDAC4, MED30, RNF4, HDAC1, GSK3B, UBA2, MLX, SMARCC2, THRAP3, PBX1, APBB2, HDAC8, NCOR1	1199	513	12983	1.6886066523922632	0.003987184581332626	0.0019955834673539563	0.005270838164084246
GOTERM_MF_FAT	GO:0016251~general RNA polymerase II transcription factor activity	17	1.045510455104551	5.971484609721872E-6	TAF1C, TAF4, CNOT2, TBP, MED14, MED22, MED20, PPARGC1B, TAF11, MED30, MED15, GTF2I, ABT1, MED17, MED8, MED18, THRAP3	1199	50	12983	3.681584653878232	0.00731211196914805	0.002443335683497083	0.009682154532208997
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	35	2.1525215252152523	8.948309198710484E-6	MRPS16, MRPS15, MRPL41, MRPS12, RPL15, RPL36, RPS2, MRPS30, MRPL10, MRPL17, RPL8, MRPL16, RPL3, FAU, RPL4, MRPS22, MRPS25, MRPL9, MRPS7, RPS6, RPS5, MRPS2, MRPL24, MRPL23, MRPL22, RPS19, RPL18A, MRPL28, MRPS18A, MRPL27, UBC, MRPL49, RPS13, RPL37A, MRPL45	1199	168	12983	2.255872949680289	0.010937269548788708	0.002745604217880726	0.014508444075689297
GOTERM_MF_FAT	GO:0016563~transcription activator activity	66	4.059040590405904	9.37420965640095E-6	ELF2, FOXK1, ELF4, FOXO3, PAX3, TGFB1, CBFB, CTNNB1, CITED2, AIP, MAGED1, FUBP3, MED27, SMARCD1, YAP1, MKL1, CUTA, TBL1XR1, RAN, MED14, PPARGC1B, TAF11, NCOA3, ABT1, MED17, USP22, CARM1, RNF20, SMARCA4, TFAP4, GLIS2, ZBTB9, HCFC1, FHL2, NFYC, TRIM16, TRRAP, SEC14L2, NR2C2, ARNT, SUPT7L, NFATC1, TAF1, TAF4, TAF8, MAML1, TP53BP1, TRIM28, SRA1, CREBBP, SMAD3, TEAD1, ILF3, TBX1, STAT3, ATF6, HDAC4, MED30, RNF4, HDAC1, SP1, THRAP3, SMARCC2, HIVEP3, TCF12, DNM2	1199	410	12983	1.7430745133139405	0.011454845570085581	0.0023015389220042426	0.015198933439575235
GOTERM_MF_FAT	GO:0003713~transcription coactivator activity	40	2.4600246002460024	2.672753579236294E-5	TFAP4, ZBTB9, FHL2, HCFC1, NFYC, TRRAP, NR2C2, CBFB, AIP, CITED2, CTNNB1, ARNT, MAGED1, MED27, SMARCD1, SUPT7L, YAP1, MKL1, CUTA, TAF1, TAF4, RAN, MAML1, TRIM28, CREBBP, SRA1, MED14, PPARGC1B, ATF6, TAF11, MED30, NCOA3, RNF4, ABT1, MED17, SMARCC2, THRAP3, USP22, CARM1, RNF20	1199	214	12983	2.02396077728325	0.032314925086176394	0.005459804206540353	0.04332913708002817
GOTERM_MF_FAT	GO:0042802~identical protein binding	91	5.596555965559656	2.806964163476512E-5	ALAD, NRBP1, ATL3, HEXB, E2F8, UBQLN4, BNIP3, L1CAM, GRIN3A, TGFB1, GSS, ACTG1, MAGED1, NDE1, APP, GSTM3, PLOD1, BHLHA15, ROBO1, TRIM9, MAPT, CASP8, CAT, CHUK, MRI1, CARS, PDXK, ACTN4, DFFA, PTPRG, RELA, KCTD20, FADD, BRAP, CDK2, EIF2AK1, G6PD, MED18, CLIP1, TXNRD2, COMMD1, SUDS3, ADD1, SMARCA4, ACVR1, ALDOA, HSD17B10, HACL1, CHKA, OSTF1, NDN, NFS1, ADH5, HCFC1, TFG, FHL2, COL2A1, ASNS, PSMA7, ACP1, C10ORF88, MTMR2, ECE1, RILPL2, GSTK1, PCMT1, PAFAH1B1, HNRNPC, SDF4, PDK2, MOCS2, LGALS1, SMAD3, TBX1, BIRC5, OXSR1, CASC3, TRADD, CDH13, CORO1A, MED30, HDAC1, SP1, GLA, MLX, BAX, ALDH2, PON2, TRPC4AP, QPRT, PIP4K2C	1199	640	12983	1.5396332881567973	0.03390979937993899	0.004916172122704121	0.04550441697026564
GOTERM_MF_FAT	GO:0019899~enzyme binding	76	4.674046740467404	6.896528732060954E-5	U2AF2, RAB3GAP1, PDLIM5, AURKA, GRIN3A, CBX1, FOXO3, UBQLN1, CTNNB1, CTNNBL1, RANBP9, CDKN2A, CDKN2D, MAPT, RANBP3, RAPGEF6, PAK1, ACIN1, AP3B1, CUTA, ANAPC2, STX4, RELA, STRN3, TP53, CST3, HDAC10, IPO9, GMPS, PLAUR, SPAG9, CCND1, PA2G4, NPC2, PIAS3, SORT1, PEBP1, HAUS7, ERC1, KPNA2, RNF20, SUDS3, CAMTA2, PPME1, DIAPH1, DIAPH3, VIM, DUSP12, CHEK1, FTH1, STAU1, ACD, ARG2, DMD, NUDT21, PAFAH1B1, UBXN1, ZBTB7A, TGFBR2, SMAD3, BIRC5, BAD, COTL1, STAT3, TRADD, HDAC4, CORO1A, CUL4A, HDAC1, SP1, GSK3A, GSK3B, MARCKS, NCOR1, RANBP10, DNM2	1199	523	12983	1.5735037323965	0.08126840466388052	0.010539226642180877	0.11176662478741273
GOTERM_MF_FAT	GO:0003712~transcription cofactor activity	57	3.505535055350553	8.381355327968734E-5	CBFA2T2, RFXANK, CBFB, CTNNB1, CITED2, AIP, MAGED1, SIN3A, PLRG1, CREG1, SMARCD1, MED27, YAP1, MKL1, NRG1, CUTA, TBL1XR1, ZNF593, RAN, MED14, PPARGC1B, TAF11, NCOA3, ABT1, MED17, PFDN5, USP22, CARM1, RNF20, TFAP4, ZBTB9, HCFC1, FHL2, NFYC, TRRAP, ELK3, NR2C2, ARNT, MEIS2, DRAP1, TFDP2, PEX14, SUPT7L, TAF1, TAF4, MAML1, CREB1, TRIM28, SRA1, CREBBP, LMCD1, ATF6, MED30, RNF4, THRAP3, SMARCC2, NCOR1	1199	363	12983	1.700294322403656	0.09788310674533784	0.011380433316952376	0.13581470350495506
GOTERM_MF_FAT	GO:0003702~RNA polymerase II transcription factor activity	42	2.5830258302583027	1.1429883867412138E-4	TAF1C, LITAF, TFAP4, NFYC, CNOT2, TBP, NFIX, MED22, PAX3, MEIS1, MED20, CBFB, ARNT, GTF2E1, MEIS2, TCEA3, CREG1, MLLT1, VEZF1, TAF4, CREB1, RELA, SMAD3, TBX1, MED14, ZNF143, PPARGC1B, ATF6, TAF11, MED30, MED15, SP1, ILF2, GTF2I, ABT1, MED17, MED8, MED18, THRAP3, IRF2, CUX1, TCF12	1199	244	12983	1.8638687977686321	0.13106008717950812	0.01394991559881087	0.18517129123722942
