List1	List2	List3	List4
ODR4	F2RL2	ATP5S	RPL15
MRPS30	ITPR3	THEM6	FDX1
SUPT7L	ZFHX3	TMEM120B	ELOB
APRT	UCP2	SPATS2L	TIMM21
MIER1	ARHGAP29	ASPHD2	SNX3
PDLIM1	GRIK5	HEG1	FKBP8
FADD	TNRC18	CHSY3	CIRBP
NAPA	VAC14	LZTS1	GSTK1
RIPK2	LMTK2	JAG2	RRAS
ATP5PB	USP49	ZNF326	SNRNP40
GCDH	SLC30A5	TMEM198	C5orf15
GBE1	LRFN4	PCDH10	MRPS22
SNTB1	NBEAL2	ISG20L2	NELFA
PRUNE2	PLEKHM2	MADD	AKR7A2
KIF2C	GON4L	SMARCA4	CBX5
DNPEP	EVC	NRSN2	PPDPF
C17orf62	ZNF462	RETREG2	C6orf106
UGDH	PGF	TUBA1C	FKBP4
PEX16	PPP6R2	GPC1	ACSS1
DDX23	MEGF8	FAM118A	XRCC6
WDR75	MAP3K4	TTC9	ZFYVE19
YARS	KIAA0100	SUZ12	GRN
PDXK	DHX34	ELL	CCDC22
MKNK1	ABL1	NOP14	NDUFS1
KHSRP	KIAA1614	DYNC2LI1	AGK
PDLIM4	NOD1	STON2	SRSF5
SURF1	FAM193A	TAF6	EIF2B4
MAD2L2	CSNK1G2	PRELID1	RHPN2
COPA	ZNRF3	NOM1	BAD
AMPD2	TRAK1	SEC24B	PFN1
RARS	MYO10	TBL1X	CEP85
RALB	SIM2	CEBPA	RAB11FIP1
MBOAT7	CACNA1G	NOL6	ZSWIM7
UBL5	MFHAS1	VEGFA	COL9A3
PHF23	RGMB	SLC31A1	STK39
FASN	AXIN1	SPNS1	SFXN2
GRB2	FZD1	C18orf21	ZSCAN25
GOT2	IGSF3	NT5DC2	ASPH
ELP4	FAM69B	WDR5	MRTO4
DHX38	DOT1L	SLC2A6	CENPH
VCL	KMT2C	ZBTB17	TMEM160
NUP133	MIGA2	PRR14	GALK1
POFUT1	CHST12	SEPT9	CWF19L1
NUP188	USP36	ODF2	UTP14A
OSBP	PPP1R16A	CYTH1	MRPS35
PNPT1	TRIM71	NIF3L1	TM9SF4
APP	ZNF618	HIST1H4E	TMEM199
GTPBP10	TFDP1	RIMS3	CTTN
PCNA	SPECC1L	ITPK1	NKAPD1
SH3GLB1	MED13L	NR2F6	MEAF6
LPIN1	PPP1R37	EPHA3	LIX1L
MRPS2	APH1B	ELK3	CDH13
PPP3CB	ATP10A	KLF13	TFDP2
CREB1	TBC1D9B	ETV3	MTA3
TUBA1A	SLC45A4	S100PBP	TRA2A
MAGED1	FBRSL1	SEPT11	OXLD1
BCS1L	LRRC8A	PCDHGA10	TPI1
MIDN	PITX1	ERBB2	NGRN
COL19A1	PLXND1	FAM120A	RPRD1A
ANK2	KLHL29	CBFA2T2	CCDC117
ZNF566	EHBP1	TMEM147	SNAP29
DEDD	EPN1	LOXL1	MPI
TIPIN	FBXL19	CNKSR3	RPSA
BIN1	SGSM2	LHX8	ZFPL1
ATP5F1B	BACE1	MALT1	QPRT
ATP5F1D	TIAM2	RALBP1	CALU
LARP4B	KAT6A	CNP	SAMD8
FAM49B	PCDH17	NEK4	FAM98A
NUP98	TLE1	SLC27A4	IFITM2
PRKD2	CDK13	CAMKK2	NPC2
MKS1	NSD1	RAVER2	DPYSL2
UBE2Q1	EPG5	NAXD	MNT
TRIM44	C6orf47	TRIM28	P4HA2
POC1A	TRAPPC10	ARIH2	PPME1
GAA	KCNC1	DVL1	SLC25A1
MED15	CUX1	MICALL1	ASB1
STARD10	B4GALNT4	ROBO1	SH3BGRL3
MRPL9	SLX4	HPS3	MAP3K12
PPM1G	CIT	ABCC1	COX4I1
SATB2	RABL6	CNN3	ATOX1
TIMP2	RNF10	SLC16A3	PSMD4
PPP6C	RNPEPL1	XRCC3	HERPUD1
THOP1	TRIB3	VGLL2	NDUFB7
SNX17	GBA2	TUBGCP5	CDC25A
ERCC4	PIGH	KLHL42	DCTN2
KLHL7	BRD1	LIN7A	RAB11A
VEZF1	AGAP2	MAPRE2	CDC23
SEC14L1	ADAMTS5	CYP27A1	DCK
LRCH3	KMT2D	SLC41A3	NHP2
ATP1B3	GPR153	TSPYL2	DNAJB11
ZNF609	KATNB1	UBR3	CCDC124
FN1	FBF1	PRRX2	MRPL21
MGME1	CHD8	THAP4	MRPL54
HADHB	TBC1D14	KCTD12	TMPO
PPT1	INPP5E	TRAF6	RCN3
ZNF653	COL27A1	ZMYND11	NOL12
GINM1	SKI	CC2D2A	HIST1H2BN
MPC1	SGMS1	FNDC5	UBXN6
SLC25A44	SLC16A5	ANLN	MRPL19
JRK	EPOP	GRK6	TOMM20
NEK6	BRPF1	UBE2S	DAZAP2
VAMP3	PCDH7	AFF4	FAM161B
UNKL	MINK1	RNF169	COX7A2L
DCUN1D3	SCARA3	TMTC1	WDR91
TXNL1	TET3	LIMA1	ACP5
UBE4A	CHRM3	TRIM37	NEPRO
ARRDC1	SZT2	CCAR1	METAP1
XRN2	CHD2	POLR1B	RPL36
PWP1	ATP8B2	THAP1	ZKSCAN8
MARCH7	ARHGEF40	KIAA1549	FCHSD1
VASP	BAZ1B	SGSM3	PLEKHB1
ATRN	PKD1	TANC1	PPP2R1A
PKN2	DLG5	AP3D1	HOXB7
BAG4	TRIM8	G6PC3	SNX15
MPDU1	CEP120	WDR46	HMGCL
CCDC47	NSMF	HIST1H2AG	DSCR3
SYMPK	SRGAP3	SKIV2L	RPL37A
SLC25A13	PDGFC	EVC2	RPL29
ANKMY2	BTAF1	TST	PSMD13
CIAPIN1	ZNF142	ZMIZ1	MED20
MEGF10	MBTPS1	RALGAPB	BUD13
BTBD9	FGD1	MED14	SEC13
C17orf53	MAST2	CCNB1	RAB18
FKBP3	HOXB3	ABCB6	TSPAN4
MTMR12	ATXN1	C7orf49	TMEM143
VPS4A	PTPRS	TP53I13	ATF6B
HTRA2	NRXN2	KPNA5	ACOT7
OSTM1	TAF1C	MAP3K9	MRPS25
PANK4	ZSCAN5A	GSPT1	SUDS3
DSTYK	PLEKHG4	DHRS7B	TTC31
LRRC1	AADAT	LARP1	BABAM2
ITGAE	KDM2B	NAV2	DYNC1LI1
PSMA6	SHB	RAC1	NSFL1C
YTHDC1	WWC2	PLEKHO2	WDR18
PGS1	MAN1A2	LYAR	SNX12
TMEM63B	MYO18B	AHNAK2	TMEM206
ARRB1	MYBL2	DIAPH2	GANAB
CLK3	SEPHS1	PAQR4	TBC1D22A
ELP2	EPHB4	RBM17	PGM3
RABGEF1	GRK2	TBX18	LSM11
KIAA0355	MGAT4B	BCKDK	SOCS4
TMEM41A	POMGNT2	FZD7	CYBRD1
SPTLC1	FBXO18	TBC1D1	DCTN6
EHBP1L1	TBC1D8	FBXL18	HMOX2
CCNK	ACACB	TMEM129	SF3B5
ACIN1	SMG5	ALG3	PMM1
MAST1	SH2B3	MYO18A	CBSL
NDUFB9	DLL1	ADPGK	NDUFB11
SNU13	PDE4A	MRPS15	PHGDH
TRIM68	SIPA1L1	DNAJC16	NIT1
CLU	GLI3	ARID1A	E2F7
CRMP1	MAPKAPK5	TEX2	BRK1
ZC3H18	ZNF45	HBS1L	PKNOX2
MRPS9	ZNF74	CUL9	TXN2
ECE1	ATP11A	XKR5	RBM3
RELA	TMEM184B	RNF123	MMS19
WDR82	RARG	ZNF414	ARHGAP19
TRIP12	AP5B1	USP21	MYOG
ZBTB14	PLXNB2	RNF111	PTMS
CYP51A1	TNRC6C	RFT1	ZSCAN26
LCMT1	CAPN15	PPP3CC	ITPA
CMPK1	SMO	GALNT16	GLUL
CRBN	PCNX3	SERPINE2	GLE1
NDUFA13	CHD6	TYK2	NDUFS2
MRPS17	DAPK1	WRNIP1	GART
BCAT2	TTLL5	GRIPAP1	PEA15
ZNF689	PCGF3	SCYL1	RER1
MALSU1	ALKBH5	TRIOBP	TRIP10
MPC2	KDM5A	GPN2	RANBP10
BOP1	SLC35B2	ZBTB9	NUDCD3
C1orf35	RAPGEF1	TEN1	TTC17
NENF	KIFC2	JADE1	IRF3
PCDHB16	SSH1	GCLM	PSMD11
HIST1H2BC	PALB2	GNAI1	NDUFS6
HIST1H2BF	ZC3H11A	CDON	IP6K2
FOSL2	SPRED1	KCNJ6	CTDSP2
PIAS3	WDR81	ASXL1	BAX
PHAX	KIFC3	KIN	CLNS1A
SLC7A6OS	VPS13B	LETM1	CAPNS1
ARMC9	ZNF324B	HIPK3	RASSF4
BIN3	MORC4	TRIB2	NRBP1
XYLT2	MICAL3	TCEA2	DIABLO
COX14	CHPF2	SUGP2	EPS8L1
VAPA	UTS2R	ZNF106	GAPDH
L1CAM	PHLPP1	PKMYT1	SP140L
TMEM25	ATG4D	GMCL1	MVB12A
ATP2A2	CCNY	CLIP4	PLIN2
OGG1	DENND4B	RDH10	ADD1
ARHGAP1	KIF26A	AEBP1	PSAP
NUDC	ZHX3	GUK1	ETV1
TP53INP2	PIEZO1	GNA12	CREB3L2
VPS37C	KSR1	ANKRD54	RHOC
FMN1	ADCY3	NYNRIN	KHDRBS1
CHID1	AFF3	NCKIPSD	NDUFAB1
UXT	KIF1C	MEF2D	RBMX2
GIPC3	ARHGAP39	TLN2	MFAP1
FLT4	SBF1	SLU7	PLAUR
AURKA	ATXN7L3	SH3BP2	ARHGAP17
ATP1B1	CELSR1	TONSL	ATL3
SERBP1	FOXN3	ATG2A	GLI4
TMEM141	LRP8	PHF8	DDX3X
VANGL2	SHROOM3	FMNL3	PPP1R13L
RRP9	MAP3K11	DEF6	MID1IP1
AIMP2	PER3	USF2	TIMM8B
NT5C2	GABBR1	E2F2	TIMM13
VPS51	FAM91A1	SLC35F5	FAM98C
SCPEP1	EXT1	NCOA3	LDLRAD3
KPNA4	RALGDS	YEATS2	ZW10
PDCD2	HS6ST1	FAM171A2	SERINC2
NFATC4	ASAP1	MAN1C1	UQCR11
C1orf53	CLIP1	CBLN2	GM2A
LUZP1	BLOC1S2	TRIM2	GALE
WDR48	EFCAB14	SYNE1	GCN1
HKR1	PLXNA1	CEP78	LARS
GSTO1	SSH2	AKT2	ENO3
DYNLL2	AFDN	TMEM246	GPATCH2
PUM2	UBN1	CERS5	ZC3HAV1
TSPAN15	ADGRB2	MGAT1	LITAF
UBTD2	TMEM138	TBCEL	NAT14
UQCRQ	AGBL5	S100A6	TIGAR
SFPQ	ZFAT	MSH3	FDPS
CCDC115	GOLGA3	IGDCC4	ERICH1
SCD	ARHGEF12	WDTC1	ERF
ARFIP2	CLIP2	NOP53	RABAC1
ELP3	PCDHA6	GNAI2	LRRC59
NECAP2	TRIO	POLR3D	GIT2
TCAF1	TTC7B	SSFA2	TBC1D10A
CYTH3	TTBK2	HINT1	AARS
PCDHAC1	KIF3B	ADORA2B	METTL14
C1orf52	ZFYVE26	C1orf109	TMEM106C
ZSWIM6	KIF21B	H3F3C	VDAC3
ACVR1	PTP4A2	AFTPH	BSG
FLAD1	ARHGAP23	SEC16A	LAP3
ACTB	PITPNM2	PPP1R21	TARDBP
TPPP3	KIAA0930	SRSF2	EGFLAM
WDR83OS	FOXM1	YEATS4	STRN3
TMEM161A	ZBTB12	SLC12A2	EIF4B
RAB20	ZNF71	DIS3L	SET
UBE2R2	EFL1	LIMD1	CD59
WRAP73	UBAC1	FUZ	RPL10
NCLN	KDM4B	POM121	TMED9
RNF181	ITGB8	MRPL45	CCDC120
ATP6V1H	ATP13A2	MOCS1	GBP2
ISYNA1	SMURF2	FBXW5	CBX6
FECH	FRMPD1	CIPC	ETHE1
AP2A1	HIPK2	F2R	SAMHD1
R3HCC1L	VPS13D	DGCR2	TPGS2
TXNDC11	MARK4	PUM3	COPG1
FSD1	HACE1	TUSC3	C10orf76
RTL8B	NF1	SNAPIN	TBC1D5
SLC29A1	ZNF496	NSD2	IAH1
TAF8	ABTB2	CCNB2	TFPI2
EBP	FAT1	NOTCH2	PDCD5
RCN1	TBC1D9	GATB	ATG12
GNB2	ABCC10	SERTAD2	SARS
SMAD3	DLG4	MAP2K4	KDELR3
MANBA	TAB3	MECP2	CORO1B
TPT1	ARHGAP32	BMS1	RALY
ABI1	CACNA1H	CCDC14	MRFAP1L1
INO80B	HIRA	GLT8D2	STAM
LMNB2	ZNF629	CYHR1	NIPA1
TMUB2	DAB2IP	INTS14	RFC4
RPP30	LRRC8B	RRBP1	PCCA
NCBP3	KDM2A	EHD3	HNRNPA2B1
CPSF7	ADCY9	KLC1	CDK4
CCDC28A	HIVEP2	APC2	JUP
INTS7	IL11	AP1AR	H2AFY
MAPKAP1	TTF1	DCHS1	FNTA
UBE2D2	FNIP2	ASAP2	MAP1LC3A
MLX	FAM160A2	KIAA1841	FANCL
DYNC1I2	ZZEF1	LSM3	HMGA2
MRPL17	NF2	DHX37	SSNA1
YWHAG	MYRF	BRWD1	YIF1B
HDAC1	MCF2L	SARAF	XBP1
TATDN3	ADCY7	RNFT1	PSMG3
