LIST1	LIST2	LIST3	LIST4	LIST5
SPATS2L	RPL15	ODR4	MRPS30	ITPR3
F2RL2	FDX1	ATP5S	APRT	ZFHX3
HEG1	ELOB	THEM6	PDLIM1	GRIK5
CHSY3	TIMM21	TMEM120B	FADD	TNRC18
JAG2	SNX3	SUPT7L	NAPA	USP49
UCP2	CIRBP	MIER1	FKBP8	LRFN4
ARHGAP29	GSTK1	RIPK2	ATP5PB	NBEAL2
TMEM198	RRAS	ASPHD2	GCDH	PLEKHM2
PCDH10	SNRNP40	GBE1	SNTB1	ZNF462
ISG20L2	NELFA	LZTS1	PRUNE2	PPP6R2
MADD	AKR7A2	ZNF326	KIF2C	MEGF8
SMARCA4	CBX5	DDX23	DNPEP	KIAA0100
SUZ12	PPDPF	WDR75	C17orf62	ABL1
NOP14	C6orf106	PDXK	UGDH	FAM193A
VAC14	ACSS1	MKNK1	PEX16	CSNK1G2
STON2	XRCC6	COPA	C5orf15	TRAK1
TAF6	ZFYVE19	AMPD2	MRPS22	MYO10
PRELID1	GRN	MBOAT7	YARS	CACNA1G
TBL1X	NDUFS1	NRSN2	KHSRP	MFHAS1
LMTK2	SRSF5	RETREG2	PDLIM4	RGMB
C18orf21	RHPN2	FASN	SURF1	AXIN1
SLC30A5	PFN1	TUBA1C	MAD2L2	DOT1L
NT5DC2	COL9A3	GRB2	RARS	KMT2C
ZBTB17	ASPH	GPC1	RALB	USP36
ELK3	CENPH	FAM118A	UBL5	PPP1R16A
ERBB2	TMEM160	TTC9	FKBP4	TRIM71
GON4L	GALK1	POFUT1	PHF23	TFDP1
FAM120A	CWF19L1	ELL	GOT2	MED13L
CBFA2T2	UTP14A	DYNC2LI1	ELP4	PPP1R37
EVC	MRPS35	GTPBP10	CCDC22	ATP10A
PGF	TM9SF4	SH3GLB1	DHX38	TBC1D9B
LOXL1	TMEM199	NOM1	VCL	PITX1
LHX8	CTTN	MRPS2	NUP133	KLHL29
RALBP1	MEAF6	SEC24B	NUP188	SGSM2
NEK4	LIX1L	PPP3CB	AGK	KAT6A
SLC27A4	TFDP2	CEBPA	OSBP	PCDH17
CAMKK2	MTA3	NOL6	EIF2B4	NSD1
MAP3K4	TRA2A	VEGFA	PNPT1	TRAPPC10
ARIH2	OXLD1	SLC31A1	APP	KCNC1
DHX34	RPRD1A	ANK2	PCNA	B4GALNT4
DVL1	CCDC117	SPNS1	LPIN1	SLX4
MICALL1	SNAP29	DEDD	BAD	CIT
ROBO1	MPI	PRKD2	CREB1	RNF10
HPS3	ZFPL1	WDR5	TUBA1A	GBA2
MAPRE2	QPRT	SLC2A6	MAGED1	PIGH
UBR3	NPC2	UBE2Q1	BCS1L	BRD1
PRRX2	DPYSL2	TRIM44	MIDN	AGAP2
THAP4	MNT	POC1A	CEP85	ADAMTS5
KCTD12	P4HA2	PRR14	RAB11FIP1	GPR153
TRAF6	PPME1	SEPT9	ZSWIM7	FBF1
CC2D2A	SLC25A1	ODF2	COL19A1	INPP5E
KIAA1614	ASB1	CYTH1	STK39	COL27A1
FNDC5	SH3BGRL3	PPM1G	SFXN2	SKI
NOD1	MAP3K12	SATB2	ZSCAN25	TET3
UBE2S	COX4I1	NIF3L1	ZNF566	CHD2
RNF169	ATOX1	HIST1H4E	MRTO4	ATP8B2
TMTC1	PSMD4	RIMS3	TIPIN	PKD1
TRIM37	HERPUD1	ITPK1	BIN1	DLG5
CCAR1	DCTN2	ERCC4	ATP5F1B	TRIM8
POLR1B	RAB11A	NR2F6	ATP5F1D	NSMF
KIAA1549	CDC23	EPHA3	LARP4B	BTAF1
AP3D1	DCK	KLHL7	FAM49B	MBTPS1
G6PC3	DNAJB11	SEC14L1	NUP98	MAST2
HIST1H2AG	MRPL54	KLF13	MKS1	ATXN1
EVC2	TMPO	ETV3	GAA	PTPRS
TST	RCN3	ATP1B3	MED15	AADAT
RALGAPB	HIST1H2BN	S100PBP	STARD10	SHB
ZNRF3	DAZAP2	SEPT11	MRPL9	MAN1A2
C7orf49	FAM161B	PCDHGA10	TIMP2	MYO18B
TP53I13	COX7A2L	ZNF653	PPP6C	POMGNT2
LARP1	ACP5	TMEM147	THOP1	ACACB
SIM2	NEPRO	JRK	SNX17	SH2B3
NAV2	RPL36	CNKSR3	VEZF1	GLI3
DIAPH2	ZKSCAN8	NEK6	LRCH3	MAPKAPK5
PAQR4	FCHSD1	VAMP3	ZNF609	ATP11A
BCKDK	PLEKHB1	UBE4A	NKAPD1	PLXNB2
TBC1D1	SNX15	PWP1	FN1	TNRC6C
FZD1	HMGCL	MARCH7	CDH13	CAPN15
FBXL18	DSCR3	VASP	MGME1	SMO
IGSF3	RPL37A	PKN2	HADHB	PCNX3
TMEM129	RPL29	MALT1	PPT1	CHD6
FAM69B	MED20	CNP	TPI1	DAPK1
MYO18A	BUD13	ANKMY2	NGRN	ALKBH5
ARID1A	SEC13	BTBD9	GINM1	SLC35B2
MIGA2	ATF6B	PANK4	MPC1	RAPGEF1
CHST12	ACOT7	RAVER2	SLC25A44	KIFC2
USP21	MRPS25	NAXD	UNKL	SSH1
TYK2	SUDS3	TRIM28	DCUN1D3	ZC3H11A
WRNIP1	BABAM2	YTHDC1	TXNL1	SPRED1
TEN1	NSFL1C	TMEM63B	ARRDC1	ZNF324B
GNAI1	WDR18	CLK3	XRN2	MICAL3
CDON	SNX12	ELP2	RPSA	UTS2R
ZNF618	TMEM206	RABGEF1	ATRN	CCNY
SPECC1L	GANAB	KIAA0355	BAG4	DENND4B
KIN	TBC1D22A	MAST1	MPDU1	KIF26A
HIPK3	PGM3	ABCC1	CCDC47	PIEZO1
TCEA2	LSM11	CNN3	CALU	ADCY3
ZNF106	SOCS4	SLC16A3	SYMPK	KIF1C
CLIP4	CYBRD1	XRCC3	SAMD8	ARHGAP39
APH1B	DCTN6	VGLL2	FAM98A	SBF1
GNA12	HMOX2	MRPS9	IFITM2	ATXN7L3
ANKRD54	PMM1	TUBGCP5	SLC25A13	FOXN3
SLC45A4	CBSL	KLHL42	CIAPIN1	LRP8
FBRSL1	NDUFB11	RELA	MEGF10	SHROOM3
NCKIPSD	PHGDH	LIN7A	C17orf53	MAP3K11
LRRC8A	E2F7	WDR82	FKBP3	PER3
TLN2	BRK1	TRIP12	MTMR12	GABBR1
SLU7	RBM3	ZBTB14	VPS4A	EXT1
PLXND1	MMS19	CYP27A1	HTRA2	RALGDS
FMNL3	ARHGAP19	SLC41A3	OSTM1	HS6ST1
EHBP1	MYOG	TSPYL2	DSTYK	PLXNA1
EPN1	PTMS	NDUFA13	LRRC1	UBN1
FBXL19	ITPA	ZNF689	ITGAE	AGBL5
DEF6	GLUL	MPC2	PSMA6	ZFAT
BACE1	NDUFS2	ZMYND11	PGS1	ARHGEF12
TIAM2	GART	PCDHB16	ARRB1	CLIP2
SLC35F5	RER1	HIST1H2BC	TMEM41A	TRIO
NCOA3	TTC17	PHAX	SPTLC1	TTBK2
YEATS2	PSMD11	ANLN	EHBP1L1	KIF21B
MAN1C1	NDUFS6	GRK6	CCNK	ARHGAP23
SYNE1	IP6K2	XYLT2	ACIN1	PITPNM2
CEP78	CTDSP2	AFF4	NDUFB9	FOXM1
AKT2	BAX	L1CAM	SNU13	ZNF71
TLE1	CLNS1A	LIMA1	NDUFB7	EFL1
TMEM246	CAPNS1	TMEM25	TRIM68	KDM4B
MGAT1	RASSF4	ATP2A2	CDC25A	ITGB8
TBCEL	DIABLO	ARHGAP1	CLU	HIPK2
CDK13	EPS8L1	THAP1	CRMP1	VPS13D
EPG5	GAPDH	SGSM3	ZC3H18	HACE1
GNAI2	SP140L	TANC1	ECE1	ZNF496
C6orf47	MVB12A	FMN1	CYP51A1	ABTB2
CUX1	PLIN2	WDR46	NHP2	TBC1D9
SLC12A2	ADD1	SKIV2L	LCMT1	DLG4
POM121	PSAP	SERBP1	CMPK1	TAB3
RABL6	CREB3L2	ZMIZ1	CRBN	CACNA1H
FBXW5	RHOC	MED14	MRPS17	HIRA
F2R	RBMX2	CCNB1	BCAT2	DAB2IP
RNPEPL1	MFAP1	ABCB6	MALSU1	LRRC8B
PUM3	PLAUR	KPNA5	CCDC124	HIVEP2
TRIB3	ARHGAP17	NFATC4	MRPL21	IL11
NOTCH2	DDX3X	LUZP1	BOP1	NF2
MECP2	TIMM8B	MAP3K9	NOL12	MARK3
BMS1	TIMM13	GSPT1	C1orf35	MLLT6
CCDC14	FAM98C	DHRS7B	NENF	MPRIP
INTS14	ZW10	PUM2	HIST1H2BF	SIDT2
RRBP1	SERINC2	TSPAN15	UBXN6	ZNF236
KMT2D	UQCR11	UBTD2	MRPL19	IRS1
EHD3	GM2A	UQCRQ	TOMM20	ZNF835
KLC1	LARS	ARFIP2	FOSL2	PPFIA4
APC2	ENO3	CYTH3	PIAS3	CREBBP
