Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	341	25.315515961395697	1.1607373815148009E-26	RPP38, FLYWCH1, XRCC3, SCAF4, DBF4B, AURKAIP1, U2AF2, LSM7, SART1, WDR75, SIN3A, CUL7, DHX37, INCENP, HIST1H2BJ, LSM4, H2AFX, LSM3, ZNF394, SUPT5H, CCNA1, CCNA2, CYHR1, INA, POLL, TIMMDC1, ANAPC2, MCRS1, CGRRF1, ANAPC5, POLH, PCBD1, RXRA, ANAPC4, LIG3, UBR4, MED14, UBR2, HMG20B, ISG20L2, PTPDC1, RPTOR, ZNF500, AQR, ASCC2, SPAG5, MED16, MED17, FBXL4, PIAS2, MAPK7, DEAF1, KIF4B, TADA3, ELL, NIFK, CEP164, RFFL, NAT10, TCF3, DHX8, YEATS4, ZBTB48, RECQL5, KANSL1, TM2D1, SMYD2, CDC27, RPS8, USF2, GCFC2, SRSF2, NOTCH1, PAXIP1, NOLC1, RNF2, PPRC1, H3F3B, POP4, METTL17, POP7, RPP40, SLC9A1, ABCF1, PPARD, UTP18, FERMT2, COPS4, SENP5, C19ORF47, LONP1, HSF1, NR2F6, FANCE, USP10, ZPR1, TWISTNB, TOMM34, ATF7IP, CTBP1, BRF1, ZDHHC7, POLR1A, TPX2, GTF2H3, TLE4, CCNC, MBD4, CBR3, ECSIT, SENP2, EIF4A3, GTF2I, TOP3A, THOC6, NOL11, CCDC174, THOC3, WDR43, WDR46, MED1, ZMYND11, CLUAP1, SKIV2L, FAM193B, MKNK2, MKNK1, POLR2A, MORC3, GATAD2A, PPP3CB, AGO2, WAC, TCEA2, FAM32A, USP33, ZNF263, SSRP1, HIST1H2BC, HIST1H2BD, UPF1, POLR3H, GMNN, TRIM28, PAK1IP1, TRIM27, POLR3E, IWS1, POLR3D, CCNB1, MEF2D, SDHB, PRELID1, CCNB2, RPS6KA4, RPS6KA1, MAPK12, HNRNPUL1, MAPK14, NOP56, USP48, TEX10, DUSP6, CALM1, TXNL4A, RNMT, CBX4, PKMYT1, RPS6KB2, CNP, CBX2, ITPKC, MCM10, IL17RD, PDHB, KDM1A, SMARCD3, OIP5, SRRM2, DDX21, TGS1, RBM10, PPP4C, ORC2, SATB2, PDXK, STK24, NEIL3, RELA, MTA2, WEE1, TIMELESS, PSMA5, GTF2IRD1, BMP2K, PYGO2, SNRPC, SMARCA4, NMNAT1, FZR1, AFTPH, SYVN1, GRB2, PEAK1, MAPKAPK3, ANLN, ANAPC11, SOX9, SRF, NR2C2, PSMB1, PELP1, ZNF326, SYAP1, SNF8, RPL3, HIST1H4E, THAP11, ATRIP, SREBF1, XPOT, TBL3, TAF4, EHMT1, TAF6, MYO1C, WDR5, ZMYM6, TAF8, SUV39H1, TEAD3, WIPI2, NFKBIL1, UIMC1, SREBF2, ATF5, ATF4, HDAC3, HOXB2, PLK1, YIPF3, WDR4, DNMT1, ZNF318, MTOR, HIST1H3E, SMC1A, CSTF1, PHF8, HIST1H3G, E2F1, KIF23, E2F2, HIST4H4, CPT2, E2F4, FOXK2, EDC4, BAP1, CTCF, PHC3, MEN1, JADE1, PLCB3, SBDS, PLRG1, DGCR8, PAK2, MAPKAP1, PRMT6, PSMD5, MKL1, TNIP1, IMPDH1, AKT3, CHUK, NOL6, PRKCA, IK, NOL9, ARID5A, PKN2, CDK6, BANP, MCM2, MBNL1, IRF2BP1, NCL, CD3EAP, PRKD2, PPM1G, XPC, HIPK1, ZMIZ2, ALDH1B1, ZMIZ1, CPSF7, KPNA5, ZFPM2, CPSF1, KPNA1, PPP2R2A, NFYC, WBP11, EXOSC10, RPA2, NPAS2, TSPYL2, CDYL, ECD, PPP1R12A, NFAT5, GTF3C5, HS6ST2, NEDD4L, GTF3C2, NFATC3, GTF3C1, ERCC4, TINF2, GEMIN7, RTCA, GTF3C4, CHD4, HSPA8, GEMIN5, CENPM, NUP153, PDCD11, MSH3, TONSL, SIRT1, PHAX, HEYL, H2AFY2, GDF11, CENPV, GGA1, IPPK, RNF40, RNF111	1263	2662	16912	1.7152915464295295	8.067124801527865E-24	8.067124801527865E-24	1.7487838606291837E-23
GOTERM_CC_DIRECT	GO:0005634~nucleus	514	38.15887156644395	1.7020537537400335E-16	XRCC3, DBF4B, TUBB2B, AURKAIP1, RUSC1, RP9, CUL7, HIST1H2BJ, ZNF772, BTBD3, PTBP3, LSM3, TLK1, TIGD5, ZNF394, CCNA1, CCNA2, MCRS1, RXRA, LIG3, MECP2, ESPL1, MED14, PTPDC1, ZNF500, OGFOD1, SCYL1, ASCC2, SPAG5, MED16, ZNF783, MED17, VGLL2, CMIP, MAPK7, EIF2AK2, GNAI1, RAD23A, ERBB2, NFKBIA, DUSP11, JRK, NPHP4, RAC1, AHNAK2, NAT10, TCF3, DHX8, ZNF398, ZNF623, RECQL5, MAP2K2, KLF13, MAP2K4, GGH, MPC2, FXR2, USF2, RPS8, GCFC2, SRSF2, ZNF211, PPRC1, MZF1, H3F3B, ZNF219, RERE, POP7, HIST2H2AB, HSF1, HLX, USP10, DPP9, ZNF490, ZPR1, TWISTNB, DXO, SERTAD2, ATF7IP, HIST1H1C, ZDHHC7, TPX2, TLE4, DGUOK, ZNF689, KLHDC2, FLNA, ARVCF, BRWD1, ZNF134, SERPINB6, ZNF691, THOC6, CCDC174, ZSCAN12, ZNF484, ZMYND11, HIST1H2AC, HIST1H2AG, CREM, SKIV2L, ZBTB9, WRNIP1, MKNK2, FHL3, MKNK1, ZNF653, TRIM11, SORBS3, ZSCAN22, REXO4, ZSCAN20, PPP2CB, WDR11, WAC, LIMD1, TCEA2, ZNF263, SSRP1, HIST1H2BC, HIST1H2BD, UPF1, TRIM28, TRIM27, ZNF668, ZNF358, CCNB1, FSD1, MEF2D, DUSP2, RPS6KA4, CCNB2, RPS6KA1, HNRNPUL1, GSK3B, BNC2, HIST1H2AH, PRSS23, TXNL4A, DNM2, PRAC2, RNMT, STK38, ZNF451, CNOT3, RPS6KB2, TGFB1, KDM1A, EBNA1BP2, SMARCD3, OIP5, MIER3, FBXO25, DDX21, ZNF446, FBXO22, NCBP3, DNAJC1, SAMD4B, EGFR, RSBN1L, ZNF592, PDXK, STK24, RELA, NEIL3, PITHD1, WEE1, RNF130, MAD2L1BP, TIMELESS, TELO2, BMP2K, SMARCA4, NMNAT1, HDLBP, AFTPH, SIPA1, MAPKAPK3, CERS5, NR2C2, PEG10, MEIS2, ZNF326, ZNF697, NUMB, SNF8, RPL3, HIST1H4E, RPL4, PRUNE1, SHPRH, EHMT1, CREBZF, TAF6, FIBP, TAF8, SUV39H1, TEAD3, UIMC1, PAGR1, ATF5, HDAC3, ATF4, TSC1, EBF3, PLK1, ZNF317, ZNF414, HIST1H3E, HIST1H3G, DNAJB5, E2F1, KIF23, E2F4, LYAR, HINT1, CLSTN1, EDC4, BAP1, PIP5K1C, CTCF, WARS, PKN3, PLRG1, PRMT6, S100PBP, LRRFIP1, NRG1, LRWD1, IMPDH1, CABLES1, IMPDH2, INO80B, DLG1, SSBP4, SSBP3, IK, ARID5A, PKN2, NUSAP1, CDK6, MBNL1, NCL, TARBP1, PPM1G, CPSF7, ZFPM2, CPSF1, WIZ, NDN, SSFA2, NFYC, WBP11, ZNF512B, TSPYL2, TSC22D2, INPP5K, ECD, NFATC4, NEDD4L, NFATC3, GTF3C1, EHD2, RTCA, HSPA8, CHD4, CEBPA, PDCD11, WDTC1, ALPK3, UBE2Q1, PWP1, RDH10, HEYL, FAF1, IPPK, RNF111, ALKBH4, RPP38, S100A6, PDLIM7, U2AF2, DNASE1L1, SIN3A, PICALM, RAVER2, WWP2, RAVER1, H2AFX, SUPT5H, POLL, GTPBP3, ANAPC5, YY1, ANAPC4, TXNDC9, TRAPPC12, PRDM8, MAD2L1, SERBP1, PIAS2, DEAF1, HOXA13, TADA3, NEK2, ELL, AKAP13, OCRL, ANGEL1, UHMK1, PLAGL2, MOCS1, OSGEP, TM2D1, KANSL1, BECN1, ALMS1, ZBTB40, SMYD2, CDC27, DDX6, NOTCH1, PAXIP1, ZFHX4, CSRNP2, CSRNP1, RNF2, PON2, RPP40, METTL17, PPARD, NIF3L1, UTP18, FERMT2, COPS4, HELZ, ZEB2, SENP5, CAMKK2, LONP1, NR2F6, FANCE, TUBB6, ACTR8, TOMM34, RBM42, CTBP1, SLC25A4, PALD1, SNUPN, POLR1A, CCNC, MBD4, FAM76A, ECSIT, POGK, GTF2I, TOP3A, NOL11, CDK11B, TBX18, MED1, C1ORF174, RBM34, TRIOBP, FAM193B, KIN, POLR2A, PGBD1, GATAD2A, AGO2, THAP1, CC2D1A, FAM32A, ETV6, ETV3, TES, CEP131, GMNN, YWHAB, TBX1, POLR3E, IWS1, TJP1, AREL1, MAPK14, SLC50A1, APBB2, CALM1, MAEA, CBX4, CBX2, CNP, MCM10, PDHB, CIPC, LOX, ITCH, IFRD2, GNL2, PPP4C, TGS1, RBM10, ORC2, SS18L1, SATB2, CSNK1G1, TOR1AIP1, PSMA5, GTF2IRD1, PYGO2, CPD, ZC3H3, GRB2, STRAP, DIAPH3, RRAGA, MUM1, SP110, SOX9, HEXDC, SRF, SOX8, ZMYND8, SPC25, EIF3A, PSMB1, PELP1, PPL, RNF14, SREBF1, TBL3, RFX5, WDR5, KCTD1, MALT1, UBOX5, FOXP4, NFKBIL1, SREBF2, CORO1A, CAMKMT, HOXB2, SLC25A10, WDR4, DNMT1, MTOR, PIP4K2A, SMC1A, PHF8, CSTF1, HIST4H4, AEBP1, FOXK2, PHC3, MEN1, JADE1, RANBP9, SBDS, RMND5A, DGCR8, MAPKAP1, MKL1, CDK14, TUBA1C, NOL6, CPTP, SOX11, LDB1, MCM2, FOXJ3, CD3EAP, PRKD2, XPC, HIPK1, ZMIZ2, WRAP53, KPNA5, KPNA1, COMMD5, APEX2, NFIX, NACAD, HECA, TRIB2, EXOSC10, RPA2, NPAS2, RGS12, CDYL, CENPB, NFAT5, TINF2, ERCC4, GEMIN7, PPWD1, GEMIN5, PINX1, UBE4A, HMBOX1, RUFY1, SIRT1, PHAX, GMCL1, PSMG2, MAP1S, CDAN1, SETD6, CENPV, MAPK8IP1, IGFBP3, RNF40, NFIB	1263	5107	16912	1.3476865079383535	1.5432100042289676E-13	7.716050021144838E-14	3.3306690738754696E-13
GOTERM_CC_DIRECT	GO:0005829~cytosol	315	23.385300668151448	6.142091259783469E-9	ALS2, S100A6, CHMP6, LSM7, RNF217, RANGAP1, ZNRF1, SART1, ZNRF2, GET4, PGP, PGPEP1, SERPINE2, GBF1, CUL7, INCENP, BTBD3, LSM4, LSM3, CCNA1, DEPDC7, ANAPC2, ANAPC5, PCBD1, RINT1, ANAPC4, MECP2, VTI1B, ESPL1, UBR2, AP4M1, RPTOR, BRAP, GAPVD1, MAD2L1, TRAPPC9, FBXL4, MAPK7, EIF2AK2, ADD2, KIF4B, NEK2, NFKBIA, AKAP13, CEP164, RFFL, ASL, OCRL, ANGEL1, NPHP4, RAC1, TNKS, AMD1, STX10, MOCS1, OSBPL3, ADAL, SPHK2, BECN1, MAP2K2, TGFBR2, MAP2K4, ACACA, GGH, ARFIP2, ALMS1, SMYD2, CDC27, RPS8, DDX6, NOTCH1, ABCF1, AP1B1, BCAR1, WASF2, FERMT2, COPS4, ANPEP, CEP250, HSF1, SPG21, SYNJ2, GSTZ1, DPP9, STX1A, ARHGEF1, PALD1, RAB4A, SNUPN, ARHGEF18, TPX2, ARHGEF16, CBR3, DGUOK, HERC1, ARHGEF10, FLNA, EIF4A3, NCK2, MTMR14, ADO, SERPINB6, TOP3A, WDR45, PARD3, ABCD1, HK2, TEPSIN, MKNK1, SORBS3, PPP2CB, FASN, PPP3CB, AGO2, PPP3CC, AGO3, RASA2, CEP131, UPF1, POLR3H, GMNN, IPO11, YWHAB, TRIM27, EIF2B1, POLR3E, POLR3D, CCNB1, TJP1, CCNB2, RPS6KA1, AREL1, MAPK12, GSK3B, MAPK14, YWHAQ, DUSP6, DNM2, FAM126A, CALM1, CTNNAL1, AP1G1, CNOT3, PKMYT1, NT5DC3, ITPKC, PI4K2B, SLC7A5, CIPC, ATG5, ITCH, TGS1, ITPK1, SAR1B, DNAJC1, PDXK, STK24, MADD, RELA, PDXP, ACTN1, PDE4D, ARPC1A, MIB1, CHPF, PSMA5, IGBP1, RIPK2, VAMP3, VPS26B, AKAP1, FLAD1, NRBP2, PHKA2, FZR1, ARFGAP3, AFTPH, GRB2, STRAP, GNE, DIAPH3, SIPA1, MAPKAPK3, SNX2, RRAGA, ANAPC11, GCLM, RASAL2, SPC25, EIF3D, EIF3A, PSMB1, GMIP, ARPC2, SNF8, RPL3, RHOBTB1, DOPEY2, RPL4, SREBF1, XPOT, TBC1D10B, MYO1C, MALT1, WIPI2, WIPI1, TRIM62, NFKBIL1, SREBF2, LAMP1, TRIM56, CORO1A, CAMKMT, HDAC3, SARM1, TSC1, PLK1, WDR4, CYFIP1, AHCYL1, MTOR, PIP4K2A, SMC1A, GUK1, DNAJB5, KIF23, COPA, SEC24B, KIF24, PIP5K1C, EDC4, DPH2, ARHGAP12, ARHGAP4, MEN1, JADE1, WARS, MKLN1, PLCB3, RANBP9, NDE1, PAK2, MAPKAP1, CTU2, ARHGAP1, PRMT6, ABHD10, LRRFIP1, PAK1, PSMD5, CSK, MKL1, IMPDH1, CHUK, CABLES1, IMPDH2, CDK14, DLG1, PRKCA, CPTP, PKN2, CDK6, ARHGAP24, EML1, KLHL12, TOM1, KPNA5, DHPS, KPNA1, UBAP1, PPP2R2A, AP1M1, MOB1A, NDN, CYTH1, CALD1, UPP1, NPAS2, DDHD1, INPP5K, RASGRP2, SEC16A, PPP1R12A, NFATC4, ETNK2, BDH2, HSPA4, PAFAH1B1, NEDD4L, TNRC6B, NFATC3, GEMIN7, EHD2, HSPA8, GEMIN5, CENPM, WDTC1, PDCD11, OTULIN, ARHGAP45, LARS2, AMPD2, TAB2, UBE2Q1, USP6NL, PHAX, SCFD1, RNF115, PSMG2, GSPT1, MAP1S, FAF1, MAPK8IP1, IPPK, RNF40	1263	3152	16912	1.3381844050303242	4.268744341562325E-6	1.4229168052715124E-6	9.253763866290399E-6
GOTERM_CC_DIRECT	GO:0005730~nucleolus	102	7.57238307349666	2.4648217265269475E-7	RPP38, RNMT, MCM10, EBNA1BP2, WDR75, SIN3A, DHX37, DDX24, FBXO25, DDX21, GNL2, TGS1, MCRS1, STK24, ISG20L2, WEE1, TIMELESS, TNFAIP1, SMARCA4, DEAF1, GRB2, NEK2, NIFK, ANAPC11, SP110, EIF3A, P3H4, PELP1, RPL3, NAT10, RPL4, TBL3, MYO1C, ACACA, MALT1, SNAPIN, GCFC2, DDX6, NOLC1, PLK1, PHF8, CPT2, UTP18, BCAR1, LYAR, DEDD, GTPBP10, CTCF, SENP5, SBDS, DGCR8, PLRG1, RTF1, ZPR1, TWISTNB, DCAF17, INO80B, NOL6, IK, CPTP, NOL9, ZDHHC7, ARID5A, POLR1A, NUSAP1, NCL, FLNA, C6ORF89, CD3EAP, BRWD1, XPC, MRPS9, NOL11, WDR43, WDR46, MED1, RBM34, APEX2, MKNK2, POLR2A, EXOSC10, TSPYL2, REXO4, THAP1, FAM32A, ETV6, GTF3C1, NFATC3, HSPA8, PINX1, CEBPA, SSRP1, PDCD11, NUP153, PAK1IP1, SIRT1, PWP1, MAP1S, NOP56, TEX10, RNF111, NFIB	1263	815	16912	1.6758462906022764	1.7129045923280906E-4	4.282536574762297E-5	3.713529909021851E-4
GOTERM_CC_DIRECT	GO:0016020~membrane	216	16.035634743875278	6.975352404793906E-7	ALS2, B3GALT6, CHMP6, PPP1R21, ZNRF1, CLPTM1L, PICALM, GBF1, WWP2, AUP1, SLC12A9, UBR4, MED14, DHRS7B, CCDC134, OGFOD3, PARP16, AQR, GAPVD1, SCYL1, MED16, SERBP1, MED17, ASPHD2, VEGFA, EIF2AK2, TPST1, KCNMB4, ERBB2, MMD, AKAP13, ACP2, RFFL, SORCS2, SLC29A1, P3H1, NPHP4, LGALS3BP, RAC1, NAT10, STX10, HPCAL1, OSBPL3, SPHK2, CNKSR3, OCIAD1, FXR2, RPS8, DDX6, ATP13A1, GRK6, ALG12, CLCN7, ABCF1, SLC27A1, IER3IP1, LDLR, FERMT3, HELZ, LONP1, XYLT2, GNPAT, TOMM34, ZDHHC5, NECTIN1, HERC1, FLNA, EIF4A3, SLC26A6, GTF2I, FKBP15, TOMM22, MED1, WRNIP1, ABCD1, HK2, GPAA1, ITM2B, COLGALT1, DCHS1, STAU1, SFT2D1, PGBD1, FASN, AGO2, AGO3, WDR11, CC2D1A, XKR5, YWHAB, TRIM27, EIF2B1, CPT1A, SLC16A3, CCNB1, RAB32, CCNB2, MBOAT7, KREMEN1, YWHAQ, ABCC1, NOP56, APBB2, CHERP, AP1G1, HBS1L, PKMYT1, CNP, PI4K2B, SLC7A5, IL17RB, TAPBP, SLC2A6, ATG5, DDX24, SLC4A2, DDX21, ITCH, GNL2, ORC2, DNAJC1, EGFR, STK24, MTA2, PDE4D, MOGS, PNPLA6, POR, HLA-F, IGSF8, LRP10, TELO2, NEU1, CPD, AKAP1, SMARCA4, COBL, ARFGAP3, SYVN1, SIPA1, SNX2, G6PC3, EIF3D, KIAA2013, EIF3A, PELP1, ITGAV, SNF8, HIST1H4E, RPL4, SDF4, B4GALT1, MYO1C, FIBP, CKAP4, MRC2, WIPI2, FURIN, REEP3, SREBF2, LAMP1, CORO1A, LAMP2, SLC4A11, TSC1, SLC7A1, HIST1H3E, MTOR, HIST1H3G, COPA, HIST4H4, SEC24B, TMEM237, MAN1B1, EDC4, SDC3, BZW2, NDE1, PLCB3, HEATR5B, PIGG, NRG1, ANO6, IMPDH2, PCYOX1L, NOL9, MPP6, NCL, PPM1G, IPO4, CPSF7, TOM1, C16ORF58, AP1M1, ADPGK, CDH2, PCDHGC3, HECA, EXOSC10, NDC1, INPP5K, SH3GLB1, TAP2, GTF3C1, CHD4, HSPA8, GEMIN5, B4GALNT1, ERH, MSH3, DHRS13, ARHGAP45, NUP155, MAN1C1, GGA1, RNF40	1263	2114	16912	1.368171021377672	4.8466967088656165E-4	9.695273201926202E-5	0.001050911606603755
GOTERM_CC_DIRECT	GO:0043234~protein complex	57	4.231625835189309	2.247284073865006E-6	ALS2, HIST4H4, LTBP1, KIF24, ZNRF2, MEN1, KDM1A, PLCB3, HSF1, CEP250, INCENP, CTU2, USP10, PAK1, SSBP3, LDB1, MTA2, PKN2, SCAP, ACVR2B, SERPINB6, KRIT1, IPO4, SLC41A1, RIPK2, SMARCA4, PARD3, NEK2, SIPA1, SNX2, SOX9, SH3GLB1, COL6A2, HIST1H4E, TCF3, CHD4, TES, SREBF1, BECN1, WDR6, YWHAB, SNAPIN, MALT1, WIPI2, PRELID1, CORO1A, TSC1, YWHAQ, GDF11, H3F3B, HIST1H3E, HIST1H3G, RNF40, RBM17, RNF111, DNM2, SNTA1	1263	394	16912	1.9371812339486596	0.0015606451111802588	2.602768198248784E-4	0.003385737434369318
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	48	3.5634743875278394	3.220918739297922E-6	PVR, HDLBP, LIMA1, CNN3, STK38, CALD1, WASF2, DIAPH3, SNX2, RANGAP1, EIF2A, ANLN, CDH2, BZW2, PLCB3, PICALM, CDC42EP1, PAK2, SH3GLB1, PAK4, PPL, ARHGAP1, NUMB, FASN, CC2D1A, LRRFIP1, HSPA8, TES, DLG1, EGFR, STK24, NECTIN1, ARFIP2, PKN2, YWHAB, ARHGEF16, TXNDC9, FLNA, DDX6, TJP1, GAPVD1, CCNB2, SCYL1, SERBP1, HIST1H3E, NOP56, HIST1H3G, PHLDB2	1263	313	16912	2.053470741350656	0.0022360384619858342	3.197406047713569E-4	0.004852573202207555
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	439	32.5909428359317	6.467838238061357E-6	FLYWCH1, XRCC3, DBF4B, TUBB2B, RP9, RANGAP1, SART1, CUL7, DHX37, CUL9, HIST1H2BJ, ZNF394, CCNA2, MCRS1, PCBD1, ESPL1, PTPDC1, BTBD9, BRAP, RPTOR, ZNF500, OGFOD1, SCYL1, SPAG5, VGLL2, CMIP, MAPK7, EIF2AK2, GNAI1, ERBB2, NFKBIA, NIFK, GSTCD, ASL, CTIF, JRK, SH3BP5L, CDC42EP1, TMEM127, RAC1, AHNAK2, TCF3, DHX8, RANBP17, RECQL5, MAP2K2, MAP2K4, ACACA, FXR2, EMILIN3, RPS8, NOLC1, POP7, SLC9A1, LIMA1, LZTS1, UFC1, EIF2A, LSM14A, HSF1, SPG21, USP10, ZPR1, DPP9, DXO, SERTAD2, ATF7IP, ARHGEF1, ZDHHC5, CLMN, ARHGEF18, KCTD20, FLNA, ARVCF, WDR47, EIF4A3, MAST4, NCK2, BRWD1, SERPINB6, PLEKHH2, CREM, MKNK2, MKNK1, TRIM11, ANKS6, PPP2CB, WDR11, LIMD1, USP33, RASA2, ZNF263, SSRP1, HIST1H2BC, UPF1, HIST1H2BD, TRIM27, SPATA5L1, FSD1, CCNB1, MEF2D, RPS6KA4, RPS6KA1, GSK3B, BNC2, ZMYND19, USP48, PHLDB2, TXNL4A, DNM2, DUSP6, CHERP, STK38, AP1G1, RPS6KB2, SLC7A5, TGFB1, IL17RB, ATG5, SMARCD3, OIP5, NCBP3, SAMD4B, EGFR, PDXK, STK25, STK24, RELA, ACTN1, YTHDF1, DIS3L, TACC3, WEE1, RNF130, MIB1, ANKRD13B, MAD2L1BP, RELT, IGBP1, TELO2, FLAD1, FBXO10, TNFAIP1, ARFGAP3, AFTPH, HDLBP, GLUD2, STK10, MAPKAPK3, PEG10, ARPC2, SYAP1, SNF8, RPL3, RPL4, RNF167, SDF4, PRUNE1, XPOT, B4GALT3, TAF4, MYO1C, TAF6, WIPI2, WIPI1, LAMP1, ATF5, ATF4, HDAC3, SARM1, TSC1, THSD1, PLK1, ZNF318, LRRC8E, DEDD, HINT1, EDC4, BAP1, MFSD2A, NDUFAF1, WARS, DCAF12, TRIM9, LRRFIP1, LRWD1, NRG1, IMPDH1, IMPDH2, DLG1, INO80B, PKN2, NUSAP1, CDK6, MBNL1, PPM1G, IPO4, ZFPM2, UBAP1, SNX19, TAPT1, SSFA2, UPP1, WBP11, CDH2, UBE2R2, NDC1, RNF123, TSC22D2, TSPYL2, INPP5K, SEC16A, ECD, NFATC4, NEDD4L, NFATC3, UBTD2, CHD4, UBE2Q2, RDH10, HEYL, RNF111, SNTA1, ALKBH4, PVR, S100A6, PDLIM7, RNF217, ZNRF2, GET4, SIN3A, WWP2, RAVER2, RAVER1, POLH, YY1, UBR4, VTI1B, UBR2, TXNDC9, RIC8A, SERBP1, VEGFA, DEAF1, SLC2A10, ELL, NEK2, AKAP13, RFFL, OCRL, NAA50, ZBTB48, OSGEP, CNKSR3, ARFIP2, ALMS1, SMYD2, TPD52L2, CDC27, DDX6, ABCF1, NIF3L1, BCAR1, FERMT2, CAMKK2, LONP1, TUBB6, GSTZ1, TOMM34, CTBP1, RBM42, SNUPN, POLR1A, CBR3, ECSIT, HERC1, GTF2I, CDK11B, TRIOBP, SHROOM1, ABCD1, FAM193B, CEP128, KIN, STAU1, FASN, AGO2, AGO3, CC2D1A, ETV6, AFAP1, TES, GMNN, YWHAB, EIF2B1, TJP1, TUBA8, MAPK12, MAPK14, YWHAQ, NOP56, APBB2, TEX10, FAM126A, CALM1, MAEA, CNP, PI4K2B, MCM10, ITCH, PPP4C, TGS1, CASKIN2, SATB2, CSNK1G1, MADD, NUMBL, MAP4K3, TNS1, PSMA5, GTF2IRD1, RIPK2, NRBP2, GPN2, TNFAIP8L1, GRB2, STRAP, GNE, PEAK1, SNX2, RRAGA, MUM1, HEXDC, SRF, ZMYND8, SOX8, LLGL1, RASAL2, EIF3A, PSMB1, PELP1, SLC30A1, SCARB1, THAP11, RNF14, SREBF1, WDR7, ZMYM6, WDR6, MALT1, TRIM62, SREBF2, TRIM56, CORO1A, HOXB2, SLAIN2, ULK3, WDR4, AHCYL1, MTOR, SMC1A, COPA, AEBP1, ARHGAP4, MEN1, BZW2, FAM83D, JADE1, RANBP9, SBDS, DGCR8, PAK2, RMND5A, MAPKAP1, CTU2, ARHGAP1, PAK1, CDK16, CSK, MKL1, TNIP1, AKT3, CDK14, TUBA1C, CHUK, PRKCA, ELP2, CPTP, SOX11, CLUH, MCM2, C6ORF89, CD3EAP, PRKD2, EML3, ACVR2B, XPC, HIPK1, ZMIZ1, KRIT1, WRAP53, TOM1, KPNA5, DHPS, KPNA1, COMMD5, CNN3, CYTH1, HECA, NACAD, TRIB2, EXOSC10, NPAS2, DDHD1, RGS12, SH3GLB1, CYP26B1, NFAT5, PPP1R12A, BDH2, KLHL42, GEMIN7, GEMIN5, PINX1, NUP153, GLRB, UBE4A, TONSL, CPPED1, OTULIN, HMBOX1, RUFY1, SIRT1, SH3BP5, MAP1S, CDAN1, SETD6, CENPV, MAPK8IP1	1263	4942	16912	1.1894697413191755	0.00448507399284892	5.617374304802691E-4	0.009744096125252621
GOTERM_CC_DIRECT	GO:0000776~kinetochore	18	1.3363028953229399	5.8705721018934365E-5	NEK2, RANGAP1, TRAPPC12, NDE1, MAD2L1, SIN3A, SPAG5, PLK1, INCENP, PPP1R12A, MTBP, CENPV, PAFAH1B1, SMC1A, LRWD1, WDR43, SS18L1, PINX1	1263	79	16912	3.05096364893713	0.03998049187745012	0.004523258420481291	0.08841038635847287
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	50	3.711952487008166	9.2543778271393E-5	PVR, KIF23, LIMA1, MPZL1, PDLIM7, BCAR1, FERMT2, PIP5K1C, TSPAN9, PAK4, SLC4A2, PAK1, EGFR, ACTN1, ARHGAP24, FLNA, TNS1, TRIOBP, CNN3, PEAK1, FHL3, PTK7, CDH2, SORBS3, CDC42EP1, ARPC2, ITGAV, NUMB, RAC1, PPP1R12A, RPL3, LIMD1, RPL4, USP33, AFAP1, HSPA8, PRUNE1, TES, LAMTOR3, MAP2K2, MRC2, YWHAB, ITGA3, RPS8, YWHAQ, FBLN7, CYFIP1, PHLDB2, DNM2, SLC9A1	1263	376	16912	1.7806303802159666	0.06229596003989646	0.006411448607071879	0.13933709307016873
