LIST_1	LIST_2	LIST_3	LIST_4	LIST_5	LIST_6
FKBP8	ITPR3	RPL15	ODR4	MRPS30	SPATS2L
ATP5PB	ZFHX3	FDX1	ATP5S	SUPT7L	F2RL2
GBE1	TNRC18	ELOB	THEM6	APRT	HEG1
KIF2C	USP49	TIMM21	TMEM120B	PDLIM1	CHSY3
UGDH	LRFN4	SNX3	MIER1	FADD	UCP2
DDX23	NBEAL2	CIRBP	RIPK2	NAPA	ARHGAP29
MRPS22	PLEKHM2	GSTK1	ASPHD2	GCDH	TMEM198
YARS	ZNF462	RRAS	LZTS1	SNTB1	PCDH10
KHSRP	PPP6R2	SNRNP40	JAG2	PRUNE2	GRIK5
RARS	MEGF8	NELFA	ZNF326	DNPEP	SUZ12
RALB	KIAA0100	AKR7A2	ISG20L2	C17orf62	NOP14
FKBP4	ABL1	CBX5	WDR75	PEX16	VAC14
PHF23	FAM193A	PPDPF	PDXK	C5orf15	STON2
GOT2	CSNK1G2	C6orf106	MADD	PDLIM4	TBL1X
DHX38	TRAK1	ACSS1	MKNK1	SURF1	LMTK2
NUP133	MYO10	XRCC6	SMARCA4	MAD2L2	C18orf21
NUP188	CACNA1G	ZFYVE19	COPA	UBL5	SLC30A5
AGK	MFHAS1	GRN	AMPD2	ELP4	NT5DC2
OSBP	RGMB	NDUFS1	MBOAT7	CCDC22	ZBTB17
EIF2B4	AXIN1	SRSF5	NRSN2	VCL	ELK3
PNPT1	DOT1L	RHPN2	RETREG2	POFUT1	GON4L
APP	KMT2C	PFN1	FASN	PCNA	FAM120A
LPIN1	USP36	COL9A3	TUBA1C	BAD	CBFA2T2
TUBA1A	PPP1R16A	ASPH	GRB2	CREB1	EVC
BCS1L	TRIM71	CENPH	GPC1	MAGED1	PGF
MIDN	TFDP1	TMEM160	FAM118A	RAB11FIP1	LOXL1
CEP85	MED13L	GALK1	TTC9	ZSWIM7	LHX8
COL19A1	PPP1R37	CWF19L1	ELL	STK39	RALBP1
SFXN2	ATP10A	UTP14A	DYNC2LI1	ZSCAN25	NEK4
ANK2	TBC1D9B	MRPS35	GTPBP10	ZNF566	SLC27A4
BIN1	PITX1	TM9SF4	SH3GLB1	MRTO4	MAP3K4
ATP5F1B	KLHL29	TMEM199	TAF6	TIPIN	DHX34
LARP4B	SGSM2	CTTN	PRELID1	ATP5F1D	DVL1
NUP98	KAT6A	MEAF6	NOM1	FAM49B	MICALL1
MED15	PCDH17	LIX1L	MRPS2	MKS1	ROBO1
STARD10	NSD1	CDH13	SEC24B	GAA	HPS3
SNX17	TRAPPC10	TFDP2	PPP3CB	MRPL9	MAPRE2
KLHL7	KCNC1	MTA3	CEBPA	TIMP2	UBR3
VEZF1	B4GALNT4	TRA2A	NOL6	PPP6C	PRRX2
SEC14L1	SLX4	OXLD1	VEGFA	THOP1	THAP4
ATP1B3	CIT	RPRD1A	SLC31A1	LRCH3	KCTD12
ZNF609	RNF10	CCDC117	SPNS1	PPT1	TRAF6
NKAPD1	GBA2	SNAP29	DEDD	NGRN	CC2D2A
FN1	PIGH	MPI	PRKD2	VASP	KIAA1614
MGME1	BRD1	ZFPL1	WDR5	MPDU1	FNDC5
HADHB	AGAP2	QPRT	SLC2A6	CALU	NOD1
TPI1	ADAMTS5	NPC2	UBE2Q1	SAMD8	UBE2S
GINM1	GPR153	DPYSL2	TRIM44	IFITM2	RNF169
MPC1	FBF1	MNT	POC1A	CIAPIN1	TMTC1
