Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	144	69.56521739130434	3.8954051301677414E-64	NM_005005, NM_005008, NM_016145, NM_001155, NM_005336, NM_170707, NM_001320595, NM_002592, NM_003533, NM_000075, NM_001862, NM_005340, NM_033445, NM_000884, NM_012458, NM_001321190, NM_003017, NM_003016, NM_001207014, NM_005720, NM_004905, NM_001321702, NM_002106, NM_006325, NM_001008709, NM_001301227, NM_212471, NM_014402, NM_001257293, NM_001136033, NM_003546, NM_032737, NM_001289789, NM_001308226, NM_001320642, NM_001193571, NM_001136134, NM_003128, NM_006503, NM_014740, NM_002796, NM_002795, NM_001904, NM_213611, NM_002794, NM_001318794, NM_002695, NM_021141, NM_000969, NM_001257335, NM_003510, NM_000967, NM_000968, NM_001305626, NM_001008491, NM_006221, NM_001281, NM_000454, NM_002473, NM_003519, NM_012232, NM_001185077, NM_024038, NM_000636, NM_003258, NM_006597, NM_005066, NM_002129, NM_001007, NM_021149, NM_016199, NM_001154, NM_170745, NM_001270481, NM_004450, NM_006088, NM_006082, NM_004593, NM_000972, NM_001970, NM_007279, NM_012423, NM_003528, NM_014225, NM_001198842, NM_005762, NM_006640, NM_001145306, NM_001174097, NM_019554, NM_007104, NM_005381, NM_001017, NM_001016, NM_001024227, NM_001172705, NM_004640, NM_017620, NM_001212, NM_080593, NM_004725, NM_002624, NM_006826, NM_002950, NM_006430, NM_001110556, NM_007002, NM_002265, NM_001127192, NM_001028, NM_001322086, NM_006233, NM_002819, NM_000852, NM_001098577, NM_031844, NM_005184, NM_003910, NM_198398, NM_004888, NM_003757, NM_001145454, NM_012321, NM_015971, NM_004494, NM_001320, NM_001277224, NM_002755, NM_012479, NM_012073, NM_001271969, NM_001242891, NM_001749, NM_001001522, NM_001416, NM_005809, NM_001078166, NM_177433, NM_152862, NM_001839, NM_001318236, NM_003358, NM_001300981, NM_001282735	207	3424	20581	4.181430312880943	1.098504246707303E-61	1.098504246707303E-61	5.156299027322108E-61
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	117	56.52173913043478	1.2490604234270852E-42	NM_005005, NM_001257389, NM_000903, NM_001155, NM_001320595, NM_002592, NM_003533, NM_001862, NM_005340, NM_053275, NM_033445, NM_000884, NM_001321190, NM_001207014, NM_003016, NM_001025205, NM_000612, NM_175744, NM_005720, NM_004905, NM_001728, NM_001321702, NM_002106, NM_006325, NM_001008709, NM_001315530, NM_001197181, NM_003546, NM_001289789, NM_001193571, NM_001136134, NM_002799, NM_003128, NM_002796, NM_002795, NM_001904, NM_213611, NM_002794, NM_001318794, NM_005567, NM_006409, NM_000969, NM_000050, NM_001257335, NM_003510, NM_000967, NM_001305626, NM_000968, NM_001008491, NM_000454, NM_002473, NM_003130, NM_003519, NM_023009, NM_001185077, NM_000636, NM_006597, NM_001007, NM_021149, NM_001154, NM_170745, NM_001303530, NM_001270481, NM_006088, NM_006082, NM_000972, NM_001970, NM_001144932, NM_003528, NM_014225, NM_006833, NM_001198842, NM_001174097, NM_019554, NM_007104, NM_005381, NM_001017, NM_001823, NM_001019, NM_001024227, NM_006826, NM_006430, NM_001110556, NM_018955, NM_002265, NM_001024210, NM_001028, NM_002819, NM_000852, NM_001322086, NM_001098577, NM_005184, NM_080425, NM_002812, NM_004048, NM_004888, NM_004181, NM_003757, NM_002178, NM_001145454, NM_001271977, NM_001320, NM_001277224, NM_002755, NM_001846, NM_002567, NM_012479, NM_012268, NM_012073, NM_001271969, NM_001749, NM_001042465, NM_001416, NM_005809, NM_152862, NM_001078166, NM_001300981	205	2811	18224	3.7001119296144935	4.309258460823444E-40	4.309258460823444E-40	1.704659056711759E-39
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	74	35.748792270531396	6.162351810937698E-35	NM_005008, NM_005762, NM_000903, NM_019554, NM_005336, NM_007104, NM_001320595, NM_005381, NM_001017, NM_001016, NM_001019, NM_001024227, NM_001172705, NM_053275, NM_004640, NM_017620, NM_003017, NM_001207014, NM_003016, NM_001321702, NM_006325, NM_002950, NM_006430, NM_001110556, NM_001127192, NM_002265, NM_001257293, NM_001028, NM_002819, NM_001315530, NM_001098577, NM_001136033, NM_031844, NM_003546, NM_001308226, NM_001193571, NM_001136134, NM_003128, NM_003755, NM_012321, NM_014740, NM_015971, NM_004494, NM_021141, NM_005837, NM_000969, NM_000050, NM_001257335, NM_002567, NM_000967, NM_012479, NM_000968, NM_006693, NM_002473, NM_001271969, NM_001330200, NM_001242891, NM_012232, NM_001267809, NM_006597, NM_001416, NM_001007074, NM_001007, NM_002129, NM_005066, NM_001078166, NM_004450, NM_001300981, NM_004593, NM_000972, NM_001970, NM_007279, NM_012423, NM_001282735	203	1129	16881	5.45054475166567	2.3170442809125744E-32	2.3170442809125744E-32	8.517859360087756E-32
GOTERM_CC_DIRECT	GO:0005829~cytosol	102	49.275362318840585	1.2266713676443627E-24	NM_000903, NM_170707, NM_000075, NM_053275, NM_000884, NM_001025205, NM_175744, NM_005720, NM_004905, NM_001301078, NM_001321702, NM_006325, NM_001008709, NM_001301227, NM_212471, NM_001315530, NM_001289789, NM_001308226, NM_001136134, NM_002799, NM_003128, NM_006503, NM_002796, NM_014740, NM_002795, NM_001904, NM_002794, NM_006409, NM_002695, NM_021141, NM_000969, NM_000050, NM_000967, NM_001305626, NM_000968, NM_000454, NM_002473, NM_006221, NM_003130, NM_001330200, NM_001318537, NM_012232, NM_001185077, NM_003258, NM_006597, NM_001007, NM_002539, NM_016199, NM_001270481, NM_006088, NM_000972, NM_001330469, NM_001970, NM_001144932, NM_012423, NM_014225, NM_001198842, NM_001145306, NM_001174097, NM_007104, NM_001017, NM_001016, NM_001823, NM_001019, NM_001024227, NM_001172705, NM_001212, NM_004725, NM_006826, NM_006430, NM_001110556, NM_018955, NM_001127192, NM_002265, NM_001024210, NM_000852, NM_001322086, NM_001028, NM_001098577, NM_005184, NM_006622, NM_080425, NM_002812, NM_004888, NM_004181, NM_003757, NM_003755, NM_001145454, NM_012321, NM_001320, NM_002755, NM_002567, NM_012479, NM_012073, NM_001271969, NM_001946, NM_001749, NM_001007074, NM_001416, NM_152862, NM_005809, NM_001300981	205	3315	18224	2.7353095684803	4.2320162183730514E-22	2.1160081091865257E-22	1.6741035239325469E-21
UP_KEYWORDS	Isopeptide bond	57	27.536231884057973	3.2469047783505637E-24	NM_005762, NM_007104, NM_001320595, NM_170707, NM_002592, NM_005381, NM_053275, NM_001324301, NM_004640, NM_033445, NM_017620, NM_080593, NM_004725, NM_002106, NM_006325, NM_002950, NM_001110556, NM_018955, NM_002265, NM_007002, NM_001301227, NM_014402, NM_001315530, NM_031844, NM_001136033, NM_001197181, NM_003546, NM_005184, NM_032737, NM_080425, NM_003757, NM_014740, NM_004494, NM_001320, NM_021141, NM_000969, NM_000967, NM_003510, NM_001305626, NM_000968, NM_001330200, NM_003519, NM_001242891, NM_012232, NM_001185077, NM_006597, NM_005066, NM_001078166, NM_001154, NM_170745, NM_001303530, NM_004450, NM_001300981, NM_006088, NM_006082, NM_007279, NM_003528	207	1132	20581	5.0063885901572185	9.15627147494859E-22	4.578135737474295E-22	4.297887226352649E-21
UP_KEYWORDS	Phosphoprotein	150	72.46376811594203	3.215731541286982E-21	NM_005005, NM_005008, NM_000903, NM_001155, NM_005336, NM_170707, NM_001320595, NM_002592, NM_003533, NM_000075, NM_005340, NM_053275, NM_033445, NM_000884, NM_012458, NM_001321190, NM_003017, NM_003016, NM_001207014, NM_001025205, NM_001916, NM_005720, NM_001301078, NM_004905, NM_001728, NM_001321702, NM_006325, NM_001008709, NM_001301227, NM_212471, NM_014402, NM_001257293, NM_001315530, NM_001197181, NM_001136033, NM_003546, NM_032737, NM_001289789, NM_001320642, NM_001193571, NM_001136134, NM_004146, NM_003128, NM_006503, NM_014740, NM_002796, NM_001904, NM_213611, NM_001318794, NM_021141, NM_000969, NM_000050, NM_001257335, NM_003510, NM_000967, NM_000968, NM_001305626, NM_006693, NM_001008491, NM_006221, NM_001281, NM_000454, NM_002473, NM_003519, NM_001330200, NM_023009, NM_012232, NM_001185077, NM_003258, NM_006597, NM_005066, NM_002129, NM_002539, NM_001154, NM_170745, NM_001303530, NM_001270481, NM_004450, NM_006088, NM_006082, NM_001330469, NM_004593, NM_007279, NM_012423, NM_003528, NM_016417, NM_001198842, NM_005762, NM_006640, NM_001145306, NM_001174097, NM_007104, NM_001287427, NM_005381, NM_001017, NM_001823, NM_001172705, NM_004640, NM_017620, NM_001212, NM_080593, NM_002160, NM_004725, NM_002624, NM_006826, NM_006430, NM_001110556, NM_007002, NM_002265, NM_001127192, NM_018955, NM_001024210, NM_001322086, NM_000852, NM_002819, NM_001098577, NM_031844, NM_005184, NM_006427, NM_006622, NM_080425, NM_002812, NM_198398, NM_004181, NM_003757, NM_001145454, NM_003755, NM_001271977, NM_004494, NM_001320, NM_001277224, NM_002755, NM_014476, NM_002567, NM_012479, NM_012073, NM_001271969, NM_001242891, NM_001749, NM_001267809, NM_001001522, NM_001416, NM_001007074, NM_005809, NM_001078166, NM_177433, NM_001839, NM_015894, NM_001300981, NM_001282735	207	8246	20581	1.8086063686565643	9.068362946429289E-19	3.022787648809763E-19	4.256623602524514E-18
GOTERM_CC_DIRECT	GO:0016020~membrane	76	36.71497584541063	4.719236067629922E-20	NM_001155, NM_001174097, NM_007104, NM_001320595, NM_005381, NM_001017, NM_003533, NM_001016, NM_001019, NM_001172705, NM_001324301, NM_053275, NM_000884, NM_001321190, NM_017620, NM_001212, NM_002160, NM_001916, NM_004905, NM_006826, NM_001728, NM_001321702, NM_006325, NM_002950, NM_001110556, NM_007002, NM_002265, NM_212471, NM_001257293, NM_002819, NM_001315530, NM_001098577, NM_031844, NM_003546, NM_001289789, NM_001308226, NM_001320642, NM_080425, NM_004048, NM_198398, NM_001136134, NM_001425, NM_001145454, NM_006503, NM_014740, NM_001904, NM_001318794, NM_002794, NM_213611, NM_005567, NM_021141, NM_000969, NM_001257335, NM_012479, NM_000968, NM_002473, NM_001271969, NM_003130, NM_001330200, NM_001318537, NM_001749, NM_001267809, NM_006597, NM_001416, NM_001007074, NM_177433, NM_001007, NM_001154, NM_005216, NM_004450, NM_003358, NM_001300981, NM_000972, NM_001970, NM_012423, NM_014225	205	2200	18224	3.0710066518847006	1.628136443332323E-17	5.42712147777441E-18	6.440591946203591E-17
GOTERM_BP_DIRECT	GO:0006413~translational initiation	23	11.11111111111111	7.916838864046048E-19	NM_001136134, NM_003757, NM_003755, NM_001321702, NM_001416, NM_001007074, NM_001007, NM_007104, NM_000969, NM_001017, NM_001016, NM_001019, NM_001028, NM_001315530, NM_001098577, NM_000967, NM_001308226, NM_001172705, NM_000968, NM_053275, NM_000972, NM_001330200, NM_012423	203	137	16792	13.8871669483298	1.065606511100598E-15	1.065606511100598E-15	1.2981717716042508E-15
UP_KEYWORDS	Ubl conjugation	61	29.468599033816425	1.3088669675873176E-18	NM_005762, NM_007104, NM_001320595, NM_001287427, NM_170707, NM_002592, NM_005381, NM_003533, NM_001324301, NM_053275, NM_004640, NM_033445, NM_017620, NM_080593, NM_004725, NM_002106, NM_006325, NM_002950, NM_001110556, NM_018955, NM_007002, NM_001301227, NM_001315530, NM_031844, NM_001136033, NM_003546, NM_032737, NM_001289789, NM_005184, NM_080425, NM_003757, NM_014740, NM_001904, NM_004494, NM_001320, NM_021141, NM_000969, NM_000967, NM_003510, NM_001305626, NM_000968, NM_001271969, NM_002473, NM_001281, NM_000454, NM_003519, NM_001330200, NM_001242891, NM_012232, NM_001185077, NM_006597, NM_005066, NM_001078166, NM_001154, NM_170745, NM_004450, NM_001300981, NM_006082, NM_001330469, NM_007279, NM_003528	207	1705	20581	3.5571450833722924	3.6910048485962357E-16	9.227512121490589E-17	1.7325308270500493E-15
UP_KEYWORDS	Cytoplasm	106	51.20772946859904	4.232740596274985E-18	NM_000903, NM_001155, NM_005336, NM_000075, NM_005340, NM_053275, NM_000884, NM_001321190, NM_003017, NM_005720, NM_004905, NM_001321702, NM_006325, NM_001008709, NM_001301227, NM_001197181, NM_001289789, NM_001320642, NM_002799, NM_003128, NM_006503, NM_002796, NM_014740, NM_002795, NM_001904, NM_002794, NM_006409, NM_005837, NM_000969, NM_000967, NM_001305626, NM_001008491, NM_000454, NM_002473, NM_001281, NM_006221, NM_003130, NM_023009, NM_001318537, NM_012232, NM_001185077, NM_003258, NM_006597, NM_002129, NM_001007, NM_005066, NM_021149, NM_001303530, NM_001270481, NM_006088, NM_006082, NM_001330469, NM_001970, NM_001144932, NM_012423, NM_014225, NM_006833, NM_001198842, NM_006640, NM_001145306, NM_001174097, NM_001287427, NM_005381, NM_001016, NM_001823, NM_001024227, NM_004640, NM_017620, NM_001212, NM_002624, NM_006826, NM_006430, NM_001110556, NM_018955, NM_001127192, NM_002265, NM_007002, NM_001024210, NM_000852, NM_001322086, NM_031844, NM_005184, NM_006427, NM_006622, NM_004181, NM_003757, NM_003755, NM_001145454, NM_001271977, NM_004494, NM_002755, NM_014476, NM_002567, NM_012479, NM_012073, NM_001271969, NM_001946, NM_001242891, NM_001749, NM_001267809, NM_001001522, NM_152862, NM_001078166, NM_005809, NM_001300981, NM_001282735	207	4816	20581	2.188343605052402	1.1936328481495456E-15	2.387265696299091E-16	5.602825762705631E-15
