AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	84.0	3.9097111023	50.0	6.64234888128
NM_001143986	4.0	0.36122733956	4.0	0.421957241324
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	38.0	3.73483616772	29.0	8.11535124893
NM_001003800	1152.0	32.559104641	778.0	54.9375018805
NM_016649	18.0	1.01494099511	17.0	1.20606968537
NM_016647	425.0	34.0405710667	170.0	49.1660943509
NM_016644	58.0	5.62432899391	29.0	6.21601372259
NM_017417	0.0	-	0.0	-
NM_016642	4.0	0.0618736243142	4.0	0.0657908841574
NM_001143989	3.0	0.217690425521	2.0	0.189187401626
NM_016640	266.0	28.8489288912	255.0	35.030842225
NM_001304464	139.0	15.5783197156	1.0	0.711122056702
NM_003279	92.0	24.4976849489	57.0	21.3999153088
NM_001012980	0.0	-	0.0	-
NM_001304467	168.0	8.323625385	44.0	12.428020991
NM_001080825	171.0	4.12895835985	43.0	7.64456210954
NM_001008781	1951.0	18.5744095563	1858.0	24.6396459884
NM_017419	0.0	-	0.0	-
NM_001040	1.0	0.137480003381	1.0	0.149988523126
NM_002223	31.0	0.446747187334	27.0	0.604006336096
NM_001143981	0.0	-	0.0	-
NM_001253384	129.0	5.80023804989	100.0	41.4009416573
NM_001145313	23.0	0.539551211197	13.0	1.47983026865
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	70.0	3.0809535709	57.0	3.57405224556
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	51.0	1.23539171085	18.0	15.1113437049
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1774.0	50.3191435617	1363.0	147.38290855
NM_001355213	0.0	-	0.0	-
NM_001007531	0.0	-	0.0	-
NM_001282730	220.0	8.42533207623	128.0	18.7336754889
NM_004108	0.0	-	0.0	-
NM_004109	87.0	5.00039392327	52.0	16.9900513007
NM_004106	1.0	0.306829313805	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	58.0	3.06721936968	26.0	4.19087932083
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	62.0	3.32923888554	53.0	3.48596829754
NM_007100	311.0	154.508314265	150.0	129.525803185
NM_000334	3.0	0.0696999837767	2.0	0.0658087913115
NM_007105	0.0	-	0.0	-
NM_181435	1.0	0.0473957460687	1.0	0.188891796311
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	547.0	122.9130856	335.0	111.874036268
NM_007108	830.0	152.029276062	726.0	368.767580833
NM_000483	0.0	-	0.0	-
NM_000482	0.0	-	0.0	-
NM_000481	1.0	0.0823506468933	0.0	-
