AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	39.0	2.44585290931	30.0	5.36998756534
NM_001143986	3.0	0.365041485393	3.0	0.426412625171
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	26.0	3.44319527902	19.0	7.16412692937
NM_001003800	962.0	36.6349323133	706.0	67.1729402497
NM_016649	11.0	0.835721012578	9.0	0.860332514869
NM_016647	268.0	28.9229807296	91.0	35.4616164502
NM_016644	29.0	3.78914363233	13.0	3.75454804361
NM_017417	2.0	0.2288847159	2.0	0.255312888425
NM_016642	2.0	0.0416846258164	2.0	0.0443237068885
NM_001143989	2.0	0.195545765685	2.0	0.254913337739
NM_016640	213.0	31.1263364171	205.0	37.9458780422
NM_001304464	74.0	11.174751627	1.0	0.958174251854
NM_003279	63.0	22.6036260735	50.0	25.2934196918
NM_001012980	0.0	-	0.0	-
NM_001304467	75.0	5.0068531603	16.0	6.08933169403
NM_001080825	142.0	4.61990541407	40.0	9.58174251854
NM_001008781	952.0	12.21223192	923.0	16.4926636527
NM_017419	0.0	-	0.0	-
NM_001040	1.0	0.185242179092	1.0	0.202096306222
NM_002223	12.0	0.233013844924	10.0	0.301424172493
NM_001143981	0.0	-	0.0	-
NM_001253384	74.0	4.48320062794	60.0	33.4704704415
NM_001145313	11.0	0.347694537704	7.0	1.07366041404
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	63.0	3.73618188253	55.0	4.64674753882
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	30.0	0.979165512515	15.0	16.9676690433
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1036.0	39.5949435093	764.0	111.312765502
NM_001355213	0.0	-	0.0	-
NM_001007531	1.0	0.14701229496	1.0	0.202096306222
NM_001282730	198.0	10.2171526877	130.0	25.6363813147
NM_004108	0.0	-	0.0	-
NM_004109	71.0	5.49849281452	43.0	18.9304156245
NM_004106	0.0	-	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	34.0	2.42268030434	17.0	3.69216478381
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	49.0	3.5452731054	46.0	4.07667173531
NM_007100	170.0	113.799599501	85.0	98.897270995
NM_000334	3.0	0.0939145807391	3.0	0.133007313132
NM_007105	0.0	-	0.0	-
NM_181435	2.0	0.127723175234	2.0	0.509030071298
NM_000339	1.0	0.0438897852026	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	371.0	112.327230603	230.0	103.493406761
NM_007108	605.0	149.315487581	520.0	355.893293546
NM_000483	0.0	-	0.0	-
NM_000482	0.0	-	0.0	-
NM_000481	2.0	0.221920467051	2.0	0.403192135681
NM_016643	116.0	19.4795837593	97.0	24.8432286369
NM_030615	0.0	-	0.0	-
NM_001350532	83.0	5.31997849961	54.0	4.54340890084
NM_001350531	17.0	0.95883780743	3.0	0.384778636571
NM_001350530	133.0	5.73939946161	79.0	10.6702157566
NM_001320272	2.0	0.147544948202	1.0	0.183022048107
NM_030613	1.0	0.100631974556	0.0	-
NM_014177	66.0	10.5124332847	44.0	14.3918542246
NM_020992	20.0	3.09284093953	17.0	4.19564179979
NM_005802	71.0	4.1571399065	61.0	4.74964961364
NM_005258	1.0	0.342685040986	0.0	-
NM_001012964	0.0	-	0.0	-
NM_003824	169.0	22.2841442977	88.0	34.2925521716
NM_003825	107.0	9.89919896321	41.0	15.7511191873
NM_003826	76.0	4.99849717387	36.0	9.3674543472
NM_003827	525.0	68.9653644984	308.0	84.7466280863
NM_003820	22.0	1.53537776433	10.0	2.86777504956
NM_003821	74.0	6.99448670503	51.0	7.67779183325
NM_003795	243.0	33.7348110887	94.0	46.9681734498
NM_003823	38.0	8.03870865841	36.0	9.74090767666
NM_012181	1199.0	163.207234893	946.0	186.103361332
NM_012180	66.0	6.29187384265	27.0	6.87190596252
NM_012183	4.0	0.472600453042	2.0	0.340061843038
NM_012182	0.0	-	0.0	-
NM_001018088	25.0	0.41849553683	24.0	0.5386264739
NM_020437	118.0	8.70252437015	64.0	14.0877511624
NM_012186	0.0	-	0.0	-
NM_020733	144.0	3.84274339538	79.0	4.655673011
NM_020731	122.0	5.26657261046	58.0	6.56083203006
NM_020737	0.0	-	0.0	-
NM_001025780	62.0	4.86003686937	19.0	5.35450317213
NM_001300829	1367.0	188.277999765	689.0	188.306963288
NM_002224	1189.0	32.1684910077	1108.0	33.7727735927
NM_175856	47.0	3.28857915477	46.0	4.24287805747
NM_001688	307.0	35.702366162	208.0	65.9164232404
NM_014171	80.0	3.07049241876	21.0	16.7680494075
NM_001199973	0.0	-	0.0	-
NM_001867	180.0	108.059454939	46.0	58.5384581992
NM_144646	0.0	-	0.0	-
NM_144647	0.0	-	0.0	-
NM_144644	0.0	-	0.0	-
NM_144645	0.0	-	0.0	-
NM_144642	0.0	-	0.0	-
NM_144643	65.0	5.19860498346	35.0	4.13725457078
NM_001161546	318.0	23.8998308468	312.0	25.0106113771
NM_144641	78.0	8.67459529785	49.0	8.67564295429
NM_133447	4.0	0.309774243072	1.0	0.147812724878
NM_001008783	2.0	0.20335783123	2.0	0.390622596679
NM_000159	188.0	24.3945160031	163.0	30.2403286092
NM_000158	73.0	5.75553846346	59.0	6.83533979097
NM_144648	0.0	-	0.0	-
NM_144649	1.0	0.1174120299	1.0	0.294024589919
NM_021020	1627.0	72.8214186629	762.0	103.954683907
NM_021021	444.0	21.805927396	295.0	44.5755461322
NM_021023	1.0	0.148984411111	1.0	0.246056832047
NM_001347869	36.0	3.10265948219	13.0	4.2351301932
NM_021025	15.0	2.45480007592	12.0	3.34704704415
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	75.0	1.45610509072	50.0	1.31830384279
NM_175068	0.0	-	0.0	-
NM_001143679	120.0	23.915279043	82.0	23.5988499485
NM_152694	0.0	-	0.0	-
NM_173536	0.0	-	0.0	-
NM_173537	0.0	-	0.0	-
NM_173535	0.0	-	0.0	-
NM_001297658	307.0	36.6800348687	191.0	47.1392696329
NM_001286495	3.0	0.173327808623	3.0	0.225400769578
NM_023009	1725.0	269.831561482	942.0	391.433736459
NM_173531	15.0	0.819914208802	7.0	1.04993311207
NM_001286499	66.0	5.9440002428	48.0	6.63726816225
NM_001297656	875.0	71.3117511491	701.0	84.9595428523
NM_001297650	3.0	0.157804801436	3.0	0.166895105343
NM_173538	0.0	-	0.0	-
NM_006885	209.0	3.17929876432	185.0	4.06784290238
NM_001001952	0.0	-	0.0	-
NM_001001953	0.0	-	0.0	-
NM_002226	964.0	40.3664772221	788.0	51.798637118
NM_001001957	0.0	-	0.0	-
NM_001001954	0.0	-	0.0	-
NM_001001955	0.0	-	0.0	-
NM_001282864	42.0	3.1440092639	36.0	5.47017390051
NM_001001958	0.0	-	0.0	-
NM_001001959	0.0	-	0.0	-
NM_152695	17.0	1.02332726824	13.0	2.04004344566
NM_015259	35.0	2.58907211559	14.0	3.76312659969
NM_001282862	1.0	0.0748115230321	1.0	0.166213900832
