AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4
NM_017847	ODR4	93.0	16.4873351631	62.0	13.2064840318	49.0	15.968567653900001	37.0	16.5407138249	39.0	20.4642352699
NM_001143986	TLE6	4.0	0.563098387975	2.0	0.338284649803	2.0	0.51755517203	1.0	0.354984424806	1.0	0.416665639586
NM_001003803	ATP5S	81.0	30.248941529	83.0	37.2418510648	71.0	48.7400394993	46.0	43.3179605048	26.0	28.7383550859
NM_001003800	BICD2	501.0	47.2109648163	389.0	44.043594385	284.0	49.1955538871	257.0	61.069347408199995	230.0	64.1499586928
NM_016649	ESF1	69.0	6.53263525979	52.0	5.9152167990199995	41.0	7.13551857775	26.0	6.20722765348	26.0	7.28578016262
NM_016647	THEM6	132.0	50.9455857331	89.0	41.2715365694	73.0	51.791424140699995	56.0	54.501149393199995	33.0	37.6972754973
NM_016644	PRR16	19.0	5.434798005219999	15.0	5.15524213663	12.0	6.309768373890001	4.0	2.8851925590599996	7.0	5.92640383113
NM_016640	MRPS30	281.0	51.5148640585	216.0	47.578198337299995	128.0	43.13587106520001	100.0	46.2286535032	97.0	52.633392986000004
NM_003279	TNNC2	148.0	74.1506144314	101.0	60.7998370747	59.0	54.3384711205	47.0	59.3794133196	27.0	40.0387211803
NM_001304467	EEF1AKMT2	20.0	7.53867701658	18.0	8.1520277525	18.0	12.472112253099999	5.0	4.75247839752	8.0	8.92521164421
NM_001080825	TMEM120B	38.0	9.01537080865	31.0	8.83669152126	22.0	9.59455955677	21.0	12.5633164226	17.0	11.9374705741
NM_001008781	FAT3	578.0	10.2289824214	413.0	8.78178193191	399.0	12.980154268900002	392.0	17.4934579996	340.0	17.8093023045
NM_002223	ITPR2	22.0	0.656774452148	14.0	0.502168664086	19.0	1.04267638007	9.0	0.677518385909	10.0	0.8836025591509999
NM_001253384	RPL15	119.0	65.7465578439	90.0	59.744312980699995	28.0	28.4371752741	21.0	29.2570382445	25.0	40.8817485416
NM_001145313	FSD1L	15.0	2.2786396632	10.0	1.82520813877	6.0	1.6754752179299999	3.0	1.14918686675	8.0	3.59697795078
NM_003363	USP4	184.0	15.396418371600001	171.0	17.191983839000002	140.0	21.534375466900002	103.0	21.7332217507	84.0	20.8038906271
NM_207118	GTF2H5	85.0	95.22814925809999	72.0	96.9185521686	53.0	109.15022930100001	18.0	50.851518853500004	23.0	76.2671731125
NM_001282735	SPATS2L	1039.0	149.927967793	878.0	152.22627693	690.0	183.028433243	689.0	250.70981388200002	587.0	250.708237103
NM_001282730	SUPT7L	128.0	24.999932304899996	122.0	28.6296933767	89.0	31.9537059419	71.0	34.9681146596	58.0	33.5289730412
NM_004109	FDX1	78.0	34.0096207462	71.0	37.1957686701	21.0	16.831733473099998	26.0	28.5867997879	15.0	19.3580603905
NM_004101	F2RL2	28.0	6.02290035778	31.0	8.01193364594	28.0	11.0715402401	17.0	9.221075418769999	23.0	14.6432972376
NM_007101	SARDH	42.0	3.6864868892800002	38.0	4.0075135826	23.0	3.71102263992	16.0	3.5413462531300004	10.0	2.59792613148
NM_007100	ATP5ME	289.0	333.026441977	218.0	301.832062468	167.0	353.752656905	85.0	246.993091574	84.0	286.499293779
NM_000485	APRT	432.0	192.523649953	355.0	190.088873038	257.0	210.540586155	160.0	179.80647550400002	112.0	147.73444246399998
NM_007108	ELOB	1140.0	772.746069313	894.0	728.1108036869999	433.0	539.538219231	320.0	546.974320441	283.0	567.7822138619999
NM_016643	ZNF771	68.0	17.2488723184	41.0	12.4957881727	34.0	15.8537890904	31.0	19.8288941441	19.0	14.264901943900002
