AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	51.0	7.98796959403	37.0	16.5407138249
NM_001143986	1.0	0.303893538965	1.0	0.354984424806
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	49.0	16.2063377159	46.0	43.3179605048
NM_001003800	267.0	25.3940564848	257.0	61.0693474082
NM_016649	27.0	5.12310078002	26.0	6.20722765348
NM_016647	60.0	16.1718611195	56.0	54.5011493932
NM_016644	25.0	8.15799767703	4.0	2.88519255906
NM_017417	0.0	-	0.0	-
NM_016642	1.0	0.0520530773899	1.0	0.0553485919494
NM_001143989	0.0	-	0.0	-
NM_016640	103.0	37.5911945592	100.0	46.2286535032
NM_001304464	140.0	52.8000937416	1.0	2.39301265193
NM_003279	50.0	44.8031003115	47.0	59.3794133196
NM_001012980	0.0	-	0.0	-
NM_001304467	57.0	9.50339860541	5.0	4.75247839752
NM_001080825	26.0	2.1126063758	21.0	12.5633164226
NM_001008781	399.0	12.7829617405	392.0	17.4934579996
NM_017419	0.0	-	0.0	-
NM_001040	1.0	0.462637017621	1.0	0.504729715668
NM_002223	9.0	0.436459034903	9.0	0.677518385909
NM_001143981	0.0	-	0.0	-
NM_001253384	21.0	3.1774318748	21.0	29.2570382445
NM_001145313	7.0	0.552590890517	3.0	1.14918686675
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	105.0	15.551678096	103.0	21.7332217507
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	27.0	2.20089394984	18.0	50.8515188535
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	787.0	75.119934937	689.0	250.709813882
NM_001355213	0.0	-	0.0	-
NM_001007531	0.0	-	0.0	-
NM_001282730	142.0	18.300103089	71.0	34.9681146596
NM_004108	0.0	-	0.0	-
NM_004109	30.0	5.80239200864	26.0	28.5867997879
NM_004106	2.0	2.06503629862	1.0	2.33800086683
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	28.0	4.98282599439	17.0	9.22107541877
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	17.0	3.071871438	16.0	3.54134625313
NM_007100	156.0	260.805598065	85.0	246.993091574
NM_000334	0.0	-	0.0	-
NM_007105	1.0	0.265427675616	1.0	0.800811320528
NM_181435	2.0	0.31898495883	1.0	0.635643985669
