Cluster1	*	*	*	*	*	*	*	*	*	*	*	*
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	38	5.9375	6.47423601392e-08	NM_020820, NM_001321236, NM_152879, NM_203351, NM_012292, NM_032430, NM_001330311, NM_001324321, NM_002037, NM_001322462, NM_001114, NM_001320613, NM_080862, NM_013355, NM_199054, NM_001330653, NM_001116, NM_006092, NM_006035, NM_003942, NM_012454, NM_020245, NM_004761, NM_004747, NM_145686, NM_001626, NM_005163, NM_001130065, NM_001320816, NM_001105540, NM_153253, NM_001130040, NM_004938, NM_005475, NM_015313, NM_018639, NM_014572, NM_003952	578	378	15647	2.72141667124	0.00013756805639700002	0.00013756805639700002	0.000112100728611
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	45	7.03125	6.20629436887e-07	NM_020820, NM_001365, NM_005544, NM_012292, NM_004140, NM_001199417, NM_004491, NM_002037, NM_002926, NM_024605, NM_018125, NM_007118, NM_003581, NM_004463, NM_006266, NM_001037131, NM_001308147, NM_198236, NM_032139, NM_012454, NM_020808, NM_004761, NM_198681, NM_001278529, NM_001122772, NM_018287, NM_006946, NM_001130065, NM_002972, NM_152243, NM_001289936, NM_001320816, NM_153253, NM_198679, NM_001130040, NM_014853, NM_001308207, NM_003628, NM_015313, NM_003502, NM_032552, NM_014856, NM_005418, NM_182947, NM_030962	578	537	15647	2.2685140437999998	0.00131796867795	0.000659201612358	0.00107460859373
GOTERM_BP_DIRECT	GO:0035023~regulation of Rho protein signal transduction	14	2.1875	3.68424597389e-06	NM_020820, NM_004463, NM_198681, NM_001278529, NM_001320816, NM_001308147, NM_198236, NM_001129727, NM_015313, NM_001130065, NM_012454, NM_018125, NM_182947, NM_007118	578	76	15647	4.986751047169999	0.00779847002772	0.00260627678673	0.006379045542989999
GOTERM_BP_DIRECT	GO:0051056~regulation of small GTPase mediated signal transduction	18	2.8125	4.20106638209e-06	NM_015178, NM_198681, NM_012292, NM_001199417, NM_018287, NM_004491, NM_001130065, NM_024605, NM_007118, NM_004463, NM_001320816, NM_153253, NM_198236, NM_001284246, NM_001308207, NM_015313, NM_012454, NM_020808	578	127	15647	3.83682532763	0.008887554921559999	0.00222933254233	0.00727385766037
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	20	3.125	8.41601482633e-06	NM_001321236, NM_001319, NM_203351, NM_001271977, NM_022089, NM_006293, NM_033141, NM_005163, NM_004444, NM_001243926, NM_001289936, NM_199054, NM_139078, NM_007313, NM_004938, NM_130436, NM_002419, NM_001099436, NM_001569, NM_000455	578	162	15647	3.3420906488999997	0.017725135223900002	0.00357043214698	0.014571250148200002
GOTERM_BP_DIRECT	GO:0018105~peptidyl-serine phosphorylation	17	2.65625	8.44164963601e-06	NM_001319, NM_002969, NM_001626, NM_022740, NM_005163, NM_001324321, NM_173500, NM_002741, NM_001619, NM_001243926, NM_001009944, NM_199054, NM_013355, NM_139078, NM_130436, NM_014572, NM_005734	578	120	15647	3.8350490196099996	0.017778642629499998	0.0029852986398099996	0.0146156304765
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	35	5.46875	2.89744445482e-05	NM_001321236, NM_001271977, NM_032430, NM_022740, NM_001324321, NM_002037, NM_007118, NM_005876, NM_199054, NM_013355, NM_020223, NM_021158, NM_006712, NM_006035, NM_003942, NM_003157, NM_001569, NM_005734, NM_000455, NM_001319, NM_145686, NM_033018, NM_033141, NM_005163, NM_002741, NM_032017, NM_053025, NM_001289936, NM_004938, NM_130436, NM_001012614, NM_002419, NM_014572, NM_001323916, NM_003952	578	433	15647	2.1881817528	0.0597143685876	0.0087573698369	0.0501571222243
GOTERM_BP_DIRECT	GO:0090630~activation of GTPase activity	12	1.875	6.95847248443e-05	NM_001330348, NM_182706, NM_198868, NM_020773, NM_015173, NM_001626, NM_014853, NM_001284246, NM_001129727, NM_019020, NM_015130, NM_145245	578	73	15647	4.45001659004	0.137459077818	0.018314302642	0.120416929497
GOTERM_BP_DIRECT	GO:0007165~signal transduction	66	10.3125	9.54028214309e-05	NM_001286520, NM_152879, NM_005544, NM_012292, NM_002632, NM_001199417, NM_004631, NM_018949, NM_001330721, NM_001619, NM_001320613, NM_003581, NM_001330653, NM_139078, NM_001116, NM_001012761, NM_006092, NM_006734, NM_000127, NM_020209, NM_001134224, NM_014587, NM_001626, NM_001257407, NM_001130065, NM_001289936, NM_153253, NM_004938, NM_004295, NM_003502, NM_015080, NM_003028, NM_003952, NM_001365, NM_001271977, NM_002969, NM_001323512, NM_005234, NM_002926, NM_024605, NM_001243926, NM_004463, NM_013355, NM_006266, NM_024927, NM_006035, NM_001111307, NM_145725, NM_018469, NM_001569, NM_001319, NM_198681, NM_004747, NM_012334, NM_006293, NM_018287, NM_005163, NM_002605, NM_002741, NM_012406, NM_198679, NM_001130040, NM_001308207, NM_015102, NM_005475, NM_001303103	578	1097	15647	1.62869795889	0.183510043002	0.0222749082542	0.165060593419
GOTERM_BP_DIRECT	GO:0030705~cytoskeleton-dependent intracellular transport	6	0.9375	0.00028674707248700003	NM_020759, NM_012334, NM_015656, NM_006612, NM_001105568, NM_018012	578	17	15647	9.554447384489999	0.456336564653	0.0591226527342	0.495340182482
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	42	6.5625	9.6391182185e-06	NM_014931, NM_001286520, NM_015470, NM_001271977, NM_017870, NM_001243766, NM_001330721, NM_001329128, NM_001289824, NM_019015, NM_020771, NM_003274, NM_002408, NM_001113482, NM_080605, NM_016240, NM_000435, NM_004807, NM_001543, NM_000127, NM_014864, NM_003780, NM_024536, NM_012235, NM_001261826, NM_006699, NM_013443, NM_020379, NM_054013, NM_152312, NM_001199873, NM_175039, NM_005895, NM_002410, NM_001009944, NM_001270764, NM_001114618, NM_001330660, NM_001145548, NM_003791, NM_033158, NM_006927	607	554	16912	2.1122523626299996	0.00381943570534	0.00381943570534	0.0134291317894
GOTERM_CC_DIRECT	GO:0032580~Golgi cisterna membrane	12	1.875	3.14998307268e-05	NM_173593, NM_020771, NM_178537, NM_001199873, NM_080605, NM_019892, NM_004910, NM_019015, NM_005895, NM_003780, NM_006927, NM_024536	607	69	16912	4.84549817348	0.0124277593186	0.006233306715619999	0.04387907454269999
