AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4
NM_017847	ODR4	50.0	6.605436149500001	62.0	5.568611817130001	71.0	5.3087508083	30.0	2.85931874152	51.0	3.1021040231299994
NM_001143986	TLE6	4.0	0.419612348764	6.0	0.42792068515299997	3.0	0.17811972699499998	3.0	0.2270488704	3.0	0.144898606973
NM_001003803	ATP5S	29.0	8.0702527771	52.0	9.83821352996	52.0	8.1902089283	19.0	3.81463125315	22.0	2.81881456713
NM_001003800	BICD2	778.0	54.6322042655	1155.0	55.141029642700005	1444.0	57.390342504799996	706.0	35.7670934322	883.0	28.5485803292
NM_016649	ESF1	17.0	1.19936733841	26.0	1.24709748971	10.0	0.399305960751	9.0	0.458095080067	20.0	0.649662768353
NM_016647	THEM6	170.0	48.8928694894	182.0	35.587030759099996	219.0	35.6486605764	91.0	18.881992423099998	99.0	13.1095108098
NM_016644	PRR16	29.0	6.18147021225	43.0	6.23140529639	39.0	4.70501363966	13.0	1.99915725249	9.0	0.883264912718
NM_016642	SPTBN5	4.0	0.065425272338	3.0	0.0333603472916	4.0	0.0370295160338	2.0	0.0236007261205	2.0	0.0150615694867
NM_016640	MRPS30	255.0	34.8361695112	348.0	32.3216273873	411.0	31.7785833837	205.0	20.2047693648	241.0	15.1586994945
NM_003279	TNNC2	57.0	21.2809921164	135.0	34.266878468	132.0	27.892885447199998	50.0	13.4678056666	37.0	6.360238853899999
NM_001304467	EEF1AKMT2	44.0	12.3589562349	51.0	9.73919484598	40.0	6.35904072075	16.0	3.2423427473900004	33.0	4.267737942759999
NM_001080825	TMEM120B	43.0	7.6020798979399995	52.0	6.250159183740001	49.0	4.903007426309999	40.0	5.10192167604	39.0	3.1745580098299997
NM_001008781	FAT3	1858.0	24.5027190278	2553.0	22.8898604933	2091.0	15.607203748800002	923.0	8.78173025656	1163.0	7.061597688180001
NM_002223	ITPR2	27.0	0.6006497638539999	46.0	0.695727449992	31.0	0.390320837726	10.0	0.160497165975	15.0	0.153639714648
NM_001253384	RPL15	100.0	41.170869151	147.0	41.146332455700005	121.0	28.1953767848	60.0	17.8217811971	67.0	12.700462146800001
NM_001145313	FSD1L	13.0	1.47160658472	24.0	1.8470700760299998	17.0	1.08918032684	7.0	0.571684255602	18.0	0.938157082435
NM_003363	USP4	57.0	3.55419059206	101.0	4.28164830773	145.0	5.117246721080001	55.0	2.47422031489	82.0	2.3541514340400003
