AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4
NM_017847	ODR4	50.0	6.67293030612	62.0	5.568611817130001	71.0	5.3087508083	30.0	2.85931874152	51.0	3.1021040231299994
NM_001143986	TLE6	1.0	0.105974983919	6.0	0.42792068515299997	3.0	0.17811972699499998	3.0	0.2270488704	3.0	0.144898606973
NM_001003803	ATP5S	41.0	11.526251376	52.0	9.83821352996	52.0	8.1902089283	19.0	3.81463125315	22.0	2.81881456713
NM_001003800	BICD2	789.0	55.970762038400004	1155.0	55.141029642700005	1444.0	57.390342504799996	706.0	35.7670934322	883.0	28.5485803292
NM_016649	ESF1	22.0	1.56798198038	26.0	1.24709748971	10.0	0.399305960751	9.0	0.458095080067	20.0	0.649662768353
NM_016647	THEM6	137.0	39.8045081944	182.0	35.587030759099996	219.0	35.6486605764	91.0	18.881992423099998	99.0	13.1095108098
NM_016644	PRR16	26.0	5.59863585258	43.0	6.23140529639	39.0	4.70501363966	13.0	1.99915725249	9.0	0.883264912718
NM_016642	SPTBN5	7.0	0.115664125306	3.0	0.0333603472916	4.0	0.0370295160338	2.0	0.0236007261205	2.0	0.0150615694867
NM_016640	MRPS30	246.0	33.9500495075	348.0	32.3216273873	411.0	31.7785833837	205.0	20.2047693648	241.0	15.1586994945
NM_003279	TNNC2	76.0	28.6645875759	135.0	34.266878468	132.0	27.892885447199998	50.0	13.4678056666	37.0	6.360238853899999
NM_001304467	EEF1AKMT2	34.0	9.64768521829	51.0	9.73919484598	40.0	6.35904072075	16.0	3.2423427473900004	33.0	4.267737942759999
NM_001080825	TMEM120B	30.0	5.3579705105	52.0	6.250159183740001	49.0	4.903007426309999	40.0	5.10192167604	39.0	3.1745580098299997
NM_001008781	FAT3	1922.0	25.6057230452	2553.0	22.8898604933	2091.0	15.607203748800002	923.0	8.78173025656	1163.0	7.061597688180001
NM_002223	ITPR2	34.0	0.7641023822030001	46.0	0.695727449992	31.0	0.390320837726	10.0	0.160497165975	15.0	0.153639714648
NM_001253384	RPL15	98.0	40.7597208698	147.0	41.146332455700005	121.0	28.1953767848	60.0	17.8217811971	67.0	12.700462146800001
NM_001145313	FSD1L	9.0	1.02921467433	24.0	1.8470700760299998	17.0	1.08918032684	7.0	0.571684255602	18.0	0.938157082435
NM_003363	USP4	68.0	4.2834121093599995	101.0	4.28164830773	145.0	5.117246721080001	55.0	2.47422031489	82.0	2.3541514340400003
NM_207118	GTF2H5	19.0	16.0243006934	32.0	18.1628557476	35.0	16.537921874400002	15.0	9.034652967989999	21.0	8.072059896789998
NM_001282735	SPATS2L	1369.0	148.713235171	1935.0	141.460703419	1969.0	119.833790355	764.0	59.269909417200004	880.0	43.5680820394
NM_001282730	SUPT7L	138.0	20.2902321511	204.0	20.1858372595	218.0	17.9577462291	130.0	13.650419980699999	141.0	9.448582044530001
NM_004109	FDX1	47.0	15.4270934699	77.0	17.0092689637	81.0	14.8956232234	43.0	10.079742554600001	39.0	5.83432282888
NM_004101	F2RL2	24.0	3.8863146102800004	36.0	3.9231768414899997	41.0	3.71961488559	17.0	1.9659404858400003	25.0	1.8450422621200002
NM_007101	SARDH	45.0	2.97341127351	79.0	3.5130006628300006	115.0	4.2572359123400005	46.0	2.1706761429099997	65.0	1.957471388
NM_007100	ATP5ME	114.0	98.8928271367	203.0	118.51263375299999	214.0	104.00665316	85.0	52.6591201563	80.0	31.6292959221
NM_181435	C1QTNF3	3.0	0.5692843667409999	3.0	0.38312273842600003	5.0	0.53157606025	2.0	0.27103958904	5.0	0.432431780185
NM_000485	APRT	314.0	105.34381799299999	448.0	101.15004747799999	517.0	97.1756280749	230.0	55.106391583800004	258.0	39.449246157
NM_007108	ELOB	689.0	351.58492207	994.0	341.354847727	1194.0	341.35223714299997	520.0	189.499947967	486.0	113.02821925100001
NM_016643	ZNF771	152.0	29.025148425900003	168.0	21.5898096623	213.0	22.7875624319	97.0	13.228095666300002	77.0	6.7013327445
NM_001350532	SNX14	138.0	8.656886238039998	212.0	8.9500849087	196.0	6.8885228303499995	54.0	2.41919633193	95.0	2.71610043753
NM_001350531	LARP1B	5.0	0.47813910067500004	13.0	0.836635481288	8.0	0.428609358816	3.0	0.204880319274	6.0	0.261502052899
NM_001350530	MIER1	107.0	10.7751778426	255.0	17.2818217002	177.0	9.986224893060001	79.0	5.68149320972	120.0	5.50758884216
NM_014177	TIMM21	72.0	17.5586503477	83.0	13.622141810699999	88.0	12.0234392423	44.0	7.66312733671	52.0	5.77965045966
NM_020992	PDLIM1	13.0	2.39214440974	27.0	3.3436166262700002	25.0	2.5773384739400003	17.0	2.23402327936	17.0	1.42571447528
NM_005802	TOPORS	146.0	8.47576979418	169.0	6.60270162336	110.0	3.5777203290300004	61.0	2.5290118442	82.0	2.16960036559
NM_003824	FADD	115.0	33.4125433749	157.0	30.6987023581	158.0	25.719124982100002	88.0	18.2595091564	88.0	11.6528984976
NM_003825	SNAP23	94.0	26.9246442635	124.0	23.903003554699996	114.0	18.2942402622	41.0	8.3868853967	65.0	8.48545379986
NM_003826	NAPG	80.0	15.5204257599	100.0	13.0563659528	95.0	10.3258225122	36.0	4.98782119128	68.0	6.01259778711
NM_003827	NAPA	372.0	76.3148772712	503.0	69.4453107851	679.0	78.0411124129	308.0	45.124428878	316.0	29.5456091975
NM_003820	TNFRSF14	9.0	1.92434152138	11.0	1.58285450618	16.0	1.9166686116099998	10.0	1.5269836002200001	12.0	1.1693929830399998
NM_003821	RIPK2	68.0	7.63254948877	134.0	10.1221830091	122.0	7.67198868472	51.0	4.08813871823	61.0	3.1205428277999996
NM_003795	SNX3	165.0	61.4687414395	259.0	64.9349950118	252.0	52.596679139399996	94.0	25.0088062525	104.0	17.658073183499997
NM_003823	TNFRSF6B	36.0	7.262631123869999	45.0	6.10959848654	49.0	5.53828081377	36.0	5.18667120555	28.0	2.57447757506
NM_012181	FKBP8	1242.0	182.170997357	1652.0	163.07085703799999	1984.0	163.037202479	946.0	99.09312124889999	963.0	64.3759311023
NM_012180	FBXO8	51.0	9.67783423459	55.0	7.02391687115	40.0	4.252608482	27.0	3.6590344520399998	33.0	2.85404974922
NM_012183	FOXD3	22.0	2.7889783868199998	9.0	0.7678451542579999	3.0	0.213074328952	2.0	0.181070289129	6.0	0.346667648416
NM_001018088	VPS13C	75.0	1.25496691483	112.0	1.26123991414	50.0	0.468736123671	24.0	0.286798573137	48.0	0.366059638669
NM_020437	ASPHD2	136.0	22.320050126599998	147.0	16.236120374400002	146.0	13.4244505594	64.0	7.50120376153	65.0	4.86193569073
NM_020733	HEG1	122.0	5.36055515619	163.0	4.8199908433	144.0	3.54486611524	79.0	2.47897279701	89.0	1.78229480458
NM_020731	AHRR	60.0	5.0603054821399995	115.0	6.527276284299999	164.0	7.749197678310001	58.0	3.4933991476199995	81.0	3.1135088173299996
NM_001025780	ABHD17B	78.0	16.3890862674	99.0	13.999225321099999	58.0	6.82771742439	19.0	2.8510738777900007	42.0	4.02206444684
NM_001300829	CIRBP	745.0	151.809164464	1243.0	170.459620175	1644.0	187.68559313900002	689.0	100.26645736799999	768.0	71.3251236901
NM_002224	ITPR3	1204.0	27.362011080100004	1635.0	25.0062146638	1902.0	24.2169500981	1108.0	17.982746386600002	985.0	10.2022827181
NM_175856	CHSY3	67.0	4.60757146958	122.0	5.64632378564	105.0	4.04551656272	46.0	2.2591748305	70.0	2.19399136493
