AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4
NM_017847	ODR4	86.0	13.7222433134	62.0	13.1894685247	49.0	14.1727165185	37.0	9.403085344179999	39.0	10.487248580700001
NM_001143986	TLE6	2.0	0.253403981801	2.0	0.33784879686499997	2.0	0.459350074147	1.0	0.201801982529	1.0	0.213527458012
NM_001003803	ATP5S	99.0	33.2751103602	83.0	37.193867893800004	71.0	43.2586552466	46.0	24.6254474792	26.0	14.7274632846
NM_001003800	BICD2	512.0	43.4244430869	389.0	43.986847707299994	284.0	43.6629417442	257.0	34.7167777444	230.0	32.8747473031
NM_016649	ESF1	84.0	7.1577702183300005	52.0	5.90759551138	41.0	6.33304653283	26.0	3.5286924128199995	26.0	3.7337230862300004
NM_016647	THEM6	87.0	30.2211528631	89.0	41.218361468299996	73.0	45.9668761997	56.0	30.9828804564	33.0	19.318615806500002
NM_016644	PRR16	14.0	3.60426727306	15.0	5.1486000160600005	12.0	5.6001615422599995	4.0	1.64017781545	7.0	3.0370873549199997
NM_016640	MRPS30	300.0	49.5001641722	216.0	47.516897602700006	128.0	38.284740725300004	100.0	26.280121815700003	97.0	26.9728855541
NM_003279	TNNC2	191.0	86.1282359635	101.0	60.7215013074	59.0	48.2274781264	47.0	33.7560819347	27.0	20.5185298317
NM_001304467	EEF1AKMT2	13.0	4.41029500102	18.0	8.14152451137	18.0	11.069478188699998	5.0	2.7016947661	8.0	4.57387788565
NM_001080825	TMEM120B	65.0	13.8794577973	31.0	8.82530614517	22.0	8.515539756910002	21.0	7.1420095758	17.0	6.11756167206
NM_001008781	FAT3	645.0	10.2736189791	413.0	8.77046730248	399.0	11.5203849717	392.0	9.94470252474	340.0	9.12668261737
NM_002223	ITPR2	21.0	0.564250576057	14.0	0.501521659595	19.0	0.925415295566	9.0	0.38515648553000004	10.0	0.452817296229
NM_001253384	RPL15	145.0	72.1029788628	90.0	59.667337172399996	28.0	25.239084210999998	21.0	16.6320770943	25.0	20.9505536714
NM_001145313	FSD1L	12.0	1.64068340759	10.0	1.82285650286	6.0	1.48704854512	3.0	0.653291163781	8.0	1.8433330838599997
NM_003363	USP4	226.0	17.020388399999998	171.0	17.1698333316	140.0	19.112584516600002	103.0	12.3549286378	84.0	10.6613107978
NM_207118	GTF2H5	47.0	47.3918238464	72.0	96.79368030190001	53.0	96.875016679	18.0	28.9081339973	23.0	39.084421793699995
NM_001282735	SPATS2L	1251.0	162.47388412	878.0	152.030145447	690.0	162.44475743799998	689.0	142.523823429	587.0	128.479738873
NM_001282730	SUPT7L	213.0	37.442739194699996	122.0	28.5928062877	89.0	28.3601401105	71.0	19.8787168408	58.0	17.182497674500002
NM_004109	FDX1	57.0	22.3687228368	71.0	37.147844872600004	21.0	14.9388093033	26.0	16.251059112	15.0	9.920370279010001
NM_004101	F2RL2	17.0	3.29121091563	31.0	8.00161090496	28.0	9.82641678615	17.0	5.24200829818	23.0	7.504208984389999
NM_007101	SARDH	47.0	3.71296117186	38.0	4.00235021923	23.0	3.29367498759	16.0	2.01318887468	10.0	1.33135183287
NM_007100	ATP5ME	304.0	315.29247427	218.0	301.443175797	167.0	313.969056751	85.0	140.410936558	84.0	146.821480129
NM_000485	APRT	326.0	130.760654675	355.0	189.843958603	257.0	186.862848809	160.0	102.216606399	112.0	75.7090505271
NM_007108	ELOB	1285.0	783.960583277	894.0	727.172690671	433.0	478.860872044	320.0	310.944634593	283.0	290.969740032
NM_016643	ZNF771	77.0	17.5793035865	41.0	12.4796883408	34.0	14.0708461392	31.0	11.2723541373	19.0	7.31029382195
NM_001350532	SNX14	120.0	9.0000298495	86.0	8.59943853922	80.0	10.876346797	46.0	5.494934561469999	34.0	4.297460678719999
NM_001350531	LARP1B	5.0	0.5716554392600001	4.0	0.609723970406	5.0	1.03625036412	2.0	0.364196963745	4.0	0.770716431125
NM_001350530	MIER1	256.0	30.8219927715	242.0	38.8458882804	153.0	33.392008002	101.0	19.367970373	115.0	23.3339831604
NM_014177	TIMM21	123.0	35.8627695449	57.0	22.1575894667	23.0	12.1561739502	23.0	10.6809169789	30.0	14.7411124628
