AccNum,GeneName,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_001003806,TARP,0.0,-,0.0,-
NM_017847,ODR4,18.0,3.43418303803,11.0,5.99004266495
NM_001143986,TLE6,0.0,-,0.0,-
NM_001143987,NBPF6,0.0,-,0.0,-
NM_001143980,CCDC154,1.0,0.339255974344,1.0,0.370913093706
NM_001003803,ATP5S,8.0,3.22302369555,6.0,6.88249851655
NM_001003800,BICD2,361.0,41.8227637411,292.0,84.5196546798
NM_016649,ESF1,12.0,2.77354417831,10.0,2.90809796474
NM_016647,THEM6,27.0,8.86456081018,8.0,9.48401709457
NM_016644,PRR16,7.0,2.78244325054,3.0,2.6358504957
NM_017417,GALNT8,0.0,-,0.0,-
NM_016642,SPTBN5,5.0,0.317030555228,5.0,0.337101968157
NM_001143989,NBPF4,1.0,0.29744291308,0.0,-
NM_016640,MRPS30,63.0,28.0074879824,61.0,34.3499244144
NM_001304464,SNRPE,24.0,11.02560949,0.0,-
NM_003279,TNNC2,18.0,19.6469561177,14.0,21.5452127474
NM_001012980,SATL1,0.0,-,0.0,-
NM_001304467,EEF1AKMT2,38.0,7.71742456609,8.0,9.26242791012
NM_001080825,TMEM120B,38.0,3.76108840372,7.0,5.10114595932
NM_001008781,FAT3,340.0,13.2685118668,326.0,17.7211501953
NM_017419,ASIC5,0.0,-,0.0,-
NM_001040,SHBG,0.0,-,0.0,-
NM_002223,ITPR2,8.0,0.472580363848,6.0,0.550192331449
NM_001143981,CHRDL1,0.0,-,0.0,-
NM_001253384,RPL15,28.0,5.16059397819,22.0,37.3351974322
NM_001145313,FSD1L,17.0,1.63470469293,7.0,3.26627048243
NM_205859,OR2K2,0.0,-,0.0,-
NM_018476,BEX1,0.0,-,0.0,-
NM_003363,USP4,28.0,5.0516202704,28.0,7.19663745299
NM_144585,SLC22A12,0.0,-,0.0,-
NM_205856,SPACA5,0.0,-,0.0,-
NM_207118,GTF2H5,16.0,1.58869321889,6.0,20.6474955496
NM_205853,MUSTN1,0.0,-,0.0,-
NM_205852,CLEC12B,0.0,-,0.0,-
NM_001282735,SPATS2L,618.0,71.8544472061,499.0,221.175676836
NM_001355213,OR10D3,1.0,0.721660038628,1.0,0.791597273469
NM_001007531,NKAPL,0.0,-,0.0,-
NM_001282730,SUPT7L,49.0,7.69211872219,31.0,18.5977441755
NM_004108,FCN2,0.0,-,0.0,-
NM_004109,FDX1,19.0,4.47635085767,14.0,18.7501581208
NM_004106,FCER1G,0.0,-,0.0,-
NM_001291976,SPARCL1,1.0,0.246210612715,0.0,-
NM_130759,GIMAP1,0.0,-,0.0,-
NM_181776,SLC36A2,0.0,-,0.0,-
NM_001462,FPR2,0.0,-,0.0,-
NM_001463,FRZB,0.0,-,0.0,-
NM_004101,F2RL2,8.0,1.73417285456,4.0,2.64287943035
NM_000331,SAA1,0.0,-,0.0,-
NM_007102,GUCA2B,0.0,-,0.0,-
NM_007101,SARDH,11.0,2.42120468986,10.0,2.69608211747
NM_007100,ATP5ME,38.0,77.3856819504,19.0,67.2518426474
NM_000334,SCN4A,0.0,-,0.0,-
NM_007105,SLC22A18AS,0.0,-,0.0,-
NM_181435,C1QTNF3,0.0,-,0.0,-
NM_000339,SLC12A3,0.0,-,0.0,-
NM_000486,AQP2,0.0,-,0.0,-
NM_000485,APRT,109.0,100.397487654,74.0,101.29821021
NM_007108,ELOB,161.0,120.881701218,137.0,285.247753644
NM_000483,APOC2,0.0,-,0.0,-
NM_000482,APOA4,0.0,-,0.0,-
NM_000481,AMT,1.0,0.337561235144,0.0,-
NM_016643,ZNF771,22.0,11.2390491239,20.0,15.5830155092
NM_030615,KIF25,0.0,-,0.0,-
NM_001350532,SNX14,30.0,5.8497626426,23.0,5.88709583853
NM_001350531,LARP1B,4.0,0.68634334237,0.0,-
NM_001350530,MIER1,87.0,11.4213981034,52.0,21.3665625588
NM_001320272,PLD5,0.0,-,0.0,-
NM_030613,ZFP2,0.0,-,0.0,-
NM_014177,TIMM21,34.0,16.474924741,23.0,22.8863806092
NM_020992,PDLIM1,7.0,3.29314485982,5.0,3.75409009993
NM_005802,TOPORS,37.0,6.59057370528,33.0,7.81683387921
NM_005258,GCHFR,0.0,-,0.0,-
NM_001012964,KLK6,0.0,-,0.0,-
