AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	109.0	3.22975192115	71.0	6.00464467131
NM_001143986	3.0	0.172472223283	3.0	0.201468426034
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	65.0	4.06704147839	52.0	9.26381670078
NM_001003800	2074.0	37.3169389706	1444.0	64.9133151563
NM_016649	12.0	0.430751522826	10.0	0.451648701555
NM_016647	576.0	29.3702522419	219.0	40.3216401558
NM_016644	66.0	4.07440263944	39.0	5.32176704087
NM_017417	0.0	-	0.0	-
NM_016642	4.0	0.0393897153006	4.0	0.0418835040789
NM_001143989	4.0	0.184780165054	2.0	0.120439653748
NM_016640	421.0	29.0674837425	411.0	35.9442566184
NM_001304464	195.0	13.9129014727	2.0	0.905422808764
NM_003279	178.0	30.1741125476	132.0	31.5492047029
NM_001012980	0.0	-	0.0	-
NM_001304467	220.0	6.93910103438	40.0	7.19261109765
NM_001080825	288.0	4.42704734192	49.0	5.54571470368
NM_001008781	2169.0	13.1460289918	2091.0	17.6530630667
NM_017419	0.0	-	0.0	-
NM_001040	3.0	0.262565750077	3.0	0.286455106991
NM_002223	35.0	0.321103813408	31.0	0.441485770002
NM_001143981	0.0	-	0.0	-
NM_001253384	160.0	4.57987237758	121.0	31.8913479046
NM_001145313	43.0	0.642170834288	17.0	1.23195476334
NM_205859	0.0	-	0.0	-
NM_018476	1.0	0.133922747236	0.0	-
NM_003363	168.0	4.7073195543	145.0	5.78803740561
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	101.0	1.5575183302	35.0	18.7057837227
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	2568.0	46.371583927	1969.0	135.542118416
NM_001355213	0.0	-	0.0	-
NM_001007531	0.0	-	0.0	-
NM_001282730	378.0	9.21580829321	218.0	20.3117247535
NM_004108	0.0	-	0.0	-
NM_004109	135.0	4.93964820787	81.0	16.848205509
NM_004106	1.0	0.19533233184	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	94.0	3.16462302801	41.0	4.20719798472
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	125.0	4.27307551515	115.0	4.81529268534
NM_007100	433.0	136.948300589	214.0	117.640292081
NM_000334	3.0	0.0443720979311	3.0	0.0628423560791
NM_007105	0.0	-	0.0	-
NM_181435	7.0	0.211210103717	5.0	0.601257333945
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	829.0	118.588509702	517.0	109.913826882
NM_007108	1364.0	159.052606739	1194.0	386.09815488
NM_000483	2.0	0.316711682078	2.0	0.754519007303
NM_000482	0.0	-	0.0	-
NM_000481	0.0	-	0.0	-
NM_016643	249.0	19.755952317	213.0	25.7746540136
NM_030615	1.0	0.0764512636539	1.0	0.0999492710973
NM_001350532	245.0	7.41950288267	196.0	7.7914999969
NM_001350531	36.0	0.959346881862	8.0	0.484793314929
NM_001350530	312.0	6.3613068408	177.0	11.2952621541
NM_001320272	6.0	0.20913298572	3.0	0.259418894646
NM_030613	0.0	-	0.0	-
NM_014177	144.0	10.8367423526	88.0	13.5995233124
NM_020992	36.0	2.6303105647	25.0	2.91518707367
NM_005802	125.0	3.45798610464	110.0	4.04670328009
NM_005258	2.0	0.323818816598	0.0	-
NM_001012964	0.0	-	0.0	-
NM_003824	315.0	19.6244163826	158.0	29.0904983773
NM_003825	273.0	11.9331709262	114.0	20.6923278701
NM_003826	212.0	6.58777349149	95.0	11.6793756881
NM_003827	1139.0	70.6923461536	679.0	88.2710767023
NM_003820	32.0	1.05516282769	16.0	2.16791376746
NM_003821	183.0	8.17244784738	122.0	8.67766592133
NM_003795	652.0	42.7657943707	252.0	59.4912778028
NM_003823	51.0	5.09741282596	49.0	6.26426245598
NM_012181	2459.0	158.145082206	1984.0	184.408819408
