AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	84.0	3.95148797205	50.0	6.71332510862
NM_001143986	2.0	0.182543601061	1.0	0.106616506961
NM_001143987	0.0	-	0.0	-
NM_001143980	1.0	0.0836484598199	1.0	0.0914539797732
NM_001003803	53.0	5.26477512177	41.0	11.5960259168
NM_001003800	1127.0	32.1928841879	789.0	56.3095828825
NM_016649	28.0	1.59566719933	22.0	1.57747381074
NM_016647	452.0	36.5899940417	137.0	40.0454660905
NM_016644	50.0	4.90036832795	26.0	5.63252737837
NM_017417	0.0	-	0.0	-
NM_016642	8.0	0.125069538832	7.0	0.116364301883
NM_001143989	1.0	0.0733388457245	1.0	0.0956044733779
NM_016640	262.0	28.718737543	246.0	34.1555672458
NM_001304464	148.0	16.7642266804	1.0	0.7187206881
NM_003279	108.0	29.0654445672	76.0	28.838109597
NM_001012980	0.0	-	0.0	-
NM_001304467	142.0	7.11062188964	34.0	9.70608779723
NM_001080825	189.0	4.61234934261	30.0	5.39040516075
NM_001008781	2023.0	19.4656821424	1922.0	25.7607281296
NM_017419	0.0	-	0.0	-
NM_001040	1.0	0.138949033711	1.0	0.15159121213
NM_002223	38.0	0.553477188881	34.0	0.768727901039
NM_001143981	0.0	-	0.0	-
NM_001253384	130.0	5.90765951166	98.0	41.0064611772
NM_001145313	33.0	0.782410684393	9.0	1.03544505913
NM_205859	0.0	-	0.0	-
NM_018476	1.0	0.212614588707	0.0	-
NM_003363	79.0	3.51423016062	68.0	4.30934188508
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	58.0	1.4199678035	19.0	16.1213043233
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1771.0	50.7708206396	1369.0	149.613475618
NM_001355213	0.0	-	0.0	-
NM_001007531	1.0	0.110273029763	1.0	0.15159121213
NM_001282730	217.0	8.39924166336	138.0	20.4130597371
NM_004108	0.0	-	0.0	-
NM_004109	82.0	4.76337546376	47.0	15.5204818863
NM_004106	0.0	-	0.0	-
NM_001291976	1.0	0.0607067822012	1.0	0.113131960164
NM_130759	0.0	-	0.0	-
NM_181776	1.0	0.0535731585693	1.0	0.126221608447
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	60.0	3.20689020937	24.0	3.90984054326
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	51.0	2.76783018914	45.0	2.99141091619
NM_007100	248.0	124.52574333	114.0	99.4914781098
NM_000334	1.0	0.0234815855817	0.0	-
NM_007105	0.0	-	0.0	-
NM_181435	3.0	0.143706567276	3.0	0.572730548329
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	504.0	114.460945272	314.0	105.981520251
NM_007108	794.0	146.989270424	689.0	353.713252929
NM_000483	0.0	-	0.0	-
NM_000482	0.0	-	0.0	-
NM_000481	2.0	0.166461194791	2.0	0.302431972715
NM_016643	187.0	23.5547738914	152.0	29.200853114
NM_030615	1.0	0.121373361235	1.0	0.158678593477
NM_001350532	169.0	8.12520148312	138.0	8.70929098286
NM_001350531	17.0	0.719218417108	5.0	0.481033531405
NM_001350530	220.0	7.12119932928	107.0	10.8404057351
NM_001320272	3.0	0.166008854588	1.0	0.13728372694
NM_030613	0.0	-	0.0	-
NM_014177	119.0	14.217457158	72.0	17.6649422135
NM_020992	24.0	2.78390545011	13.0	2.40662533439
NM_005802	162.0	7.11486978802	146.0	8.52707814466
NM_005258	8.0	2.05636774716	2.0	1.4374413762
NM_001012964	0.0	-	0.0	-
NM_003824	261.0	25.8146008616	115.0	33.6148073023
NM_003825	198.0	13.74032849	94.0	27.0876334807
NM_003826	164.0	8.09068618475	80.0	15.6143791664
NM_003827	657.0	64.7370271402	372.0	76.7768518842
NM_003820	24.0	1.25637549591	9.0	1.9359905859
NM_003821	95.0	6.73539987204	68.0	7.67875337748
NM_003795	447.0	46.5473736551	165.0	61.8408444822
NM_003823	39.0	6.18846514559	36.0	7.30659569962
NM_012181	1572.0	160.504944307	1242.0	183.273775465
NM_012180	97.0	6.93622950454	51.0	9.7364193216
NM_012183	23.0	2.03834469812	22.0	2.80586155897
NM_012182	0.0	-	0.0	-
NM_001018088	81.0	1.01707151361	75.0	1.26256389822
NM_020437	249.0	13.7745759405	136.0	22.4551652823
NM_012186	0.0	-	0.0	-
NM_020733	264.0	5.28443389284	122.0	5.39300545267
NM_020731	119.0	3.85328255837	60.0	5.09093820737
NM_020737	1.0	0.0568996508741	0.0	-
NM_001025780	194.0	11.4068374849	78.0	16.4882981388
NM_001300829	1442.0	148.974511962	745.0	152.728146221
NM_002224	1300.0	26.3820073198	1204.0	27.5276479117
NM_175856	75.0	3.93629242838	67.0	4.63546355462
NM_001688	491.0	42.830758569	340.0	80.8211201793
NM_014171	164.0	4.72147332333	54.0	32.3424309645
NM_001199973	1.0	0.0689258275538	0.0	-
NM_001867	317.0	142.746404969	82.0	78.2731749384
NM_144646	0.0	-	0.0	-
NM_144647	0.0	-	0.0	-
NM_144644	2.0	0.297281063204	2.0	0.399289271167
NM_144645	1.0	0.20184336505	1.0	0.517722529563
NM_144642	0.0	-	0.0	-
NM_144643	130.0	7.79888406236	75.0	6.64999185288
NM_001161546	586.0	33.0355067434	567.0	34.0932515384
NM_144641	89.0	7.4243814367	50.0	6.64035418353
NM_133447	3.0	0.17426983404	1.0	0.110873427384
NM_001008783	7.0	0.533881160324	6.0	0.879010913503
NM_000159	192.0	18.6875012689	154.0	21.4306464857
NM_000158	102.0	6.0322443038	74.0	6.43065878826
NM_144648	6.0	0.353582846557	6.0	0.443762168197
NM_144649	0.0	-	0.0	-
NM_021020	1838.0	61.7067593525	823.0	84.2179325561
NM_021021	605.0	22.2875646546	373.0	42.2765109763
NM_021023	0.0	-	0.0	-
NM_001347869	64.0	4.13739740028	25.0	6.10912584885
NM_021025	22.0	2.7006182587	14.0	2.92903294123
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	108.0	1.572790445	62.0	1.22617611728
NM_175068	0.0	-	0.0	-
