AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	81.0	4.7339990238	51.0	8.50745416754
NM_001143986	3.0	0.340188508867	3.0	0.397381341364
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	31.0	3.82584540198	22.0	7.73053887228
NM_001003800	1203.0	42.6936578628	883.0	78.2938730901
NM_016649	22.0	1.55764589218	20.0	1.78168629579
NM_016647	264.0	26.5515328051	99.0	35.9525539897
NM_016644	32.0	3.89646217928	9.0	2.42233519789
NM_017417	0.0	-	0.0	-
NM_016642	2.0	0.0388466277577	2.0	0.0413060333064
NM_001143989	4.0	0.364464999763	3.0	0.356337259158
NM_016640	249.0	33.9097952403	241.0	41.5724102826
NM_001304464	106.0	14.9172731222	0.0	-
NM_003279	47.0	15.7149440591	37.0	17.4428194995
NM_001012980	0.0	-	0.0	-
NM_001304467	146.0	9.08309515187	33.0	11.7041803487
NM_001080825	181.0	5.48783103288	39.0	8.70615768183
NM_001008781	1209.0	14.4531267863	1163.0	19.3662811543
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	21.0	0.380011895465	15.0	0.42135364286
NM_001143981	0.0	-	0.0	-
NM_001253384	98.0	5.53299078675	67.0	34.8307467496
NM_001145313	50.0	1.47282993921	18.0	2.57287580341
NM_205859	0.0	-	0.0	-
NM_018476	1.0	0.264152562183	0.0	-
NM_003363	86.0	4.75295090771	82.0	6.45621013324
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	48.0	1.46000219248	21.0	22.1374522252
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1188.0	42.3130011292	880.0	119.484536416
NM_001355213	0.0	-	0.0	-
NM_001007531	2.0	0.274006628883	2.0	0.376674125065
NM_001282730	223.0	10.7237572161	141.0	25.9125348772
NM_004108	0.0	-	0.0	-
NM_004109	68.0	4.90762807763	39.0	16.0005060098
NM_004106	0.0	-	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	55.0	3.65222308927	25.0	5.05998908004
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	68.0	4.58500639174	65.0	5.36832356152
NM_007100	173.0	107.923328734	80.0	86.7426699435
NM_000334	0.0	-	0.0	-
NM_007105	0.0	-	0.0	-
NM_181435	5.0	0.297568620755	5.0	1.18593494063
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	400.0	112.862209964	258.0	108.188716794
NM_007108	575.0	132.249714592	486.0	309.977482298
NM_000483	0.0	-	0.0	-
NM_000482	0.0	-	0.0	-
NM_000481	4.0	0.413623085562	4.0	0.751483526738
NM_016643	95.0	14.8669782249	77.0	18.3782622247
NM_030615	1.0	0.150794376557	1.0	0.19714243169
NM_001350532	124.0	7.40680458201	95.0	7.44884756101
NM_001350531	22.0	1.15636869558	6.0	0.717163806619
NM_001350530	241.0	9.69190773102	120.0	15.104445015
NM_001320272	3.0	0.206249554893	0.0	-
NM_030613	1.0	0.093780687233	0.0	-
NM_014177	88.0	13.0622925404	52.0	15.8505682025
NM_020992	23.0	3.3146130999	17.0	3.90999156185
NM_005802	93.0	5.0745397316	82.0	5.95008276142
NM_005258	2.0	0.638708299023	1.0	0.892939249418
NM_001012964	0.0	-	0.0	-
NM_003824	165.0	20.275455434	88.0	31.9578257687
NM_003825	163.0	14.0533964037	65.0	23.2711761936
NM_003826	148.0	9.0712051879	68.0	16.4894212832
NM_003827	535.0	65.4942134956	316.0	81.0282035114
NM_003820	19.0	1.23572998099	12.0	3.20703533242
NM_003821	81.0	7.13487821924	61.0	8.55802219637
NM_003795	327.0	42.3055337004	104.0	48.426889355
NM_003823	30.0	5.91427295069	28.0	7.06044987912
NM_012181	1224.0	155.266962969	963.0	176.549618988
NM_012180	69.0	6.13002968924	33.0	7.82717060818
NM_012183	8.0	0.880849162869	6.0	0.950728637168
NM_012182	0.0	-	0.0	-
NM_001018088	49.0	0.764406407336	48.0	1.00391075713
NM_020437	111.0	7.62893011011	65.0	13.3337550082
NM_012186	0.0	-	0.0	-
NM_020733	186.0	4.62561256006	89.0	4.88790551509
NM_020731	163.0	6.55742401097	81.0	8.53873157256
NM_020737	2.0	0.141384358027	2.0	0.192151484052
NM_001025780	109.0	7.96254297003	42.0	11.0304260222
NM_001300829	1730.0	222.05194469	768.0	195.60763155
NM_002224	1088.0	27.4318531014	985.0	27.9795429108
NM_175856	80.0	5.21648358767	70.0	6.01697455724
NM_001688	421.0	45.6266031039	269.0	79.4437974239
NM_014171	139.0	4.97176118373	36.0	26.7881774826
NM_001199973	0.0	-	0.0	-
NM_001867	190.0	106.297067898	40.0	47.4373976254
NM_144646	0.0	-	0.0	-
NM_144647	0.0	-	0.0	-
NM_144644	0.0	-	0.0	-
NM_144645	2.0	0.501540767845	1.0	0.643218950852
NM_144642	0.0	-	0.0	-
NM_144643	91.0	6.78253855409	42.0	4.62669538523
NM_001161546	275.0	19.2609550494	266.0	19.8714138084
NM_144641	95.0	9.84590501464	70.0	11.549975074
NM_133447	1.0	0.0721710011416	1.0	0.137749249003
NM_001008783	1.0	0.0947563498134	0.0	-
NM_000159	200.0	24.1847592779	168.0	29.0459509834
NM_000158	105.0	7.71489138534	81.0	8.74521583534
NM_144648	5.0	0.366076380389	4.0	0.367553686201
NM_144649	0.0	-	0.0	-
NM_021020	1558.0	64.9854981501	709.0	90.1390014509
NM_021021	542.0	24.8066600326	340.0	47.8774476961
NM_021023	0.0	-	0.0	-
NM_001347869	38.0	3.05205690542	18.0	5.46478820644
NM_021025	17.0	2.59269366794	9.0	2.33937851303
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	100.0	1.80929287725	64.0	1.57254435637
NM_175068	0.0	-	0.0	-
NM_001143679	112.0	20.8012601659	76.0	20.3829948807
NM_152694	0.0	-	0.0	-
NM_173536	0.0	-	0.0	-
NM_173537	0.0	-	0.0	-
NM_173535	2.0	0.184148409706	1.0	0.12864379017
NM_001297658	331.0	36.8550304876	227.0	52.2098873258
NM_001286495	13.0	0.699951196931	12.0	0.840219588936
NM_023009	1495.0	217.932628271	742.0	287.335094188
NM_173531	40.0	2.03757949532	15.0	2.09668055803
NM_001286499	76.0	6.37860768659	57.0	7.34514543876
NM_001297656	992.0	75.3428660884	815.0	92.0511406301
NM_001297650	2.0	0.0980406926164	1.0	0.0518441504102
NM_173538	0.0	-	0.0	-
NM_006885	235.0	3.33142725199	204.0	4.18022855964
NM_001001952	0.0	-	0.0	-
NM_001001953	0.0	-	0.0	-
NM_002226	986.0	38.4767293027	779.0	47.7207202585
NM_001001957	0.0	-	0.0	-
NM_001001954	0.0	-	0.0	-
NM_001001955	0.0	-	0.0	-
NM_001282864	38.0	2.65091339671	28.0	3.96491681645
NM_001001958	0.0	-	0.0	-
NM_001001959	0.0	-	0.0	-
NM_152695	11.0	0.617071839029	8.0	1.16993967168
NM_015259	28.0	1.93024106595	7.0	1.75346156239
NM_001282862	0.0	-	0.0	-
NM_001170700	0.0	-	0.0	-
NM_001319119	549.0	30.8659333882	459.0	73.8093746103
NM_001193653	473.0	44.486521094	145.0	58.5397672823
NM_012184	0.0	-	0.0	-
NM_006272	0.0	-	0.0	-
NM_182976	94.0	2.19728506401	34.0	4.42640554171
NM_006270	75.0	17.3199423379	54.0	18.7150281042
NM_006271	3.0	1.14999751819	1.0	0.798945644216
NM_003356	14.0	1.31455386409	7.0	1.69744042621
NM_003357	0.0	-	0.0	-
NM_006274	2.0	0.665788036847	0.0	-
NM_003355	113.0	15.6318617691	75.0	18.3628635969
NM_001002030	56.0	5.45154873095	36.0	9.04766259344
NM_001170704	54.0	1.0662307895	8.0	2.34439648496
NM_003358	2078.0	117.936086459	860.0	165.250276285
NM_003359	179.0	12.7568738778	124.0	19.0132923007
NM_001002034	1.0	0.0976412987143	0.0	-
NM_001145006	0.0	-	0.0	-
NM_001002036	0.0	-	0.0	-
NM_001042507	0.0	-	0.0	-
NM_001324080	0.0	-	0.0	-
NM_004813	159.0	18.9749590501	121.0	27.2518699711
NM_004814	994.0	139.367802679	741.0	157.099940292
NM_004815	83.0	2.0729471552	63.0	3.78897755993
NM_020199	127.0	12.6777017065	63.0	17.9762769949
NM_004817	318.0	15.3245383567	266.0	16.9516006963
NM_004818	737.0	51.3665558125	583.0	53.8972040255
NM_020196	506.0	43.3958385508	497.0	44.0680123735
NM_020195	67.0	12.3930682992	50.0	12.9081354083
NM_001330724	2.0	0.0920183910292	1.0	0.132924406656
NM_014314	62.0	2.96832832912	49.0	4.01629802789
NM_020191	167.0	33.8911033302	154.0	32.3783234761
