AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	120.0	7.45353795377	93.0	16.4873351631
NM_001143986	4.0	0.482054845084	4.0	0.563098387975
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	95.0	12.4602685973	81.0	30.248941529
NM_001003800	549.0	20.7065697001	501.0	47.2109648163
NM_016649	74.0	5.56821311729	69.0	6.53263525979
NM_016647	152.0	16.2467813159	132.0	50.9455857331
NM_016644	62.0	8.02324866225	19.0	5.43479800522
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	294.0	42.5511426294	281.0	51.5148640585
NM_001304464	418.0	62.5169718622	3.0	2.84695920273
NM_003279	173.0	61.4750882176	148.0	74.1506144314
NM_001012980	0.0	-	0.0	-
NM_001304467	213.0	14.0831137611	20.0	7.53867701658
NM_001080825	49.0	1.57890613574	38.0	9.01537080865
NM_001008781	580.0	7.36888164513	578.0	10.2289824214
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	29.0	0.557717113148	22.0	0.656774452148
NM_001143981	0.0	-	0.0	-
NM_001253384	121.0	7.26034599556	119.0	65.7465578439
NM_001145313	27.0	0.84524856019	15.0	2.2786396632
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	202.0	11.8646333764	184.0	15.3964183716
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	120.0	3.87910551267	85.0	95.2281492581
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1198.0	45.3473886461	1039.0	149.927967793
NM_001355213	0.0	-	0.0	-
NM_001007531	0.0	-	0.0	-
NM_001282730	268.0	13.6966696174	128.0	24.9999323049
NM_004108	0.0	-	0.0	-
NM_004109	95.0	7.28659130335	78.0	34.0096207462
NM_004106	1.0	0.409461137449	1.0	0.92717062158
NM_001291976	2.0	0.160312376437	1.0	0.149377489032
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	37.0	2.61116555631	28.0	6.02290035778
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	44.0	3.15298413332	42.0	3.68648688928
NM_007100	512.0	339.451135624	289.0	333.026441977
NM_000334	0.0	-	0.0	-
NM_007105	1.0	0.105259474655	1.0	0.317574189281
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	473.0	141.836424716	432.0	192.523649953
NM_007108	1149.0	280.856838924	1140.0	772.746069313
NM_000483	2.0	0.663899951255	2.0	1.58164400152
NM_000482	0.0	-	0.0	-
NM_000481	0.0	-	0.0	-
NM_016643	102.0	16.9643548369	68.0	17.2488723184
NM_030615	0.0	-	0.0	-
NM_001350532	161.0	10.2205237905	117.0	9.74965883994
NM_001350531	25.0	1.39653469663	9.0	1.14326708141
NM_001350530	275.0	11.7533859703	254.0	33.9778049679
NM_001320272	7.0	0.5114555331	2.0	0.362534130685
NM_030613	0.0	-	0.0	-
NM_014177	124.0	19.5612451087	86.0	27.8598015689
NM_020992	61.0	9.34271105454	47.0	11.4884868838
NM_005802	219.0	12.6997712818	193.0	14.8834817466
NM_005258	0.0	-	0.0	-
NM_001012964	0.0	-	0.0	-
NM_003824	200.0	26.1188917682	147.0	56.7348568392
NM_003825	251.0	22.998816581	212.0	80.6638440774
NM_003826	184.0	11.9855832923	154.0	39.6876421339
NM_003827	692.0	90.0312582284	568.0	154.787376473
NM_003820	9.0	0.622086201111	4.0	1.13611047996
NM_003821	141.0	13.1995381218	56.0	8.34967702095
NM_003795	611.0	84.0095603375	409.0	202.401915507
NM_003823	3.0	0.62854943437	2.0	0.535972385897
NM_012181	885.0	119.310588315	720.0	140.284946222
NM_012180	82.0	7.74221835468	37.0	9.32675697145
NM_012183	8.0	0.936137455444	8.0	1.34720407645
NM_012182	0.0	-	0.0	-
NM_001018088	99.0	1.64135117094	96.0	2.13384652285
NM_020437	74.0	5.40518363574	31.0	6.75832207135
NM_012186	0.0	-	0.0	-
NM_020733	127.0	3.3565885314	117.0	6.8289940355
NM_020731	25.0	1.06886719184	24.0	2.68879480258
NM_020737	0.0	-	0.0	-
NM_001025780	250.0	19.4090096433	90.0	25.1202282594
NM_001300829	1614.0	220.165914895	1327.0	359.197721781
NM_002224	286.0	7.66355644097	262.0	7.90940387286
NM_175856	39.0	2.7026545696	39.0	3.56272924011
NM_001688	846.0	97.441616501	623.0	195.539201791
NM_014171	254.0	9.65533289146	172.0	136.021384131
NM_001199973	0.0	-	0.0	-
NM_001867	905.0	538.089279288	479.0	603.718458017
NM_144646	0.0	-	0.0	-
NM_144647	0.0	-	0.0	-
NM_144644	1.0	0.196262394349	1.0	0.263607333586
NM_144645	0.0	-	0.0	-
NM_144642	0.0	-	0.0	-
NM_144643	197.0	15.6046912765	66.0	7.7268704051
NM_001161546	365.0	27.1691508043	362.0	28.74046413
NM_144641	30.0	3.30439051751	30.0	5.26068548331
NM_133447	1.0	0.0767009610879	0.0	-
NM_001008783	2.0	0.201407850381	2.0	0.386876950012
NM_000159	191.0	24.5461405504	170.0	31.2365683216
NM_000158	170.0	13.2747855694	141.0	16.1786657396
NM_144648	4.0	0.311243128273	4.0	0.390623942264
NM_144649	2.0	0.232572351977	1.0	0.291205213276
NM_021020	555.0	24.6025463251	497.0	67.1523124062
NM_021021	414.0	20.1375868028	356.0	53.2770472942
NM_021023	1.0	0.147555812337	1.0	0.243697414131
NM_001347869	68.0	5.80438243097	20.0	6.45310752619
NM_021025	21.0	3.40376569114	16.0	4.41993666178
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
