AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	75.0	8.56337276103	49.0	15.9685676539
NM_001143986	2.0	0.44306640474	2.0	0.51755517203
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	73.0	17.6006628381	71.0	48.7400394993
NM_001003800	313.0	21.7011383763	284.0	49.1955538871
NM_016649	42.0	5.80946024723	41.0	7.13551857775
NM_016647	87.0	17.0940655129	73.0	51.7914241407
NM_016644	48.0	11.4183188114	12.0	6.30976837389
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	134.0	35.6509460695	128.0	43.1358710652
NM_001304464	267.0	73.4066285451	4.0	6.97786149583
NM_003279	67.0	43.7653317387	59.0	54.3384711205
NM_001012980	0.0	-	0.0	-
NM_001304467	89.0	10.8171152082	18.0	12.4721122531
NM_001080825	33.0	1.95468390438	22.0	9.59455955677
NM_001008781	404.0	9.43533484671	399.0	12.9801542689
NM_017419	0.0	-	0.0	-
NM_001040	1.0	0.337254488521	1.0	0.367939346865
NM_002223	27.0	0.954513557952	19.0	1.04267638007
NM_001143981	0.0	-	0.0	-
NM_001253384	30.0	3.30899085316	28.0	28.4371752741
NM_001145313	13.0	0.748111606038	6.0	1.67547521793
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	150.0	16.1955826587	140.0	21.5343754669
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	76.0	4.51612863309	53.0	109.150229301
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	813.0	56.5702860945	690.0	183.028433243
NM_001355213	0.0	-	0.0	-
NM_001007531	0.0	-	0.0	-
NM_001282730	164.0	15.4072950241	89.0	31.9537059419
NM_004108	0.0	-	0.0	-
NM_004109	25.0	3.52487060507	21.0	16.8317334731
NM_004106	0.0	-	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
