AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	103.0	5.76570119298	86.0	13.7404088262
NM_001143986	2.0	0.217220166401	2.0	0.253739438123
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	111.0	13.1208044577	99.0	33.3191599685
NM_001003800	574.0	19.5110836995	512.0	43.4819283871
NM_016649	85.0	5.76416946538	84.0	7.16724567824
NM_016647	105.0	10.1145538613	87.0	30.2611596408
NM_016644	57.0	6.64763405497	14.0	3.60903860394
NM_017417	0.0	-	0.0	-
NM_016642	1.0	0.0186035184736	1.0	0.0197813194618
NM_001143989	0.0	-	0.0	-
NM_016640	318.0	41.4786584732	300.0	49.5656925151
NM_001304464	306.0	41.245518172	0.0	-
NM_003279	225.0	72.055852555	191.0	86.2422525667
NM_001012980	0.0	-	0.0	-
NM_001304467	180.0	10.7256908393	13.0	4.41613335181
NM_001080825	89.0	2.58454396657	65.0	13.8978314307
NM_001008781	649.0	7.43108056629	645.0	10.2872192012
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	30.0	0.519961170785	21.0	0.56499753126
NM_001143981	0.0	-	0.0	-
NM_001253384	149.0	8.05734391592	145.0	72.1984288234
NM_001145313	18.0	0.507839954359	12.0	1.64285534513
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	232.0	12.2807424562	226.0	17.042919999
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	69.0	2.01017155324	47.0	47.4545611672
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1705.0	58.1639019628	1251.0	162.688967132
NM_001355213	0.0	-	0.0	-
NM_001007531	2.0	0.262441693221	2.0	0.360775925668
NM_001282730	333.0	15.3376246406	213.0	37.4923059122
NM_004108	0.0	-	0.0	-
NM_004109	73.0	5.04611741231	57.0	22.3983345636
NM_004106	0.0	-	0.0	-
NM_001291976	2.0	0.144477672783	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	25.0	1.59003388062	17.0	3.29556782234
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	47.0	3.03529322242	47.0	3.71787639177
NM_007100	489.0	292.179572645	304.0	315.70985861
NM_000334	1.0	0.0279422225582	1.0	0.0395734071977
NM_007105	2.0	0.189725138814	2.0	0.572412197025
NM_181435	1.0	0.0570018418888	1.0	0.227176090694
