AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	51.0	9.37593941398	39.0	20.4642352699
NM_001143986	1.0	0.356697327912	1.0	0.416665639586
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	35.0	13.5873648811	26.0	28.7383550859
NM_001003800	246.0	27.4621361712	230.0	64.1499586928
NM_016649	28.0	6.23599209097	26.0	7.28578016262
NM_016647	39.0	12.3381983849	33.0	37.6972754973
NM_016644	29.0	11.1075929406	7.0	5.92640383113
NM_017417	0.0	-	0.0	-
NM_016642	3.0	0.183293073731	3.0	0.194897478761
NM_001143989	1.0	0.286613939355	1.0	0.373629751929
NM_016640	101.0	43.2661911957	97.0	52.633392986
NM_001304464	63.0	27.8885282882	0.0	-
NM_003279	30.0	31.5527856585	27.0	40.0387211803
NM_001012980	1.0	0.332829105227	1.0	0.377171266165
NM_001304467	53.0	10.3719006628	8.0	8.92521164421
NM_001080825	21.0	2.00282462362	17.0	11.9374705741
NM_001008781	348.0	13.0862805475	340.0	17.8093023045
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	12.0	0.683062768289	10.0	0.883602559151
NM_001143981	0.0	-	0.0	-
NM_001253384	26.0	4.61751899223	25.0	40.8817485416
NM_001145313	9.0	0.833924205696	8.0	3.59697795078
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	91.0	15.820045955	84.0	20.8038906271
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	32.0	3.0617076546	23.0	76.2671731125
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	730.0	81.7865182461	587.0	250.708237103
NM_001355213	0.0	-	0.0	-
NM_001007531	0.0	-	0.0	-
NM_001282730	90.0	13.614010792	58.0	33.5289730412
NM_004108	0.0	-	0.0	-
NM_004109	21.0	4.7674208949	15.0	19.3580603905
NM_004106	1.0	1.21192594661	0.0	-
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
