AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	83.0	6.19422984856	62.0	13.2064840318
NM_001143986	2.0	0.289597267436	2.0	0.338284649803
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	91.0	14.3407938981	83.0	37.2418510648
NM_001003800	427.0	19.3504777631	389.0	44.043594385
NM_016649	61.0	5.51495492751	52.0	5.91521679902
NM_016647	106.0	13.6131181933	89.0	41.2715365694
NM_016644	57.0	8.86260557264	15.0	5.15524213663
NM_017417	0.0	-	0.0	-
NM_016642	1.0	0.0248021544405	1.0	0.0263723951479
NM_001143989	0.0	-	0.0	-
NM_016640	224.0	38.9529109195	216.0	47.5781983373
NM_001304464	405.0	72.778764453	3.0	3.42065478242
NM_003279	116.0	49.5266610201	101.0	60.7998370747
NM_001012980	0.0	-	0.0	-
NM_001304467	144.0	11.4395668133	18.0	8.1520277525
NM_001080825	36.0	1.39376879284	31.0	8.83669152126
NM_001008781	415.0	6.33504475508	413.0	8.78178193191
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	19.0	0.439033416007	14.0	0.502168664086
NM_001143981	0.0	-	0.0	-
NM_001253384	93.0	6.70475478677	90.0	59.7443129807
NM_001145313	17.0	0.63943676075	10.0	1.82520813877
NM_205859	0.0	-	0.0	-
NM_018476	0.0	-	0.0	-
NM_003363	180.0	12.7029170318	171.0	17.191983839
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	98.0	3.80631236142	72.0	96.9185521686
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	1038.0	47.2085674102	878.0	152.22627693
NM_001355213	0.0	-	0.0	-
NM_001007531	1.0	0.174943234961	1.0	0.240492685282
NM_001282730	242.0	14.8601623811	122.0	28.6296933767
NM_004108	0.0	-	0.0	-
NM_004109	90.0	8.29413917133	71.0	37.1957686701
NM_004106	0.0	-	0.0	-
NM_001291976	1.0	0.0963085977164	1.0	0.179478800312
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	39.0	3.30693222623	31.0	8.01193364594
NM_000331	1.0	0.407791944609	1.0	0.787955708688
NM_007102	0.0	-	0.0	-
NM_007101	42.0	3.61614971076	38.0	4.0075135826
NM_007100	412.0	328.195425974	218.0	301.832062468
NM_000334	2.0	0.0745049728394	2.0	0.105518293052
NM_007105	0.0	-	0.0	-
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	395.0	142.315346121	355.0	190.088873038
NM_007108	909.0	266.966557337	894.0	728.110803687
NM_000483	1.0	0.398841778472	1.0	0.950181884006
NM_000482	0.0	-	0.0	-
NM_000481	0.0	-	0.0	-
NM_016643	68.0	13.5885805102	41.0	12.4957881727
NM_030615	0.0	-	0.0	-
NM_001350532	125.0	9.53422273432	86.0	8.61053252738
NM_001350531	18.0	1.20812599656	4.0	0.610510564842
NM_001350530	270.0	13.8650701619	242.0	38.8960026945
NM_001320272	2.0	0.175577087262	0.0	-
NM_030613	1.0	0.119751094113	1.0	0.209780415949
NM_014177	77.0	14.5946450788	57.0	22.1861745928
NM_020992	44.0	8.09699296599	40.0	11.7477032932
NM_005802	102.0	7.10689598936	94.0	8.70969780483
NM_005258	3.0	1.22337583383	2.0	2.28043652162
NM_001012964	0.0	-	0.0	-
NM_003824	156.0	24.4780800944	111.0	51.4734894293
NM_003825	197.0	21.6883242452	165.0	75.431892018
NM_003826	144.0	11.2702057973	120.0	37.1572723969
NM_003827	651.0	101.764479777	533.0	174.518879412
NM_003820	7.0	0.581345214379	1.0	0.341262507636
NM_003821	163.0	18.3339156714	62.0	11.1071168844
NM_003795	493.0	81.4446242372	341.0	202.755989506
NM_003823	1.0	0.251736499139	1.0	0.321988545411
NM_012181	575.0	93.1389986022	470.0	110.028308018
NM_012180	61.0	6.92005269093	19.0	5.75453903501
NM_012183	6.0	0.843585076903	6.0	1.21401109188
NM_012182	0.0	-	0.0	-
