AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	216.0	0	4.0	216.0	199.0	8.0	9.0
NM_001142964	18.0	0	0	18.0	11.0	0	7.0
NM_015475	248.0	0	0	248.0	214.0	33.0	1.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	239.0	0	2.0	239.0	224.0	11.0	4.0
NM_001195076	1.0	0	0	1.0	1.0	0	0
NM_001350073	41.0	0	5.0	41.0	13.0	28.0	0
NM_001005291	418.0	0	0	418.0	367.0	48.0	3.0
NM_138803	1.0	0	0	1.0	0	1.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	96.0	0	11.0	96.0	78.0	17.0	1.0
NM_018210	96.0	0	5.0	96.0	65.0	28.0	3.0
NM_015038	0	0	0	0	0	0	0
NM_004537	814.0	0	7.0	814.0	526.0	282.0	6.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	229.0	0	0	229.0	65.0	161.0	3.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	66.0	0	1.0	66.0	36.0	30.0	0
NM_003772	41.0	0	0	41.0	32.0	9.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	46.0	0	0	46.0	35.0	10.0	1.0
NM_001114086	0	0	1.0	0	0	0	0
NM_001204375	2.0	0	0	2.0	2.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	2.0	0	0	2.0	0	2.0	0
NM_194460	478.0	0	5.0	478.0	456.0	17.0	5.0
NM_001031743	2.0	0	0	2.0	0	2.0	0
NM_001329941	21.0	0	0	21.0	14.0	5.0	2.0
NM_002178	1403.0	0	15.0	1403.0	1239.0	144.0	20.0
NM_001145297	1374.0	0	4.0	1374.0	1223.0	130.0	21.0
NM_152559	9.0	0	0	9.0	9.0	0	0
NM_001300901	157.0	0	19.0	157.0	156.0	0	1.0
NM_181708	35.0	0	1.0	35.0	31.0	4.0	0
NM_006012	573.0	0	3.0	573.0	546.0	24.0	3.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	229.0	0	21.0	229.0	65.0	164.0	0
NM_001136050	51.0	0	0	51.0	37.0	14.0	0
NM_000797	0	0	0	0	0	0	0
NM_014975	48.0	0	9.0	48.0	48.0	0	0
NM_001270616	91.0	0	1.0	91.0	75.0	15.0	1.0
NM_000417	0	0	0	0	0	0	0
NM_001731	533.0	0	0	533.0	316.0	214.0	3.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	154.0	0	6.0	154.0	125.0	29.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	100.0	0	12.0	100.0	72.0	27.0	1.0
NM_001324321	153.0	0	5.0	153.0	152.0	1.0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	411.0	0	1.0	411.0	354.0	41.0	16.0
NM_001286076	600.0	0	0	600.0	203.0	395.0	2.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	151.0	0	6.0	151.0	127.0	24.0	0
NM_001330332	0	0	0	0	0	0	0
NM_004288	0	0	0	0	0	0	0
NM_001281432	94.0	0	92.0	94.0	82.0	9.0	3.0
NM_001170569	69.0	0	0	69.0	56.0	10.0	3.0
NM_014429	0	0	0	0	0	0	0
NM_021025	25.0	0	0	25.0	19.0	6.0	0
NM_031438	35.0	0	0	35.0	31.0	3.0	1.0
NM_014297	104.0	0	5.0	104.0	88.0	15.0	1.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	40.0	0	0	40.0	28.0	12.0	0
NM_021141	3606.0	0	4.0	3606.0	3251.0	288.0	67.0
NM_002367	0	0	0	0	0	0	0
NM_030630	4.0	0	0	4.0	2.0	2.0	0
NM_015896	1.0	0	0	1.0	1.0	0	0
NM_006811	320.0	0	1.0	320.0	202.0	115.0	3.0
NM_001320820	86.0	0	0	86.0	79.0	5.0	2.0
NM_001348397	91.0	0	2.0	91.0	71.0	16.0	4.0
NM_001355224	0	0	1.0	0	0	0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	66.0	0	3.0	66.0	31.0	35.0	0
NM_003294	0	0	0	0	0	0	0
NM_001297573	233.0	0	23.0	233.0	157.0	75.0	1.0
NM_018489	302.0	0	2.0	302.0	271.0	29.0	2.0
NM_024759	0	0	0	0	0	0	0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	249.0	0	10.0	249.0	210.0	27.0	12.0
NM_001102420	465.0	0	5.0	465.0	53.0	409.0	3.0
NM_024508	0	0	0	0	0	0	0
NM_007069	643.0	0	1.0	643.0	319.0	309.0	15.0
NM_016212	0	0	0	0	0	0	0
NM_001113511	256.0	0	12.0	256.0	228.0	6.0	22.0
NM_145719	7.0	0	0	7.0	7.0	0	0
NM_198517	0	0	0	0	0	0	0
NM_001318043	246.0	0	0	246.0	211.0	28.0	7.0
NM_001038707	313.0	0	1.0	313.0	124.0	183.0	6.0
NM_001037666	17.0	0	0	17.0	17.0	0	0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	402.0	0	3.0	402.0	334.0	64.0	4.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	33.0	0	1.0	33.0	27.0	6.0	0
NM_002432	0	0	0	0	0	0	0
NM_001289984	49.0	0	2.0	49.0	41.0	8.0	0
NM_001017920	2.0	0	0	2.0	1.0	1.0	0
NM_001012643	47.0	0	1.0	47.0	39.0	8.0	0
NM_001164471	0	0	0	0	0	0	0
NM_080656	142.0	0	1.0	142.0	127.0	14.0	1.0
NM_004297	0	0	0	0	0	0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	44.0	0	1.0	44.0	16.0	28.0	0
NM_001331039	108.0	0	0	108.0	90.0	18.0	0
NM_001243476	28.0	0	14.0	28.0	27.0	0	1.0
NM_001289108	658.0	0	0	658.0	130.0	517.0	11.0
NM_032827	136.0	0	7.0	136.0	83.0	50.0	3.0
NM_005941	48.0	0	3.0	48.0	39.0	8.0	1.0
NM_001025579	174.0	0	5.0	174.0	94.0	72.0	8.0
NM_002490	757.0	0	1.0	757.0	754.0	1.0	2.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	212.0	0	10.0	212.0	173.0	36.0	3.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	0	0	0	0	0
NM_014241	5.0	0	0	5.0	2.0	3.0	0
NM_001034996	501.0	0	0	501.0	431.0	49.0	21.0
NM_001037442	199.0	0	3.0	199.0	170.0	24.0	5.0
NM_001058	2.0	0	1.0	2.0	1.0	1.0	0
NM_138782	73.0	0	1.0	73.0	58.0	13.0	2.0
NM_006753	462.0	0	2.0	462.0	448.0	13.0	1.0
NM_001354199	164.0	0	2.0	164.0	143.0	18.0	3.0
NM_001135147	24.0	0	2.0	24.0	16.0	8.0	0
NM_001129885	1.0	0	0	1.0	1.0	0	0
NM_033070	172.0	0	13.0	172.0	161.0	9.0	2.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	174.0	0	7.0	174.0	161.0	9.0	4.0
NM_020547	5.0	0	0	5.0	1.0	4.0	0
NM_172175	22.0	0	13.0	22.0	2.0	19.0	1.0
NM_002199	191.0	0	2.0	191.0	156.0	33.0	2.0
NM_004101	25.0	0	0	25.0	17.0	7.0	1.0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	1.0	0	1.0	1.0	1.0	0	0
NM_001322828	20.0	0	1.0	20.0	11.0	9.0	0
NM_005171	154.0	0	0	154.0	98.0	55.0	1.0
NM_015634	247.0	0	1.0	247.0	214.0	27.0	6.0
NM_032627	507.0	0	46.0	507.0	121.0	384.0	2.0
NM_001278419	0	0	0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	514.0	0	18.0	514.0	449.0	31.0	34.0
NM_001289125	61.0	0	2.0	61.0	17.0	44.0	0
NM_006065	1.0	0	0	1.0	1.0	0	0
NM_001009812	102.0	0	32.0	102.0	82.0	20.0	0
NM_004778	6.0	0	0	6.0	6.0	0	0
NM_006646	37.0	0	3.0	37.0	23.0	13.0	1.0
NM_014010	23.0	0	432.0	23.0	22.0	0	1.0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	0	0	0	0	0
NM_001099402	514.0	0	8.0	514.0	280.0	232.0	2.0
NM_001126128	0	0	2.0	0	0	0	0
NM_001031803	79.0	0	0	79.0	67.0	12.0	0
NM_013309	18.0	0	0	18.0	7.0	9.0	2.0
NM_003988	0	0	0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	216.0	0	0	216.0	191.0	25.0	0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	73.0	0	3.0	73.0	14.0	59.0	0
NM_001001413	0	0	0	0	0	0	0
NM_012163	2.0	0	1.0	2.0	1.0	1.0	0
NM_016577	188.0	0	2.0	188.0	113.0	70.0	5.0
NM_001080779	796.0	0	41.0	796.0	781.0	0	15.0
NM_021211	143.0	0	1.0	143.0	60.0	83.0	0
NM_152791	22.0	0	3.0	22.0	18.0	3.0	1.0
NM_198956	2.0	0	0	2.0	2.0	0	0
NM_004488	0	0	0	0	0	0	0
NM_015950	574.0	0	2.0	574.0	529.0	36.0	9.0
NM_001265589	422.0	0	2.0	422.0	247.0	175.0	0
NM_001289088	86.0	0	7.0	86.0	83.0	3.0	0
NM_019078	0	0	0	0	0	0	0
NM_033337	9.0	0	0	9.0	7.0	2.0	0
NM_003041	2.0	0	0	2.0	2.0	0	0
NM_014051	71.0	0	1.0	71.0	30.0	38.0	3.0
NM_001004741	0	0	0	0	0	0	0
NM_032378	1625.0	0	113.0	1625.0	1598.0	20.0	7.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	9859.0	0	18.0	9859.0	9514.0	255.0	90.0
NM_004356	1099.0	0	3.0	1099.0	811.0	219.0	69.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	49.0	0	1.0	49.0	45.0	4.0	0
NM_001161425	7.0	0	0	7.0	1.0	6.0	0
NM_181501	27.0	0	0	27.0	26.0	0	1.0
NM_014712	257.0	0	5.0	257.0	218.0	39.0	0
NM_018957	242.0	0	2.0	242.0	211.0	30.0	1.0
NM_001099269	170.0	0	2.0	170.0	115.0	54.0	1.0
NM_006963	299.0	0	3.0	299.0	226.0	73.0	0
NM_017696	48.0	0	10.0	48.0	45.0	3.0	0
NM_032142	250.0	0	3.0	250.0	242.0	7.0	1.0
NM_018129	255.0	0	0	255.0	241.0	7.0	7.0
NM_015016	156.0	0	34.0	156.0	151.0	0	5.0
NM_003389	147.0	0	1.0	147.0	142.0	2.0	3.0
NM_000292	93.0	0	0	93.0	74.0	18.0	1.0
NM_000745	108.0	0	0	108.0	77.0	31.0	0
NM_000609	0	0	0	0	0	0	0
NM_016027	89.0	0	0	89.0	51.0	33.0	5.0
NM_032927	49.0	0	0	49.0	13.0	36.0	0
NM_144492	0	0	0	0	0	0	0
NM_014912	16.0	0	2.0	16.0	12.0	4.0	0
NM_001454	5.0	0	1.0	5.0	4.0	1.0	0
NM_003146	1819.0	0	10.0	1819.0	1390.0	426.0	3.0
NM_032756	27.0	0	0	27.0	18.0	9.0	0
NM_001350065	1043.0	0	81.0	1043.0	869.0	169.0	5.0
NM_001190158	0	0	0	0	0	0	0
NM_182491	96.0	0	0	96.0	22.0	72.0	2.0
NM_002074	1800.0	0	19.0	1800.0	1111.0	629.0	60.0
NM_021123	0	0	0	0	0	0	0
NM_178155	12.0	0	6.0	12.0	9.0	3.0	0
NM_199352	0	0	0	0	0	0	0
NM_001005187	0	0	0	0	0	0	0
NM_001282931	150.0	0	8.0	150.0	81.0	69.0	0
NM_004048	1023.0	0	2.0	1023.0	892.0	125.0	6.0
NM_002825	364.0	0	3.0	364.0	271.0	92.0	1.0
NM_013234	3484.0	0	2.0	3484.0	1767.0	1695.0	22.0
NM_001935	0	0	0	0	0	0	0
NM_001282468	0	0	0	0	0	0	0
NM_001172288	0	0	0	0	0	0	0
NM_020844	0	0	1.0	0	0	0	0
NM_001282748	511.0	0	3.0	511.0	247.0	256.0	8.0
