AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	565.0	0	36.0	565.0	192.0	28.0	345.0
NM_001142964	40.0	0	0	40.0	9.0	0	31.0
NM_015475	158.0	0	4.0	158.0	105.0	10.0	43.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	1.0	0	1.0	1.0	0	0	1.0
NM_032773	149.0	0	27.0	149.0	143.0	4.0	2.0
NM_001195076	0	0	0	0	0	0	0
NM_001350073	68.0	0	7.0	68.0	27.0	37.0	4.0
NM_001005291	423.0	0	26.0	423.0	342.0	19.0	62.0
NM_138803	3.0	0	3.0	3.0	1.0	2.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	103.0	0	9.0	103.0	49.0	5.0	49.0
NM_018210	425.0	0	66.0	425.0	174.0	14.0	237.0
NM_015038	0	0	0	0	0	0	0
NM_004537	381.0	0	53.0	381.0	157.0	94.0	130.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	339.0	0	14.0	339.0	142.0	66.0	131.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	33.0	0	17.0	33.0	22.0	7.0	4.0
NM_003772	14.0	0	0	14.0	6.0	4.0	4.0
NM_000682	0	0	0	0	0	0	0
NM_014650	39.0	0	12.0	39.0	21.0	6.0	12.0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	11.0	0	2.0	11.0	6.0	0	5.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	2.0	0	0	2.0	0	2.0	0
NM_194460	434.0	0	81.0	434.0	269.0	36.0	129.0
NM_001031743	0	0	2.0	0	0	0	0
NM_001329941	20.0	0	3.0	20.0	6.0	1.0	13.0
NM_002178	1038.0	0	14.0	1038.0	868.0	58.0	112.0
NM_001145297	2890.0	0	83.0	2890.0	1438.0	47.0	1405.0
NM_152559	3.0	0	2.0	3.0	3.0	0	0
NM_001300901	23.0	0	16.0	23.0	16.0	0	7.0
NM_181708	16.0	0	4.0	16.0	12.0	0	4.0
NM_006012	696.0	0	6.0	696.0	599.0	13.0	84.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	103.0	0	21.0	103.0	26.0	61.0	16.0
NM_001136050	35.0	0	0	35.0	22.0	9.0	4.0
NM_000797	4.0	0	3.0	4.0	4.0	0	0
NM_014975	44.0	0	16.0	44.0	44.0	0	0
NM_001270616	31.0	0	8.0	31.0	15.0	2.0	14.0
NM_000417	0	0	1.0	0	0	0	0
NM_001731	180.0	0	9.0	180.0	64.0	60.0	56.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	392.0	0	83.0	392.0	328.0	34.0	30.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	83.0	0	31.0	83.0	51.0	14.0	18.0
NM_001324321	484.0	0	79.0	484.0	480.0	2.0	2.0
NM_005958	1.0	0	0	1.0	1.0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	1517.0	0	44.0	1517.0	837.0	65.0	615.0
NM_001286076	720.0	0	31.0	720.0	204.0	275.0	241.0
NM_001321449	1.0	0	0	1.0	1.0	0	0
NM_006594	196.0	0	10.0	196.0	175.0	19.0	2.0
NM_001330332	0	0	1.0	0	0	0	0
NM_004288	0	0	0	0	0	0	0
NM_001281432	40.0	0	64.0	40.0	26.0	9.0	5.0
NM_001170569	120.0	0	5.0	120.0	29.0	15.0	76.0
NM_014429	0	0	0	0	0	0	0
NM_021025	17.0	0	1.0	17.0	9.0	1.0	7.0
NM_031438	28.0	0	5.0	28.0	21.0	1.0	6.0
NM_014297	108.0	0	8.0	108.0	85.0	19.0	4.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	25.0	0	2.0	25.0	15.0	5.0	5.0
NM_021141	2250.0	0	92.0	2250.0	1656.0	217.0	377.0
NM_002367	0	0	0	0	0	0	0
NM_030630	3.0	0	3.0	3.0	3.0	0	0
