AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4
NM_017847	ODR4	178.0	22.8438220855	189.0	22.9422862699	83.0	16.1062968242	44.0	5.221536050280001	55.0	10.502382157000001
NM_001003803	ATP5S	108.0	29.1964580025	121.0	30.939828791700002	51.0	20.8470893466	28.0	6.99940754215	23.0	9.25146711053
NM_001003800	BICD2	516.0	35.1994680591	576.0	37.1650743314	300.0	30.9440028783	274.0	17.2835837773	278.0	28.2167867256
NM_016649	ESF1	261.0	17.887970748	194.0	12.5761706601	88.0	9.11952210023	83.0	5.260118142840001	66.0	6.73039983301
NM_016647	THEM6	109.0	30.4537217442	95.0	25.1051954132	74.0	31.261832828200003	44.0	11.3674588654	28.0	11.639873743399999
NM_016644	PRR16	15.0	3.1060061704799997	21.0	4.11297882302	7.0	2.1916839863699997	6.0	1.14883892789	6.0	1.84858177232
NM_016640	MRPS30	413.0	54.8097143411	368.0	46.1935595604	158.0	31.7054128886	131.0	16.0759119978	114.0	22.5106844002
NM_001304464	SNRPE	2.0	1.37395096482	4.0	2.59912611337	3.0	3.11624311339	1.0	0.635240348363	4.0	4.08862791995
NM_003279	TNNC2	118.0	42.797292475700004	80.0	27.4441887747	36.0	19.742658233900002	39.0	13.079638228699999	32.0	17.2687390408
NM_001304467	EEF1AKMT2	55.0	15.0075251415	58.0	14.9692660501	23.0	9.48949421602	15.0	3.78472637459	19.0	7.713941694760001
NM_001080825	TMEM120B	56.0	9.61765675377	75.0	12.183403656400001	23.0	5.972799300669999	23.0	3.6526320030900004	26.0	6.64402036991
NM_001008781	FAT3	1008.0	12.913571595699999	973.0	11.790298662	441.0	8.54266294468	321.0	3.8026618923	289.0	5.50883857248
NM_002223	ITPR2	37.0	0.799606917907	48.0	0.9811652981640001	17.0	0.555510893024	9.0	0.179851542005	9.0	0.289396776347
NM_001253384	RPL15	122.0	48.794080497299994	147.0	55.6097273743	55.0	33.2612706738	42.0	15.532931805899999	32.0	19.042924558699998
NM_001145313	FSD1L	23.0	2.5292600152799998	26.0	2.7043637996900003	16.0	2.66044609806	9.0	0.915176773065	8.0	1.3089769235200002
NM_003363	USP4	302.0	18.2932164248	347.0	19.8810230067	155.0	14.1965778074	106.0	5.9372567829400005	110.0	9.914074442819999
NM_207118	GTF2H5	154.0	124.895959233	164.0	125.80492368200001	54.0	66.2201661596	40.0	29.997460894899998	41.0	49.475237156300004
NM_001282735	SPATS2L	1681.0	175.596586412	1837.0	181.50292798400002	792.0	125.095698506	1034.0	99.8770558455	924.0	143.613969961
NM_001282730	SUPT7L	224.0	31.6707341044	246.0	32.898139849	141.0	30.1438044504	89.0	11.635818971800001	61.0	12.832648768099999
NM_004109	FDX1	91.0	28.7230019268	88.0	26.2722477406	43.0	20.5222857288	18.0	5.25360936754	15.0	7.044595402610001
NM_004101	F2RL2	57.0	8.87572323276	61.0	8.98431259855	33.0	7.7698328294	23.0	3.3117196827999997	20.0	4.63377830927
NM_007101	SARDH	38.0	2.41450577605	35.0	2.10348209665	25.0	2.40189213492	27.0	1.58637279597	9.0	0.85087060902
NM_007100	ATP5ME	331.0	276.115074252	294.0	231.972005618	128.0	161.45107178	77.0	59.3949725719	71.0	88.1245339174
NM_000485	APRT	475.0	153.241077914	471.0	143.72377617200002	212.0	103.41565543899999	143.0	42.6593725655	90.0	43.2016624138
NM_007108	ELOB	923.0	452.91312161900004	886.0	411.21888150800004	343.0	254.493187594	296.0	134.30795936799998	264.0	192.74960194
NM_016643	ZNF771	80.0	14.6900417623	60.0	10.4210245112	39.0	10.8284548437	29.0	4.92411150539	24.0	6.55723345652
NM_001350532	SNX14	242.0	14.598229001300002	256.0	14.6066591495	101.0	9.2124473583	57.0	3.17948294196	55.0	4.9365535965300005
NM_001350531	LARP1B	21.0	1.93110430883	17.0	1.4786367062299999	4.0	0.556179873257	5.0	0.42516086307800005	4.0	0.547296650701
