AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	254.0	11.2933552754	194.0	24.6193907233
NM_001143986	TLE6	2.0	0.172533927882	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	131.0	12.2993779571	112.0	29.9399616088
NM_001003800	BICD2	581.0	15.6862813198	525.0	35.4137980478
NM_016649	ESF1	274.0	14.758517856	259.0	17.5528296052
NM_016647	THEM6	128.0	9.79358663429	110.0	30.3901865954
NM_016644	PRR16	44.0	4.07586031986	16.0	3.27610522164
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0147764278422	1.0	0.0157119332058
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	415.0	42.995207172	400.0	52.492140483
NM_001304464	SNRPE	365.0	39.0771218862	2.0	1.35862010662
NM_003279	TNNC2	142.0	36.1201424822	123.0	44.1129602941
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	232.0	10.9803231568	60.0	16.1891648219
NM_001080825	TMEM120B	84.0	1.93752614406	63.0	10.6991333396
NM_001008781	FAT3	1012.0	9.20369361879	1009.0	12.7821471527
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.131329843513	1.0	0.143278795363
NM_002223	ITPR2	46.0	0.633259709555	39.0	0.833424436241
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	113.0	4.85353810715	111.0	43.899248993
NM_001145313	FSD1L	27.0	0.605051709837	17.0	1.84859327125
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	351.0	14.757681146	336.0	20.125617347
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	222.0	5.13702138898	166.0	133.125900725
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2023.0	54.8149977555	1723.0	177.975588296
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	1.0	0.104226271717	1.0	0.143278795363
NM_001282730	SUPT7L	404.0	14.7798356266	226.0	31.5969639808
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	89.0	4.88651082722	67.0	20.9117338032
NM_004106	FCER1G	2.0	0.586206644988	1.0	0.663693730245
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	62.0	3.1320769737	40.0	6.15907781668
NM_000331	SAA1	1.0	0.242951000833	1.0	0.469441906759
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	45.0	2.30828630789	43.0	2.70171735022
NM_007100	ATP5ME	590.0	280.006020604	307.0	253.237083445
NM_000334	SCN4A	0.0	-	0.0	-
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	0.0	-	0.0	-
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	498.0	106.896634039	444.0	141.641775756
NM_007108	ELOB	964.0	168.674744752	928.0	450.285521051
NM_000483	APOC2	3.0	0.712856228782	3.0	1.69827513327
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	123.0	14.6436837265	87.0	15.7971630322
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	303.0	13.7688591996	246.0	14.6739392714
NM_001350531	LARP1B	51.0	2.0393414689	19.0	1.72769407259
NM_001350530	MIER1	467.0	14.2874669195	435.0	41.6542109803
NM_001320272	PLD5	3.0	0.156905854705	2.0	0.259511705759
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	190.0	21.4553924921	113.0	26.2039078797
NM_020992	PDLIM1	71.0	7.7841193134	64.0	11.198323303
NM_005802	TOPORS	508.0	21.0874249475	469.0	25.8897660375
NM_005258	GCHFR	1.0	0.242951000833	1.0	0.67931005331
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	210.0	19.6314373204	149.0	41.1648891156
NM_003825	SNAP23	391.0	25.6458193356	327.0	89.0633157158
NM_003826	NAPG	273.0	12.7295206894	226.0	41.691840652
