AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4
NM_017847	ODR4	194.0	24.6193907233	189.0	22.9422862699	83.0	16.1062968242	44.0	5.221536050280001	55.0	10.502382157000001
NM_001003803	ATP5S	112.0	29.9399616088	121.0	30.939828791700002	51.0	20.8470893466	28.0	6.99940754215	23.0	9.25146711053
NM_001003800	BICD2	525.0	35.4137980478	576.0	37.1650743314	300.0	30.9440028783	274.0	17.2835837773	278.0	28.2167867256
NM_016649	ESF1	259.0	17.5528296052	194.0	12.5761706601	88.0	9.11952210023	83.0	5.260118142840001	66.0	6.73039983301
NM_016647	THEM6	110.0	30.3901865954	95.0	25.1051954132	74.0	31.261832828200003	44.0	11.3674588654	28.0	11.639873743399999
NM_016644	PRR16	16.0	3.2761052216400004	21.0	4.11297882302	7.0	2.1916839863699997	6.0	1.14883892789	6.0	1.84858177232
NM_016640	MRPS30	400.0	52.492140483	368.0	46.1935595604	158.0	31.7054128886	131.0	16.0759119978	114.0	22.5106844002
NM_001304464	SNRPE	2.0	1.35862010662	4.0	2.59912611337	3.0	3.11624311339	1.0	0.635240348363	4.0	4.08862791995
NM_003279	TNNC2	123.0	44.1129602941	80.0	27.4441887747	36.0	19.742658233900002	39.0	13.079638228699999	32.0	17.2687390408
NM_001304467	EEF1AKMT2	60.0	16.1891648219	58.0	14.9692660501	23.0	9.48949421602	15.0	3.78472637459	19.0	7.713941694760001
NM_001080825	TMEM120B	63.0	10.699133339600001	75.0	12.183403656400001	23.0	5.972799300669999	23.0	3.6526320030900004	26.0	6.64402036991
NM_001008781	FAT3	1009.0	12.7821471527	973.0	11.790298662	441.0	8.54266294468	321.0	3.8026618923	289.0	5.50883857248
NM_002223	ITPR2	39.0	0.833424436241	48.0	0.9811652981640001	17.0	0.555510893024	9.0	0.179851542005	9.0	0.289396776347
NM_001253384	RPL15	111.0	43.899248993	147.0	55.6097273743	55.0	33.2612706738	42.0	15.532931805899999	32.0	19.042924558699998
NM_001145313	FSD1L	17.0	1.84859327125	26.0	2.7043637996900003	16.0	2.66044609806	9.0	0.915176773065	8.0	1.3089769235200002
NM_003363	USP4	336.0	20.125617347000002	347.0	19.8810230067	155.0	14.1965778074	106.0	5.9372567829400005	110.0	9.914074442819999
NM_207118	GTF2H5	166.0	133.125900725	164.0	125.80492368200001	54.0	66.2201661596	40.0	29.997460894899998	41.0	49.475237156300004
NM_001282735	SPATS2L	1723.0	177.97558829599998	1837.0	181.50292798400002	792.0	125.095698506	1034.0	99.8770558455	924.0	143.613969961
NM_001282730	SUPT7L	226.0	31.5969639808	246.0	32.898139849	141.0	30.1438044504	89.0	11.635818971800001	61.0	12.832648768099999
NM_004109	FDX1	67.0	20.9117338032	88.0	26.2722477406	43.0	20.5222857288	18.0	5.25360936754	15.0	7.044595402610001
NM_004101	F2RL2	40.0	6.15907781668	61.0	8.98431259855	33.0	7.7698328294	23.0	3.3117196827999997	20.0	4.63377830927
NM_007101	SARDH	43.0	2.70171735022	35.0	2.10348209665	25.0	2.40189213492	27.0	1.58637279597	9.0	0.85087060902
NM_007100	ATP5ME	307.0	253.237083445	294.0	231.972005618	128.0	161.45107178	77.0	59.3949725719	71.0	88.1245339174
NM_000485	APRT	444.0	141.64177575600002	471.0	143.72377617200002	212.0	103.41565543899999	143.0	42.6593725655	90.0	43.2016624138
NM_007108	ELOB	928.0	450.285521051	886.0	411.21888150800004	343.0	254.493187594	296.0	134.30795936799998	264.0	192.74960194
NM_016643	ZNF771	87.0	15.7971630322	60.0	10.4210245112	39.0	10.8284548437	29.0	4.92411150539	24.0	6.55723345652
NM_001350532	SNX14	246.0	14.673939271400002	256.0	14.6066591495	101.0	9.2124473583	57.0	3.17948294196	55.0	4.9365535965300005
NM_001350531	LARP1B	19.0	1.72769407259	17.0	1.4786367062299999	4.0	0.556179873257	5.0	0.42516086307800005	4.0	0.547296650701
NM_001350530	MIER1	435.0	41.6542109803	479.0	43.8737229295	222.0	32.506084881	210.0	18.8043784714	204.0	29.393369872199997
NM_014177	TIMM21	113.0	26.203907879699997	106.0	23.512174981399998	52.0	18.4388146736	38.0	8.24026636632	33.0	11.514659955299999
NM_020992	PDLIM1	64.0	11.198323302999999	75.0	12.5525977066	21.0	5.618680765060001	14.0	2.29071519561	22.0	5.79222288659
NM_005802	TOPORS	469.0	25.8897660375	298.0	15.7351492475	96.0	8.10342377479	66.0	3.4069773941799997	69.0	5.73131040882
NM_003824	FADD	149.0	41.1648891156	146.0	38.5827213719	83.0	35.0639476316	49.0	12.659215554700001	46.0	19.1226497213
NM_003825	SNAP23	327.0	89.0633157158	351.0	91.4444900854	120.0	49.9774838941	90.0	22.9225880423	83.0	34.015648555700004
NM_003826	NAPG	226.0	41.691840651999996	225.0	39.7031045673	94.0	26.5162752673	66.0	11.3856177454	66.0	18.320449385699998
NM_003827	NAPA	731.0	142.597737035	761.0	141.997020814	325.0	96.94393694540001	200.0	36.4833983857	219.0	64.2819330488
NM_003821	RIPK2	75.0	8.0048088537	104.0	10.6175022376	35.0	5.71215234895	40.0	3.99226836309	25.0	4.014941926930001
NM_003795	SNX3	603.0	213.607587622	655.0	221.94224902099998	261.0	141.378023457	183.0	60.6206356981	152.0	81.0200501928
NM_003823	TNFRSF6B	2.0	0.383663485258	2.0	0.366986245243	1.0	0.293334069367	2.0	0.35877361867700003	1.0	0.288648981059
NM_012181	FKBP8	813.0	113.390631	638.0	85.1151021305	279.0	59.5021782884	256.0	33.3884782135	249.0	52.2559238682
NM_012180	FBXO8	50.0	9.02208664552	49.0	8.45731270484	31.0	8.553438128949999	16.0	2.6997714805400004	13.0	3.5296358215199994
NM_012183	FOXD3	12.0	1.4465475039200002	1.0	0.11530569918400001	4.0	0.7373156983679999	1.0	0.11272532277799999	4.0	0.725539401243
NM_001018088	VPS13C	257.0	4.0891507618	202.0	3.07433145264	64.0	1.55711973334	48.0	0.7141858973049999	49.0	1.17312863644
NM_020437	ASPHD2	32.0	4.99384687839	48.0	7.1651584747	24.0	5.727149505700001	15.0	2.18900390314	17.0	3.99193739481
NM_020733	HEG1	122.0	5.09728310624	227.0	9.07202213413	102.0	6.51660101137	63.0	2.46144143667	68.0	4.27501255016
NM_020731	AHRR	33.0	2.64647874935	62.0	4.75603979773	39.0	4.782567555969999	35.0	2.6247778283099996	28.0	3.37879668384
