AccNum	GeneName	cdReads0	cdRPKM0	cdReads1	cdRPKM1	cdReads2	cdRPKM2	cdReads3	cdRPKM3	cdReads4	cdRPKM4	cdReads5	cdRPKM5
NM_017847	ODR4	194.0	24.6193907233	178.0	22.8438220855	189.0	22.9422862699	83.0	16.1062968242	44.0	5.221536050280001	55.0	10.502382157000001
NM_001003803	ATP5S	112.0	29.9399616088	108.0	29.1964580025	121.0	30.939828791700002	51.0	20.8470893466	28.0	6.99940754215	23.0	9.25146711053
NM_001003800	BICD2	525.0	35.4137980478	516.0	35.1994680591	576.0	37.1650743314	300.0	30.9440028783	274.0	17.2835837773	278.0	28.2167867256
NM_016649	ESF1	259.0	17.5528296052	261.0	17.887970748	194.0	12.5761706601	88.0	9.11952210023	83.0	5.260118142840001	66.0	6.73039983301
NM_016647	THEM6	110.0	30.3901865954	109.0	30.4537217442	95.0	25.1051954132	74.0	31.261832828200003	44.0	11.3674588654	28.0	11.639873743399999
NM_016644	PRR16	16.0	3.2761052216400004	15.0	3.1060061704799997	21.0	4.11297882302	7.0	2.1916839863699997	6.0	1.14883892789	6.0	1.84858177232
NM_016640	MRPS30	400.0	52.492140483	413.0	54.8097143411	368.0	46.1935595604	158.0	31.7054128886	131.0	16.0759119978	114.0	22.5106844002
NM_001304464	SNRPE	2.0	1.35862010662	2.0	1.37395096482	4.0	2.59912611337	3.0	3.11624311339	1.0	0.635240348363	4.0	4.08862791995
NM_003279	TNNC2	123.0	44.1129602941	118.0	42.797292475700004	80.0	27.4441887747	36.0	19.742658233900002	39.0	13.079638228699999	32.0	17.2687390408
NM_001304467	EEF1AKMT2	60.0	16.1891648219	55.0	15.0075251415	58.0	14.9692660501	23.0	9.48949421602	15.0	3.78472637459	19.0	7.713941694760001
NM_001080825	TMEM120B	63.0	10.699133339600001	56.0	9.61765675377	75.0	12.183403656400001	23.0	5.972799300669999	23.0	3.6526320030900004	26.0	6.64402036991
NM_001008781	FAT3	1009.0	12.7821471527	1008.0	12.913571595699999	973.0	11.790298662	441.0	8.54266294468	321.0	3.8026618923	289.0	5.50883857248
NM_002223	ITPR2	39.0	0.833424436241	37.0	0.799606917907	48.0	0.9811652981640001	17.0	0.555510893024	9.0	0.179851542005	9.0	0.289396776347
NM_001253384	RPL15	111.0	43.899248993	122.0	48.794080497299994	147.0	55.6097273743	55.0	33.2612706738	42.0	15.532931805899999	32.0	19.042924558699998
NM_001145313	FSD1L	17.0	1.84859327125	23.0	2.5292600152799998	26.0	2.7043637996900003	16.0	2.66044609806	9.0	0.915176773065	8.0	1.3089769235200002
NM_003363	USP4	336.0	20.125617347000002	302.0	18.2932164248	347.0	19.8810230067	155.0	14.1965778074	106.0	5.9372567829400005	110.0	9.914074442819999
NM_207118	GTF2H5	166.0	133.125900725	154.0	124.895959233	164.0	125.80492368200001	54.0	66.2201661596	40.0	29.997460894899998	41.0	49.475237156300004
NM_001282735	SPATS2L	1723.0	177.97558829599998	1681.0	175.596586412	1837.0	181.50292798400002	792.0	125.095698506	1034.0	99.8770558455	924.0	143.613969961
NM_001282730	SUPT7L	226.0	31.5969639808	224.0	31.6707341044	246.0	32.898139849	141.0	30.1438044504	89.0	11.635818971800001	61.0	12.832648768099999
NM_004109	FDX1	67.0	20.9117338032	91.0	28.7230019268	88.0	26.2722477406	43.0	20.5222857288	18.0	5.25360936754	15.0	7.044595402610001
NM_004101	F2RL2	40.0	6.15907781668	57.0	8.87572323276	61.0	8.98431259855	33.0	7.7698328294	23.0	3.3117196827999997	20.0	4.63377830927
NM_007101	SARDH	43.0	2.70171735022	38.0	2.41450577605	35.0	2.10348209665	25.0	2.40189213492	27.0	1.58637279597	9.0	0.85087060902
NM_007100	ATP5ME	307.0	253.237083445	331.0	276.115074252	294.0	231.972005618	128.0	161.45107178	77.0	59.3949725719	71.0	88.1245339174
NM_000485	APRT	444.0	141.64177575600002	475.0	153.241077914	471.0	143.72377617200002	212.0	103.41565543899999	143.0	42.6593725655	90.0	43.2016624138
NM_007108	ELOB	928.0	450.285521051	923.0	452.91312161900004	886.0	411.21888150800004	343.0	254.493187594	296.0	134.30795936799998	264.0	192.74960194
NM_016643	ZNF771	87.0	15.7971630322	80.0	14.6900417623	60.0	10.4210245112	39.0	10.8284548437	29.0	4.92411150539	24.0	6.55723345652
NM_001350532	SNX14	246.0	14.673939271400002	242.0	14.598229001300002	256.0	14.6066591495	101.0	9.2124473583	57.0	3.17948294196	55.0	4.9365535965300005
NM_001350531	LARP1B	19.0	1.72769407259	21.0	1.93110430883	17.0	1.4786367062299999	4.0	0.556179873257	5.0	0.42516086307800005	4.0	0.547296650701
NM_001350530	MIER1	435.0	41.6542109803	414.0	40.0906587497	479.0	43.8737229295	222.0	32.506084881	210.0	18.8043784714	204.0	29.393369872199997
NM_014177	TIMM21	113.0	26.203907879699997	101.0	23.685479986	106.0	23.512174981399998	52.0	18.4388146736	38.0	8.24026636632	33.0	11.514659955299999
NM_020992	PDLIM1	64.0	11.198323302999999	44.0	7.785722133999999	75.0	12.5525977066	21.0	5.618680765060001	14.0	2.29071519561	22.0	5.79222288659
NM_005802	TOPORS	469.0	25.8897660375	453.0	25.2887102775	298.0	15.7351492475	96.0	8.10342377479	66.0	3.4069773941799997	69.0	5.73131040882
NM_003824	FADD	149.0	41.1648891156	158.0	44.143926932	146.0	38.5827213719	83.0	35.0639476316	49.0	12.659215554700001	46.0	19.1226497213
NM_003825	SNAP23	327.0	89.0633157158	347.0	95.5770842157	351.0	91.4444900854	120.0	49.9774838941	90.0	22.9225880423	83.0	34.015648555700004
NM_003826	NAPG	226.0	41.691840651999996	214.0	39.9235911344	225.0	39.7031045673	94.0	26.5162752673	66.0	11.3856177454	66.0	18.320449385699998
NM_003827	NAPA	731.0	142.597737035	671.0	132.370427836	761.0	141.997020814	325.0	96.94393694540001	200.0	36.4833983857	219.0	64.2819330488
NM_003821	RIPK2	75.0	8.0048088537	91.0	9.822098625610002	104.0	10.6175022376	35.0	5.71215234895	40.0	3.99226836309	25.0	4.014941926930001
NM_003795	SNX3	603.0	213.607587622	611.0	218.883875332	655.0	221.94224902099998	261.0	141.378023457	183.0	60.6206356981	152.0	81.0200501928
NM_003823	TNFRSF6B	2.0	0.383663485258	1.0	0.193996398688	2.0	0.366986245243	1.0	0.293334069367	2.0	0.35877361867700003	1.0	0.288648981059
NM_012181	FKBP8	813.0	113.390631	779.0	109.874593159	638.0	85.1151021305	279.0	59.5021782884	256.0	33.3884782135	249.0	52.2559238682
NM_012180	FBXO8	50.0	9.02208664552	60.0	10.948671750899999	49.0	8.45731270484	31.0	8.553438128949999	16.0	2.6997714805400004	13.0	3.5296358215199994
NM_012183	FOXD3	12.0	1.4465475039200002	3.0	0.365717636775	1.0	0.11530569918400001	4.0	0.7373156983679999	1.0	0.11272532277799999	4.0	0.725539401243
NM_001018088	VPS13C	257.0	4.0891507618	227.0	3.65257424446	202.0	3.07433145264	64.0	1.55711973334	48.0	0.7141858973049999	49.0	1.17312863644
NM_020437	ASPHD2	32.0	4.99384687839	28.0	4.41892337335	48.0	7.1651584747	24.0	5.727149505700001	15.0	2.18900390314	17.0	3.99193739481
NM_020733	HEG1	122.0	5.09728310624	142.0	5.999850993280001	227.0	9.07202213413	102.0	6.51660101137	63.0	2.46144143667	68.0	4.27501255016
NM_020731	AHRR	33.0	2.64647874935	26.0	2.1086330779599995	62.0	4.75603979773	39.0	4.782567555969999	35.0	2.6247778283099996	28.0	3.37879668384
NM_001025780	ABHD17B	207.0	41.3579944221	193.0	38.9959612075	138.0	26.3734855621	55.0	16.8032716899	33.0	6.1655680870500005	33.0	9.92093539399
NM_001300829	CIRBP	1262.0	244.528823552	1321.0	258.849134371	1087.0	201.46498091	411.0	121.77399683	352.0	63.7798363189	332.0	96.79620797049999
NM_002224	ITPR3	395.0	8.53586640714	383.0	8.36994267587	541.0	11.182710920999998	323.0	10.673210414	310.0	6.264439812640001	269.0	8.74686352822
NM_175856	CHSY3	44.0	2.87725888944	41.0	2.71133585074	63.0	3.94063429703	22.0	2.19983941942	20.0	1.2229995381799998	6.0	0.59037379365
NM_001688	ATP5PB	1036.0	232.762814375	1019.0	231.526775911	1088.0	233.82021689200002	413.0	141.888086246	295.0	61.9791896311	280.0	94.6588954229
NM_014171	CRIPT	298.0	168.695329905	292.0	167.16403405399998	354.0	191.685550861	112.0	96.9497857501	78.0	41.2906226436	63.0	53.6632414493
NM_001867	COX7C	592.0	534.107529415	567.0	517.324740232	627.0	541.095414891	231.0	318.68454964299997	156.0	131.613859676	115.0	156.11850749
NM_144643	SCLT1	155.0	12.9897096551	111.0	9.40727674391	150.0	12.024259051300001	64.0	8.20143325441	58.0	4.54533369729	65.0	8.196541820650001
NM_001161546	PROB1	446.0	25.347090670300002	484.0	27.8170977819	374.0	20.3312547106	177.0	15.3818496198	134.0	7.12144445655	94.0	8.038419557180001
NM_144641	PPM1M	36.0	4.5188886155	30.0	3.8082336525	41.0	4.9228013614699995	23.0	4.4146777439800005	9.0	1.05643231847	10.0	1.8887683325799998
NM_000159	GCDH	215.0	28.2787954994	199.0	26.469681742600002	236.0	29.6916115229	130.0	26.146155203499998	105.0	12.9146243944	79.0	15.6350435549
NM_000158	GBE1	297.0	24.3942849158	288.0	23.9219911941	253.0	19.8770295406	103.0	12.936324541400001	64.0	4.915657887759999	70.0	8.65125751198
NM_144648	LRGUK	6.0	0.419428725409	5.0	0.353468014558	6.0	0.401196827427	6.0	0.6413575414980001	5.0	0.32684884752300003	1.0	0.10518564563999999
NM_021020	LZTS1	607.0	58.7085463995	550.0	53.7958187651	862.0	79.7478937716	519.0	76.7577135385	334.0	30.208498308299998	245.0	35.6556433974
NM_021021	SNTB1	417.0	44.6718828192	418.0	45.284302208	625.0	64.0438658501	302.0	49.4706003221	233.0	23.3412525034	166.0	26.758135413
NM_001347869	ZNF174	36.0	8.31475505251	33.0	7.707864912660001	31.0	6.84869730873	11.0	3.8849164147	10.0	2.15981718443	10.0	3.4753337319499997
NM_021025	TLX3	17.0	3.36165420217	18.0	3.5995633153800006	16.0	3.02637972105	10.0	3.0237518794400002	2.0	0.36983170966300005	10.0	2.9754569622900005
NM_015225	PRUNE2	179.0	3.34597036617	187.0	3.5349547727199995	146.0	2.6104851948	50.0	1.42916081061	44.0	0.76911586367	34.0	0.956307436763
NM_001143679	GSTK1	166.0	33.8694871103	165.0	34.0453397202	175.0	34.153711074600004	78.0	24.335326079899996	40.0	7.6318628425199995	43.0	13.201356048900001
NM_001297658	TSSC4	165.0	28.870677265700003	164.0	29.0195097722	175.0	29.289394648800002	84.0	22.4747230602	67.0	10.9627084361	50.0	13.1641429241
NM_001286495	FAM214A	15.0	0.7990039833670001	20.0	1.07736007389	15.0	0.764272554093	6.0	0.488709713355	7.0	0.348678973502	5.0	0.4007534285
NM_023009	MARCKSL1	3144.0	926.218462482	2901.0	864.274741482	3180.0	896.101770975	1213.0	546.4289901469999	729.0	200.829939726	683.0	302.761854455
NM_173531	ZNF100	136.0	14.4619230502	153.0	16.453252576	116.0	11.7989795018	59.0	9.59359067752	32.0	3.18205110046	29.0	4.64017855556
NM_001286499	PIF1	24.0	2.35278863965	30.0	2.97417229228	33.0	3.09446041936	16.0	2.39846668603	13.0	1.1917497197600002	16.0	2.36015873138
NM_001297656	KIF2C	1475.0	126.738836211	1409.0	122.433956326	1342.0	110.298480563	497.0	65.3004416296	432.0	34.711347607	373.0	48.2254271584
NM_006885	ZFHX3	291.0	4.5363753155	249.0	3.92544170768	434.0	6.47150123665	329.0	7.84248908082	296.0	4.31496953694	183.0	4.29256258739
NM_002226	JAG2	324.0	15.099434114700001	307.0	14.4686240626	400.0	17.8309701079	290.0	20.665965225999997	172.0	7.49573356987	110.0	7.71361401362
NM_001282864	SLC2A11	8.0	0.861811261662	12.0	1.3073040896600001	32.0	3.29739880055	9.0	1.48254103342	9.0	0.906639676302	5.0	0.8104789486830001
NM_152695	ZNF449	24.0	2.67012044076	26.0	2.9252713220200004	22.0	2.34121668208	14.0	2.38171438981	17.0	1.76863642271	9.0	1.50664757166
NM_015259	ICOSLG	26.0	4.9547036891600005	19.0	3.6616019937099997	25.0	4.55704867237	17.0	4.9537638051199995	3.0	0.5346082139689999	7.0	2.0072059508
NM_001319119	DNPEP	329.0	40.2476814424	348.0	43.052404173199996	389.0	45.519123378500005	166.0	31.0523943008	90.0	10.295738697	106.0	19.511937266300002
NM_001193653	C17orf62	320.0	98.2831566491	254.0	78.8925567302	317.0	93.12959192129999	171.0	80.3095632149	113.0	32.4546997129	68.0	31.4258901294
NM_182976	ZNF326	609.0	60.316440668199995	584.0	58.4930753807	607.0	57.505107984300004	215.0	32.5610879916	179.0	16.5783566044	167.0	24.8876815281
NM_006270	RRAS	187.0	49.3042616318	194.0	51.727058013599994	183.0	46.152290746000006	71.0	28.6248511253	50.0	12.3277236554	54.0	21.4232901285
NM_003355	UCP2	56.0	10.4306963024	72.0	13.5622256528	141.0	25.1213923135	101.0	28.7666098156	46.0	8.01222503903	43.0	12.0515605221
NM_001002030	ECHDC1	285.0	54.4910133822	291.0	56.2660217134	314.0	57.4260562631	110.0	32.1599040952	66.0	11.800325676500002	54.0	15.5354322455
NM_001170704	MBNL3	58.0	12.930496381500001	70.0	15.7818691905	51.0	10.8756869705	24.0	8.181642151	16.0	3.33562499527	12.0	4.02548308721
NM_003358	UGCG	1477.0	215.90881175400003	1461.0	215.979874135	1527.0	213.51492018	516.0	115.340441311	386.0	52.7651539995	424.0	93.2621204018
NM_003359	UGDH	768.0	89.58658642440001	818.0	96.4957682669	545.0	60.810362223199995	171.0	30.5014098675	125.0	13.6352094977	130.0	22.817847735100003
NM_004813	PEX16	103.0	17.6479510882	88.0	15.2480018055	107.0	17.5363887249	75.0	19.6499009376	42.0	6.72940072301	31.0	7.99223632719
NM_004814	SNRNP40	1257.0	202.739895659	1253.0	204.375206018	1099.0	169.551233157	428.0	105.55765778899999	292.0	44.040964933999994	270.0	65.5265438287
NM_004815	ARHGAP29	59.0	2.6994769551099997	54.0	2.49858753112	107.0	4.6828549923	76.0	5.31720298799	49.0	2.09649449361	61.0	4.19959107863
NM_020199	C5orf15	327.0	70.9827929765	313.0	68.7104613142	365.0	75.78748840909999	151.0	50.1215292737	99.0	20.096043351400002	90.0	29.3966199131
NM_004817	TJP2	338.0	16.3867152238	358.0	17.5521947353	406.0	18.8278426055	189.0	14.011319792	143.0	6.483078450340001	105.0	7.6597405930999996
NM_004818	DDX23	420.0	29.538817178000002	431.0	30.6545027992	368.0	24.756597084699997	183.0	19.6805365931	204.0	13.4166475525	186.0	19.6836806986
NM_020196	XAB2	1437.0	96.932624371	1324.0	90.3180149423	1528.0	98.5906832957	938.0	96.75158233290001	650.0	41.0012023914	461.0	46.7911463327
NM_020195	SDR39U1	164.0	32.209463071900004	157.0	31.1826116081	168.0	31.560817090900002	88.0	26.4280028211	55.0	10.101185811599999	37.0	10.9342983063
NM_014314	DDX58	179.0	11.1616657247	182.0	11.4767934265	132.0	7.87316279482	56.0	5.33956703375	33.0	1.92424317188	33.0	3.0962746532
NM_020191	MRPS22	464.0	74.21603463310001	438.0	70.8479147097	472.0	72.2139471388	167.0	40.844940899899996	131.0	19.5939093602	116.0	27.9181934146
NM_001303098	TMEM198	35.0	5.59819226758	47.0	7.60240180675	74.0	11.321678153099999	50.0	12.229024221500001	30.0	4.487154815309999	17.0	4.09145937972
NM_005663	NELFA	395.0	42.236731555300004	390.0	42.1726615592	419.0	42.8554983925	198.0	32.374303455799996	169.0	16.8985696375	151.0	24.2951571076
NM_032961	PCDH10	126.0	6.988867119069999	126.0	7.0677304674600006	163.0	8.64814896752	103.0	8.73605778347	88.0	4.56445514482	97.0	8.09575821325
NM_001303095	ISG20L2	163.0	26.5871208718	174.0	28.7016027821	181.0	28.2397989083	87.0	21.6992634873	59.0	8.999238268480001	54.0	13.2533913507
NM_001303096	WDR75	1065.0	80.17541404939999	1058.0	80.5472035636	857.0	61.7123017368	322.0	37.067176885500004	272.0	19.1483140211	247.0	27.979381740300003
NM_014313	TMEM50A	337.0	123.15719289299999	340.0	125.655642036	334.0	116.755048036	125.0	69.852495949	80.0	27.3394580308	76.0	41.7919879159
