AccNum,GeneName,txReads0,txRPKM0,cdReads0,cdRPKM0,txReads1,txRPKM1,cdReads1,cdRPKM1,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_001003806,TARP,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_017847,ODR4,24.0,5.52370626417,13.0,8.53982524016,15.0,3.43331229058,9.0,5.87964161938,18.0,3.43418303803,11.0,5.99004266495
NM_001143986,TLE6,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001143987,NBPF6,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001143980,CCDC154,0.0,-,0.0,-,0.0,-,0.0,-,1.0,0.339255974344,1.0,0.370913093706
NM_001003803,ATP5S,16.0,7.77610103169,10.0,13.8376797873,5.0,2.41665486614,3.0,4.12845206299,8.0,3.22302369555,6.0,6.88249851655
NM_001003800,BICD2,183.0,25.5755520558,113.0,39.4567860103,260.0,36.1368247908,180.0,62.505535907,361.0,41.8227637411,292.0,84.5196546798
NM_016649,ESF1,8.0,2.2305513687,6.0,2.10488650286,11.0,3.05012503161,10.0,3.48883272929,12.0,2.77354417831,10.0,2.90809796474
NM_016647,THEM6,32.0,12.6739455861,7.0,10.0107999227,28.0,11.0286563944,12.0,17.0669023082,27.0,8.86456081018,8.0,9.48401709457
NM_016644,PRR16,4.0,1.91803561544,3.0,3.17972216389,2.0,0.953738658402,1.0,1.05407286715,7.0,2.78244325054,3.0,2.6358504957
NM_017417,GALNT8,1.0,0.419991405254,1.0,0.468485710667,0.0,-,0.0,-,0.0,-,0.0,-
NM_016642,SPTBN5,0.0,-,0.0,-,1.0,0.0760680410821,1.0,0.0808839587851,5.0,0.317030555228,5.0,0.337101968157
NM_001143989,NBPF4,0.0,-,0.0,-,1.0,0.35684099464,1.0,0.465177697238,1.0,0.29744291308,0.0,-
NM_016640,MRPS30,45.0,24.133178385,40.0,27.1721712187,62.0,33.0671232222,55.0,37.1560685669,63.0,28.0074879824,61.0,34.3499244144
NM_001304464,SNRPE,26.0,14.4089758379,0.0,-,26.0,14.3296580876,0.0,-,24.0,11.02560949,0.0,-
NM_003279,TNNC2,19.0,25.0175497124,19.0,35.2731912094,13.0,17.0230446298,9.0,16.6163784896,18.0,19.6469561177,14.0,21.5452127474
NM_001012980,SATL1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001304467,EEF1AKMT2,24.0,5.87987967355,5.0,6.98350194873,36.0,8.77126864531,10.0,13.8901190904,38.0,7.71742456609,8.0,9.26242791012
NM_001080825,TMEM120B,13.0,1.55217862221,6.0,5.27459794245,29.0,3.44349184056,7.0,6.11982305808,38.0,3.76108840372,7.0,5.10114595932
NM_001008781,FAT3,476.0,22.408802725,455.0,29.8369278082,343.0,16.0586316188,340.0,22.1729939671,340.0,13.2685118668,326.0,17.7211501953
NM_017419,ASIC5,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001040,SHBG,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_002223,ITPR2,3.0,0.213784069828,2.0,0.221238995859,7.0,0.496083566657,7.0,0.770073959936,8.0,0.472580363848,6.0,0.550192331449
NM_001143981,CHRDL1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001253384,RPL15,7.0,1.55635297583,5.0,10.2360918975,18.0,3.98002023826,9.0,18.3235406631,28.0,5.16059397819,22.0,37.3351974322
NM_001145313,FSD1L,16.0,1.85600341571,11.0,6.19177536245,9.0,1.03825495607,4.0,2.23916044094,17.0,1.63470469293,7.0,3.26627048243
NM_205859,OR2K2,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_018476,BEX1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_003363,USP4,15.0,3.26461765856,14.0,4.34078253909,26.0,5.6275210645,24.0,7.40037880171,28.0,5.0516202704,28.0,7.19663745299
NM_144585,SLC22A12,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_205856,SPACA5,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_207118,GTF2H5,13.0,1.55715488282,6.0,24.9078236171,18.0,2.14419204126,8.0,33.0276165039,16.0,1.58869321889,6.0,20.6474955496
NM_205853,MUSTN1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_205852,CLEC12B,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001282735,SPATS2L,480.0,67.3247602228,353.0,188.746942473,526.0,73.3705943358,397.0,211.104962019,618.0,71.8544472061,499.0,221.175676836
NM_001355213,OR10D3,0.0,-,0.0,-,0.0,-,0.0,-,1.0,0.721660038628,1.0,0.791597273469
NM_001007531,NKAPL,1.0,0.539519645137,1.0,0.74167216726,0.0,-,0.0,-,0.0,-,0.0,-
NM_001282730,SUPT7L,44.0,8.33241660181,27.0,19.5402780919,74.0,13.9364683791,43.0,30.9483960945,49.0,7.69211872219,31.0,18.5977441755
NM_004108,FCN2,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_004109,FDX1,11.0,3.12630686288,2.0,3.23128522601,15.0,4.2396781883,6.0,9.64049346601,19.0,4.47635085767,14.0,18.7501581208
NM_004106,FCER1G,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001291976,SPARCL1,0.0,-,0.0,-,0.0,-,0.0,-,1.0,0.246210612715,0.0,-
NM_130759,GIMAP1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_181776,SLC36A2,1.0,0.262110976386,1.0,0.61754934588,1.0,0.260668122071,1.0,0.614149893668,0.0,-,0.0,-
NM_001462,FPR2,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001463,FRZB,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_004101,F2RL2,10.0,2.61499460547,4.0,3.18820142299,17.0,4.42101953202,9.0,7.13396516485,8.0,1.73417285456,4.0,2.64287943035
NM_000331,SAA1,1.0,1.25761802274,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_007102,GUCA2B,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_007101,SARDH,2.0,0.531052206229,2.0,0.650476351264,2.0,0.528128898789,2.0,0.646895644255,11.0,2.42120468986,10.0,2.69608211747
NM_007100,ATP5ME,55.0,135.116413046,33.0,140.907116463,33.0,80.6235789178,18.0,76.4353410519,38.0,77.3856819504,19.0,67.2518426474
NM_000334,SCN4A,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_007105,SLC22A18AS,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_181435,C1QTNF3,2.0,0.468730606491,0.0,-,3.0,0.699225545431,2.0,1.85780342835,0.0,-,0.0,-
NM_000339,SLC12A3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_000486,AQP2,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
