AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	84.0	3.92771144199	50.0	6.67293030612
NM_001143986	TLE6	2.0	0.181445216491	1.0	0.105974983919
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	1.0	0.0831451379996	1.0	0.0909036912959
NM_001003803	ATP5S	53.0	5.23309640104	41.0	11.526251376
NM_001003800	BICD2	1127.0	31.9991761255	789.0	55.9707620384
NM_016649	ESF1	28.0	1.58606589739	22.0	1.56798198038
NM_016647	THEM6	452.0	36.3698280943	137.0	39.8045081944
NM_016644	PRR16	50.0	4.87088228227	26.0	5.59863585258
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	8.0	0.124316981904	7.0	0.115664125306
NM_001143989	NBPF4	1.0	0.072897557966	1.0	0.0950292109322
NM_016640	MRPS30	262.0	28.5459337964	246.0	33.9500495075
NM_001304464	SNRPE	148.0	16.6633545172	1.0	0.714396068067
NM_003279	TNNC2	108.0	28.8905546469	76.0	28.6645875759
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	142.0	7.06783650948	34.0	9.64768521829
NM_001080825	TMEM120B	189.0	4.58459633828	30.0	5.3579705105
NM_001008781	FAT3	2023.0	19.3485550298	1922.0	25.6057230452
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.138112962363	1.0	0.150679071429
NM_002223	ITPR2	38.0	0.550146856836	34.0	0.764102382203
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	130.0	5.87211248609	98.0	40.7597208698
NM_001145313	FSD1L	33.0	0.777702834771	9.0	1.02921467433
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	1.0	0.211335263755	0.0	-
NM_003363	USP4	79.0	3.49308465806	68.0	4.28341210936
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	58.0	1.41142370381	19.0	16.0243006934
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1771.0	50.4653271264	1369.0	148.713235171
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	1.0	0.109609505028	1.0	0.150679071429
NM_001282730	SUPT7L	217.0	8.34870251879	138.0	20.2902321511
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	82.0	4.73471371895	47.0	15.4270934699
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	1.0	0.0603415029338	1.0	0.112451232936
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	1.0	0.053250803086	1.0	0.125462119392
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	60.0	3.1875940045	24.0	3.88631461028
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	51.0	2.75117585585	45.0	2.97341127351
NM_007100	ATP5ME	248.0	123.776458478	114.0	98.8928271367
NM_000334	SCN4A	1.0	0.0233402943443	0.0	-
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	3.0	0.142841869334	3.0	0.569284366741
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	504.0	113.772221398	314.0	105.343817993
NM_007108	ELOB	794.0	146.104820103	689.0	351.58492207
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	2.0	0.165459579798	2.0	0.30061220686
NM_016643	ZNF771	187.0	23.413042272	152.0	29.0251484259
NM_030615	KIF25	1.0	0.120643044607	1.0	0.157723807236
NM_001350532	SNX14	169.0	8.07631126793	138.0	8.65688623804
NM_001350531	LARP1B	17.0	0.714890802186	5.0	0.478139100675
NM_001350530	MIER1	220.0	7.07835030352	107.0	10.7751778426
NM_001320272	PLD5	3.0	0.165009961374	1.0	0.136457675923
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	119.0	14.1319091822	72.0	17.5586503477
NM_020992	PDLIM1	24.0	2.76715439023	13.0	2.39214440974
NM_005802	TOPORS	162.0	7.07205884779	146.0	8.47576979418
NM_005258	GCHFR	8.0	2.04399436025	2.0	1.42879213613
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	261.0	25.6592716191	115.0	33.4125433749
NM_003825	SNAP23	198.0	13.657651449	94.0	26.9246442635
NM_003826	NAPG	164.0	8.04200365183	80.0	15.5204257599
NM_003827	NAPA	657.0	64.3474974535	372.0	76.3148772712
NM_003820	TNFRSF14	24.0	1.24881574881	9.0	1.92434152138
NM_003821	RIPK2	95.0	6.6948722433	68.0	7.63254948877
NM_003795	SNX3	447.0	46.2672930788	165.0	61.4687414395
NM_003823	TNFRSF6B	39.0	6.15122848219	36.0	7.26263112387
NM_012181	FKBP8	1572.0	159.539168716	1242.0	182.170997357
NM_012180	FBXO8	97.0	6.89449346221	51.0	9.67783423459
NM_012183	FOXD3	23.0	2.02607975784	22.0	2.78897838682
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	81.0	1.01095168443	75.0	1.25496691483
NM_020437	ASPHD2	249.0	13.6916928288	136.0	22.3200501266
NM_012186	FOXE3	0.0	-	0.0	-
NM_020733	HEG1	264.0	5.25263688317	122.0	5.36055515619
NM_020731	AHRR	119.0	3.8300969409	60.0	5.06030548214
NM_020737	LRFN2	1.0	0.0565572795272	0.0	-
NM_001025780	ABHD17B	194.0	11.3382013113	78.0	16.3890862674
NM_001300829	CIRBP	1442.0	148.078116228	745.0	151.809164464
NM_002224	ITPR3	1300.0	26.2232639314	1204.0	27.3620110801
NM_175856	CHSY3	75.0	3.91260733155	67.0	4.60757146958
NM_001688	ATP5PB	491.0	42.5730412672	340.0	80.3348107671
NM_014171	CRIPT	164.0	4.69306370822	54.0	32.147823063
NM_001199973	RPL36A-HNRNPH2	1.0	0.0685110934024	0.0	-
NM_001867	COX7C	317.0	141.887484428	82.0	77.8021967879
NM_144646	JCHAIN	0.0	-	0.0	-
NM_144647	CAPSL	0.0	-	0.0	-
NM_144644	SPATA4	2.0	0.295492290928	2.0	0.396886704482
NM_144645	C4orf36	1.0	0.200628851715	1.0	0.514607337167
NM_144642	SYNPR	0.0	-	0.0	-
NM_144643	SCLT1	130.0	7.75195733434	75.0	6.60997813342
NM_001161546	PROB1	586.0	32.8367285301	567.0	33.8881087603
NM_144641	PPM1M	89.0	7.37970813144	50.0	6.60039845497
NM_133447	AGAP11	3.0	0.17322123362	1.0	0.110206289992
NM_001008783	SLC35D3	7.0	0.5306687397	6.0	0.873721809866
NM_000159	GCDH	192.0	18.5750565547	154.0	21.3016959704
NM_000158	GBE1	102.0	5.99594763808	74.0	6.39196481955
NM_144648	LRGUK	6.0	0.351455300367	6.0	0.441092003286
NM_144649	TMEM71	0.0	-	0.0	-
NM_021020	LZTS1	1838.0	61.3354631145	823.0	83.7111841568
NM_021021	SNTB1	605.0	22.1534579701	373.0	42.022128642
NM_021023	CFHR3	0.0	-	0.0	-
NM_001347869	ZNF174	64.0	4.1125022331	25.0	6.07236657857
NM_021025	TLX3	22.0	2.68436834686	14.0	2.91140863356
NM_021026	RFPL1	0.0	-	0.0	-
NM_021027	UGT1A9	0.0	-	0.0	-
NM_015225	PRUNE2	108.0	1.56332679496	62.0	1.21879808311
NM_175068	KRT73	0.0	-	0.0	-
NM_001143679	GSTK1	152.0	22.585637519	102.0	21.8862682337
NM_152694	RTL3	0.0	-	0.0	-
NM_173536	GABRG1	0.0	-	0.0	-
NM_173537	GTF2IRD2	0.0	-	0.0	-
NM_173535	CLEC4F	2.0	0.147327939634	0.0	-
NM_001297658	TSSC4	582.0	51.8452422796	415.0	76.3646100032
NM_001286495	FAM214A	6.0	0.25845967939	4.0	0.224072567475
NM_023009	MARCKSL1	2828.0	329.820474088	1522.0	471.537853703
NM_173531	ZNF100	52.0	2.11921518178	23.0	2.57208897435
NM_001286499	PIF1	72.0	4.8346154846	49.0	5.05171413158
NM_001297656	KIF2C	1082.0	65.7468376052	886.0	80.0612617353
NM_001297650	CD163L1	4.0	0.156874916992	3.0	0.124433741364
NM_173538	CNBD1	0.0	-	0.0	-
NM_006885	ZFHX3	298.0	3.3798379537	255.0	4.18048995015
NM_001001952	OR5D18	0.0	-	0.0	-
NM_001001953	OR10G9	0.0	-	0.0	-
NM_002226	JAG2	1155.0	36.0595547468	899.0	44.060190106
NM_001001957	OR2W3	0.0	-	0.0	-
NM_001001954	OR5A2	0.0	-	0.0	-
NM_001001955	OR4C13	0.0	-	0.0	-
NM_001282864	SLC2A11	60.0	3.34873156906	40.0	4.53161684968
NM_001001958	OR7G3	0.0	-	0.0	-
NM_001001959	OR11L1	0.0	-	0.0	-
NM_152695	ZNF449	26.0	1.16689971207	16.0	1.87202052518
NM_015259	ICOSLG	35.0	1.9303617643	13.0	2.60530579279
NM_001282862	RASGEF1A	0.0	-	0.0	-
NM_001170700	DTHD1	0.0	-	0.0	-
NM_001319119	DNPEP	581.0	26.1336665344	489.0	62.9107469686
NM_001193653	C17orf62	915.0	68.8502530284	258.0	83.3335413442
NM_012184	FOXD4L1	0.0	-	0.0	-
NM_006272	S100B	5.0	0.802515406859	2.0	1.30588528571
NM_182976	ZNF326	96.0	1.79534090404	33.0	3.43718862938
NM_006270	RRAS	127.0	23.4642156839	94.0	26.0640391957
NM_006271	S100A1	4.0	1.22674072294	1.0	0.639196481955
NM_003356	UCP3	3.0	0.225366182297	1.0	0.194005321999
NM_003357	SCGB1A1	0.0	-	0.0	-
NM_006274	CCL19	4.0	1.06532746992	0.0	-
NM_003355	UCP2	155.0	17.1546200427	93.0	18.2170997357
NM_001002030	ECHDC1	106.0	8.25571856342	75.0	15.0803805759
NM_001170704	MBNL3	110.0	1.73766993664	15.0	3.51681462079
NM_003358	UGCG	1564.0	71.015812529	595.0	91.4698256772
NM_003359	UGDH	280.0	15.9649074366	198.0	24.2894663143
NM_001002034	FAM109B	3.0	0.234353770185	2.0	0.467105121428
NM_001145006	MUC7	0.0	-	0.0	-
NM_001002036	ASTL	0.0	-	0.0	-
NM_001042507	LGALS7B	1.0	0.372537826906	1.0	0.443238436392
NM_001324080	FAM177B	0.0	-	0.0	-
NM_004813	PEX16	207.0	19.7638346189	144.0	25.9472043713
NM_004814	SNRNP40	961.0	107.799463338	736.0	124.839715135
NM_004815	ARHGAP29	83.0	1.65846142159	72.0	3.4644246724
NM_020199	C5orf15	193.0	15.4138546646	113.0	25.796143736
NM_004817	TJP2	456.0	17.5809470465	371.0	18.9156003413
NM_004818	DDX23	768.0	42.8244034191	584.0	43.1944224346
NM_020196	XAB2	315.0	21.613508161	304.0	21.5654140173
NM_020195	SDR39U1	107.0	15.8345221098	88.0	18.1757911195
NM_001330724	CDKL2	3.0	0.110428973949	1.0	0.106346174756
NM_014314	DDX58	53.0	2.0300805004	43.0	2.81978145657
NM_020191	MRPS22	179.0	29.0629309509	168.0	28.2592128864
NM_001356505	CRYZL2P-SEC16B	0.0	-	0.0	-
NM_001303098	TMEM198	311.0	23.5181320789	189.0	31.7916144972
NM_032968	PCDH11X	0.0	-	0.0	-
NM_005663	NELFA	371.0	27.38470017	300.0	33.7353698809
NM_001278267	NBPF20	0.0	-	0.0	-
NM_032961	PCDH10	324.0	7.00657682143	274.0	15.9829821568
