	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	75.0	8.56337276103	49.0	15.9685676539
2	NM_001143986	TLE6	2.0	0.44306640474	2.0	0.51755517203
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	73.0	17.6006628381	71.0	48.7400394993
6	NM_001003800	BICD2	313.0	21.7011383763	284.0	49.1955538871
7	NM_016649	ESF1	42.0	5.80946024723	41.0	7.13551857775
8	NM_016647	THEM6	87.0	17.0940655129	73.0	51.7914241407
9	NM_016644	PRR16	48.0	11.4183188114	12.0	6.30976837389
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	0.0	-	0.0	-
12	NM_001143989	NBPF4	0.0	-	0.0	-
13	NM_016640	MRPS30	134.0	35.6509460695	128.0	43.1358710652
14	NM_001304464	SNRPE	267.0	73.4066285451	4.0	6.97786149583
15	NM_003279	TNNC2	67.0	43.7653317387	59.0	54.3384711205
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	89.0	10.8171152082	18.0	12.4721122531
18	NM_001080825	TMEM120B	33.0	1.95468390438	22.0	9.59455955677
19	NM_001008781	FAT3	404.0	9.43533484671	399.0	12.9801542689
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	1.0	0.337254488521	1.0	0.367939346865
22	NM_002223	ITPR2	27.0	0.954513557952	19.0	1.04267638007
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	30.0	3.30899085316	28.0	28.4371752741
25	NM_001145313	FSD1L	13.0	0.748111606038	6.0	1.67547521793
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	150.0	16.1955826587	140.0	21.5343754669
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	76.0	4.51612863309	53.0	109.150229301
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	813.0	56.5702860945	690.0	183.028433243
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	0.0	-	0.0	-
37	NM_001282730	SUPT7L	164.0	15.4072950241	89.0	31.9537059419
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	25.0	3.52487060507	21.0	16.8317334731
40	NM_004106	FCER1G	0.0	-	0.0	-
41	NM_001291976	SPARCL1	0.0	-	0.0	-
42	NM_130759	GIMAP1	0.0	-	0.0	-
43	NM_181776	SLC36A2	0.0	-	0.0	-
44	NM_001462	FPR2	0.0	-	0.0	-
45	NM_001463	FRZB	0.0	-	0.0	-
46	NM_004101	F2RL2	37.0	4.79995065713	28.0	11.0715402401
47	NM_000331	SAA1	0.0	-	0.0	-
48	NM_007102	GUCA2B	0.0	-	0.0	-
49	NM_007101	SARDH	23.0	3.0296977845	23.0	3.71102263992
50	NM_007100	ATP5ME	259.0	315.652645543	167.0	353.752656905
51	NM_000334	SCN4A	1.0	0.0569940641075	1.0	0.080718321604
52	NM_007105	SLC22A18AS	1.0	0.19349224461	0.0	-
53	NM_181435	C1QTNF3	0.0	-	0.0	-
54	NM_000339	SLC12A3	0.0	-	0.0	-
55	NM_000486	AQP2	0.0	-	0.0	-
56	NM_000485	APRT	287.0	158.201608913	257.0	210.540586155
57	NM_007108	ELOB	435.0	195.459415764	433.0	539.538219231
58	NM_000483	APOC2	2.0	1.22040787479	2.0	2.90744228993
59	NM_000482	APOA4	0.0	-	0.0	-
60	NM_000481	AMT	0.0	-	0.0	-
61	NM_016643	ZNF771	43.0	13.1464349316	34.0	15.8537890904
62	NM_030615	KIF25	0.0	-	0.0	-
63	NM_001350532	SNX14	92.0	10.7358755701	80.0	12.2545088253
64	NM_001350531	LARP1B	11.0	1.12955341042	5.0	1.16755556525
65	NM_001350530	MIER1	167.0	13.120462372	153.0	37.6231711249
66	NM_001320272	PLD5	5.0	0.671555963707	1.0	0.333212487161
67	NM_030613	ZFP2	0.0	-	0.0	-
68	NM_014177	TIMM21	45.0	13.0493742935	23.0	13.6965052453
69	NM_020992	PDLIM1	28.0	7.88321694308	25.0	11.2332997566
70	NM_005802	TOPORS	79.0	8.42134075207	71.0	10.0648647532
71	NM_005258	GCHFR	0.0	-	0.0	-
72	NM_001012964	KLK6	0.0	-	0.0	-
73	NM_003824	FADD	104.0	24.9666603979	78.0	55.3387819586
74	NM_003825	SNAP23	98.0	16.506698105	76.0	53.1568222442
75	NM_003826	NAPG	92.0	11.0161931825	87.0	41.2150844742
76	NM_003827	NAPA	416.0	99.4907993922	322.0	161.30411245
77	NM_003820	TNFRSF14	10.0	1.27060459971	3.0	1.56633334634
78	NM_003821	RIPK2	62.0	10.6692447049	29.0	7.94844204586
79	NM_003795	SNX3	222.0	56.110332284	165.0	150.098937851
80	NM_003823	TNFRSF6B	13.0	5.00684217721	12.0	5.91147734697
81	NM_012181	FKBP8	317.0	78.5592526484	283.0	101.360180122
82	NM_012180	FBXO8	37.0	6.42178338014	16.0	7.41397783932
83	NM_012183	FOXD3	3.0	0.645317220057	3.0	0.928681984049
84	NM_012182	FOXB1	0.0	-	0.0	-
85	NM_001018088	VPS13C	54.0	1.64574460122	53.0	2.16555979876
86	NM_020437	ASPHD2	43.0	5.77363803968	18.0	7.21360005988
87	NM_012186	FOXE3	0.0	-	0.0	-
88	NM_020733	HEG1	112.0	5.44145162519	96.0	10.3001718173
89	NM_020731	AHRR	35.0	2.750769163	32.0	6.59020252384
90	NM_020737	LRFN2	0.0	-	0.0	-
91	NM_001025780	ABHD17B	76.0	10.8462428448	40.0	20.5231220466
92	NM_001300829	CIRBP	478.0	119.860701484	378.0	188.086149212
93	NM_002224	ITPR3	354.0	17.4369271739	340.0	18.8679076749
94	NM_175856	CHSY3	28.0	3.56686219074	28.0	4.70195650059
95	NM_001688	ATP5PB	435.0	92.1012953862	286.0	165.01149121
96	NM_014171	CRIPT	115.0	8.03588549974	93.0	135.196066482
97	NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
98	NM_001867	COX7C	392.0	428.444124769	201.0	465.690483033
99	NM_144646	JCHAIN	0.0	-	0.0	-
100	NM_144647	CAPSL	0.0	-	0.0	-
101	NM_144644	SPATA4	1.0	0.360777510429	1.0	0.484573714988
102	NM_144645	C4orf36	0.0	-	0.0	-
103	NM_144642	SYNPR	0.0	-	0.0	-
104	NM_144643	SCLT1	89.0	12.9592935064	36.0	7.74755303964
105	NM_001161546	PROB1	138.0	18.8827242416	137.0	19.9943890549
106	NM_144641	PPM1M	14.0	2.83465697999	12.0	3.86816235095
107	NM_133447	AGAP11	2.0	0.281989648405	0.0	-
108	NM_001008783	SLC35D3	0.0	-	0.0	-
