AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	77.0	1.73458901207	38.0	2.44329417305
NM_001143986	TLE6	2.0	0.0874160344469	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	51.0	2.42604370071	33.0	4.46954946496
NM_001003800	BICD2	1040.0	14.2263601197	711.0	24.2996151455
NM_016649	ESF1	37.0	1.00974217899	29.0	0.995776705382
NM_016647	THEM6	191.0	7.40426167388	65.0	9.09851739714
NM_016644	PRR16	34.0	1.59573997427	14.0	1.45238744703
NM_017417	GALNT8	2.0	0.0822161110864	2.0	0.0917091939234
NM_016642	SPTBN5	4.0	0.0299464978537	4.0	0.0318424303255
NM_001143989	NBPF4	2.0	0.0702406551298	1.0	0.045782837029
NM_016640	MRPS30	230.0	12.0730327	216.0	14.3616597684
NM_001304464	SNRPE	113.0	6.12949563663	1.0	0.344179210136
NM_003279	TNNC2	56.0	7.21714995704	37.0	6.72325227253
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	190.0	4.5561428227	38.0	5.19485443336
NM_001080825	TMEM120B	123.0	1.43744086896	23.0	1.97903045828
NM_001008781	FAT3	1302.0	5.99941930788	1261.0	8.09364823134
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	13.0	0.0906742495113	11.0	0.119099763685
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	111.0	2.41556968582	82.0	16.4310211962
NM_001145313	FSD1L	52.0	0.590403147012	22.0	1.21208121084
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	1.0	0.101816355667	0.0	-
NM_003363	USP4	83.0	1.76809538411	72.0	2.18503813904
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	43.0	0.504131049845	9.0	3.6569041077
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1680.0	23.0637218242	1303.0	68.192430087
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	4.0	0.211229118134	4.0	0.290374519718
NM_001282730	SUPT7L	270.0	5.00459104918	156.0	11.0504027274
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	90.0	2.50361739227	49.0	7.74868329847
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	39.0	0.998210045145	14.0	1.09219536016
