AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	109.0	2.85544758442	71.0	5.3087508083
NM_001143986	TLE6	3.0	0.152483969474	3.0	0.178119726995
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	65.0	3.59570148072	52.0	8.1902089283
NM_001003800	BICD2	2074.0	32.9921820137	1444.0	57.3903425048
NM_016649	ESF1	12.0	0.380830610328	10.0	0.399305960751
NM_016647	THEM6	576.0	25.9664574449	219.0	35.6486605764
NM_016644	PRR16	66.0	3.6022095377	39.0	4.70501363966
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	4.0	0.0348247389126	4.0	0.0370295160338
NM_001143989	NBPF4	4.0	0.163365511914	2.0	0.106481589534
NM_016640	MRPS30	421.0	25.698777573	411.0	31.7785833837
NM_001304464	SNRPE	195.0	12.3004991939	2.0	0.800491008377
NM_003279	TNNC2	178.0	26.6771562924	132.0	27.8928854472
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	220.0	6.13491059699	40.0	6.35904072075
NM_001080825	TMEM120B	288.0	3.91398532991	49.0	4.90300742631
NM_001008781	FAT3	2169.0	11.6225015561	2091.0	15.6072037488
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	3.0	0.232136323506	3.0	0.253257080814
NM_002223	ITPR2	35.0	0.283890258673	31.0	0.390320837726
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	160.0	4.04909907535	121.0	28.1953767848
NM_001145313	FSD1L	43.0	0.5677479888	17.0	1.08918032684
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	1.0	0.118402092306	0.0	-
NM_003363	USP4	168.0	4.16177606782	145.0	5.11724672108
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	101.0	1.37701348656	35.0	16.5379218744
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2568.0	40.9974606543	1969.0	119.833790355
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	378.0	8.14776433975	218.0	17.9577462291
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	135.0	4.36717955045	81.0	14.8956232234
NM_004106	FCER1G	1.0	0.17269476069	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	94.0	2.79786664783	41.0	3.71961488559
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	125.0	3.77785769796	115.0	4.25723591234
NM_007100	ATP5ME	433.0	121.077006425	214.0	104.00665316
NM_000334	SCN4A	3.0	0.0392297002824	3.0	0.0555593922526
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	7.0	0.186732416356	5.0	0.53157606025
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	829.0	104.844979378	517.0	97.1756280749
NM_007108	ELOB	1364.0	140.619587138	1194.0	341.352237143
NM_000483	APOC2	2.0	0.280007142848	2.0	0.667075840314
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	249.0	17.4663837034	213.0	22.7875624319
NM_030615	KIF25	1.0	0.0675911281907	1.0	0.0883658905351
NM_001350532	SNX14	245.0	6.55963742764	196.0	6.88852283035
NM_001350531	LARP1B	36.0	0.848165680621	8.0	0.428609358816
NM_001350530	MIER1	312.0	5.62407847284	177.0	9.98622489306
NM_001320272	PLD5	6.0	0.184896020957	3.0	0.229354165321
NM_030613	ZFP2	0.0	-	0.0	-
