AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	113.0	3.46073602489	63.0	5.50702282627
NM_001143986	TLE6	0.0	-	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	2.0	0.108917232225	2.0	0.119080666569
NM_001003803	ATP5S	58.0	3.75094418339	41.0	7.54949374075
NM_001003800	BICD2	1522.0	28.3047468933	1067.0	49.5767871386
NM_016649	ESF1	41.0	1.52116664925	33.0	1.54050129921
NM_016647	THEM6	335.0	17.6553919379	124.0	23.5973439552
NM_016644	PRR16	43.0	2.74369497316	18.0	2.53869846601
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	4.0	0.040712728108	3.0	0.0324677082728
NM_001143989	NBPF4	5.0	0.238733149065	5.0	0.311212383679
NM_016640	MRPS30	322.0	22.9788651822	296.0	26.7563432266
NM_001304464	SNRPE	186.0	13.716503084	1.0	0.467916972167
NM_003279	TNNC2	102.0	17.8715425052	68.0	16.7985099324
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	199.0	6.48755375754	46.0	8.54932411763
NM_001080825	TMEM120B	215.0	3.41591850853	46.0	5.38104517992
NM_001008781	FAT3	1787.0	11.1945579599	1734.0	15.1308210899
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	2.0	0.180923165887	2.0	0.197384330691
NM_002223	ITPR2	27.0	0.256028638112	21.0	0.309116134462
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	198.0	5.85795386181	145.0	39.5005252189
NM_001145313	FSD1L	56.0	0.864405480277	24.0	1.79764712471
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	111.0	3.21465774203	85.0	3.506950336
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	79.0	1.25917544808	21.0	11.6004416016
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2446.0	45.6520965196	1950.0	138.742823142
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	1.0	0.0717923152241	1.0	0.0986921653453
NM_001282730	SUPT7L	352.0	8.87016418621	205.0	19.7420175303
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	99.0	3.74407732563	58.0	12.469354988
NM_004106	FCER1G	1.0	0.201893109818	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
