AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	124.0	4.0609922916	70.0	6.54326963114
NM_001143986	TLE6	4.0	0.254170832285	3.0	0.222676715196
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	71.0	4.91011208906	51.0	10.0421013089
NM_001003800	BICD2	1687.0	33.5490444858	1126.0	55.9464841475
NM_016649	ESF1	67.0	2.65820328765	53.0	2.64572346001
NM_016647	THEM6	424.0	23.8956507554	161.0	32.763309421
NM_016644	PRR16	63.0	4.29861323094	22.0	3.31804098316
NM_017417	GALNT8	1.0	0.0597628842188	1.0	0.0666634053329
NM_016642	SPTBN5	0.0	-	0.0	-
NM_001143989	NBPF4	1.0	0.0510579262934	1.0	0.0665590807549
NM_016640	MRPS30	337.0	25.7171629073	312.0	30.1585245726
NM_001304464	SNRPE	225.0	17.7432605109	3.0	1.50110303303
NM_003279	TNNC2	115.0	21.5466698206	90.0	23.775234374
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	254.0	8.85486734509	53.0	10.5334410651
NM_001080825	TMEM120B	247.0	4.19649243387	42.0	5.25386061559
NM_001008781	FAT3	2644.0	17.7118651568	2538.0	23.6823868155
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	35.0	0.354905946376	31.0	0.487960337037
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	187.0	5.91619953135	130.0	37.8702934131
NM_001145313	FSD1L	75.0	1.23797307057	28.0	2.24270258544
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	132.0	4.08795534722	115.0	5.07374901377
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	106.0	1.80669761255	34.0	20.0842026178
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2810.0	56.0829750412	2160.0	164.342586084
NM_001355213	OR10D3	1.0	0.123877434764	0.0	-
NM_001007531	NKAPL	2.0	0.153542428167	2.0	0.211073213908
NM_001282730	SUPT7L	359.0	9.6739512255	217.0	22.3469293335
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	118.0	4.77212786727	66.0	15.1733117392
NM_004106	FCER1G	2.0	0.431789366522	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	84.0	3.12565635923	35.0	3.96958357622
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	64.0	2.41812274198	58.0	2.6842357464
NM_007100	ATP5ME	389.0	135.983484348	170.0	103.290184891
NM_000334	SCN4A	1.0	0.0163476947863	1.0	0.023152559936
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	5.0	0.166745632262	3.0	0.398730493147
