AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	39.0	1.3023257461	30.0	2.85931874152
NM_001143986	TLE6	3.0	0.194371020029	3.0	0.2270488704
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	26.0	1.83337348033	19.0	3.81463125315
NM_001003800	BICD2	962.0	19.5067395005	706.0	35.7670934322
NM_016649	ESF1	11.0	0.444990370065	9.0	0.458095080067
NM_016647	THEM6	268.0	15.400411985	91.0	18.8819924231
NM_016644	PRR16	29.0	2.01757811734	13.0	1.99915725249
NM_017417	GALNT8	2.0	0.121872602098	2.0	0.135944621462
NM_016642	SPTBN5	2.0	0.0221955135612	2.0	0.0236007261205
NM_001143989	NBPF4	2.0	0.104120850531	2.0	0.135731875575
NM_016640	MRPS30	213.0	16.5736169757	205.0	20.2047693648
NM_001304464	SNRPE	74.0	5.95013980389	1.0	0.510192167604
NM_003279	TNNC2	63.0	12.0355905618	50.0	13.4678056666
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	75.0	2.66596317088	16.0	3.24234274739
NM_001080825	TMEM120B	142.0	2.45992788135	40.0	5.10192167604
NM_001008781	FAT3	952.0	6.50255949008	923.0	8.78173025656
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.0986345737218	1.0	0.107608769842
NM_002223	ITPR2	12.0	0.124071209796	10.0	0.160497165975
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	74.0	2.38713766494	60.0	17.8217811971
NM_001145313	FSD1L	11.0	0.185134415282	7.0	0.571684255602
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	63.0	1.98937795451	55.0	2.47422031489
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	30.0	0.521369233526	15.0	9.03465296799
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1036.0	21.0828354196	764.0	59.2699094172
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	1.0	0.0782785816721	1.0	0.107608769842
NM_001282730	SUPT7L	198.0	5.44025396882	130.0	13.6504199807
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	71.0	2.92774300934	43.0	10.0797425546
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	34.0	1.28998719543	17.0	1.96594048584
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	49.0	1.88772612799	46.0	2.17067614291
NM_007100	ATP5ME	170.0	60.5940560703	85.0	52.6591201563
NM_000334	SCN4A	3.0	0.0500060228337	3.0	0.0708214495041
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	2.0	0.0680078425191	2.0	0.27103958904
NM_000339	SLC12A3	1.0	0.0233696789544	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	371.0	59.8100743695	230.0	55.1063915838
NM_007108	ELOB	605.0	79.5049461183	520.0	189.499947967
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	2.0	0.118164398491	2.0	0.214684823002
NM_016643	ZNF771	116.0	10.3721541703	97.0	13.2280956663
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	83.0	2.83269077318	54.0	2.41919633193
NM_001350531	LARP1B	17.0	0.51054548628	3.0	0.204880319274
NM_001350530	MIER1	133.0	3.05601684286	79.0	5.68149320972
NM_001320272	PLD5	2.0	0.0785621997217	1.0	0.0974524365087
NM_030613	ZFP2	1.0	0.0535827853126	0.0	-
NM_014177	TIMM21	66.0	5.59747990924	44.0	7.66312733671
NM_020992	PDLIM1	20.0	1.64682281948	17.0	2.23402327936
NM_005802	TOPORS	71.0	2.21352245255	61.0	2.5290118442
NM_005258	GCHFR	1.0	0.182467044515	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	169.0	11.8654783934	88.0	18.2595091564
NM_003825	SNAP23	107.0	5.27095543093	41.0	8.3868853967
NM_003826	NAPG	76.0	2.66151391875	36.0	4.98782119128
NM_003827	NAPA	525.0	36.7214927086	308.0	45.124428878
NM_003820	TNFRSF14	22.0	0.817531579623	10.0	1.52698360022
NM_003821	RIPK2	74.0	3.72430414031	51.0	4.08813871823
NM_003795	SNX3	243.0	17.9625327645	94.0	25.0088062525
NM_003823	TNFRSF6B	38.0	4.28031351003	36.0	5.18667120555
NM_012181	FKBP8	1199.0	86.9017851165	946.0	99.0931212489
NM_012180	FBXO8	66.0	3.35018891174	27.0	3.65903445204
NM_012183	FOXD3	4.0	0.251642171642	2.0	0.181070289129
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	25.0	0.222833315188	24.0	0.286798573137
NM_020437	ASPHD2	118.0	4.63377069822	64.0	7.50120376153
NM_012186	FOXE3	0.0	-	0.0	-
NM_020733	HEG1	144.0	2.04611799852	79.0	2.47897279701
NM_020731	AHRR	122.0	2.80425412265	58.0	3.49339914762
NM_020737	LRFN2	0.0	-	0.0	-
NM_001025780	ABHD17B	62.0	2.58778895407	19.0	2.85107387779
NM_001300829	CIRBP	1367.0	100.251035369	689.0	100.266457368
NM_002224	ITPR3	1189.0	17.1285255516	1108.0	17.9827463866
NM_175856	CHSY3	47.0	1.75104614225	46.0	2.2591748305
NM_001688	ATP5PB	307.0	19.0101826944	208.0	35.0980448375
NM_014171	CRIPT	80.0	1.63492306301	21.0	8.92836293308
NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
NM_001867	COX7C	180.0	57.537642489	46.0	31.1695527396
NM_144646	JCHAIN	0.0	-	0.0	-
NM_144647	CAPSL	0.0	-	0.0	-
NM_144644	SPATA4	0.0	-	0.0	-
NM_144645	C4orf36	0.0	-	0.0	-
NM_144642	SYNPR	0.0	-	0.0	-
NM_144643	SCLT1	65.0	2.76806388807	35.0	2.20293425054
NM_001161546	PROB1	318.0	12.7257714153	312.0	13.3172207528
NM_144641	PPM1M	78.0	4.61889950553	49.0	4.61945734363
NM_133447	AGAP11	4.0	0.164943268132	1.0	0.0787047808464
NM_001008783	SLC35D3	2.0	0.10828048501	2.0	0.207992010774
NM_000159	GCDH	188.0	12.9891728704	163.0	16.1018507566
NM_000158	GBE1	73.0	3.06461026136	59.0	3.63956432509
NM_144648	LRGUK	0.0	-	0.0	-
NM_144649	TMEM71	1.0	0.0625175409606	1.0	0.156557163344
NM_021020	LZTS1	1627.0	38.7746981968	762.0	55.3520045155
NM_021021	SNTB1	444.0	11.6108456716	295.0	23.7348211552
NM_021023	CFHR3	1.0	0.0793286602068	1.0	0.131016115548
NM_001347869	ZNF174	36.0	1.65205082843	13.0	2.25504938081
NM_021025	TLX3	15.0	1.3070897797	12.0	1.78217811971
NM_021026	RFPL1	0.0	-	0.0	-
NM_021027	UGT1A9	0.0	-	0.0	-
NM_015225	PRUNE2	75.0	0.775321828004	50.0	0.701947786442
NM_175068	KRT73	0.0	-	0.0	-
NM_001143679	GSTK1	120.0	12.7339970055	82.0	12.5655102763
NM_152694	RTL3	0.0	-	0.0	-
NM_173536	GABRG1	0.0	-	0.0	-
NM_173537	GTF2IRD2	0.0	-	0.0	-
NM_173535	CLEC4F	0.0	-	0.0	-
NM_001297658	TSSC4	307.0	19.5307549344	191.0	25.0999086093
NM_001286495	FAM214A	3.0	0.092290614381	3.0	0.120017530202
NM_023009	MARCKSL1	1725.0	143.675275112	942.0	208.423912551
NM_173531	ZNF100	15.0	0.436573834695	7.0	0.559050349401
NM_001286499	PIF1	66.0	3.16495915252	48.0	3.53409854639
NM_001297656	KIF2C	875.0	37.9708563698	701.0	45.2377980755
NM_001297650	CD163L1	3.0	0.0840251901437	3.0	0.0888654390294
NM_173538	CNBD1	0.0	-	0.0	-
NM_006885	ZFHX3	209.0	1.69285839699	185.0	2.1659751176
NM_001001952	OR5D18	0.0	-	0.0	-
NM_001001953	OR10G9	0.0	-	0.0	-
NM_002226	JAG2	964.0	21.4936484388	788.0	27.5808485764
NM_001001957	OR2W3	0.0	-	0.0	-
NM_001001954	OR5A2	0.0	-	0.0	-
NM_001001955	OR4C13	0.0	-	0.0	-
NM_001282864	SLC2A11	42.0	1.67406804995	36.0	2.91266424043
NM_001001958	OR7G3	0.0	-	0.0	-
NM_001001959	OR11L1	0.0	-	0.0	-
NM_152695	ZNF449	17.0	0.544883726673	13.0	1.08624729326
NM_015259	ICOSLG	35.0	1.37858464907	14.0	2.00372501468
NM_001282862	RASGEF1A	1.0	0.0398343547885	1.0	0.0885027229518
NM_001170700	DTHD1	0.0	-	0.0	-
NM_001319119	DNPEP	448.0	14.3911983277	386.0	35.4648411422
NM_001193653	C17orf62	520.0	27.9436106668	152.0	35.0621425822
NM_012184	FOXD4L1	0.0	-	0.0	-
NM_006272	S100B	0.0	-	0.0	-
NM_182976	ZNF326	59.0	0.787993138446	25.0	1.85961982189
NM_006270	RRAS	89.0	11.7432162716	64.0	12.6732666291
NM_006271	S100A1	5.0	1.09510945067	3.0	1.36946318673
NM_003356	UCP3	7.0	0.375543513061	4.0	0.554202354586
NM_003357	SCGB1A1	0.0	-	0.0	-
NM_006274	CCL19	4.0	0.760812881515	0.0	-
NM_003355	UCP2	133.0	10.5122523477	86.0	12.0306604683
NM_001002030	ECHDC1	50.0	2.78108171738	29.0	4.16431686472
NM_001170704	MBNL3	44.0	0.49638884153	15.0	2.51156375944
NM_003358	UGCG	1068.0	34.632536123	431.0	47.3187090131
NM_003359	UGDH	150.0	6.1079344009	106.0	9.28652814165
NM_001002034	FAM109B	0.0	-	0.0	-
NM_001145006	MUC7	0.0	-	0.0	-
NM_001002036	ASTL	0.0	-	0.0	-
NM_001042507	LGALS7B	0.0	-	0.0	-
NM_001324080	FAM177B	0.0	-	0.0	-
NM_004813	PEX16	159.0	10.8415835616	107.0	13.7691328319
NM_004814	SNRNP40	822.0	65.8506036032	636.0	77.0418675438
NM_004815	ARHGAP29	48.0	0.684956908136	36.0	1.23707451099
NM_020199	C5orf15	94.0	5.36137933252	63.0	10.2709739005
NM_004817	TJP2	249.0	6.856010938	198.0	7.20951652459
NM_004818	DDX23	671.0	26.7206705962	533.0	28.153783378
NM_020196	XAB2	446.0	21.8546723999	437.0	22.139121572
NM_020195	SDR39U1	90.0	9.5117061304	76.0	11.2103449072
NM_001330724	CDKL2	2.0	0.0525758750209	0.0	-
NM_014314	DDX58	24.0	0.656513049987	18.0	0.842974099821
NM_020191	MRPS22	137.0	15.885528855	134.0	16.0971988615
NM_001356505	CRYZL2P-SEC16B	0.0	-	0.0	-
NM_001303098	TMEM198	224.0	12.097209055	157.0	18.8601509049
NM_032968	PCDH11X	0.0	-	0.0	-
NM_005663	NELFA	365.0	19.2407358184	301.0	24.172715941
NM_001278267	NBPF20	0.0	-	0.0	-
NM_032961	PCDH10	275.0	4.24705908752	234.0	9.74805207843
NM_001100817	ELOA3B	0.0	-	0.0	-
NM_001199654	PMF1	0.0	-	0.0	-
NM_032965	CCL15	0.0	-	0.0	-
NM_001303095	ISG20L2	171.0	8.17000714961	94.0	11.5153542914
NM_001303096	WDR75	199.0	9.47646469439	143.0	8.0852487578
NM_014313	TMEM50A	122.0	6.89490805133	40.0	10.9788187965
NM_003688	CASK	61.0	0.956610314258	46.0	2.16361320535
NM_003689	AKR7A2	273.0	13.5612935272	236.0	28.4290413393
NM_014310	RASD2	1.0	0.0437748999795	1.0	0.162420727514
NM_003680	YARS	745.0	31.0952059803	430.0	35.2505174403
NM_003681	PDXK	403.0	7.10335972143	180.0	24.9391059564
NM_003682	MADD	435.0	9.4070921196	347.0	9.13113955309
NM_005667	RNF103	0.0	-	0.0	-
NM_003684	MKNK1	174.0	8.05595248278	92.0	8.56159388555
NM_003685	KHSRP	1765.0	70.6537661029	1490.0	90.7525814987
NM_003687	PDLIM4	716.0	40.5886213339	596.0	78.0856048666
NM_006416	SLC35A1	12.0	0.819091307906	5.0	0.641513820213
NM_006417	IFI44	68.0	5.12556905345	54.0	5.26243157147
NM_003175	XCL2	0.0	-	0.0	-
NM_003172	SURF1	136.0	16.9640118624	117.0	16.856681418
NM_001324229	STOML1	76.0	4.21463094977	32.0	5.71079298718
NM_006411	AGPAT1	593.0	34.1819710342	318.0	48.5580784871
NM_001128844	SMARCA4	2975.0	67.0787752424	2715.0	71.443930509
NM_001127325	MAD2L2	475.0	53.6432519975	292.0	59.730988679
NM_001127322	CBX5	977.0	10.861965961	82.0	18.5210385844
NM_001127323	GRM8	3.0	0.101113214564	3.0	0.143123215335
NM_006418	OLFM4	0.0	-	0.0	-
NM_006419	CXCL13	0.0	-	0.0	-
NM_001308174	PLD4	0.0	-	0.0	-
NM_002460	IRF4	8.0	0.195380518474	6.0	0.575659304155
NM_002889	RARRES2	0.0	-	0.0	-
NM_001098398	COPA	969.0	22.2495470622	870.0	30.5743199306
NM_001257360	AMPD2	1159.0	36.6962142065	817.0	40.2616989537
NM_002887	RARS	161.0	9.7969782231	148.0	9.7098600128
NM_002886	RAP2B	259.0	4.00518741346	80.0	18.8549279332
NM_002881	RALB	149.0	8.57353003455	63.0	13.1984495532
NM_001346791	TSR2	253.0	7.81644447708	39.0	17.4359488207
NM_024298	MBOAT7	552.0	27.6316465995	368.0	33.7395581452
NM_024299	PPDPF	199.0	31.7275754229	109.0	41.1037428944
NM_001323684	NRSN2	183.0	9.57302673955	75.0	15.8657320414
NM_024292	UBL5	265.0	66.4281998572	107.0	62.7053751941
NM_024293	RETREG2	850.0	23.8276561793	539.0	42.9677466154
NM_024294	C6orf106	1119.0	32.8698993148	250.0	36.2594767946
NM_002014	FKBP4	543.0	18.8836563719	365.0	34.4102434781
NM_024297	PHF23	211.0	13.476136268	139.0	14.9205951986
NM_003433	ZNF132	0.0	-	0.0	-
NM_001077269	WIPF1	201.0	5.62484395581	103.0	8.86256434003
NM_032505	KBTBD8	16.0	0.444592918374	10.0	0.72037100077
NM_032504	UNC80	58.0	0.556388597469	44.0	0.58549208556
NM_032501	ACSS1	175.0	6.18341267771	100.0	6.28497597773
NM_001469	XRCC6	1206.0	69.3938068569	1080.0	76.7797393214
NM_001081552	SPAG11A	0.0	-	0.0	-
NM_005250	FOXL1	1.0	0.0407833864386	1.0	0.125336226146
NM_032508	TMEM185A	40.0	1.84996804464	22.0	2.71811781601
NM_001355219	OR10G6	0.0	-	0.0	-
NM_031963	KRTAP9-8	0.0	-	0.0	-
NM_002010	FGF9	3.0	0.0861582799597	0.0	-
NM_001004195	OR4F4	0.0	-	0.0	-
