AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	69.0	2.58242615884	38.0	4.05927725183
NM_001143986	TLE6	0.0	-	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	58.0	4.58383939562	38.0	8.55079235917
NM_001003800	BICD2	1356.0	30.8171948275	944.0	53.6012286401
NM_016649	ESF1	21.0	0.952140468903	19.0	1.0839032568
NM_016647	THEM6	476.0	30.6569044263	174.0	40.4649937078
NM_016644	PRR16	66.0	5.14635924032	33.0	5.68776109894
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	9.0	0.111944178647	8.0	0.105805722855
NM_001143989	NBPF4	4.0	0.233394976885	2.0	0.152126772884
NM_016640	MRPS30	338.0	29.4766548992	315.0	34.7964062272
NM_001304464	SNRPE	197.0	17.7535610793	1.0	0.571817693369
NM_003279	TNNC2	107.0	22.9104930449	76.0	22.9437409886
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	239.0	9.52170200065	60.0	13.6274310102
NM_001080825	TMEM120B	242.0	4.69865111289	36.0	5.14635924032
NM_001008781	FAT3	2234.0	17.1022935571	2135.0	22.7666994085
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.11054853056	1.0	0.120606709519
NM_002223	ITPR2	34.0	0.3939966146	27.0	0.485685272495
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	203.0	7.33948497328	138.0	45.9412434467
NM_001145313	FSD1L	51.0	0.962029638068	28.0	2.56294936011
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	2.0	0.33831441255	1.0	0.385750031241
NM_003363	USP4	96.0	3.39759639167	72.0	3.63021191226
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	91.0	1.77251263353	30.0	20.2518766401
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2358.0	53.7819898085	1858.0	161.551284998
NM_001355213	OR10D3	2.0	0.283133032639	2.0	0.310571910136
