AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	86.0	1.65290912145	48.0	2.63316491169
NM_001143986	TLE6	1.0	0.0372911489921	1.0	0.0435605742735
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	2.0	0.0683529230271	2.0	0.0747311648465
NM_001003803	ATP5S	33.0	1.33932829096	21.0	2.42668699182
NM_001003800	BICD2	1020.0	11.9043391084	752.0	21.9276602946
NM_016649	ESF1	34.0	0.791648421639	27.0	0.790992540593
NM_016647	THEM6	170.0	5.62266193461	69.0	8.24045179451
NM_016644	PRR16	32.0	1.28137971638	15.0	1.32767069461
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	3.0	0.0191624909604	3.0	0.0203756808643
NM_001143989	NBPF4	4.0	0.11985694626	1.0	0.0390613600293
NM_016640	MRPS30	214.0	9.58400371752	202.0	11.4590050679
NM_001304464	SNRPE	98.0	4.53541499584	0.0	-
NM_003279	TNNC2	37.0	4.0684041197	24.0	3.72077650565
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	131.0	2.68015359565	27.0	3.14918525507
NM_001080825	TMEM120B	119.0	1.1865239193	20.0	1.46824759169
NM_001008781	FAT3	1169.0	4.59576065359	1123.0	6.14969608884
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	12.0	0.0714112315119	9.0	0.0831391123348
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	109.0	2.02380073449	83.0	14.1897078895
NM_001145313	FSD1L	57.0	0.552159864042	28.0	1.3161692159
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	100.0	1.81749095088	87.0	2.25263297522
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	53.0	0.530146037983	18.0	6.24005226468
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1316.0	15.4141882315	1044.0	46.6162043959
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	2.0	0.0901090579737	2.0	0.123872005254
NM_001282730	SUPT7L	197.0	3.11541363331	115.0	6.95017927785
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	71.0	1.6851107859	40.0	5.39680195864
