	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	81.0	4.7339990238	51.0	8.50745416754
2	NM_001143986	TLE6	3.0	0.340188508867	3.0	0.397381341364
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	31.0	3.82584540198	22.0	7.73053887228
6	NM_001003800	BICD2	1203.0	42.6936578628	883.0	78.2938730901
7	NM_016649	ESF1	22.0	1.55764589218	20.0	1.78168629579
8	NM_016647	THEM6	264.0	26.5515328051	99.0	35.9525539897
9	NM_016644	PRR16	32.0	3.89646217928	9.0	2.42233519789
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	2.0	0.0388466277577	2.0	0.0413060333064
12	NM_001143989	NBPF4	4.0	0.364464999763	3.0	0.356337259158
13	NM_016640	MRPS30	249.0	33.9097952403	241.0	41.5724102826
14	NM_001304464	SNRPE	106.0	14.9172731222	0.0	-
15	NM_003279	TNNC2	47.0	15.7149440591	37.0	17.4428194995
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	146.0	9.08309515187	33.0	11.7041803487
18	NM_001080825	TMEM120B	181.0	5.48783103288	39.0	8.70615768183
19	NM_001008781	FAT3	1209.0	14.4531267863	1163.0	19.3662811543
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	0.0	-	0.0	-
22	NM_002223	ITPR2	21.0	0.380011895465	15.0	0.42135364286
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	98.0	5.53299078675	67.0	34.8307467496
25	NM_001145313	FSD1L	50.0	1.47282993921	18.0	2.57287580341
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	1.0	0.264152562183	0.0	-
28	NM_003363	USP4	86.0	4.75295090771	82.0	6.45621013324
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	48.0	1.46000219248	21.0	22.1374522252
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	1188.0	42.3130011292	880.0	119.484536416
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	2.0	0.274006628883	2.0	0.376674125065
