AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	62.0	2.57781055124	44.0	5.22153605028
NM_001143986	TLE6	0.0	-	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	34.0	2.98511318174	28.0	6.99940754215
NM_001003800	BICD2	299.0	7.54892461985	274.0	17.2835837773
NM_016649	ESF1	87.0	4.38209176879	83.0	5.26011814284
NM_016647	THEM6	56.0	4.00672799233	44.0	11.3674588654
NM_016644	PRR16	21.0	1.81909736122	6.0	1.14883892789
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0138178187181	1.0	0.0146926339077
NM_001143989	NBPF4	1.0	0.0648204437105	1.0	0.0844998898448
NM_016640	MRPS30	139.0	13.4665634855	131.0	16.0759119978
NM_001304464	SNRPE	125.0	12.5143919061	1.0	0.635240348363
NM_003279	TNNC2	45.0	10.7039397907	39.0	13.0796382287
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	74.0	3.27513261574	15.0	3.78472637459
NM_001080825	TMEM120B	31.0	0.668651791453	23.0	3.65263200309
NM_001008781	FAT3	323.0	2.74697176946	321.0	3.8026618923
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	9.0	0.115860812167	9.0	0.179851542005
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	45.0	1.80743441544	42.0	15.5329318059
NM_001145313	FSD1L	13.0	0.27242196052	9.0	0.915176773065
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	118.0	4.63941312676	106.0	5.93725678294
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	54.0	1.16848244683	40.0	29.9974608949
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1194.0	30.2536569476	1034.0	99.8770558455
NM_001355213	OR10D3	1.0	0.157268241585	1.0	0.172509359779
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	192.0	6.56839861792	89.0	11.6358189718
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	26.0	1.3349107796	18.0	5.25360936754
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	2.0	0.107311221486	1.0	0.0999915363164
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	32.0	1.51168306872	23.0	3.3117196828
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	29.0	1.39105785494	27.0	1.58637279597
NM_007100	ATP5ME	179.0	79.4398512357	77.0	59.3949725719
NM_000334	SCN4A	0.0	-	0.0	-
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	1.0	0.0423382877241	1.0	0.168735717534
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	179.0	35.9300442392	143.0	42.6593725655
NM_007108	ELOB	310.0	50.7229793314	296.0	134.307959368
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	39.0	4.34190052541	29.0	4.92411150539
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	75.0	3.18703348962	57.0	3.17948294196
NM_001350531	LARP1B	14.0	0.523501395119	5.0	0.425160863078
NM_001350530	MIER1	228.0	6.52293780534	210.0	18.8043784714
NM_001320272	PLD5	0.0	-	0.0	-
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	57.0	6.01904723824	38.0	8.24026636632
NM_020992	PDLIM1	19.0	1.9479363847	14.0	2.29071519561
NM_005802	TOPORS	74.0	2.87251027405	66.0	3.40697739418
NM_005258	GCHFR	0.0	-	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	72.0	6.29412455259	49.0	12.6592155547
NM_003825	SNAP23	109.0	6.68553785791	90.0	22.9225880423
NM_003826	NAPG	80.0	3.48826463166	66.0	11.3856177454
NM_003827	NAPA	264.0	22.9916022859	200.0	36.4833983857
NM_003820	TNFRSF14	6.0	0.277611463295	0.0	-
NM_003821	RIPK2	67.0	4.19848408193	40.0	3.99226836309
NM_003795	SNX3	280.0	25.7705459506	183.0	60.6206356981
NM_003823	TNFRSF6B	2.0	0.280495738238	2.0	0.358773618677
NM_012181	FKBP8	309.0	27.8851048742	256.0	33.3884782135
NM_012180	FBXO8	47.0	2.97048598327	16.0	2.69977148054
NM_012183	FOXD3	1.0	0.0783299269016	1.0	0.112725322778
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	49.0	0.543801599945	48.0	0.714185897305
NM_020437	ASPHD2	44.0	2.15134220001	15.0	2.18900390314
NM_012186	FOXE3	0.0	-	0.0	-
NM_020733	HEG1	66.0	1.16766001124	63.0	2.46144143667
NM_020731	AHRR	37.0	1.0589209694	35.0	2.62477782831
NM_020737	LRFN2	0.0	-	0.0	-
NM_001025780	ABHD17B	64.0	3.32599373926	33.0	6.16556808705
NM_001300829	CIRBP	425.0	38.8073127136	352.0	63.7798363189
NM_002224	ITPR3	333.0	5.97291929811	310.0	6.26443981264
NM_175856	CHSY3	20.0	0.927756522523	20.0	1.22299953818
NM_001688	ATP5PB	423.0	32.6131366855	295.0	61.9791896311
NM_014171	CRIPT	113.0	2.87534568616	78.0	41.2906226436
NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
NM_001867	COX7C	309.0	122.982219286	156.0	131.613859676
NM_144646	JCHAIN	0.0	-	0.0	-
NM_144647	CAPSL	0.0	-	0.0	-
NM_144644	SPATA4	0.0	-	0.0	-
NM_144645	C4orf36	0.0	-	0.0	-
NM_144642	SYNPR	0.0	-	0.0	-
NM_144643	SCLT1	106.0	5.62047352414	58.0	4.54533369729
NM_001161546	PROB1	135.0	6.72659150797	134.0	7.12144445655
NM_144641	PPM1M	9.0	0.663576058031	9.0	1.05643231847
NM_133447	AGAP11	1.0	0.0513427222924	0.0	-
NM_001008783	SLC35D3	4.0	0.269640097932	4.0	0.517941770848
NM_000159	GCDH	127.0	10.9252568676	105.0	12.9146243944
NM_000158	GBE1	71.0	3.71120571381	64.0	4.91565788776
NM_144648	LRGUK	5.0	0.260428117094	5.0	0.326848847523
NM_144649	TMEM71	1.0	0.0778406001118	1.0	0.194929348776
NM_021020	LZTS1	391.0	11.6022419735	334.0	30.2084983083
NM_021021	SNTB1	304.0	9.89825764927	233.0	23.3412525034
NM_021023	CFHR3	1.0	0.0987721273369	1.0	0.163128186136
NM_001347869	ZNF174	25.0	1.42845051881	10.0	2.15981718443
NM_021025	TLX3	7.0	0.759480255745	2.0	0.369831709663
NM_021026	RFPL1	0.0	-	0.0	-
NM_021027	UGT1A9	0.0	-	0.0	-
NM_015225	PRUNE2	51.0	0.656440264637	44.0	0.76911586367
NM_175068	KRT73	0.0	-	0.0	-
NM_001143679	GSTK1	47.0	6.20991482474	40.0	7.63186284252
NM_152694	RTL3	0.0	-	0.0	-
NM_173536	GABRG1	0.0	-	0.0	-
NM_173537	GTF2IRD2	0.0	-	0.0	-
NM_173535	CLEC4F	0.0	-	0.0	-
NM_001297658	TSSC4	99.0	7.84187901928	67.0	10.9627084361
NM_001286495	FAM214A	8.0	0.306429489397	7.0	0.348678973502
NM_023009	MARCKSL1	995.0	103.185888213	729.0	200.829939726
NM_173531	ZNF100	37.0	1.34082610443	32.0	3.18205110046
NM_001286499	PIF1	17.0	1.01502650577	13.0	1.19174971976
NM_001297656	KIF2C	440.0	23.7738382543	432.0	34.711347607
NM_001297650	CD163L1	3.0	0.104619777502	2.0	0.0737642481023
NM_173538	CNBD1	0.0	-	0.0	-
NM_006885	ZFHX3	303.0	3.05577421967	296.0	4.31496953694
NM_001001952	OR5D18	0.0	-	0.0	-
NM_001001953	OR10G9	0.0	-	0.0	-
NM_002226	JAG2	185.0	5.13581207096	172.0	7.49573356987
NM_001001957	OR2W3	0.0	-	0.0	-
NM_001001954	OR5A2	0.0	-	0.0	-
NM_001001955	OR4C13	0.0	-	0.0	-
NM_001282864	SLC2A11	10.0	0.496281522159	9.0	0.906639676302
NM_001001958	OR7G3	0.0	-	0.0	-
NM_001001959	OR11L1	0.0	-	0.0	-
NM_152695	ZNF449	20.0	0.798158604743	17.0	1.76863642271
NM_015259	ICOSLG	5.0	0.245210852002	3.0	0.534608213969
NM_001282862	RASGEF1A	1.0	0.0495977614307	1.0	0.110194754308
NM_001170700	DTHD1	0.0	-	0.0	-
NM_001319119	DNPEP	143.0	5.7195158773	90.0	10.295738697
NM_001193653	C17orf62	170.0	11.3745019007	113.0	32.4546997129
NM_012184	FOXD4L1	0.0	-	0.0	-
NM_006272	S100B	2.0	0.285438394419	1.0	0.580596017321
NM_182976	ZNF326	230.0	3.82474555297	179.0	16.5783566044
NM_006270	RRAS	60.0	9.85717781943	50.0	12.3277236554
NM_006271	S100A1	3.0	0.818112569861	1.0	0.568372943272
NM_003356	UCP3	2.0	0.133596939243	1.0	0.172509359779
NM_003357	SCGB1A1	0.0	-	0.0	-
NM_006274	CCL19	0.0	-	0.0	-
NM_003355	UCP2	155.0	15.2538728852	46.0	8.01222503903
NM_001002030	ECHDC1	82.0	5.67886946741	66.0	11.8003256765
NM_001170704	MBNL3	31.0	0.435447012991	16.0	3.33562499527
NM_003358	UGCG	521.0	21.0356072985	386.0	52.7651539995
NM_003359	UGDH	165.0	8.36548909464	125.0	13.6352094977
NM_001002034	FAM109B	0.0	-	0.0	-
NM_001145006	MUC7	0.0	-	0.0	-
NM_001002036	ASTL	0.0	-	0.0	-
NM_001042507	LGALS7B	0.0	-	0.0	-
NM_001324080	FAM177B	0.0	-	0.0	-
NM_004813	PEX16	45.0	3.82043134039	42.0	6.72940072301
NM_004814	SNRNP40	324.0	32.3174615651	292.0	44.040964934
NM_004815	ARHGAP29	56.0	0.994979946761	49.0	2.09649449361
NM_020199	C5orf15	109.0	7.74068631423	99.0	20.0960433514
NM_004817	TJP2	158.0	5.41668436731	143.0	6.48307845034
NM_004818	DDX23	254.0	12.5939753179	204.0	13.4166475525
NM_020196	XAB2	663.0	40.4508133695	650.0	41.0012023914
NM_020195	SDR39U1	58.0	7.63217282883	55.0	10.1011858116
NM_001330724	CDKL2	0.0	-	0.0	-
NM_014314	DDX58	39.0	1.32831481591	33.0	1.92424317188
NM_020191	MRPS22	139.0	20.067820096	131.0	19.5939093602
NM_001356505	CRYZL2P-SEC16B	0.0	-	0.0	-
NM_001303098	TMEM198	47.0	3.1603800644	30.0	4.48715481531
NM_032968	PCDH11X	1.0	0.0193370286299	1.0	0.0400559566846
NM_005663	NELFA	177.0	11.6173310873	169.0	16.8985696375
NM_001278267	NBPF20	0.0	-	0.0	-
NM_032961	PCDH10	130.0	2.49978840791	88.0	4.56445514482
NM_001100817	ELOA3B	0.0	-	0.0	-
NM_001199654	PMF1	0.0	-	0.0	-
NM_032965	CCL15	0.0	-	0.0	-
