	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	84.0	3.95148797205	50.0	6.71332510862
2	NM_001143986	TLE6	2.0	0.182543601061	1.0	0.106616506961
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	1.0	0.0836484598199	1.0	0.0914539797732
5	NM_001003803	ATP5S	53.0	5.26477512177	41.0	11.5960259168
6	NM_001003800	BICD2	1127.0	32.1928841879	789.0	56.3095828825
7	NM_016649	ESF1	28.0	1.59566719933	22.0	1.57747381074
8	NM_016647	THEM6	452.0	36.5899940417	137.0	40.0454660905
9	NM_016644	PRR16	50.0	4.90036832795	26.0	5.63252737837
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	8.0	0.125069538832	7.0	0.116364301883
12	NM_001143989	NBPF4	1.0	0.0733388457245	1.0	0.0956044733779
13	NM_016640	MRPS30	262.0	28.718737543	246.0	34.1555672458
14	NM_001304464	SNRPE	148.0	16.7642266804	1.0	0.7187206881
15	NM_003279	TNNC2	108.0	29.0654445672	76.0	28.838109597
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	142.0	7.11062188964	34.0	9.70608779723
18	NM_001080825	TMEM120B	189.0	4.61234934261	30.0	5.39040516075
19	NM_001008781	FAT3	2023.0	19.4656821424	1922.0	25.7607281296
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	1.0	0.138949033711	1.0	0.15159121213
22	NM_002223	ITPR2	38.0	0.553477188881	34.0	0.768727901039
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	130.0	5.90765951166	98.0	41.0064611772
25	NM_001145313	FSD1L	33.0	0.782410684393	9.0	1.03544505913
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	1.0	0.212614588707	0.0	-
28	NM_003363	USP4	79.0	3.51423016062	68.0	4.30934188508
