AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	241.0	10.83626239	178.0	22.8438220855
NM_001143986	TLE6	2.0	0.174480824716	2.0	0.20381471555
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	122.0	11.5836353701	108.0	29.1964580025
NM_001003800	BICD2	561.0	15.317219083	516.0	35.1994680591
NM_016649	ESF1	289.0	15.7421200797	261.0	17.887970748
NM_016647	THEM6	138.0	10.6778565486	109.0	30.4537217442
NM_016644	PRR16	38.0	3.55978204522	15.0	3.10600617048
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0149431671087	1.0	0.0158892288449
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	426.0	44.6328628316	413.0	54.8097143411
NM_001304464	SNRPE	365.0	39.5180735633	2.0	1.37395096482
NM_003279	TNNC2	140.0	36.0132521617	118.0	42.7972924757
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	231.0	11.0563636042	55.0	15.0075251415
NM_001080825	TMEM120B	76.0	1.77278093863	56.0	9.61765675377
NM_001008781	FAT3	1013.0	9.31674656057	1008.0	12.9135715957
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	44.0	0.612561782775	37.0	0.799606917907
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	126.0	5.47297848993	122.0	48.7940804973
NM_001145313	FSD1L	30.0	0.679865774961	23.0	2.52926001528
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	312.0	13.2659634419	302.0	18.2932164248
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	216.0	5.05458316474	154.0	124.895959233
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1959.0	53.6798322167	1681.0	175.596586412
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	2.0	0.210804750921	2.0	0.289791146427
NM_001282730	SUPT7L	426.0	15.7605378362	224.0	31.6707341044
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	114.0	6.32975507883	91.0	28.7230019268
NM_004106	FCER1G	3.0	0.889232223426	3.0	2.01354882776
NM_001291976	SPARCL1	1.0	0.0580254216678	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	71.0	3.627206506	57.0	8.87572323276
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	38.0	1.97121481332	38.0	2.41450577605
NM_007100	ATP5ME	587.0	281.72582215	331.0	276.115074252
NM_000334	SCN4A	2.0	0.0448888527905	2.0	0.0635742144856
NM_007105	SLC22A18AS	1.0	0.0761978025294	0.0	-
NM_181435	C1QTNF3	1.0	0.0457863951947	0.0	-
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	538.0	116.78583201	475.0	153.241077914
NM_007108	ELOB	944.0	167.03912942	923.0	452.913121619
NM_000483	APOC2	2.0	0.480600131728	1.0	0.572479568676
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	1.0	0.0795543814782	1.0	0.144536920804
NM_016643	ZNF771	114.0	13.7253452053	80.0	14.6900417623
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	299.0	13.7404107179	242.0	14.5982290013
NM_001350531	LARP1B	56.0	2.26454521903	21.0	1.93110430883
NM_001350530	MIER1	446.0	13.7989617829	414.0	40.0906587497
NM_001320272	PLD5	3.0	0.158676402188	1.0	0.131220035966
NM_030613	ZFP2	1.0	0.0721494019831	1.0	0.126391593084
NM_014177	TIMM21	164.0	18.7283668021	101.0	23.685479986
NM_020992	PDLIM1	57.0	6.31973964358	44.0	7.785722134
NM_005802	TOPORS	483.0	20.2759011002	453.0	25.2887102775
NM_005258	GCHFR	0.0	-	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	223.0	21.0819540245	158.0	44.143926932
NM_003825	SNAP23	410.0	27.1954890898	347.0	95.5770842157
NM_003826	NAPG	237.0	11.1756024979	214.0	39.9235911344
NM_003827	NAPA	874.0	82.3151751425	671.0	132.370427836
NM_003820	TNFRSF14	16.0	0.800588394242	3.0	0.616826577518
NM_003821	RIPK2	151.0	10.2328785107	91.0	9.82209862561
NM_003795	SNX3	834.0	83.010838548	611.0	218.883875332
NM_003823	TNFRSF6B	1.0	0.151669911701	1.0	0.193996398688
NM_012181	FKBP8	915.0	89.2972448099	779.0	109.874593159
NM_012180	FBXO8	132.0	9.02208144283	60.0	10.9486717509
NM_012183	FOXD3	3.0	0.254127777585	3.0	0.365717636775
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	227.0	2.72441599064	227.0	3.65257424446
NM_020437	ASPHD2	85.0	4.49447436803	28.0	4.41892337335
NM_012186	FOXE3	0.0	-	0.0	-
NM_020733	HEG1	153.0	2.92729886919	142.0	5.99985099328
NM_020731	AHRR	26.0	0.804708029751	26.0	2.10863307796
NM_020737	LRFN2	0.0	-	0.0	-
NM_001025780	ABHD17B	327.0	18.3777512355	193.0	38.9959612075
NM_001300829	CIRBP	1607.0	158.687851218	1321.0	258.849134371
NM_002224	ITPR3	415.0	8.0499590772	383.0	8.36994267587
NM_175856	CHSY3	41.0	2.05679515138	41.0	2.71133585074
NM_001688	ATP5PB	1425.0	118.81471486	1019.0	231.526775911
NM_014171	CRIPT	397.0	10.9245936164	292.0	167.164034054
NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
NM_001867	COX7C	1084.0	466.569441888	567.0	517.324740232
NM_144646	JCHAIN	0.0	-	0.0	-
NM_144647	CAPSL	0.0	-	0.0	-
NM_144644	SPATA4	0.0	-	0.0	-
NM_144645	C4orf36	0.0	-	0.0	-
NM_144642	SYNPR	0.0	-	0.0	-
NM_144643	SCLT1	255.0	14.6221213564	111.0	9.40727674391
NM_001161546	PROB1	491.0	26.457325523	484.0	27.8170977819
NM_144641	PPM1M	33.0	2.63126931475	30.0	3.8082336525
NM_133447	AGAP11	4.0	0.222096669433	1.0	0.105976254093
NM_001008783	SLC35D3	2.0	0.145800039963	0.0	-
NM_000159	GCDH	222.0	20.6530441101	199.0	26.4696817426
NM_000158	GBE1	315.0	17.8061650935	288.0	23.9219911941
NM_144648	LRGUK	6.0	0.337965430254	5.0	0.353468014558
NM_144649	TMEM71	2.0	0.168360161475	2.0	0.421609501841
NM_021020	LZTS1	617.0	19.799466482	550.0	53.7958187651
NM_021021	SNTB1	534.0	18.8031058171	418.0	45.284302208
NM_021023	CFHR3	16.0	1.70906095624	16.0	2.82261829631
NM_001347869	ZNF174	84.0	5.19048142267	33.0	7.70786491266
NM_021025	TLX3	23.0	2.69866791986	18.0	3.59956331538
NM_021026	RFPL1	0.0	-	0.0	-
NM_021027	UGT1A9	0.0	-	0.0	-
NM_015225	PRUNE2	192.0	2.67257207937	187.0	3.53495477272
NM_175068	KRT73	0.0	-	0.0	-
NM_001143679	GSTK1	176.0	25.148009503	165.0	34.0453397202
NM_152694	RTL3	0.0	-	0.0	-
NM_173536	GABRG1	0.0	-	0.0	-
NM_173537	GTF2IRD2	0.0	-	0.0	-
NM_173535	CLEC4F	0.0	-	0.0	-
NM_001297658	TSSC4	255.0	21.8438047647	164.0	29.0195097722
