	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	109.0	3.22975192115	71.0	6.00464467131
2	NM_001143986	TLE6	3.0	0.172472223283	3.0	0.201468426034
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	65.0	4.06704147839	52.0	9.26381670078
6	NM_001003800	BICD2	2074.0	37.3169389706	1444.0	64.9133151563
7	NM_016649	ESF1	12.0	0.430751522826	10.0	0.451648701555
8	NM_016647	THEM6	576.0	29.3702522419	219.0	40.3216401558
9	NM_016644	PRR16	66.0	4.07440263944	39.0	5.32176704087
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	4.0	0.0393897153006	4.0	0.0418835040789
12	NM_001143989	NBPF4	4.0	0.184780165054	2.0	0.120439653748
13	NM_016640	MRPS30	421.0	29.0674837425	411.0	35.9442566184
14	NM_001304464	SNRPE	195.0	13.9129014727	2.0	0.905422808764
15	NM_003279	TNNC2	178.0	30.1741125476	132.0	31.5492047029
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	220.0	6.93910103438	40.0	7.19261109765
18	NM_001080825	TMEM120B	288.0	4.42704734192	49.0	5.54571470368
19	NM_001008781	FAT3	2169.0	13.1460289918	2091.0	17.6530630667
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	3.0	0.262565750077	3.0	0.286455106991
22	NM_002223	ITPR2	35.0	0.321103813408	31.0	0.441485770002
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	160.0	4.57987237758	121.0	31.8913479046
25	NM_001145313	FSD1L	43.0	0.642170834288	17.0	1.23195476334
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	1.0	0.133922747236	0.0	-
28	NM_003363	USP4	168.0	4.7073195543	145.0	5.78803740561
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	101.0	1.5575183302	35.0	18.7057837227
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	2568.0	46.371583927	1969.0	135.542118416
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	0.0	-	0.0	-
37	NM_001282730	SUPT7L	378.0	9.21580829321	218.0	20.3117247535
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	135.0	4.93964820787	81.0	16.848205509
40	NM_004106	FCER1G	1.0	0.19533233184	0.0	-
41	NM_001291976	SPARCL1	0.0	-	0.0	-
