AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	110.0	7.47866352932	83.0	16.1062968242
NM_001143986	TLE6	0.0	-	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	63.0	9.0447056218	51.0	20.8470893466
NM_001003800	BICD2	339.0	13.9954091821	300.0	30.9440028783
NM_016649	ESF1	97.0	7.98924890234	88.0	9.11952210023
NM_016647	THEM6	85.0	9.94472459995	74.0	31.2618328282
NM_016644	PRR16	25.0	3.54118535613	7.0	2.19168398637
NM_017417	GALNT8	1.0	0.124065885077	1.0	0.138391151849
NM_016642	SPTBN5	0.0	-	0.0	-
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	167.0	26.4563821738	158.0	31.7054128886
NM_001304464	SNRPE	169.0	27.6667690506	3.0	3.11624311339
NM_003279	TNNC2	49.0	19.0589611854	36.0	19.7426582339
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	103.0	7.45429192835	23.0	9.48949421602
NM_001080825	TMEM120B	33.0	1.16392302704	23.0	5.97279930067
NM_001008781	FAT3	445.0	6.18847565308	441.0	8.54266294468
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	20.0	0.421013533559	17.0	0.555510893024
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	59.0	3.87502088115	55.0	33.2612706738
NM_001145313	FSD1L	25.0	0.856664504006	16.0	2.66044609806
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	159.0	10.2223363295	155.0	14.1965778074
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	78.0	2.75991074563	54.0	66.2201661596
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	939.0	38.9055129197	792.0	125.095698506
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	1.0	0.159374647797	1.0	0.219090706897
NM_001282730	SUPT7L	315.0	17.6214169717	141.0	30.1438044504
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	55.0	4.61757101589	43.0	20.5222857288
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	1.0	0.0877378816292	1.0	0.16350658311
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	37.0	2.8581465709	33.0	7.7698328294
NM_000331	SAA1	0.0	-	0.0	-
